t=,3600, id=,B03, PRDE,actvstrat=,0.605340, actvprof=,0.015277, id=,B04, PRDE,actvstrat=,-0.147557, actvprof=,0.034443, id=,B05, PRDE,actvstrat=,-0.528200, actvprof=,0.169995, id=,B06, PRDE,actvstrat=,0.663006, actvprof=,2.037999, id=,B09, PRDE,actvstrat=,-0.936765, actvprof=,2.283548, id=,S00, PRDE,actvstrat=,0.065890, actvprof=,3.590178, id=,S01, PRDE,actvstrat=,-0.285491, actvprof=,1.305519, id=,S03, PRDE,actvstrat=,0.246410, actvprof=,0.664982, id=,S05, PRDE,actvstrat=,0.434919, actvprof=,0.043610, id=,S06, PRDE,actvstrat=,0.917270, actvprof=,0.001944, best_B_id=,B09, best_B_prof=,2.283548, best_B_strat=,-0.936765, best_S_id=,S00, best_S_prof=,3.590178, best_S_strat=,0.065890, 
t=,7200, id=,B03, PRDE,actvstrat=,0.533529, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.461332, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.750033, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.313785, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.129749, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.790169, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.342801, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.323431, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.877166, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.301391, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,0.533529, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.790169, 
t=,10800, id=,B03, PRDE,actvstrat=,0.533529, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.461332, actvprof=,0.025277, id=,B05, PRDE,actvstrat=,0.750033, actvprof=,0.308607, id=,B06, PRDE,actvstrat=,0.313785, actvprof=,0.894710, id=,B09, PRDE,actvstrat=,-0.129749, actvprof=,3.901057, id=,S00, PRDE,actvstrat=,-0.790169, actvprof=,1.603867, id=,S01, PRDE,actvstrat=,-0.342801, actvprof=,1.844974, id=,S03, PRDE,actvstrat=,0.323431, actvprof=,1.163873, id=,S05, PRDE,actvstrat=,0.877166, actvprof=,0.306662, id=,S06, PRDE,actvstrat=,-0.301391, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.901057, best_B_strat=,-0.129749, best_S_id=,S01, best_S_prof=,1.844974, best_S_strat=,-0.342801, 
t=,14400, id=,B03, PRDE,actvstrat=,0.077376, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.332121, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.558964, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.531553, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.710907, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.702028, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.854822, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.779176, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.567787, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.864578, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,0.077376, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.702028, 
t=,18000, id=,B03, PRDE,actvstrat=,0.077376, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.332121, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,-0.558964, actvprof=,0.007778, id=,B06, PRDE,actvstrat=,0.531553, actvprof=,0.334167, id=,B09, PRDE,actvstrat=,0.710907, actvprof=,4.829722, id=,S00, PRDE,actvstrat=,-0.702028, actvprof=,3.369444, id=,S01, PRDE,actvstrat=,-0.854822, actvprof=,0.845556, id=,S03, PRDE,actvstrat=,-0.779176, actvprof=,0.425556, id=,S05, PRDE,actvstrat=,-0.567787, actvprof=,0.031667, id=,S06, PRDE,actvstrat=,0.864578, actvprof=,0.115278, best_B_id=,B09, best_B_prof=,4.829722, best_B_strat=,0.710907, best_S_id=,S00, best_S_prof=,3.369444, best_S_strat=,-0.702028, 
t=,21600, id=,B03, PRDE,actvstrat=,0.077376, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,0.332121, actvprof=,0.006667, id=,B05, PRDE,actvstrat=,-0.558964, actvprof=,0.005556, id=,B06, PRDE,actvstrat=,0.531553, actvprof=,0.385139, id=,B09, PRDE,actvstrat=,0.710907, actvprof=,4.883194, id=,S00, PRDE,actvstrat=,-0.702028, actvprof=,3.419861, id=,S01, PRDE,actvstrat=,-0.854822, actvprof=,0.995139, id=,S03, PRDE,actvstrat=,-0.779176, actvprof=,0.415139, id=,S05, PRDE,actvstrat=,-0.567787, actvprof=,0.030833, id=,S06, PRDE,actvstrat=,0.864578, actvprof=,0.110139, best_B_id=,B09, best_B_prof=,4.883194, best_B_strat=,0.710907, best_S_id=,S00, best_S_prof=,3.419861, best_S_strat=,-0.702028, 
t=,25200, id=,B03, PRDE,actvstrat=,-0.842861, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.035834, id=,B05, PRDE,actvstrat=,0.208589, actvprof=,0.226114, id=,B06, PRDE,actvstrat=,-0.233970, actvprof=,0.501396, id=,B09, PRDE,actvstrat=,0.724900, actvprof=,6.198142, id=,S00, PRDE,actvstrat=,-0.826297, actvprof=,1.195294, id=,S01, PRDE,actvstrat=,-0.861581, actvprof=,0.537507, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.212253, id=,S05, PRDE,actvstrat=,-0.587694, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.045556, best_B_id=,B09, best_B_prof=,6.198142, best_B_strat=,0.724900, best_S_id=,S03, best_S_prof=,2.212253, best_S_strat=,1.000000, 
t=,28800, id=,B03, PRDE,actvstrat=,-0.842861, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.029584, id=,B05, PRDE,actvstrat=,0.208589, actvprof=,0.214307, id=,B06, PRDE,actvstrat=,-0.233970, actvprof=,0.456948, id=,B09, PRDE,actvstrat=,0.724900, actvprof=,6.235738, id=,S00, PRDE,actvstrat=,-0.826297, actvprof=,1.230009, id=,S01, PRDE,actvstrat=,-0.861581, actvprof=,0.532504, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.214599, id=,S05, PRDE,actvstrat=,-0.587694, actvprof=,0.005278, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.051528, best_B_id=,B09, best_B_prof=,6.235738, best_B_strat=,0.724900, best_S_id=,S03, best_S_prof=,2.214599, best_S_strat=,1.000000, 
t=,32400, id=,B03, PRDE,actvstrat=,0.577652, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,-0.886649, actvprof=,0.008056, id=,B05, PRDE,actvstrat=,-0.576368, actvprof=,0.006944, id=,B06, PRDE,actvstrat=,0.873293, actvprof=,0.843333, id=,B09, PRDE,actvstrat=,-0.791792, actvprof=,1.538889, id=,S00, PRDE,actvstrat=,-0.702028, actvprof=,3.143333, id=,S01, PRDE,actvstrat=,-0.861581, actvprof=,0.810833, id=,S03, PRDE,actvstrat=,-0.291100, actvprof=,0.659722, id=,S05, PRDE,actvstrat=,-0.365573, actvprof=,0.018889, id=,S06, PRDE,actvstrat=,0.424522, actvprof=,0.012500, best_B_id=,B09, best_B_prof=,1.538889, best_B_strat=,-0.791792, best_S_id=,S00, best_S_prof=,3.143333, best_S_strat=,-0.702028, 
t=,36000, id=,B03, PRDE,actvstrat=,0.577652, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,-0.886649, actvprof=,0.009583, id=,B05, PRDE,actvstrat=,-0.576368, actvprof=,0.009306, id=,B06, PRDE,actvstrat=,0.873293, actvprof=,0.778761, id=,B09, PRDE,actvstrat=,-0.791792, actvprof=,1.590855, id=,S00, PRDE,actvstrat=,-0.702028, actvprof=,3.158377, id=,S01, PRDE,actvstrat=,-0.861581, actvprof=,0.763344, id=,S03, PRDE,actvstrat=,-0.291100, actvprof=,0.724038, id=,S05, PRDE,actvstrat=,-0.365573, actvprof=,0.032778, id=,S06, PRDE,actvstrat=,0.424522, actvprof=,0.010278, best_B_id=,B09, best_B_prof=,1.590855, best_B_strat=,-0.791792, best_S_id=,S00, best_S_prof=,3.158377, best_S_strat=,-0.702028, 
t=,39600, id=,B03, PRDE,actvstrat=,-0.091850, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.105560, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.635860, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,1.627012, id=,B09, PRDE,actvstrat=,-0.985232, actvprof=,4.075725, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.396142, id=,S01, PRDE,actvstrat=,0.089756, actvprof=,3.283470, id=,S03, PRDE,actvstrat=,0.593911, actvprof=,1.656180, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.070836, id=,S06, PRDE,actvstrat=,-0.720776, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.075725, best_B_strat=,-0.985232, best_S_id=,S00, best_S_prof=,7.396142, best_S_strat=,1.000000, 
