t=,3600, id=,B01, PRDE,actvstrat=,0.919002, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.869535, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.352314, actvprof=,0.126667, id=,B05, PRDE,actvstrat=,-0.654275, actvprof=,0.314444, id=,B06, PRDE,actvstrat=,0.424529, actvprof=,2.376667, id=,S01, PRDE,actvstrat=,0.666936, actvprof=,3.768333, id=,S03, PRDE,actvstrat=,-0.845873, actvprof=,0.018333, id=,S05, PRDE,actvstrat=,0.176554, actvprof=,0.003333, id=,S06, PRDE,actvstrat=,-0.554011, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.889497, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.376667, best_B_strat=,0.424529, best_S_id=,S01, best_S_prof=,3.768333, best_S_strat=,0.666936, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.945571, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.138495, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.084824, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.543811, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.482672, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.193776, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.134607, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.053176, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.928808, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.421283, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.945571, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.193776, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.945571, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.138495, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.084824, actvprof=,0.106110, id=,B05, PRDE,actvstrat=,-0.543811, actvprof=,0.405550, id=,B06, PRDE,actvstrat=,-0.482672, actvprof=,1.427202, id=,S01, PRDE,actvstrat=,-0.193776, actvprof=,1.000264, id=,S03, PRDE,actvstrat=,-0.134607, actvprof=,0.044999, id=,S05, PRDE,actvstrat=,0.053176, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.928808, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.421283, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.427202, best_B_strat=,-0.482672, best_S_id=,S01, best_S_prof=,1.000264, best_S_strat=,-0.193776, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.945571, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.562285, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.334708, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.543811, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.920194, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.334891, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.198403, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.899352, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.212126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.421283, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.945571, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.334891, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.945571, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.562285, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.334708, actvprof=,0.014444, id=,B05, PRDE,actvstrat=,-0.543811, actvprof=,0.136111, id=,B06, PRDE,actvstrat=,0.920194, actvprof=,2.607500, id=,S01, PRDE,actvstrat=,-0.334891, actvprof=,1.092500, id=,S03, PRDE,actvstrat=,-0.198403, actvprof=,0.168333, id=,S05, PRDE,actvstrat=,0.899352, actvprof=,0.043611, id=,S06, PRDE,actvstrat=,0.212126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.421283, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.607500, best_B_strat=,0.920194, best_S_id=,S01, best_S_prof=,1.092500, best_S_strat=,-0.334891, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.945571, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.562285, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.334708, actvprof=,0.016389, id=,B05, PRDE,actvstrat=,-0.543811, actvprof=,0.116528, id=,B06, PRDE,actvstrat=,0.920194, actvprof=,2.488194, id=,S01, PRDE,actvstrat=,-0.334891, actvprof=,1.087361, id=,S03, PRDE,actvstrat=,-0.198403, actvprof=,0.177361, id=,S05, PRDE,actvstrat=,0.899352, actvprof=,0.061806, id=,S06, PRDE,actvstrat=,0.212126, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.421283, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.488194, best_B_strat=,0.920194, best_S_id=,S01, best_S_prof=,1.087361, best_S_strat=,-0.334891, 
t=,25200, id=,B01, PRDE,actvstrat=,0.908289, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,-0.098248, actvprof=,0.123891, id=,B05, PRDE,actvstrat=,0.138703, actvprof=,1.181128, id=,B06, PRDE,actvstrat=,-0.491576, actvprof=,1.694190, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.688940, id=,S03, PRDE,actvstrat=,0.458464, actvprof=,0.140280, id=,S05, PRDE,actvstrat=,-0.417880, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.899203, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.694190, best_B_strat=,-0.491576, best_S_id=,S01, best_S_prof=,3.688940, best_S_strat=,1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,0.908289, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.001667, id=,B04, PRDE,actvstrat=,-0.098248, actvprof=,0.132362, id=,B05, PRDE,actvstrat=,0.138703, actvprof=,1.181536, id=,B06, PRDE,actvstrat=,-0.491576, actvprof=,1.679178, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,3.699748, id=,S03, PRDE,actvstrat=,0.458464, actvprof=,0.135418, id=,S05, PRDE,actvstrat=,-0.417880, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.899203, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.679178, best_B_strat=,-0.491576, best_S_id=,S01, best_S_prof=,3.699748, best_S_strat=,1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.941585, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.921462, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.680606, actvprof=,0.180283, id=,B05, PRDE,actvstrat=,-0.515589, actvprof=,0.383344, id=,B06, PRDE,actvstrat=,-0.746573, actvprof=,1.036973, id=,S01, PRDE,actvstrat=,-0.516903, actvprof=,0.641962, id=,S03, PRDE,actvstrat=,0.443315, actvprof=,0.266119, id=,S05, PRDE,actvstrat=,0.899352, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,0.734882, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.501324, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.036973, best_B_strat=,-0.746573, best_S_id=,S01, best_S_prof=,0.641962, best_S_strat=,-0.516903, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.941585, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.921462, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.680606, actvprof=,0.180003, id=,B05, PRDE,actvstrat=,-0.515589, actvprof=,0.354727, id=,B06, PRDE,actvstrat=,-0.746573, actvprof=,1.006820, id=,S01, PRDE,actvstrat=,-0.516903, actvprof=,0.593897, id=,S03, PRDE,actvstrat=,0.443315, actvprof=,0.244309, id=,S05, PRDE,actvstrat=,0.899352, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,0.734882, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.501324, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.006820, best_B_strat=,-0.746573, best_S_id=,S01, best_S_prof=,0.593897, best_S_strat=,-0.516903, 
t=,39600, id=,B01, PRDE,actvstrat=,0.522130, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.265892, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.212587, actvprof=,0.031112, id=,B05, PRDE,actvstrat=,-0.689615, actvprof=,0.112227, id=,B06, PRDE,actvstrat=,0.796637, actvprof=,2.122866, id=,S01, PRDE,actvstrat=,-0.240573, actvprof=,1.270053, id=,S03, PRDE,actvstrat=,0.058539, actvprof=,0.629193, id=,S05, PRDE,actvstrat=,0.448494, actvprof=,0.035835, id=,S06, PRDE,actvstrat=,0.579432, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.406722, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.122866, best_B_strat=,0.796637, best_S_id=,S01, best_S_prof=,1.270053, best_S_strat=,-0.240573, 
