t=,1, id=,B01, PRDE,actvstrat=,0.777503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.981025, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.685747, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.354123, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.336044, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.931296, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.644154, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.311393, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.885830, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.004542, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.777503, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.931296, 
t=,3600, id=,B01, PRDE,actvstrat=,0.777503, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.981025, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.685747, actvprof=,0.004722, id=,B06, PRDE,actvstrat=,-0.354123, actvprof=,0.990556, id=,B07, PRDE,actvstrat=,0.336044, actvprof=,3.488611, id=,S00, PRDE,actvstrat=,-0.931296, actvprof=,0.077222, id=,S02, PRDE,actvstrat=,0.644154, actvprof=,2.151667, id=,S05, PRDE,actvstrat=,0.311393, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.885830, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.004542, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.488611, best_B_strat=,0.336044, best_S_id=,S02, best_S_prof=,2.151667, best_S_strat=,0.644154, 
t=,7200, id=,B01, PRDE,actvstrat=,0.951751, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.133323, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.637292, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.134315, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.785452, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.819318, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.527352, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.976370, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.741898, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.741407, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.951751, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.819318, 
t=,10800, id=,B01, PRDE,actvstrat=,0.951751, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.133323, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.637292, actvprof=,0.163609, id=,B06, PRDE,actvstrat=,0.134315, actvprof=,2.174692, id=,B07, PRDE,actvstrat=,-0.785452, actvprof=,1.913585, id=,S00, PRDE,actvstrat=,0.819318, actvprof=,5.373814, id=,S02, PRDE,actvstrat=,0.527352, actvprof=,1.303871, id=,S05, PRDE,actvstrat=,0.976370, actvprof=,0.016666, id=,S08, PRDE,actvstrat=,0.741898, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.741407, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.174692, best_B_strat=,0.134315, best_S_id=,S00, best_S_prof=,5.373814, best_S_strat=,0.819318, 
t=,14400, id=,B01, PRDE,actvstrat=,0.285879, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.843377, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.226358, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.987048, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.785452, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.850278, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.263910, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.366677, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.391879, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.938023, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.285879, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.850278, 
t=,18000, id=,B01, PRDE,actvstrat=,0.285879, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.843377, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.226358, actvprof=,0.120556, id=,B06, PRDE,actvstrat=,-0.987048, actvprof=,1.456111, id=,B07, PRDE,actvstrat=,-0.785452, actvprof=,2.115278, id=,S00, PRDE,actvstrat=,0.850278, actvprof=,5.488611, id=,S02, PRDE,actvstrat=,-0.263910, actvprof=,0.203611, id=,S05, PRDE,actvstrat=,-0.366677, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.391879, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.938023, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.115278, best_B_strat=,-0.785452, best_S_id=,S00, best_S_prof=,5.488611, best_S_strat=,0.850278, 
t=,21600, id=,B01, PRDE,actvstrat=,0.285879, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.843377, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.226358, actvprof=,0.131111, id=,B06, PRDE,actvstrat=,-0.987048, actvprof=,1.440556, id=,B07, PRDE,actvstrat=,-0.785452, actvprof=,2.107917, id=,S00, PRDE,actvstrat=,0.850278, actvprof=,5.564444, id=,S02, PRDE,actvstrat=,-0.263910, actvprof=,0.191389, id=,S05, PRDE,actvstrat=,-0.366677, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.391879, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.938023, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.107917, best_B_strat=,-0.785452, best_S_id=,S00, best_S_prof=,5.564444, best_S_strat=,0.850278, 
t=,25200, id=,B01, PRDE,actvstrat=,0.113081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.122092, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.016479, actvprof=,0.025556, id=,B06, PRDE,actvstrat=,0.118270, actvprof=,1.812247, id=,B07, PRDE,actvstrat=,0.021537, actvprof=,3.110599, id=,S00, PRDE,actvstrat=,0.725857, actvprof=,5.176461, id=,S02, PRDE,actvstrat=,-0.086393, actvprof=,0.492229, id=,S05, PRDE,actvstrat=,0.735745, actvprof=,0.010556, id=,S08, PRDE,actvstrat=,-0.697655, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.341224, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.110599, best_B_strat=,0.021537, best_S_id=,S00, best_S_prof=,5.176461, best_S_strat=,0.725857, 
t=,28800, id=,B01, PRDE,actvstrat=,0.113081, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.122092, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.016479, actvprof=,0.029584, id=,B06, PRDE,actvstrat=,0.118270, actvprof=,1.792374, id=,B07, PRDE,actvstrat=,0.021537, actvprof=,3.071271, id=,S00, PRDE,actvstrat=,0.725857, actvprof=,5.308787, id=,S02, PRDE,actvstrat=,-0.086393, actvprof=,0.532365, id=,S05, PRDE,actvstrat=,0.735745, actvprof=,0.010139, id=,S08, PRDE,actvstrat=,-0.697655, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.341224, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.071271, best_B_strat=,0.021537, best_S_id=,S00, best_S_prof=,5.308787, best_S_strat=,0.725857, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.783359, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.426003, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.226385, actvprof=,0.219173, id=,B06, PRDE,actvstrat=,-0.882792, actvprof=,1.041696, id=,B07, PRDE,actvstrat=,-0.881133, actvprof=,2.025890, id=,S00, PRDE,actvstrat=,0.776522, actvprof=,3.891219, id=,S02, PRDE,actvstrat=,0.803418, actvprof=,0.883358, id=,S05, PRDE,actvstrat=,0.694914, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.518241, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.341224, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.025890, best_B_strat=,-0.881133, best_S_id=,S00, best_S_prof=,3.891219, best_S_strat=,0.776522, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.783359, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.426003, actvprof=,0.000139, id=,B04, PRDE,actvstrat=,-0.226385, actvprof=,0.227086, id=,B06, PRDE,actvstrat=,-0.882792, actvprof=,1.005986, id=,B07, PRDE,actvstrat=,-0.881133, actvprof=,2.138363, id=,S00, PRDE,actvstrat=,0.776522, actvprof=,3.950749, id=,S02, PRDE,actvstrat=,0.803418, actvprof=,0.884040, id=,S05, PRDE,actvstrat=,0.694914, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.518241, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.341224, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.138363, best_B_strat=,-0.881133, best_S_id=,S00, best_S_prof=,3.950749, best_S_strat=,0.776522, 
