t=,1, id=,B00, PRDE,actvstrat=,-0.451708, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.824934, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.596707, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.454134, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.531358, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.073097, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.733901, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.827030, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.223325, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.892954, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.451708, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.073097, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.451708, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.824934, actvprof=,0.078611, id=,B05, PRDE,actvstrat=,-0.596707, actvprof=,0.355278, id=,B06, PRDE,actvstrat=,-0.454134, actvprof=,1.227778, id=,B09, PRDE,actvstrat=,0.531358, actvprof=,7.502778, id=,S00, PRDE,actvstrat=,0.073097, actvprof=,4.028889, id=,S01, PRDE,actvstrat=,0.733901, actvprof=,3.840278, id=,S02, PRDE,actvstrat=,-0.827030, actvprof=,0.336111, id=,S05, PRDE,actvstrat=,0.223325, actvprof=,0.030556, id=,S07, PRDE,actvstrat=,-0.892954, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.502778, best_B_strat=,0.531358, best_S_id=,S00, best_S_prof=,4.028889, best_S_strat=,0.073097, 
t=,7200, id=,B00, PRDE,actvstrat=,0.597359, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.201164, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.009941, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.211379, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.489182, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.779470, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.865697, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.851239, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.654142, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.682782, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.597359, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.779470, 
t=,10800, id=,B00, PRDE,actvstrat=,0.597359, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.201164, actvprof=,0.002778, id=,B05, PRDE,actvstrat=,-0.009941, actvprof=,0.263330, id=,B06, PRDE,actvstrat=,-0.211379, actvprof=,0.709712, id=,B09, PRDE,actvstrat=,-0.489182, actvprof=,4.531326, id=,S00, PRDE,actvstrat=,-0.779470, actvprof=,3.119957, id=,S01, PRDE,actvstrat=,-0.865697, actvprof=,1.427758, id=,S02, PRDE,actvstrat=,-0.851239, actvprof=,0.356384, id=,S05, PRDE,actvstrat=,-0.654142, actvprof=,0.011111, id=,S07, PRDE,actvstrat=,-0.682782, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.531326, best_B_strat=,-0.489182, best_S_id=,S00, best_S_prof=,3.119957, best_S_strat=,-0.779470, 
t=,14400, id=,B00, PRDE,actvstrat=,0.631763, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.005012, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.964379, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.198237, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.088729, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.422710, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.745288, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.487824, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.964309, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.467611, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.631763, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.422710, 
t=,18000, id=,B00, PRDE,actvstrat=,0.631763, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.005012, actvprof=,0.021111, id=,B05, PRDE,actvstrat=,-0.964379, actvprof=,0.225836, id=,B06, PRDE,actvstrat=,0.198237, actvprof=,1.670023, id=,B09, PRDE,actvstrat=,-0.088729, actvprof=,5.557022, id=,S00, PRDE,actvstrat=,-0.422710, actvprof=,3.800053, id=,S01, PRDE,actvstrat=,-0.745288, actvprof=,2.024750, id=,S02, PRDE,actvstrat=,-0.487824, actvprof=,0.888623, id=,S05, PRDE,actvstrat=,-0.964309, actvprof=,0.071668, id=,S07, PRDE,actvstrat=,-0.467611, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.557022, best_B_strat=,-0.088729, best_S_id=,S00, best_S_prof=,3.800053, best_S_strat=,-0.422710, 
t=,21600, id=,B00, PRDE,actvstrat=,0.631763, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.005012, actvprof=,0.021806, id=,B05, PRDE,actvstrat=,-0.964379, actvprof=,0.220139, id=,B06, PRDE,actvstrat=,0.198237, actvprof=,1.679583, id=,B09, PRDE,actvstrat=,-0.088729, actvprof=,5.631528, id=,S00, PRDE,actvstrat=,-0.422710, actvprof=,3.780139, id=,S01, PRDE,actvstrat=,-0.745288, actvprof=,1.982083, id=,S02, PRDE,actvstrat=,-0.487824, actvprof=,0.849722, id=,S05, PRDE,actvstrat=,-0.964309, actvprof=,0.064306, id=,S07, PRDE,actvstrat=,-0.467611, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.631528, best_B_strat=,-0.088729, best_S_id=,S00, best_S_prof=,3.780139, best_S_strat=,-0.422710, 
t=,25200, id=,B00, PRDE,actvstrat=,0.540502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.141948, id=,B05, PRDE,actvstrat=,0.905248, actvprof=,0.431123, id=,B06, PRDE,actvstrat=,0.675483, actvprof=,1.295592, id=,B09, PRDE,actvstrat=,-0.142754, actvprof=,3.942054, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.099919, id=,S01, PRDE,actvstrat=,0.574803, actvprof=,5.121809, id=,S02, PRDE,actvstrat=,-0.023765, actvprof=,2.210617, id=,S05, PRDE,actvstrat=,-0.273159, actvprof=,0.015278, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.942054, best_B_strat=,-0.142754, best_S_id=,S00, best_S_prof=,7.099919, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.540502, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.126528, id=,B05, PRDE,actvstrat=,0.905248, actvprof=,0.457639, id=,B06, PRDE,actvstrat=,0.675483, actvprof=,1.305417, id=,B09, PRDE,actvstrat=,-0.142754, actvprof=,4.095278, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.178194, id=,S01, PRDE,actvstrat=,0.574803, actvprof=,5.111528, id=,S02, PRDE,actvstrat=,-0.023765, actvprof=,2.325972, id=,S05, PRDE,actvstrat=,-0.273159, actvprof=,0.015556, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.003750, best_B_id=,B09, best_B_prof=,4.095278, best_B_strat=,-0.142754, best_S_id=,S00, best_S_prof=,7.178194, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.437912, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.824934, actvprof=,0.124175, id=,B05, PRDE,actvstrat=,0.801921, actvprof=,0.817557, id=,B06, PRDE,actvstrat=,0.893427, actvprof=,1.796514, id=,B09, PRDE,actvstrat=,0.050575, actvprof=,4.635600, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.566567, id=,S01, PRDE,actvstrat=,0.359587, actvprof=,3.679144, id=,S02, PRDE,actvstrat=,0.480058, actvprof=,2.505730, id=,S05, PRDE,actvstrat=,-0.166617, actvprof=,0.031669, id=,S07, PRDE,actvstrat=,-0.682782, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.635600, best_B_strat=,0.050575, best_S_id=,S00, best_S_prof=,6.566567, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.437912, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.824934, actvprof=,0.122642, id=,B05, PRDE,actvstrat=,0.801921, actvprof=,0.717381, id=,B06, PRDE,actvstrat=,0.893427, actvprof=,1.635323, id=,B09, PRDE,actvstrat=,0.050575, actvprof=,4.644296, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.735326, id=,S01, PRDE,actvstrat=,0.359587, actvprof=,3.586211, id=,S02, PRDE,actvstrat=,0.480058, actvprof=,2.415067, id=,S05, PRDE,actvstrat=,-0.166617, actvprof=,0.022362, id=,S07, PRDE,actvstrat=,-0.682782, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.644296, best_B_strat=,0.050575, best_S_id=,S00, best_S_prof=,6.735326, best_S_strat=,1.000000, 
