t=,0, id=,B01, PRDE,actvstrat=,-0.372195, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.403230, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.315503, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.165249, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.350767, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.468971, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.427104, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.874182, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.507655, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.658991, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.372195, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.468971, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.372195, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.403230, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.315503, actvprof=,0.016111, id=,B06, PRDE,actvstrat=,0.165249, actvprof=,1.708865, id=,B07, PRDE,actvstrat=,0.350767, actvprof=,3.726893, id=,S02, PRDE,actvstrat=,0.468971, actvprof=,2.033027, id=,S03, PRDE,actvstrat=,-0.427104, actvprof=,0.138887, id=,S06, PRDE,actvstrat=,-0.874182, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.507655, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.658991, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.726893, best_B_strat=,0.350767, best_S_id=,S02, best_S_prof=,2.033027, best_S_strat=,0.468971, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.133578, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.752944, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560099, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.367280, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.158320, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.878640, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.431752, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.759449, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.514784, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.568522, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.133578, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.878640, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.133578, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.752944, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560099, actvprof=,0.026111, id=,B06, PRDE,actvstrat=,-0.367280, actvprof=,1.011930, id=,B07, PRDE,actvstrat=,-0.158320, actvprof=,2.852738, id=,S02, PRDE,actvstrat=,-0.878640, actvprof=,0.068888, id=,S03, PRDE,actvstrat=,0.431752, actvprof=,0.506937, id=,S06, PRDE,actvstrat=,-0.759449, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.514784, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.568522, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.852738, best_B_strat=,-0.158320, best_S_id=,S03, best_S_prof=,0.506937, best_S_strat=,0.431752, 
t=,14400, id=,B01, PRDE,actvstrat=,0.664558, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.426067, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560099, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.560530, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.939741, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.461201, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.429247, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.724899, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.924197, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.568522, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.664558, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.461201, 
t=,18000, id=,B01, PRDE,actvstrat=,0.664558, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.426067, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560099, actvprof=,0.050000, id=,B06, PRDE,actvstrat=,-0.560530, actvprof=,0.898889, id=,B07, PRDE,actvstrat=,0.939741, actvprof=,4.747222, id=,S02, PRDE,actvstrat=,-0.461201, actvprof=,0.479444, id=,S03, PRDE,actvstrat=,0.429247, actvprof=,0.598889, id=,S06, PRDE,actvstrat=,-0.724899, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.924197, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.568522, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.747222, best_B_strat=,0.939741, best_S_id=,S03, best_S_prof=,0.598889, best_S_strat=,0.429247, 
t=,21600, id=,B01, PRDE,actvstrat=,0.664558, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.426067, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.560099, actvprof=,0.037917, id=,B06, PRDE,actvstrat=,-0.560530, actvprof=,0.877361, id=,B07, PRDE,actvstrat=,0.939741, actvprof=,4.698194, id=,S02, PRDE,actvstrat=,-0.461201, actvprof=,0.516111, id=,S03, PRDE,actvstrat=,0.429247, actvprof=,0.664861, id=,S06, PRDE,actvstrat=,-0.724899, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.924197, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.568522, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.698194, best_B_strat=,0.939741, best_S_id=,S03, best_S_prof=,0.664861, best_S_strat=,0.429247, 
t=,25200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.611005, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.157297, actvprof=,0.008333, id=,B06, PRDE,actvstrat=,0.966777, actvprof=,2.956430, id=,B07, PRDE,actvstrat=,-0.034335, actvprof=,2.843928, id=,S02, PRDE,actvstrat=,0.629651, actvprof=,2.262531, id=,S03, PRDE,actvstrat=,-0.188889, actvprof=,0.165836, id=,S06, PRDE,actvstrat=,0.035443, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.138808, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.956430, best_B_strat=,0.966777, best_S_id=,S02, best_S_prof=,2.262531, best_S_strat=,0.629651, 
t=,28800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.611005, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.157297, actvprof=,0.008889, id=,B06, PRDE,actvstrat=,0.966777, actvprof=,2.930993, id=,B07, PRDE,actvstrat=,-0.034335, actvprof=,2.984187, id=,S02, PRDE,actvstrat=,0.629651, actvprof=,2.286683, id=,S03, PRDE,actvstrat=,-0.188889, actvprof=,0.163473, id=,S06, PRDE,actvstrat=,0.035443, actvprof=,0.000556, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.138808, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.984187, best_B_strat=,-0.034335, best_S_id=,S02, best_S_prof=,2.286683, best_S_strat=,0.629651, 
t=,32400, id=,B01, PRDE,actvstrat=,0.730895, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.133866, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.564223, actvprof=,0.001944, id=,B06, PRDE,actvstrat=,0.579636, actvprof=,1.946443, id=,B07, PRDE,actvstrat=,-0.034335, actvprof=,2.427012, id=,S02, PRDE,actvstrat=,-0.075835, actvprof=,1.201144, id=,S03, PRDE,actvstrat=,-0.701115, actvprof=,0.175283, id=,S06, PRDE,actvstrat=,-0.453086, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.215058, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.578326, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.427012, best_B_strat=,-0.034335, best_S_id=,S02, best_S_prof=,1.201144, best_S_strat=,-0.075835, 
t=,36000, id=,B01, PRDE,actvstrat=,0.730895, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.133866, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.564223, actvprof=,0.001806, id=,B06, PRDE,actvstrat=,0.579636, actvprof=,2.003222, id=,B07, PRDE,actvstrat=,-0.034335, actvprof=,2.559897, id=,S02, PRDE,actvstrat=,-0.075835, actvprof=,1.164877, id=,S03, PRDE,actvstrat=,-0.701115, actvprof=,0.146946, id=,S06, PRDE,actvstrat=,-0.453086, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.215058, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.578326, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.559897, best_B_strat=,-0.034335, best_S_id=,S02, best_S_prof=,1.164877, best_S_strat=,-0.075835, 
t=,39600, id=,B01, PRDE,actvstrat=,-0.112218, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.056392, id=,B06, PRDE,actvstrat=,-0.761675, actvprof=,0.693927, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.566087, id=,S02, PRDE,actvstrat=,0.123499, actvprof=,1.516751, id=,S03, PRDE,actvstrat=,0.846932, actvprof=,1.351186, id=,S06, PRDE,actvstrat=,0.872668, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.038606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.566087, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.516751, best_S_strat=,0.123499, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.112218, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.056529, id=,B06, PRDE,actvstrat=,-0.761675, actvprof=,0.667657, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.550404, id=,S02, PRDE,actvstrat=,0.123499, actvprof=,1.493514, id=,S03, PRDE,actvstrat=,0.846932, actvprof=,1.358927, id=,S06, PRDE,actvstrat=,0.872668, actvprof=,0.008472, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.038606, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.550404, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.493514, best_S_strat=,0.123499, 
