t=,0, id=,B00, PRDE,actvstrat=,0.388732, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.465952, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.561937, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.262217, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.740837, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.348040, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.659246, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.248411, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.300273, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.925528, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.388732, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.348040, 
t=,3600, id=,B00, PRDE,actvstrat=,0.388732, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.465952, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.561937, actvprof=,3.208333, id=,B08, PRDE,actvstrat=,0.262217, actvprof=,4.425000, id=,B09, PRDE,actvstrat=,-0.740837, actvprof=,3.810556, id=,S01, PRDE,actvstrat=,0.348040, actvprof=,3.214722, id=,S03, PRDE,actvstrat=,0.659246, actvprof=,1.265278, id=,S05, PRDE,actvstrat=,0.248411, actvprof=,0.018333, id=,S07, PRDE,actvstrat=,-0.300273, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.925528, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.425000, best_B_strat=,0.262217, best_S_id=,S01, best_S_prof=,3.214722, best_S_strat=,0.348040, 
t=,7200, id=,B00, PRDE,actvstrat=,0.565384, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.296351, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.108414, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.305807, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.566764, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.356629, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.843195, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.926554, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.240377, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.744447, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.565384, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.356629, 
t=,10800, id=,B00, PRDE,actvstrat=,0.565384, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.296351, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.108414, actvprof=,1.770605, id=,B08, PRDE,actvstrat=,0.305807, actvprof=,3.562877, id=,B09, PRDE,actvstrat=,-0.566764, actvprof=,3.858163, id=,S01, PRDE,actvstrat=,-0.356629, actvprof=,1.674491, id=,S03, PRDE,actvstrat=,-0.843195, actvprof=,0.086114, id=,S05, PRDE,actvstrat=,-0.926554, actvprof=,0.030834, id=,S07, PRDE,actvstrat=,0.240377, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,-0.744447, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.858163, best_B_strat=,-0.566764, best_S_id=,S01, best_S_prof=,1.674491, best_S_strat=,-0.356629, 
t=,14400, id=,B00, PRDE,actvstrat=,0.565384, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.296351, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.108414, actvprof=,1.711968, id=,B08, PRDE,actvstrat=,0.305807, actvprof=,3.527966, id=,B09, PRDE,actvstrat=,-0.566764, actvprof=,3.671301, id=,S01, PRDE,actvstrat=,-0.356629, actvprof=,1.704329, id=,S03, PRDE,actvstrat=,-0.843195, actvprof=,0.093335, id=,S05, PRDE,actvstrat=,-0.926554, actvprof=,0.026806, id=,S07, PRDE,actvstrat=,0.240377, actvprof=,0.001250, id=,S08, PRDE,actvstrat=,-0.744447, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.671301, best_B_strat=,-0.566764, best_S_id=,S01, best_S_prof=,1.704329, best_S_strat=,-0.356629, 
t=,18000, id=,B00, PRDE,actvstrat=,0.946488, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.431344, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.113755, actvprof=,2.573996, id=,B08, PRDE,actvstrat=,-0.761327, actvprof=,2.497604, id=,B09, PRDE,actvstrat=,-0.395081, actvprof=,4.696585, id=,S01, PRDE,actvstrat=,-0.356629, actvprof=,1.144492, id=,S03, PRDE,actvstrat=,0.659246, actvprof=,1.023654, id=,S05, PRDE,actvstrat=,-0.926554, actvprof=,0.022223, id=,S07, PRDE,actvstrat=,0.761386, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.962349, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.696585, best_B_strat=,-0.395081, best_S_id=,S01, best_S_prof=,1.144492, best_S_strat=,-0.356629, 
t=,21600, id=,B00, PRDE,actvstrat=,0.946488, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.431344, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.113755, actvprof=,2.670056, id=,B08, PRDE,actvstrat=,-0.761327, actvprof=,2.616721, id=,B09, PRDE,actvstrat=,-0.395081, actvprof=,4.691070, id=,S01, PRDE,actvstrat=,-0.356629, actvprof=,1.079189, id=,S03, PRDE,actvstrat=,0.659246, actvprof=,1.031549, id=,S05, PRDE,actvstrat=,-0.926554, actvprof=,0.021528, id=,S07, PRDE,actvstrat=,0.761386, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,-0.962349, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.691070, best_B_strat=,-0.395081, best_S_id=,S01, best_S_prof=,1.079189, best_S_strat=,-0.356629, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.230956, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.153726, id=,B08, PRDE,actvstrat=,0.695657, actvprof=,5.685436, id=,B09, PRDE,actvstrat=,0.326038, actvprof=,6.710742, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.664574, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.748660, id=,S05, PRDE,actvstrat=,0.699625, actvprof=,0.068335, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.015556, id=,S08, PRDE,actvstrat=,0.093331, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.710742, best_B_strat=,0.326038, best_S_id=,S01, best_S_prof=,4.664574, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.230956, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.131695, id=,B08, PRDE,actvstrat=,0.695657, actvprof=,5.663789, id=,B09, PRDE,actvstrat=,0.326038, actvprof=,6.689769, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.729894, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.824457, id=,S05, PRDE,actvstrat=,0.699625, actvprof=,0.068473, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.008889, id=,S08, PRDE,actvstrat=,0.093331, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.689769, best_B_strat=,0.326038, best_S_id=,S01, best_S_prof=,4.729894, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.939122, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.556313, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.956777, actvprof=,0.356136, id=,B08, PRDE,actvstrat=,0.695657, actvprof=,5.780401, id=,B09, PRDE,actvstrat=,0.670972, actvprof=,7.347732, id=,S01, PRDE,actvstrat=,-0.469430, actvprof=,0.788388, id=,S03, PRDE,actvstrat=,0.822528, actvprof=,1.113133, id=,S05, PRDE,actvstrat=,-0.820673, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-0.863532, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.347732, best_B_strat=,0.670972, best_S_id=,S03, best_S_prof=,1.113133, best_S_strat=,0.822528, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.939122, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.556313, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.956777, actvprof=,0.385013, id=,B08, PRDE,actvstrat=,0.695657, actvprof=,5.755200, id=,B09, PRDE,actvstrat=,0.670972, actvprof=,7.311643, id=,S01, PRDE,actvstrat=,-0.469430, actvprof=,0.850724, id=,S03, PRDE,actvstrat=,0.822528, actvprof=,1.200736, id=,S05, PRDE,actvstrat=,-0.820673, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.003472, id=,S08, PRDE,actvstrat=,-0.863532, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.311643, best_B_strat=,0.670972, best_S_id=,S03, best_S_prof=,1.200736, best_S_strat=,0.822528, 
t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.690373, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.283179, actvprof=,3.693137, id=,B08, PRDE,actvstrat=,0.035665, actvprof=,4.905755, id=,B09, PRDE,actvstrat=,0.670972, actvprof=,7.894101, id=,S01, PRDE,actvstrat=,0.333000, actvprof=,2.547470, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.407637, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.050005, id=,S07, PRDE,actvstrat=,0.115003, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.668233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.894101, best_B_strat=,0.670972, best_S_id=,S01, best_S_prof=,2.547470, best_S_strat=,0.333000, 
t=,43200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.690373, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.283179, actvprof=,3.820463, id=,B08, PRDE,actvstrat=,0.035665, actvprof=,4.976492, id=,B09, PRDE,actvstrat=,0.670972, actvprof=,7.895662, id=,S01, PRDE,actvstrat=,0.333000, actvprof=,2.448313, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.337287, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.062503, id=,S07, PRDE,actvstrat=,0.115003, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.668233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.895662, best_B_strat=,0.670972, best_S_id=,S01, best_S_prof=,2.448313, best_S_strat=,0.333000, 
t=,46800, id=,B00, PRDE,actvstrat=,0.872809, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.690373, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.996448, actvprof=,3.870654, id=,B08, PRDE,actvstrat=,0.675297, actvprof=,5.356354, id=,B09, PRDE,actvstrat=,-0.566764, actvprof=,4.535719, id=,S01, PRDE,actvstrat=,0.086579, actvprof=,2.453294, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.134652, id=,S05, PRDE,actvstrat=,-0.498900, actvprof=,0.010557, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.005834, id=,S08, PRDE,actvstrat=,0.093331, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.356354, best_B_strat=,0.675297, best_S_id=,S01, best_S_prof=,2.453294, best_S_strat=,0.086579, 
