t=,3600, id=,B02, PRDE,actvstrat=,-0.357957, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.320327, actvprof=,0.083332, id=,B06, PRDE,actvstrat=,-0.082264, actvprof=,1.547756, id=,B07, PRDE,actvstrat=,-0.793225, actvprof=,1.694143, id=,B08, PRDE,actvstrat=,0.140337, actvprof=,4.999653, id=,S00, PRDE,actvstrat=,0.300887, actvprof=,3.328009, id=,S03, PRDE,actvstrat=,0.380165, actvprof=,0.282774, id=,S05, PRDE,actvstrat=,-0.030807, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.536834, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.186188, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.999653, best_B_strat=,0.140337, best_S_id=,S00, best_S_prof=,3.328009, best_S_strat=,0.300887, 
t=,7200, id=,B02, PRDE,actvstrat=,0.201145, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.525290, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.212857, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.532587, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.865423, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.023582, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.026154, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.973795, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.678880, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.057375, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.201145, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.023582, 
t=,10800, id=,B02, PRDE,actvstrat=,0.201145, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,-0.525290, actvprof=,0.008611, id=,B06, PRDE,actvstrat=,0.212857, actvprof=,2.235525, id=,B07, PRDE,actvstrat=,-0.532587, actvprof=,2.578020, id=,B08, PRDE,actvstrat=,-0.865423, actvprof=,2.362467, id=,S00, PRDE,actvstrat=,0.023582, actvprof=,2.416355, id=,S03, PRDE,actvstrat=,0.026154, actvprof=,0.130554, id=,S05, PRDE,actvstrat=,0.973795, actvprof=,0.025277, id=,S07, PRDE,actvstrat=,0.678880, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.057375, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.578020, best_B_strat=,-0.532587, best_S_id=,S00, best_S_prof=,2.416355, best_S_strat=,0.023582, 
t=,14400, id=,B02, PRDE,actvstrat=,0.472026, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.083051, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.212857, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.595868, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.140337, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.174098, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.089922, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.814356, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.348402, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.198636, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.472026, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.174098, 
t=,18000, id=,B02, PRDE,actvstrat=,0.472026, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.083051, actvprof=,0.016389, id=,B06, PRDE,actvstrat=,0.212857, actvprof=,1.480833, id=,B07, PRDE,actvstrat=,-0.595868, actvprof=,1.599722, id=,B08, PRDE,actvstrat=,0.140337, actvprof=,4.320833, id=,S00, PRDE,actvstrat=,0.174098, actvprof=,3.496389, id=,S03, PRDE,actvstrat=,-0.089922, actvprof=,0.129167, id=,S05, PRDE,actvstrat=,-0.814356, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.348402, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.198636, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.320833, best_B_strat=,0.140337, best_S_id=,S00, best_S_prof=,3.496389, best_S_strat=,0.174098, 
t=,21600, id=,B02, PRDE,actvstrat=,0.472026, actvprof=,0.000694, id=,B04, PRDE,actvstrat=,-0.083051, actvprof=,0.015417, id=,B06, PRDE,actvstrat=,0.212857, actvprof=,1.495417, id=,B07, PRDE,actvstrat=,-0.595868, actvprof=,1.613750, id=,B08, PRDE,actvstrat=,0.140337, actvprof=,4.320833, id=,S00, PRDE,actvstrat=,0.174098, actvprof=,3.428056, id=,S03, PRDE,actvstrat=,-0.089922, actvprof=,0.128056, id=,S05, PRDE,actvstrat=,-0.814356, actvprof=,0.001806, id=,S07, PRDE,actvstrat=,0.348402, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.198636, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.320833, best_B_strat=,0.140337, best_S_id=,S00, best_S_prof=,3.428056, best_S_strat=,0.174098, 
t=,25200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.504791, actvprof=,0.028612, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.170600, id=,B07, PRDE,actvstrat=,-0.316275, actvprof=,2.557813, id=,B08, PRDE,actvstrat=,0.861318, actvprof=,6.664815, id=,S00, PRDE,actvstrat=,0.220245, actvprof=,2.711427, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.925846, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.035834, id=,S07, PRDE,actvstrat=,-0.778350, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.664815, best_B_strat=,0.861318, best_S_id=,S00, best_S_prof=,2.711427, best_S_strat=,0.220245, 
t=,28800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000417, id=,B04, PRDE,actvstrat=,-0.504791, actvprof=,0.036111, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.203494, id=,B07, PRDE,actvstrat=,-0.316275, actvprof=,2.622657, id=,B08, PRDE,actvstrat=,0.861318, actvprof=,6.739075, id=,S00, PRDE,actvstrat=,0.220245, actvprof=,2.741547, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.909173, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.030417, id=,S07, PRDE,actvstrat=,-0.778350, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.739075, best_B_strat=,0.861318, best_S_id=,S00, best_S_prof=,2.741547, best_S_strat=,0.220245, 
t=,32400, id=,B02, PRDE,actvstrat=,0.195194, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.504791, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.239229, id=,B07, PRDE,actvstrat=,-0.532587, actvprof=,1.663102, id=,B08, PRDE,actvstrat=,0.146253, actvprof=,4.138171, id=,S00, PRDE,actvstrat=,0.152347, actvprof=,3.419817, id=,S03, PRDE,actvstrat=,0.380165, actvprof=,0.673074, id=,S05, PRDE,actvstrat=,-0.265561, actvprof=,0.004722, id=,S07, PRDE,actvstrat=,-0.778350, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.539684, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.138171, best_B_strat=,0.146253, best_S_id=,S00, best_S_prof=,3.419817, best_S_strat=,0.152347, 
t=,36000, id=,B02, PRDE,actvstrat=,0.195194, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-0.504791, actvprof=,0.004028, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.112654, id=,B07, PRDE,actvstrat=,-0.532587, actvprof=,1.508344, id=,B08, PRDE,actvstrat=,0.146253, actvprof=,4.163640, id=,S00, PRDE,actvstrat=,0.152347, actvprof=,3.509885, id=,S03, PRDE,actvstrat=,0.380165, actvprof=,0.730561, id=,S05, PRDE,actvstrat=,-0.265561, actvprof=,0.002361, id=,S07, PRDE,actvstrat=,-0.778350, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.539684, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.163640, best_B_strat=,0.146253, best_S_id=,S00, best_S_prof=,3.509885, best_S_strat=,0.152347, 
t=,39600, id=,B02, PRDE,actvstrat=,0.140085, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.101671, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.706502, id=,B07, PRDE,actvstrat=,-0.554097, actvprof=,1.933692, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.638568, id=,S00, PRDE,actvstrat=,0.484806, actvprof=,4.404072, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.767296, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.016667, id=,S07, PRDE,actvstrat=,-0.778350, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.638568, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.404072, best_S_strat=,0.484806, 
