t=,1, id=,B01, PRDE,actvstrat=,0.872600, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.325652, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.226438, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.236744, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.125949, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.112003, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.508228, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.195366, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.250033, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.684447, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.872600, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.112003, 
t=,3600, id=,B01, PRDE,actvstrat=,0.872600, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.325652, actvprof=,0.400278, id=,B05, PRDE,actvstrat=,0.226438, actvprof=,1.445278, id=,B06, PRDE,actvstrat=,-0.236744, actvprof=,2.087222, id=,B07, PRDE,actvstrat=,-0.125949, actvprof=,3.932222, id=,S05, PRDE,actvstrat=,0.112003, actvprof=,0.021111, id=,S06, PRDE,actvstrat=,-0.508228, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.195366, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,-0.250033, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.684447, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.932222, best_B_strat=,-0.125949, best_S_id=,S05, best_S_prof=,0.021111, best_S_strat=,0.112003, 
t=,7200, id=,B01, PRDE,actvstrat=,0.703297, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.419655, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.540992, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.076893, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.475762, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.710394, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.817628, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.844083, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.424020, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.611958, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.703297, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.710394, 
t=,10800, id=,B01, PRDE,actvstrat=,0.703297, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.419655, actvprof=,0.129165, id=,B05, PRDE,actvstrat=,0.540992, actvprof=,2.261080, id=,B06, PRDE,actvstrat=,-0.076893, actvprof=,2.719129, id=,B07, PRDE,actvstrat=,-0.475762, actvprof=,3.874391, id=,S05, PRDE,actvstrat=,0.710394, actvprof=,0.002500, id=,S06, PRDE,actvstrat=,0.817628, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.844083, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.424020, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.611958, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.874391, best_B_strat=,-0.475762, best_S_id=,S05, best_S_prof=,0.002500, best_S_strat=,0.710394, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.340362, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.759465, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.489349, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.095751, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.812674, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.162265, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.875442, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.052625, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.183979, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.996374, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.340362, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.162265, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.340362, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.759465, actvprof=,0.767778, id=,B05, PRDE,actvstrat=,-0.489349, actvprof=,0.724167, id=,B06, PRDE,actvstrat=,0.095751, actvprof=,2.990556, id=,B07, PRDE,actvstrat=,-0.812674, actvprof=,2.567500, id=,S05, PRDE,actvstrat=,0.162265, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.875442, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.052625, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.183979, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.996374, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.990556, best_B_strat=,0.095751, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.162265, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.340362, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.759465, actvprof=,0.806806, id=,B05, PRDE,actvstrat=,-0.489349, actvprof=,0.774167, id=,B06, PRDE,actvstrat=,0.095751, actvprof=,2.926944, id=,B07, PRDE,actvstrat=,-0.812674, actvprof=,2.644306, id=,S05, PRDE,actvstrat=,0.162265, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.875442, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.052625, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.183979, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.996374, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.926944, best_B_strat=,0.095751, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.162265, 
t=,25200, id=,B01, PRDE,actvstrat=,0.917077, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.366457, actvprof=,0.255833, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.113889, id=,B06, PRDE,actvstrat=,-0.405255, actvprof=,1.535000, id=,B07, PRDE,actvstrat=,-0.297331, actvprof=,3.395833, id=,S05, PRDE,actvstrat=,0.261624, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,0.371382, actvprof=,0.005833, id=,S07, PRDE,actvstrat=,0.296253, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.245735, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.395833, best_B_strat=,-0.297331, best_S_id=,S06, best_S_prof=,0.005833, best_S_strat=,0.371382, 
t=,28800, id=,B01, PRDE,actvstrat=,0.917077, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.366457, actvprof=,0.244585, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,2.012236, id=,B06, PRDE,actvstrat=,-0.405255, actvprof=,1.491816, id=,B07, PRDE,actvstrat=,-0.297331, actvprof=,3.223495, id=,S05, PRDE,actvstrat=,0.261624, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,0.371382, actvprof=,0.002917, id=,S07, PRDE,actvstrat=,0.296253, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.245735, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.223495, best_B_strat=,-0.297331, best_S_id=,S06, best_S_prof=,0.002917, best_S_strat=,0.371382, 
t=,32400, id=,B01, PRDE,actvstrat=,0.703297, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.119775, actvprof=,0.475847, id=,B05, PRDE,actvstrat=,-0.925001, actvprof=,0.236395, id=,B06, PRDE,actvstrat=,-0.745144, actvprof=,2.404233, id=,B07, PRDE,actvstrat=,-0.475762, actvprof=,4.713464, id=,S05, PRDE,actvstrat=,0.311664, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.817628, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.594153, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.569409, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.258729, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.713464, best_B_strat=,-0.475762, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.311664, 
t=,36000, id=,B01, PRDE,actvstrat=,0.703297, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.119775, actvprof=,0.502229, id=,B05, PRDE,actvstrat=,-0.925001, actvprof=,0.244309, id=,B06, PRDE,actvstrat=,-0.745144, actvprof=,2.362116, id=,B07, PRDE,actvstrat=,-0.475762, actvprof=,4.649092, id=,S05, PRDE,actvstrat=,0.311664, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.817628, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.594153, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.569409, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.258729, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.649092, best_B_strat=,-0.475762, best_S_id=,S05, best_S_prof=,0.000000, best_S_strat=,0.311664, 
