t=,0, id=,B01, PRDE,actvstrat=,-0.572735, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.475239, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.787579, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.879295, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.365092, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.791498, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.800994, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.053084, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.744069, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.801895, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.572735, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.791498, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.572735, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.475239, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.787579, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.879295, actvprof=,0.023056, id=,B07, PRDE,actvstrat=,0.365092, actvprof=,1.685000, id=,S00, PRDE,actvstrat=,-0.791498, actvprof=,1.099444, id=,S01, PRDE,actvstrat=,-0.800994, actvprof=,0.566667, id=,S03, PRDE,actvstrat=,0.053084, actvprof=,1.002778, id=,S05, PRDE,actvstrat=,0.744069, actvprof=,0.085833, id=,S07, PRDE,actvstrat=,0.801895, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.685000, best_B_strat=,0.365092, best_S_id=,S00, best_S_prof=,1.099444, best_S_strat=,-0.791498, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.015097, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.090175, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.144012, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.722058, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.579346, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.127082, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.364750, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.905396, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.722191, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.464392, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.015097, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.127082, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.015097, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.090175, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.144012, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.722058, actvprof=,0.006111, id=,B07, PRDE,actvstrat=,0.579346, actvprof=,1.676088, id=,S00, PRDE,actvstrat=,-0.127082, actvprof=,2.574964, id=,S01, PRDE,actvstrat=,-0.364750, actvprof=,1.129984, id=,S03, PRDE,actvstrat=,-0.905396, actvprof=,0.004167, id=,S05, PRDE,actvstrat=,-0.722191, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.464392, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.676088, best_B_strat=,0.579346, best_S_id=,S00, best_S_prof=,2.574964, best_S_strat=,-0.127082, 
t=,14400, id=,B01, PRDE,actvstrat=,0.670258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.090175, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.423959, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.251098, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.572994, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.291015, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.983610, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.803522, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.701568, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.464392, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.670258, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.291015, 
t=,18000, id=,B01, PRDE,actvstrat=,0.670258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.090175, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,0.423959, actvprof=,0.008611, id=,B05, PRDE,actvstrat=,0.251098, actvprof=,0.250833, id=,B07, PRDE,actvstrat=,0.572994, actvprof=,2.969167, id=,S00, PRDE,actvstrat=,-0.291015, actvprof=,1.309722, id=,S01, PRDE,actvstrat=,0.983610, actvprof=,5.576667, id=,S03, PRDE,actvstrat=,0.803522, actvprof=,1.631667, id=,S05, PRDE,actvstrat=,0.701568, actvprof=,0.017778, id=,S07, PRDE,actvstrat=,0.464392, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.969167, best_B_strat=,0.572994, best_S_id=,S01, best_S_prof=,5.576667, best_S_strat=,0.983610, 
t=,21600, id=,B01, PRDE,actvstrat=,0.670258, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.090175, actvprof=,0.000833, id=,B03, PRDE,actvstrat=,0.423959, actvprof=,0.013472, id=,B05, PRDE,actvstrat=,0.251098, actvprof=,0.252778, id=,B07, PRDE,actvstrat=,0.572994, actvprof=,3.058750, id=,S00, PRDE,actvstrat=,-0.291015, actvprof=,1.395278, id=,S01, PRDE,actvstrat=,0.983610, actvprof=,5.540556, id=,S03, PRDE,actvstrat=,0.803522, actvprof=,1.540556, id=,S05, PRDE,actvstrat=,0.701568, actvprof=,0.012917, id=,S07, PRDE,actvstrat=,0.464392, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.058750, best_B_strat=,0.572994, best_S_id=,S01, best_S_prof=,5.540556, best_S_strat=,0.983610, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.800642, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.130484, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,-0.568852, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,-0.105504, actvprof=,0.796711, id=,B07, PRDE,actvstrat=,-0.875156, actvprof=,1.659259, id=,S00, PRDE,actvstrat=,0.565730, actvprof=,3.356298, id=,S01, PRDE,actvstrat=,0.139015, actvprof=,1.205623, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.627813, id=,S05, PRDE,actvstrat=,-0.587936, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.292178, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.659259, best_B_strat=,-0.875156, best_S_id=,S00, best_S_prof=,3.356298, best_S_strat=,0.565730, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.800642, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.130484, actvprof=,0.001528, id=,B03, PRDE,actvstrat=,-0.568852, actvprof=,0.003472, id=,B05, PRDE,actvstrat=,-0.105504, actvprof=,0.770855, id=,B07, PRDE,actvstrat=,-0.875156, actvprof=,1.611434, id=,S00, PRDE,actvstrat=,0.565730, actvprof=,3.320926, id=,S01, PRDE,actvstrat=,0.139015, actvprof=,1.274758, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,0.613489, id=,S05, PRDE,actvstrat=,-0.587936, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.292178, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.611434, best_B_strat=,-0.875156, best_S_id=,S00, best_S_prof=,3.320926, best_S_strat=,0.565730, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.800642, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.598357, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.071631, actvprof=,0.008890, id=,B05, PRDE,actvstrat=,-0.169938, actvprof=,0.347802, id=,B07, PRDE,actvstrat=,-0.875156, actvprof=,1.138412, id=,S00, PRDE,actvstrat=,0.962579, actvprof=,5.933190, id=,S01, PRDE,actvstrat=,-0.023506, actvprof=,1.234252, id=,S03, PRDE,actvstrat=,0.053084, actvprof=,0.139176, id=,S05, PRDE,actvstrat=,0.890004, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,0.338922, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.138412, best_B_strat=,-0.875156, best_S_id=,S00, best_S_prof=,5.933190, best_S_strat=,0.962579, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.800642, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.598357, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.071631, actvprof=,0.006945, id=,B05, PRDE,actvstrat=,-0.169938, actvprof=,0.331123, id=,B07, PRDE,actvstrat=,-0.875156, actvprof=,1.033369, id=,S00, PRDE,actvstrat=,0.962579, actvprof=,6.024654, id=,S01, PRDE,actvstrat=,-0.023506, actvprof=,1.145456, id=,S03, PRDE,actvstrat=,0.053084, actvprof=,0.145838, id=,S05, PRDE,actvstrat=,0.890004, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.338922, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.033369, best_B_strat=,-0.875156, best_S_id=,S00, best_S_prof=,6.024654, best_S_strat=,0.962579, 
