t=,0, id=,B02, PRDE,actvstrat=,-0.104958, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.098905, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.525642, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.830644, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.281355, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.039741, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.668294, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.692819, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.847354, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.863813, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.104958, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.039741, 
t=,3600, id=,B02, PRDE,actvstrat=,-0.104958, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.098905, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.525642, actvprof=,0.151665, id=,B06, PRDE,actvstrat=,0.830644, actvprof=,2.396633, id=,B09, PRDE,actvstrat=,-0.281355, actvprof=,5.081874, id=,S00, PRDE,actvstrat=,-0.039741, actvprof=,4.809933, id=,S02, PRDE,actvstrat=,-0.668294, actvprof=,1.016930, id=,S05, PRDE,actvstrat=,-0.692819, actvprof=,0.016111, id=,S06, PRDE,actvstrat=,0.847354, actvprof=,0.017222, id=,S07, PRDE,actvstrat=,0.863813, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.081874, best_B_strat=,-0.281355, best_S_id=,S00, best_S_prof=,4.809933, best_S_strat=,-0.039741, 
t=,7200, id=,B02, PRDE,actvstrat=,0.422284, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.717265, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.065776, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.803216, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.281731, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.320246, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.385157, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.228025, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.185188, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.770924, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.422284, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.320246, 
t=,10800, id=,B02, PRDE,actvstrat=,0.422284, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.717265, actvprof=,0.008889, id=,B05, PRDE,actvstrat=,0.065776, actvprof=,0.182775, id=,B06, PRDE,actvstrat=,0.803216, actvprof=,1.904974, id=,B09, PRDE,actvstrat=,0.281731, actvprof=,5.566589, id=,S00, PRDE,actvstrat=,-0.320246, actvprof=,4.484104, id=,S02, PRDE,actvstrat=,-0.385157, actvprof=,1.323871, id=,S05, PRDE,actvstrat=,0.228025, actvprof=,0.102776, id=,S06, PRDE,actvstrat=,0.185188, actvprof=,0.023889, id=,S07, PRDE,actvstrat=,0.770924, actvprof=,0.018333, best_B_id=,B09, best_B_prof=,5.566589, best_B_strat=,0.281731, best_S_id=,S00, best_S_prof=,4.484104, best_S_strat=,-0.320246, 
t=,14400, id=,B02, PRDE,actvstrat=,-0.773898, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.062323, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.477121, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.492436, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.662123, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.791092, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.907977, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.228025, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.973159, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.773898, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.791092, 
t=,18000, id=,B02, PRDE,actvstrat=,-0.773898, actvprof=,0.008056, id=,B03, PRDE,actvstrat=,0.062323, actvprof=,0.078889, id=,B05, PRDE,actvstrat=,0.477121, actvprof=,1.341111, id=,B06, PRDE,actvstrat=,-0.492436, actvprof=,1.377222, id=,B09, PRDE,actvstrat=,0.662123, actvprof=,7.910000, id=,S00, PRDE,actvstrat=,0.791092, actvprof=,5.095278, id=,S02, PRDE,actvstrat=,0.907977, actvprof=,2.413611, id=,S05, PRDE,actvstrat=,0.228025, actvprof=,0.048333, id=,S06, PRDE,actvstrat=,-0.973159, actvprof=,0.043056, id=,S07, PRDE,actvstrat=,-0.350697, actvprof=,0.002222, best_B_id=,B09, best_B_prof=,7.910000, best_B_strat=,0.662123, best_S_id=,S00, best_S_prof=,5.095278, best_S_strat=,0.791092, 
t=,21600, id=,B02, PRDE,actvstrat=,0.417978, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.728349, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.254449, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.467773, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.098431, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.375858, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.071026, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.185188, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.003378, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.417978, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.098431, 
t=,25200, id=,B02, PRDE,actvstrat=,0.417978, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.728349, actvprof=,0.011111, id=,B05, PRDE,actvstrat=,0.254449, actvprof=,0.374733, id=,B06, PRDE,actvstrat=,0.467773, actvprof=,1.714770, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,4.790689, id=,S00, PRDE,actvstrat=,-0.098431, actvprof=,4.330954, id=,S02, PRDE,actvstrat=,-0.375858, actvprof=,1.186700, id=,S05, PRDE,actvstrat=,-0.071026, actvprof=,0.026390, id=,S06, PRDE,actvstrat=,0.185188, actvprof=,0.009722, id=,S07, PRDE,actvstrat=,-0.003378, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.790689, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,4.330954, best_S_strat=,-0.098431, 
t=,28800, id=,B02, PRDE,actvstrat=,0.417978, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.728349, actvprof=,0.009028, id=,B05, PRDE,actvstrat=,0.254449, actvprof=,0.349449, id=,B06, PRDE,actvstrat=,0.467773, actvprof=,1.642106, id=,B09, PRDE,actvstrat=,-0.247459, actvprof=,4.775066, id=,S00, PRDE,actvstrat=,-0.098431, actvprof=,4.500618, id=,S02, PRDE,actvstrat=,-0.375858, actvprof=,1.226128, id=,S05, PRDE,actvstrat=,-0.071026, actvprof=,0.032917, id=,S06, PRDE,actvstrat=,0.185188, actvprof=,0.010000, id=,S07, PRDE,actvstrat=,-0.003378, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.775066, best_B_strat=,-0.247459, best_S_id=,S00, best_S_prof=,4.500618, best_S_strat=,-0.098431, 
t=,32400, id=,B02, PRDE,actvstrat=,-0.773898, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.728349, actvprof=,0.003611, id=,B05, PRDE,actvstrat=,0.254449, actvprof=,0.476687, id=,B06, PRDE,actvstrat=,0.274538, actvprof=,1.560621, id=,B09, PRDE,actvstrat=,-0.463895, actvprof=,4.716030, id=,S00, PRDE,actvstrat=,0.409523, actvprof=,5.520508, id=,S02, PRDE,actvstrat=,-0.385157, actvprof=,0.975041, id=,S05, PRDE,actvstrat=,-0.249180, actvprof=,0.017779, id=,S06, PRDE,actvstrat=,-0.458963, actvprof=,0.003056, id=,S07, PRDE,actvstrat=,0.586739, actvprof=,0.005278, best_B_id=,B09, best_B_prof=,4.716030, best_B_strat=,-0.463895, best_S_id=,S00, best_S_prof=,5.520508, best_S_strat=,0.409523, 
t=,36000, id=,B02, PRDE,actvstrat=,-0.773898, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.728349, actvprof=,0.015834, id=,B05, PRDE,actvstrat=,0.254449, actvprof=,0.493205, id=,B06, PRDE,actvstrat=,0.274538, actvprof=,1.586144, id=,B09, PRDE,actvstrat=,-0.463895, actvprof=,4.716348, id=,S00, PRDE,actvstrat=,0.409523, actvprof=,5.499698, id=,S02, PRDE,actvstrat=,-0.385157, actvprof=,0.977381, id=,S05, PRDE,actvstrat=,-0.249180, actvprof=,0.014723, id=,S06, PRDE,actvstrat=,-0.458963, actvprof=,0.003889, id=,S07, PRDE,actvstrat=,0.586739, actvprof=,0.003195, best_B_id=,B09, best_B_prof=,4.716348, best_B_strat=,-0.463895, best_S_id=,S00, best_S_prof=,5.499698, best_S_strat=,0.409523, 
