t=,3600, id=,B00, PRDE,actvstrat=,-0.591553, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.297862, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.831159, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.151544, actvprof=,1.616944, id=,B07, PRDE,actvstrat=,-0.307948, actvprof=,1.958611, id=,S01, PRDE,actvstrat=,0.691573, actvprof=,4.000278, id=,S02, PRDE,actvstrat=,0.385680, actvprof=,1.679167, id=,S04, PRDE,actvstrat=,0.920786, actvprof=,0.390000, id=,S05, PRDE,actvstrat=,-0.321998, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,0.593566, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.958611, best_B_strat=,-0.307948, best_S_id=,S01, best_S_prof=,4.000278, best_S_strat=,0.691573, 
t=,7200, id=,B00, PRDE,actvstrat=,0.120662, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.045035, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.846664, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.906505, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.890542, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.896745, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.675690, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.171734, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.735061, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.787187, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.120662, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.896745, 
t=,10800, id=,B00, PRDE,actvstrat=,0.120662, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.045035, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.846664, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.906505, actvprof=,0.044722, id=,B07, PRDE,actvstrat=,0.890542, actvprof=,3.248288, id=,S01, PRDE,actvstrat=,-0.896745, actvprof=,0.223886, id=,S02, PRDE,actvstrat=,0.675690, actvprof=,3.449952, id=,S04, PRDE,actvstrat=,-0.171734, actvprof=,0.059721, id=,S05, PRDE,actvstrat=,0.735061, actvprof=,0.041388, id=,S08, PRDE,actvstrat=,0.787187, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.248288, best_B_strat=,0.890542, best_S_id=,S02, best_S_prof=,3.449952, best_S_strat=,0.675690, 
t=,14400, id=,B00, PRDE,actvstrat=,0.299050, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.045035, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.674720, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.069766, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.975437, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.339810, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.271828, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.264241, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.532554, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.933856, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.299050, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.339810, 
t=,18000, id=,B00, PRDE,actvstrat=,0.299050, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.045035, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.674720, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.069766, actvprof=,0.335000, id=,B07, PRDE,actvstrat=,0.975437, actvprof=,2.904167, id=,S01, PRDE,actvstrat=,-0.339810, actvprof=,1.658611, id=,S02, PRDE,actvstrat=,0.271828, actvprof=,2.434167, id=,S04, PRDE,actvstrat=,0.264241, actvprof=,0.310278, id=,S05, PRDE,actvstrat=,-0.532554, actvprof=,0.008889, id=,S08, PRDE,actvstrat=,0.933856, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.904167, best_B_strat=,0.975437, best_S_id=,S02, best_S_prof=,2.434167, best_S_strat=,0.271828, 
t=,21600, id=,B00, PRDE,actvstrat=,0.299050, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.045035, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.674720, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.069766, actvprof=,0.373056, id=,B07, PRDE,actvstrat=,0.975437, actvprof=,2.929028, id=,S01, PRDE,actvstrat=,-0.339810, actvprof=,1.662222, id=,S02, PRDE,actvstrat=,0.271828, actvprof=,2.420139, id=,S04, PRDE,actvstrat=,0.264241, actvprof=,0.302917, id=,S05, PRDE,actvstrat=,-0.532554, actvprof=,0.004444, id=,S08, PRDE,actvstrat=,0.933856, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.929028, best_B_strat=,0.975437, best_S_id=,S02, best_S_prof=,2.420139, best_S_strat=,0.271828, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.317068, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.551436, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.835012, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.466423, id=,S01, PRDE,actvstrat=,-0.307055, actvprof=,2.057529, id=,S02, PRDE,actvstrat=,0.494412, actvprof=,3.429492, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.846137, id=,S05, PRDE,actvstrat=,-0.032546, actvprof=,0.035556, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.466423, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.429492, best_S_strat=,0.494412, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.317068, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.551436, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,0.874173, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.508073, id=,S01, PRDE,actvstrat=,-0.307055, actvprof=,2.095848, id=,S02, PRDE,actvstrat=,0.494412, actvprof=,3.433357, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,1.799457, id=,S05, PRDE,actvstrat=,-0.032546, actvprof=,0.033334, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.508073, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,3.433357, best_S_strat=,0.494412, 
t=,32400, id=,B00, PRDE,actvstrat=,0.120662, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.048283, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.898291, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.710365, actvprof=,1.049751, id=,B07, PRDE,actvstrat=,-0.458173, actvprof=,0.817523, id=,S01, PRDE,actvstrat=,-0.529587, actvprof=,1.766438, id=,S02, PRDE,actvstrat=,-0.583842, actvprof=,0.731687, id=,S04, PRDE,actvstrat=,0.775555, actvprof=,0.876969, id=,S05, PRDE,actvstrat=,0.244878, actvprof=,0.014445, id=,S08, PRDE,actvstrat=,0.665873, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.049751, best_B_strat=,0.710365, best_S_id=,S01, best_S_prof=,1.766438, best_S_strat=,-0.529587, 
t=,36000, id=,B00, PRDE,actvstrat=,0.120662, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.048283, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.898291, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.710365, actvprof=,1.120849, id=,B07, PRDE,actvstrat=,-0.458173, actvprof=,0.839595, id=,S01, PRDE,actvstrat=,-0.529587, actvprof=,1.735163, id=,S02, PRDE,actvstrat=,-0.583842, actvprof=,0.789317, id=,S04, PRDE,actvstrat=,0.775555, actvprof=,0.848623, id=,S05, PRDE,actvstrat=,0.244878, actvprof=,0.015972, id=,S08, PRDE,actvstrat=,0.665873, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.120849, best_B_strat=,0.710365, best_S_id=,S01, best_S_prof=,1.735163, best_S_strat=,-0.529587, 
t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.415647, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.206254, actvprof=,1.318388, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,3.708210, id=,S01, PRDE,actvstrat=,-0.597785, actvprof=,1.274498, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.415420, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.815312, id=,S05, PRDE,actvstrat=,-0.497298, actvprof=,0.005000, id=,S08, PRDE,actvstrat=,-0.461593, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.708210, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.415420, best_S_strat=,-1.000000, 
