t=,3600, id=,B00, PRDE,actvstrat=,0.046614, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.684589, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.054659, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.624175, actvprof=,0.006389, id=,B08, PRDE,actvstrat=,0.283649, actvprof=,4.669167, id=,S03, PRDE,actvstrat=,-0.196964, actvprof=,0.356667, id=,S04, PRDE,actvstrat=,-0.130595, actvprof=,0.085833, id=,S06, PRDE,actvstrat=,-0.366814, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.923339, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,0.525771, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.669167, best_B_strat=,0.283649, best_S_id=,S03, best_S_prof=,0.356667, best_S_strat=,-0.196964, 
t=,7200, id=,B00, PRDE,actvstrat=,0.211708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.321086, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.325569, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.202025, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.008189, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.478143, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.898880, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.521751, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.844174, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.795629, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.211708, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,0.478143, 
t=,10800, id=,B00, PRDE,actvstrat=,0.211708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.321086, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.325569, actvprof=,0.002500, id=,B04, PRDE,actvstrat=,0.202025, actvprof=,0.107221, id=,B08, PRDE,actvstrat=,0.008189, actvprof=,5.352981, id=,S03, PRDE,actvstrat=,0.478143, actvprof=,0.369439, id=,S04, PRDE,actvstrat=,0.898880, actvprof=,0.060555, id=,S06, PRDE,actvstrat=,-0.521751, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.844174, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.795629, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.352981, best_B_strat=,0.008189, best_S_id=,S03, best_S_prof=,0.369439, best_S_strat=,0.478143, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.774254, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.972984, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.322123, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.029698, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.456424, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.020725, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.521251, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.231203, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.300633, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.795913, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.774254, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.020725, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.774254, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.972984, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.322123, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.029698, actvprof=,0.010000, id=,B08, PRDE,actvstrat=,0.456424, actvprof=,5.333611, id=,S03, PRDE,actvstrat=,-0.020725, actvprof=,0.382778, id=,S04, PRDE,actvstrat=,0.521251, actvprof=,0.131389, id=,S06, PRDE,actvstrat=,-0.231203, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.300633, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,-0.795913, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.333611, best_B_strat=,0.456424, best_S_id=,S03, best_S_prof=,0.382778, best_S_strat=,-0.020725, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.040167, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.867746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.514371, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.740809, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.715488, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.133391, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.609530, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.492404, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.890886, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.040167, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.715488, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.040167, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.867746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.514371, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B08, PRDE,actvstrat=,-0.740809, actvprof=,2.885596, id=,S03, PRDE,actvstrat=,-0.715488, actvprof=,0.114168, id=,S04, PRDE,actvstrat=,-0.133391, actvprof=,0.016389, id=,S06, PRDE,actvstrat=,0.609530, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.492404, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.890886, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.885596, best_B_strat=,-0.740809, best_S_id=,S03, best_S_prof=,0.114168, best_S_strat=,-0.715488, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.040167, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.867746, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.514371, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000139, id=,B08, PRDE,actvstrat=,-0.740809, actvprof=,2.653630, id=,S03, PRDE,actvstrat=,-0.715488, actvprof=,0.132501, id=,S04, PRDE,actvstrat=,-0.133391, actvprof=,0.033750, id=,S06, PRDE,actvstrat=,0.609530, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.492404, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.890886, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.653630, best_B_strat=,-0.740809, best_S_id=,S03, best_S_prof=,0.132501, best_S_strat=,-0.715488, 
t=,32400, id=,B00, PRDE,actvstrat=,0.211708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.099210, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.339221, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.129702, actvprof=,0.006667, id=,B08, PRDE,actvstrat=,0.784605, actvprof=,5.474395, id=,S03, PRDE,actvstrat=,-0.920692, actvprof=,0.047224, id=,S04, PRDE,actvstrat=,-0.683562, actvprof=,0.030835, id=,S06, PRDE,actvstrat=,0.369809, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.300633, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.471635, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.474395, best_B_strat=,0.784605, best_S_id=,S03, best_S_prof=,0.047224, best_S_strat=,-0.920692, 
t=,36000, id=,B00, PRDE,actvstrat=,0.211708, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.099210, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.339221, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.129702, actvprof=,0.004445, id=,B08, PRDE,actvstrat=,0.784605, actvprof=,5.377195, id=,S03, PRDE,actvstrat=,-0.920692, actvprof=,0.035695, id=,S04, PRDE,actvstrat=,-0.683562, actvprof=,0.030973, id=,S06, PRDE,actvstrat=,0.369809, actvprof=,0.000139, id=,S07, PRDE,actvstrat=,0.300633, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.471635, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.377195, best_B_strat=,0.784605, best_S_id=,S03, best_S_prof=,0.035695, best_S_strat=,-0.920692, 
t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.332170, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.409156, actvprof=,0.036113, id=,B08, PRDE,actvstrat=,0.113676, actvprof=,4.830268, id=,S03, PRDE,actvstrat=,-0.102273, actvprof=,0.124174, id=,S04, PRDE,actvstrat=,0.330785, actvprof=,0.042780, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.378598, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.979310, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.830268, best_B_strat=,0.113676, best_S_id=,S03, best_S_prof=,0.124174, best_S_strat=,-0.102273, 
