t=,0, id=,B01, PRDE,actvstrat=,0.752837, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.044322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.948151, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.399289, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.887239, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.116665, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.648140, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.624756, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.702358, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.710176, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.752837, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.116665, 
t=,3600, id=,B01, PRDE,actvstrat=,0.752837, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.044322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.948151, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.399289, actvprof=,0.632778, id=,B09, PRDE,actvstrat=,-0.887239, actvprof=,3.159444, id=,S02, PRDE,actvstrat=,-0.116665, actvprof=,0.740556, id=,S04, PRDE,actvstrat=,0.648140, actvprof=,0.130278, id=,S05, PRDE,actvstrat=,-0.624756, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.702358, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.710176, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.159444, best_B_strat=,-0.887239, best_S_id=,S02, best_S_prof=,0.740556, best_S_strat=,-0.116665, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.941896, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.386441, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.776470, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.325951, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.940488, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.844383, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.223518, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.258866, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.077962, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.025094, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.941896, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.844383, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.941896, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.386441, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.776470, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,0.325951, actvprof=,0.595270, id=,B09, PRDE,actvstrat=,0.940488, actvprof=,7.658227, id=,S02, PRDE,actvstrat=,0.844383, actvprof=,2.727462, id=,S04, PRDE,actvstrat=,0.223518, actvprof=,0.046944, id=,S05, PRDE,actvstrat=,0.258866, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,0.077962, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.025094, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.658227, best_B_strat=,0.940488, best_S_id=,S02, best_S_prof=,2.727462, best_S_strat=,0.844383, 
t=,14400, id=,B01, PRDE,actvstrat=,0.918864, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.403150, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.501942, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.689889, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.635670, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.057695, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.401846, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.810827, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.226780, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.151030, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.918864, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.057695, 
t=,18000, id=,B01, PRDE,actvstrat=,0.918864, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.403150, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.501942, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.689889, actvprof=,0.299167, id=,B09, PRDE,actvstrat=,0.635670, actvprof=,6.530000, id=,S02, PRDE,actvstrat=,0.057695, actvprof=,1.495000, id=,S04, PRDE,actvstrat=,-0.401846, actvprof=,0.013611, id=,S05, PRDE,actvstrat=,0.810827, actvprof=,0.035556, id=,S08, PRDE,actvstrat=,0.226780, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.151030, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.530000, best_B_strat=,0.635670, best_S_id=,S02, best_S_prof=,1.495000, best_S_strat=,0.057695, 
t=,21600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.919099, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.594025, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.850521, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.110823, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.922406, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,1.000000, 
t=,25200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.919099, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.594025, actvprof=,0.036112, id=,B05, PRDE,actvstrat=,-0.850521, actvprof=,0.541952, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,9.859581, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,1.306129, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.092224, id=,S05, PRDE,actvstrat=,0.110823, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.922406, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.859581, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.306129, best_S_strat=,1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.919099, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.594025, actvprof=,0.031250, id=,B05, PRDE,actvstrat=,-0.850521, actvprof=,0.609449, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,9.946041, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,1.225564, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.074723, id=,S05, PRDE,actvstrat=,0.110823, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.922406, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,9.946041, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,1.225564, best_S_strat=,1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,0.098551, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.999322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.310596, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.863013, actvprof=,0.123892, id=,B09, PRDE,actvstrat=,-0.048717, actvprof=,4.944582, id=,S02, PRDE,actvstrat=,-0.864021, actvprof=,0.077780, id=,S04, PRDE,actvstrat=,-0.970113, actvprof=,0.033612, id=,S05, PRDE,actvstrat=,0.810827, actvprof=,0.030001, id=,S08, PRDE,actvstrat=,-0.496057, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.608162, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.944582, best_B_strat=,-0.048717, best_S_id=,S02, best_S_prof=,0.077780, best_S_strat=,-0.864021, 
t=,36000, id=,B01, PRDE,actvstrat=,0.098551, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.999322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.310596, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.863013, actvprof=,0.120696, id=,B09, PRDE,actvstrat=,-0.048717, actvprof=,4.845067, id=,S02, PRDE,actvstrat=,-0.864021, actvprof=,0.095974, id=,S04, PRDE,actvstrat=,-0.970113, actvprof=,0.034306, id=,S05, PRDE,actvstrat=,0.810827, actvprof=,0.023750, id=,S08, PRDE,actvstrat=,-0.496057, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.608162, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.845067, best_B_strat=,-0.048717, best_S_id=,S02, best_S_prof=,0.095974, best_S_strat=,-0.864021, 
