t=,1, id=,B01, PRDE,actvstrat=,0.037230, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.869018, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.971466, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.151616, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.070535, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.727302, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.124621, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.837149, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.122155, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.012491, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.037230, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.727302, 
t=,3600, id=,B01, PRDE,actvstrat=,0.037230, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.869018, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.971466, actvprof=,2.478889, id=,B07, PRDE,actvstrat=,0.151616, actvprof=,2.806111, id=,B09, PRDE,actvstrat=,0.070535, actvprof=,5.973611, id=,S02, PRDE,actvstrat=,-0.727302, actvprof=,0.309722, id=,S06, PRDE,actvstrat=,0.124621, actvprof=,0.005833, id=,S07, PRDE,actvstrat=,0.837149, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.122155, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.012491, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.973611, best_B_strat=,0.070535, best_S_id=,S02, best_S_prof=,0.309722, best_S_strat=,-0.727302, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.619643, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.423411, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.629176, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.006589, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.868140, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.710776, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.689507, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.823152, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.534407, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.933026, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.619643, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.710776, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.619643, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.423411, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.629176, actvprof=,1.068041, id=,B07, PRDE,actvstrat=,0.006589, actvprof=,3.496340, id=,B09, PRDE,actvstrat=,-0.868140, actvprof=,4.421050, id=,S02, PRDE,actvstrat=,-0.710776, actvprof=,0.221386, id=,S06, PRDE,actvstrat=,-0.689507, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.823152, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.534407, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.933026, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.421050, best_B_strat=,-0.868140, best_S_id=,S02, best_S_prof=,0.221386, best_S_strat=,-0.710776, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.550697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.406691, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.627462, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.321276, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.015826, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.127933, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.460874, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.287887, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.558060, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.112458, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.550697, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.127933, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.550697, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.406691, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.627462, actvprof=,1.174444, id=,B07, PRDE,actvstrat=,0.321276, actvprof=,4.243056, id=,B09, PRDE,actvstrat=,0.015826, actvprof=,6.772222, id=,S02, PRDE,actvstrat=,0.127933, actvprof=,0.791111, id=,S06, PRDE,actvstrat=,0.460874, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.287887, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.558060, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.112458, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.772222, best_B_strat=,0.015826, best_S_id=,S02, best_S_prof=,0.791111, best_S_strat=,0.127933, 
t=,21600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.427115, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.958267, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-1.000000, 
t=,25200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.427115, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.827261, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.485618, id=,B09, PRDE,actvstrat=,0.958267, actvprof=,7.962888, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.281157, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.962888, best_B_strat=,0.958267, best_S_id=,S02, best_S_prof=,3.281157, best_S_strat=,-1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.427115, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.853651, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.481312, id=,B09, PRDE,actvstrat=,0.958267, actvprof=,7.898999, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.275323, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.004722, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.898999, best_B_strat=,0.958267, best_S_id=,S02, best_S_prof=,3.275323, best_S_strat=,-1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,0.690875, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.987503, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.812205, actvprof=,3.048460, id=,B07, PRDE,actvstrat=,-0.497644, actvprof=,2.390655, id=,B09, PRDE,actvstrat=,0.148777, actvprof=,6.926955, id=,S02, PRDE,actvstrat=,0.531325, actvprof=,1.658958, id=,S06, PRDE,actvstrat=,-0.576843, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.823152, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.112304, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785849, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.926955, best_B_strat=,0.148777, best_S_id=,S02, best_S_prof=,1.658958, best_S_strat=,0.531325, 
t=,36000, id=,B01, PRDE,actvstrat=,0.690875, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.987503, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.812205, actvprof=,2.950895, id=,B07, PRDE,actvstrat=,-0.497644, actvprof=,2.320187, id=,B09, PRDE,actvstrat=,0.148777, actvprof=,6.810559, id=,S02, PRDE,actvstrat=,0.531325, actvprof=,1.690035, id=,S06, PRDE,actvstrat=,-0.576843, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.823152, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.112304, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.785849, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.810559, best_B_strat=,0.148777, best_S_id=,S02, best_S_prof=,1.690035, best_S_strat=,0.531325, 
