t=,1, id=,B01, PRDE,actvstrat=,-0.072489, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.884400, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.949520, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.202508, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.025263, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.552221, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.400964, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.944727, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.067921, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.321163, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.072489, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.552221, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.072489, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.884400, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.949520, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.202508, actvprof=,0.090000, id=,B07, PRDE,actvstrat=,0.025263, actvprof=,3.051389, id=,S01, PRDE,actvstrat=,-0.552221, actvprof=,0.844167, id=,S05, PRDE,actvstrat=,0.400964, actvprof=,0.026111, id=,S06, PRDE,actvstrat=,-0.944727, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.067921, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.321163, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.051389, best_B_strat=,0.025263, best_S_id=,S01, best_S_prof=,0.844167, best_S_strat=,-0.552221, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.491671, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.870247, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.828173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.166610, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.109001, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.664232, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.902330, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.527630, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.269840, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.203934, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.491671, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.664232, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.491671, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.870247, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.828173, actvprof=,0.005833, id=,B04, PRDE,actvstrat=,0.166610, actvprof=,0.180275, id=,B07, PRDE,actvstrat=,-0.109001, actvprof=,3.148290, id=,S01, PRDE,actvstrat=,0.664232, actvprof=,3.118290, id=,S05, PRDE,actvstrat=,-0.902330, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.527630, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.269840, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.203934, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.148290, best_B_strat=,-0.109001, best_S_id=,S01, best_S_prof=,3.118290, best_S_strat=,0.664232, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.554160, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.797447, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.828173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.593937, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.265041, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.570759, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.883299, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.527630, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.269840, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.203934, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.554160, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.570759, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.554160, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.797447, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.828173, actvprof=,0.012222, id=,B04, PRDE,actvstrat=,-0.593937, actvprof=,0.133056, id=,B07, PRDE,actvstrat=,0.265041, actvprof=,4.750556, id=,S01, PRDE,actvstrat=,0.570759, actvprof=,2.151111, id=,S05, PRDE,actvstrat=,0.883299, actvprof=,0.002500, id=,S06, PRDE,actvstrat=,-0.527630, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.269840, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.203934, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.750556, best_B_strat=,0.265041, best_S_id=,S01, best_S_prof=,2.151111, best_S_strat=,0.570759, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.554160, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.797447, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.828173, actvprof=,0.012361, id=,B04, PRDE,actvstrat=,-0.593937, actvprof=,0.112500, id=,B07, PRDE,actvstrat=,0.265041, actvprof=,4.765972, id=,S01, PRDE,actvstrat=,0.570759, actvprof=,2.240833, id=,S05, PRDE,actvstrat=,0.883299, actvprof=,0.010694, id=,S06, PRDE,actvstrat=,-0.527630, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.269840, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.203934, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.765972, best_B_strat=,0.265041, best_S_id=,S01, best_S_prof=,2.240833, best_S_strat=,0.570759, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.187023, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.269816, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.016945, id=,B07, PRDE,actvstrat=,0.879286, actvprof=,3.886998, id=,S01, PRDE,actvstrat=,0.023211, actvprof=,2.590036, id=,S05, PRDE,actvstrat=,-0.943157, actvprof=,0.004167, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.014722, id=,S07, PRDE,actvstrat=,-0.466436, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.886998, best_B_strat=,0.879286, best_S_id=,S01, best_S_prof=,2.590036, best_S_strat=,0.023211, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.187023, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.269816, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.010278, id=,B07, PRDE,actvstrat=,0.879286, actvprof=,3.937805, id=,S01, PRDE,actvstrat=,0.023211, actvprof=,2.472517, id=,S05, PRDE,actvstrat=,-0.943157, actvprof=,0.006250, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.011806, id=,S07, PRDE,actvstrat=,-0.466436, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.937805, best_B_strat=,0.879286, best_S_id=,S01, best_S_prof=,2.472517, best_S_strat=,0.023211, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.658417, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.870247, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.828173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.984652, actvprof=,0.015000, id=,B07, PRDE,actvstrat=,-0.605581, actvprof=,1.479763, id=,S01, PRDE,actvstrat=,-0.733517, actvprof=,0.857802, id=,S05, PRDE,actvstrat=,-0.265397, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,0.332049, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,-0.511856, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.221657, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.479763, best_B_strat=,-0.605581, best_S_id=,S01, best_S_prof=,0.857802, best_S_strat=,-0.733517, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.658417, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.870247, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.828173, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.984652, actvprof=,0.017639, id=,B07, PRDE,actvstrat=,-0.605581, actvprof=,1.505854, id=,S01, PRDE,actvstrat=,-0.733517, actvprof=,0.792650, id=,S05, PRDE,actvstrat=,-0.265397, actvprof=,0.001944, id=,S06, PRDE,actvstrat=,0.332049, actvprof=,0.000972, id=,S07, PRDE,actvstrat=,-0.511856, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.221657, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.505854, best_B_strat=,-0.605581, best_S_id=,S01, best_S_prof=,0.792650, best_S_strat=,-0.733517, 
