t=,1, id=,B00, PRDE,actvstrat=,0.622874, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.346887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.865154, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.247769, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.692849, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.270243, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.877849, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.133596, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.243666, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.653789, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.622874, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.270243, 
t=,3600, id=,B00, PRDE,actvstrat=,0.622874, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.346887, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.865154, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.247769, actvprof=,0.109167, id=,B06, PRDE,actvstrat=,0.692849, actvprof=,1.590278, id=,S01, PRDE,actvstrat=,0.270243, actvprof=,3.108611, id=,S02, PRDE,actvstrat=,-0.877849, actvprof=,0.084722, id=,S04, PRDE,actvstrat=,-0.133596, actvprof=,0.015833, id=,S07, PRDE,actvstrat=,-0.243666, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.653789, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.590278, best_B_strat=,0.692849, best_S_id=,S01, best_S_prof=,3.108611, best_S_strat=,0.270243, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.188917, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.389948, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.651453, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.313533, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.953272, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.471037, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.313379, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.945041, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.589771, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.614953, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.188917, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.471037, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.188917, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.389948, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.651453, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.313533, actvprof=,0.147776, id=,B06, PRDE,actvstrat=,0.953272, actvprof=,2.845516, id=,S01, PRDE,actvstrat=,-0.471037, actvprof=,0.639991, id=,S02, PRDE,actvstrat=,-0.313379, actvprof=,0.222497, id=,S04, PRDE,actvstrat=,0.945041, actvprof=,0.214719, id=,S07, PRDE,actvstrat=,-0.589771, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.614953, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.845516, best_B_strat=,0.953272, best_S_id=,S01, best_S_prof=,0.639991, best_S_strat=,-0.471037, 
t=,14400, id=,B00, PRDE,actvstrat=,0.668239, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.916418, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.354051, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.395459, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.686011, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.990321, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.620256, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.887758, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.638246, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.160711, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.668239, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.990321, 
t=,18000, id=,B00, PRDE,actvstrat=,0.668239, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.916418, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.354051, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.395459, actvprof=,0.150278, id=,B06, PRDE,actvstrat=,0.686011, actvprof=,2.330000, id=,S01, PRDE,actvstrat=,-0.990321, actvprof=,0.236111, id=,S02, PRDE,actvstrat=,0.620256, actvprof=,1.873889, id=,S04, PRDE,actvstrat=,-0.887758, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.638246, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.160711, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.330000, best_B_strat=,0.686011, best_S_id=,S02, best_S_prof=,1.873889, best_S_strat=,0.620256, 
t=,21600, id=,B00, PRDE,actvstrat=,0.668239, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.916418, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.354051, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.395459, actvprof=,0.164583, id=,B06, PRDE,actvstrat=,0.686011, actvprof=,2.417917, id=,S01, PRDE,actvstrat=,-0.990321, actvprof=,0.271111, id=,S02, PRDE,actvstrat=,0.620256, actvprof=,1.764583, id=,S04, PRDE,actvstrat=,-0.887758, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.638246, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.160711, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.417917, best_B_strat=,0.686011, best_S_id=,S02, best_S_prof=,1.764583, best_S_strat=,0.620256, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.314472, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.901537, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.844276, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.964756, actvprof=,0.130557, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.358658, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.637009, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.298921, id=,S04, PRDE,actvstrat=,0.726593, actvprof=,0.022223, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.358658, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.637009, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.314472, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.901537, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.844276, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.964756, actvprof=,0.132640, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.346829, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.614338, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.349322, id=,S04, PRDE,actvstrat=,0.726593, actvprof=,0.020139, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.346829, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.614338, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.443653, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.389948, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.651453, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.281308, actvprof=,0.715298, id=,B06, PRDE,actvstrat=,-0.097040, actvprof=,1.338093, id=,S01, PRDE,actvstrat=,0.270243, actvprof=,2.186727, id=,S02, PRDE,actvstrat=,-0.880997, actvprof=,0.013056, id=,S04, PRDE,actvstrat=,0.945041, actvprof=,0.091391, id=,S07, PRDE,actvstrat=,-0.589771, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.338093, best_B_strat=,-0.097040, best_S_id=,S01, best_S_prof=,2.186727, best_S_strat=,0.270243, 
t=,36000, id=,B00, PRDE,actvstrat=,0.443653, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.389948, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.651453, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.281308, actvprof=,0.685287, id=,B06, PRDE,actvstrat=,-0.097040, actvprof=,1.311824, id=,S01, PRDE,actvstrat=,0.270243, actvprof=,2.181975, id=,S02, PRDE,actvstrat=,-0.880997, actvprof=,0.011250, id=,S04, PRDE,actvstrat=,0.945041, actvprof=,0.092779, id=,S07, PRDE,actvstrat=,-0.589771, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.311824, best_B_strat=,-0.097040, best_S_id=,S01, best_S_prof=,2.181975, best_S_strat=,0.270243, 
