t=,0, id=,B00, PRDE,actvstrat=,0.527719, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.244389, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.920141, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.189026, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.694493, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.212468, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.287281, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.904795, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.989210, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.076301, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.527719, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.212468, 
t=,3600, id=,B00, PRDE,actvstrat=,0.527719, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.244389, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.920141, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.189026, actvprof=,2.323611, id=,B08, PRDE,actvstrat=,-0.694493, actvprof=,5.404722, id=,S00, PRDE,actvstrat=,0.212468, actvprof=,2.495833, id=,S05, PRDE,actvstrat=,-0.287281, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.904795, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.989210, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.076301, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.404722, best_B_strat=,-0.694493, best_S_id=,S00, best_S_prof=,2.495833, best_S_strat=,0.212468, 
t=,7200, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.719174, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.616703, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.299720, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.458146, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.133123, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.271691, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.570223, 
t=,10800, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.719174, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.616703, actvprof=,0.019722, id=,B06, PRDE,actvstrat=,-0.299720, actvprof=,2.071916, id=,B08, PRDE,actvstrat=,-0.458146, actvprof=,5.419369, id=,S00, PRDE,actvstrat=,0.570223, actvprof=,3.146067, id=,S05, PRDE,actvstrat=,0.112404, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.133123, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.902392, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.419369, best_B_strat=,-0.458146, best_S_id=,S00, best_S_prof=,3.146067, best_S_strat=,0.570223, 
t=,14400, id=,B00, PRDE,actvstrat=,0.472991, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.454079, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.424908, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.798607, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.900121, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.411338, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.292481, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.243842, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.536031, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.385296, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.472991, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.411338, 
t=,18000, id=,B00, PRDE,actvstrat=,0.472991, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.454079, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.424908, actvprof=,0.003611, id=,B06, PRDE,actvstrat=,0.798607, actvprof=,4.290278, id=,B08, PRDE,actvstrat=,-0.900121, actvprof=,3.276111, id=,S00, PRDE,actvstrat=,0.411338, actvprof=,2.783889, id=,S05, PRDE,actvstrat=,0.292481, actvprof=,0.000556, id=,S07, PRDE,actvstrat=,-0.243842, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.536031, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.385296, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.290278, best_B_strat=,0.798607, best_S_id=,S00, best_S_prof=,2.783889, best_S_strat=,0.411338, 
t=,21600, id=,B00, PRDE,actvstrat=,0.472991, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.454079, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.424908, actvprof=,0.002083, id=,B06, PRDE,actvstrat=,0.798607, actvprof=,4.172222, id=,B08, PRDE,actvstrat=,-0.900121, actvprof=,3.197361, id=,S00, PRDE,actvstrat=,0.411338, actvprof=,2.968750, id=,S05, PRDE,actvstrat=,0.292481, actvprof=,0.000278, id=,S07, PRDE,actvstrat=,-0.243842, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.536031, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.385296, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,4.172222, best_B_strat=,0.798607, best_S_id=,S00, best_S_prof=,2.968750, best_S_strat=,0.411338, 
t=,25200, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906968, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365024, actvprof=,0.003611, id=,B06, PRDE,actvstrat=,0.167835, actvprof=,2.783372, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.226739, id=,S00, PRDE,actvstrat=,0.213344, actvprof=,2.613925, id=,S05, PRDE,actvstrat=,0.793848, actvprof=,0.004167, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.835768, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.980224, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.226739, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,2.613925, best_S_strat=,0.213344, 
t=,28800, id=,B00, PRDE,actvstrat=,0.271691, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906968, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.365024, actvprof=,0.002917, id=,B06, PRDE,actvstrat=,0.167835, actvprof=,2.773630, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,5.170730, id=,S00, PRDE,actvstrat=,0.213344, actvprof=,2.731269, id=,S05, PRDE,actvstrat=,0.793848, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.835768, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.980224, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.170730, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,2.731269, best_S_strat=,0.213344, 
t=,32400, id=,B00, PRDE,actvstrat=,0.883714, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906968, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.565510, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,0.167835, actvprof=,2.677297, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,4.969860, id=,S00, PRDE,actvstrat=,0.213344, actvprof=,2.688408, id=,S05, PRDE,actvstrat=,0.254419, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.798299, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.597195, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.969860, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,2.688408, best_S_strat=,0.213344, 
t=,36000, id=,B00, PRDE,actvstrat=,0.883714, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906968, actvprof=,0.000417, id=,B03, PRDE,actvstrat=,0.565510, actvprof=,0.003750, id=,B06, PRDE,actvstrat=,0.167835, actvprof=,2.668926, id=,B08, PRDE,actvstrat=,-0.246051, actvprof=,4.868957, id=,S00, PRDE,actvstrat=,0.213344, actvprof=,2.756427, id=,S05, PRDE,actvstrat=,0.254419, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.294682, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.798299, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.597195, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.868957, best_B_strat=,-0.246051, best_S_id=,S00, best_S_prof=,2.756427, best_S_strat=,0.213344, 
