t=,0, id=,B02, PRDE,actvstrat=,0.410008, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.822648, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.861038, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.224615, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.593138, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.054488, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.433508, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.655070, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.250647, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.735598, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.410008, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.054488, 
t=,3600, id=,B02, PRDE,actvstrat=,0.410008, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.822648, actvprof=,0.067777, id=,B05, PRDE,actvstrat=,-0.861038, actvprof=,0.031666, id=,B06, PRDE,actvstrat=,-0.224615, actvprof=,0.758045, id=,B09, PRDE,actvstrat=,-0.593138, actvprof=,4.733268, id=,S02, PRDE,actvstrat=,-0.054488, actvprof=,1.107207, id=,S04, PRDE,actvstrat=,-0.433508, actvprof=,0.018889, id=,S05, PRDE,actvstrat=,-0.655070, actvprof=,0.006111, id=,S06, PRDE,actvstrat=,-0.250647, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,0.735598, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.733268, best_B_strat=,-0.593138, best_S_id=,S02, best_S_prof=,1.107207, best_S_strat=,-0.054488, 
t=,7200, id=,B02, PRDE,actvstrat=,-0.102733, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.800670, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.161213, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.504474, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.144101, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.206878, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.101907, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.102733, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.206878, 
t=,10800, id=,B02, PRDE,actvstrat=,-0.102733, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.800670, actvprof=,0.003056, id=,B05, PRDE,actvstrat=,0.161213, actvprof=,0.702768, id=,B06, PRDE,actvstrat=,-0.504474, actvprof=,0.923043, id=,B09, PRDE,actvstrat=,0.144101, actvprof=,6.286302, id=,S02, PRDE,actvstrat=,0.206878, actvprof=,1.359148, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.142776, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.045833, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.010278, id=,S08, PRDE,actvstrat=,0.101907, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.286302, best_B_strat=,0.144101, best_S_id=,S02, best_S_prof=,1.359148, best_S_strat=,0.206878, 
t=,14400, id=,B02, PRDE,actvstrat=,0.707941, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.934933, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.794215, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.504474, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.089688, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.623513, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.634936, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.263056, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.718232, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.518336, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.707941, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.623513, 
t=,18000, id=,B02, PRDE,actvstrat=,0.707941, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.934933, actvprof=,0.047501, id=,B05, PRDE,actvstrat=,0.794215, actvprof=,1.165850, id=,B06, PRDE,actvstrat=,-0.504474, actvprof=,0.827234, id=,B09, PRDE,actvstrat=,-0.089688, actvprof=,5.468132, id=,S02, PRDE,actvstrat=,0.623513, actvprof=,2.270587, id=,S04, PRDE,actvstrat=,0.634936, actvprof=,0.299449, id=,S05, PRDE,actvstrat=,0.263056, actvprof=,0.024167, id=,S06, PRDE,actvstrat=,-0.718232, actvprof=,0.008056, id=,S08, PRDE,actvstrat=,0.518336, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.468132, best_B_strat=,-0.089688, best_S_id=,S02, best_S_prof=,2.270587, best_S_strat=,0.623513, 
t=,21600, id=,B02, PRDE,actvstrat=,0.707941, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.934933, actvprof=,0.045278, id=,B05, PRDE,actvstrat=,0.794215, actvprof=,1.154591, id=,B06, PRDE,actvstrat=,-0.504474, actvprof=,0.772644, id=,B09, PRDE,actvstrat=,-0.089688, actvprof=,5.446149, id=,S02, PRDE,actvstrat=,0.623513, actvprof=,2.219738, id=,S04, PRDE,actvstrat=,0.634936, actvprof=,0.298891, id=,S05, PRDE,actvstrat=,0.263056, actvprof=,0.032917, id=,S06, PRDE,actvstrat=,-0.718232, actvprof=,0.004028, id=,S08, PRDE,actvstrat=,0.518336, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.446149, best_B_strat=,-0.089688, best_S_id=,S02, best_S_prof=,2.219738, best_S_strat=,0.623513, 
t=,25200, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.090054, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.961789, actvprof=,0.330565, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.189477, id=,B09, PRDE,actvstrat=,-0.848730, actvprof=,1.911998, id=,S02, PRDE,actvstrat=,-0.114245, actvprof=,1.400594, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.466124, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.067780, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.281153, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.911998, best_B_strat=,-0.848730, best_S_id=,S02, best_S_prof=,1.400594, best_S_strat=,-0.114245, 
t=,28800, id=,B02, PRDE,actvstrat=,0.773401, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.090054, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.961789, actvprof=,0.313062, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.183636, id=,B09, PRDE,actvstrat=,-0.848730, actvprof=,1.940596, id=,S02, PRDE,actvstrat=,-0.114245, actvprof=,1.369334, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.492094, id=,S05, PRDE,actvstrat=,0.699897, actvprof=,0.069168, id=,S06, PRDE,actvstrat=,-0.623742, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.281153, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.940596, best_B_strat=,-0.848730, best_S_id=,S02, best_S_prof=,1.369334, best_S_strat=,-0.114245, 
t=,32400, id=,B02, PRDE,actvstrat=,-0.861088, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.369486, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,0.161213, actvprof=,0.106395, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.020057, id=,B09, PRDE,actvstrat=,0.767043, actvprof=,5.528085, id=,S02, PRDE,actvstrat=,-0.741259, actvprof=,1.044780, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.752820, id=,S05, PRDE,actvstrat=,-0.184867, actvprof=,0.045280, id=,S06, PRDE,actvstrat=,-0.768315, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,-0.281153, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.528085, best_B_strat=,0.767043, best_S_id=,S02, best_S_prof=,1.044780, best_S_strat=,-0.741259, 
t=,36000, id=,B02, PRDE,actvstrat=,-0.861088, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.369486, actvprof=,0.006111, id=,B05, PRDE,actvstrat=,0.161213, actvprof=,0.098475, id=,B06, PRDE,actvstrat=,0.654266, actvprof=,1.017250, id=,B09, PRDE,actvstrat=,0.767043, actvprof=,5.630434, id=,S02, PRDE,actvstrat=,-0.741259, actvprof=,0.916553, id=,S04, PRDE,actvstrat=,0.447989, actvprof=,0.760993, id=,S05, PRDE,actvstrat=,-0.184867, actvprof=,0.045835, id=,S06, PRDE,actvstrat=,-0.768315, actvprof=,0.005695, id=,S08, PRDE,actvstrat=,-0.281153, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.630434, best_B_strat=,0.767043, best_S_id=,S02, best_S_prof=,0.916553, best_S_strat=,-0.741259, 
