t=,0, id=,B00, PRDE,actvstrat=,0.828061, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.366439, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.831165, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.370349, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.780936, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.769398, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.896361, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.076058, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.644404, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.154637, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.828061, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.769398, 
t=,3600, id=,B00, PRDE,actvstrat=,0.828061, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.366439, actvprof=,1.082778, id=,B06, PRDE,actvstrat=,-0.831165, actvprof=,0.691667, id=,B07, PRDE,actvstrat=,0.370349, actvprof=,3.980833, id=,B08, PRDE,actvstrat=,0.780936, actvprof=,6.433611, id=,S01, PRDE,actvstrat=,0.769398, actvprof=,3.380833, id=,S03, PRDE,actvstrat=,0.896361, actvprof=,0.888611, id=,S06, PRDE,actvstrat=,-0.076058, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.644404, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.154637, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.433611, best_B_strat=,0.780936, best_S_id=,S01, best_S_prof=,3.380833, best_S_strat=,0.769398, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.357226, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.825713, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.344129, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.212592, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.941075, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.739483, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.280115, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.601366, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.046567, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.144472, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.357226, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.739483, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.357226, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.825713, actvprof=,0.080831, id=,B06, PRDE,actvstrat=,0.344129, actvprof=,1.871337, id=,B07, PRDE,actvstrat=,0.212592, actvprof=,3.335463, id=,B08, PRDE,actvstrat=,0.941075, actvprof=,5.964834, id=,S01, PRDE,actvstrat=,0.739483, actvprof=,3.906836, id=,S03, PRDE,actvstrat=,-0.280115, actvprof=,0.132219, id=,S06, PRDE,actvstrat=,0.601366, actvprof=,0.013611, id=,S07, PRDE,actvstrat=,-0.046567, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.144472, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.964834, best_B_strat=,0.941075, best_S_id=,S01, best_S_prof=,3.906836, best_S_strat=,0.739483, 
t=,14400, id=,B00, PRDE,actvstrat=,0.635568, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.779531, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.922514, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.000466, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.038545, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.412396, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.458357, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.601366, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.046567, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.741654, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.635568, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.412396, 
t=,18000, id=,B00, PRDE,actvstrat=,0.635568, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.779531, actvprof=,0.886377, id=,B06, PRDE,actvstrat=,-0.922514, actvprof=,0.148887, id=,B07, PRDE,actvstrat=,0.000466, actvprof=,2.843294, id=,B08, PRDE,actvstrat=,0.038545, actvprof=,4.263274, id=,S01, PRDE,actvstrat=,0.412396, actvprof=,2.847183, id=,S03, PRDE,actvstrat=,-0.458357, actvprof=,0.043055, id=,S06, PRDE,actvstrat=,0.601366, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-0.046567, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.741654, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.263274, best_B_strat=,0.038545, best_S_id=,S01, best_S_prof=,2.847183, best_S_strat=,0.412396, 
t=,21600, id=,B00, PRDE,actvstrat=,0.635568, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.779531, actvprof=,0.901250, id=,B06, PRDE,actvstrat=,-0.922514, actvprof=,0.144444, id=,B07, PRDE,actvstrat=,0.000466, actvprof=,2.816944, id=,B08, PRDE,actvstrat=,0.038545, actvprof=,4.379861, id=,S01, PRDE,actvstrat=,0.412396, actvprof=,2.748056, id=,S03, PRDE,actvstrat=,-0.458357, actvprof=,0.062778, id=,S06, PRDE,actvstrat=,0.601366, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,-0.046567, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.741654, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.379861, best_B_strat=,0.038545, best_S_id=,S01, best_S_prof=,2.748056, best_S_strat=,0.412396, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.020278, id=,B06, PRDE,actvstrat=,0.026592, actvprof=,1.428333, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.852778, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.380000, id=,S01, PRDE,actvstrat=,0.897614, actvprof=,4.891667, id=,S03, PRDE,actvstrat=,0.875242, actvprof=,1.455833, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.380000, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.891667, best_S_strat=,0.897614, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.971673, id=,B06, PRDE,actvstrat=,0.026592, actvprof=,1.429871, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.860721, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.361009, id=,S01, PRDE,actvstrat=,0.897614, actvprof=,4.866145, id=,S03, PRDE,actvstrat=,0.875242, actvprof=,1.455843, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.361009, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,4.866145, best_S_strat=,0.897614, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.368934, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.366439, actvprof=,0.424734, id=,B06, PRDE,actvstrat=,-0.829723, actvprof=,0.283619, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.740937, id=,B08, PRDE,actvstrat=,-0.493864, actvprof=,3.251201, id=,S01, PRDE,actvstrat=,0.053105, actvprof=,2.012556, id=,S03, PRDE,actvstrat=,-0.912970, actvprof=,0.008611, id=,S06, PRDE,actvstrat=,-0.847133, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.580792, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.510455, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.740937, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.012556, best_S_strat=,0.053105, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.368934, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.366439, actvprof=,0.438756, id=,B06, PRDE,actvstrat=,-0.829723, actvprof=,0.293754, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.797275, id=,B08, PRDE,actvstrat=,-0.493864, actvprof=,3.320185, id=,S01, PRDE,actvstrat=,0.053105, actvprof=,2.031973, id=,S03, PRDE,actvstrat=,-0.912970, actvprof=,0.004306, id=,S06, PRDE,actvstrat=,-0.847133, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.580792, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.510455, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.797275, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,2.031973, best_S_strat=,0.053105, 
