t=,1, id=,B02, PRDE,actvstrat=,-0.416610, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.800701, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.021355, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.126440, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.570059, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.487258, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.911294, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.936731, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.431266, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.764511, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.416610, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.487258, 
t=,3600, id=,B02, PRDE,actvstrat=,-0.416610, actvprof=,0.003611, id=,B03, PRDE,actvstrat=,-0.800701, actvprof=,0.056667, id=,B04, PRDE,actvstrat=,0.021355, actvprof=,0.312500, id=,B05, PRDE,actvstrat=,0.126440, actvprof=,1.133889, id=,B09, PRDE,actvstrat=,0.570059, actvprof=,8.174722, id=,S00, PRDE,actvstrat=,0.487258, actvprof=,4.340278, id=,S01, PRDE,actvstrat=,0.911294, actvprof=,3.685000, id=,S04, PRDE,actvstrat=,0.936731, actvprof=,0.202778, id=,S07, PRDE,actvstrat=,0.431266, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.764511, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.174722, best_B_strat=,0.570059, best_S_id=,S00, best_S_prof=,4.340278, best_S_strat=,0.487258, 
t=,7200, id=,B02, PRDE,actvstrat=,0.677073, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.733220, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.827828, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.342164, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.252421, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.527561, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.440760, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.649326, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.879773, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.810345, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.677073, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.527561, 
t=,10800, id=,B02, PRDE,actvstrat=,0.677073, actvprof=,0.003056, id=,B03, PRDE,actvstrat=,0.733220, actvprof=,0.026944, id=,B04, PRDE,actvstrat=,0.827828, actvprof=,0.150553, id=,B05, PRDE,actvstrat=,-0.342164, actvprof=,0.227497, id=,B09, PRDE,actvstrat=,0.252421, actvprof=,6.522965, id=,S00, PRDE,actvstrat=,0.527561, actvprof=,5.387425, id=,S01, PRDE,actvstrat=,0.440760, actvprof=,3.783003, id=,S04, PRDE,actvstrat=,-0.649326, actvprof=,0.012500, id=,S07, PRDE,actvstrat=,0.879773, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,-0.810345, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.522965, best_B_strat=,0.252421, best_S_id=,S00, best_S_prof=,5.387425, best_S_strat=,0.527561, 
t=,14400, id=,B02, PRDE,actvstrat=,0.769517, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.246497, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.873098, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.126440, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.086488, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.239713, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.542723, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.083109, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.639707, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.810345, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.769517, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.239713, 
t=,18000, id=,B02, PRDE,actvstrat=,0.769517, actvprof=,0.000556, id=,B03, PRDE,actvstrat=,-0.246497, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.873098, actvprof=,0.055556, id=,B05, PRDE,actvstrat=,0.126440, actvprof=,0.279722, id=,B09, PRDE,actvstrat=,-0.086488, actvprof=,5.647778, id=,S00, PRDE,actvstrat=,0.239713, actvprof=,5.015278, id=,S01, PRDE,actvstrat=,-0.542723, actvprof=,1.979722, id=,S04, PRDE,actvstrat=,-0.083109, actvprof=,0.030556, id=,S07, PRDE,actvstrat=,0.639707, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,-0.810345, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.647778, best_B_strat=,-0.086488, best_S_id=,S00, best_S_prof=,5.015278, best_S_strat=,0.239713, 
t=,21600, id=,B02, PRDE,actvstrat=,0.769517, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,-0.246497, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.873098, actvprof=,0.052500, id=,B05, PRDE,actvstrat=,0.126440, actvprof=,0.257083, id=,B09, PRDE,actvstrat=,-0.086488, actvprof=,5.534028, id=,S00, PRDE,actvstrat=,0.239713, actvprof=,5.121806, id=,S01, PRDE,actvstrat=,-0.542723, actvprof=,2.043056, id=,S04, PRDE,actvstrat=,-0.083109, actvprof=,0.043889, id=,S07, PRDE,actvstrat=,0.639707, actvprof=,0.000417, id=,S08, PRDE,actvstrat=,-0.810345, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.534028, best_B_strat=,-0.086488, best_S_id=,S00, best_S_prof=,5.121806, best_S_strat=,0.239713, 
t=,25200, id=,B02, PRDE,actvstrat=,-0.376893, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.423769, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.696200, actvprof=,0.025278, id=,B05, PRDE,actvstrat=,0.381018, actvprof=,0.195558, id=,B09, PRDE,actvstrat=,0.692170, actvprof=,6.477590, id=,S00, PRDE,actvstrat=,0.726800, actvprof=,5.953972, id=,S01, PRDE,actvstrat=,-0.492590, actvprof=,0.731955, id=,S04, PRDE,actvstrat=,-0.066516, actvprof=,0.033612, id=,S07, PRDE,actvstrat=,0.640681, actvprof=,0.003611, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.477590, best_B_strat=,0.692170, best_S_id=,S00, best_S_prof=,5.953972, best_S_strat=,0.726800, 
t=,28800, id=,B02, PRDE,actvstrat=,-0.376893, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.423769, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,-0.696200, actvprof=,0.030278, id=,B05, PRDE,actvstrat=,0.381018, actvprof=,0.181389, id=,B09, PRDE,actvstrat=,0.692170, actvprof=,6.539167, id=,S00, PRDE,actvstrat=,0.726800, actvprof=,5.980139, id=,S01, PRDE,actvstrat=,-0.492590, actvprof=,0.788333, id=,S04, PRDE,actvstrat=,-0.066516, actvprof=,0.024306, id=,S07, PRDE,actvstrat=,0.640681, actvprof=,0.001806, id=,S08, PRDE,actvstrat=,0.244435, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.539167, best_B_strat=,0.692170, best_S_id=,S00, best_S_prof=,5.980139, best_S_strat=,0.726800, 
t=,32400, id=,B02, PRDE,actvstrat=,-0.784071, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.800701, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.667272, actvprof=,0.008056, id=,B05, PRDE,actvstrat=,0.786321, actvprof=,0.429734, id=,B09, PRDE,actvstrat=,-0.973152, actvprof=,1.331426, id=,S00, PRDE,actvstrat=,0.535864, actvprof=,4.839857, id=,S01, PRDE,actvstrat=,-0.019732, actvprof=,1.978666, id=,S04, PRDE,actvstrat=,-0.066516, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,-0.855362, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.731199, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.331426, best_B_strat=,-0.973152, best_S_id=,S00, best_S_prof=,4.839857, best_S_strat=,0.535864, 
t=,36000, id=,B02, PRDE,actvstrat=,-0.784071, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.800701, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.667272, actvprof=,0.005000, id=,B05, PRDE,actvstrat=,0.786321, actvprof=,0.476673, id=,B09, PRDE,actvstrat=,-0.973152, actvprof=,1.347380, id=,S00, PRDE,actvstrat=,0.535864, actvprof=,4.730205, id=,S01, PRDE,actvstrat=,-0.019732, actvprof=,1.920582, id=,S04, PRDE,actvstrat=,-0.066516, actvprof=,0.004861, id=,S07, PRDE,actvstrat=,-0.855362, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.731199, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,1.347380, best_B_strat=,-0.973152, best_S_id=,S00, best_S_prof=,4.730205, best_S_strat=,0.535864, 
