t=,0, id=,B00, PRDE,actvstrat=,-0.213177, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.766261, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.440980, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.834528, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.570565, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.214890, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.371655, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.917874, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.250088, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.251696, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.213177, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.214890, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.213177, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.766261, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.440980, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.834528, actvprof=,0.491389, id=,B06, PRDE,actvstrat=,0.570565, actvprof=,1.284444, id=,S00, PRDE,actvstrat=,0.214890, actvprof=,4.639167, id=,S02, PRDE,actvstrat=,0.371655, actvprof=,2.398611, id=,S03, PRDE,actvstrat=,0.917874, actvprof=,2.463333, id=,S05, PRDE,actvstrat=,0.250088, actvprof=,0.022500, id=,S07, PRDE,actvstrat=,0.251696, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.284444, best_B_strat=,0.570565, best_S_id=,S00, best_S_prof=,4.639167, best_S_strat=,0.214890, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.810598, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.848495, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.915028, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.680521, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.740146, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.935499, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.328127, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.453898, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.513164, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.005813, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.810598, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.935499, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.810598, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.848495, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.915028, actvprof=,0.007500, id=,B05, PRDE,actvstrat=,0.680521, actvprof=,0.152218, id=,B06, PRDE,actvstrat=,0.740146, actvprof=,1.105525, id=,S00, PRDE,actvstrat=,0.935499, actvprof=,7.825060, id=,S02, PRDE,actvstrat=,0.328127, actvprof=,2.788811, id=,S03, PRDE,actvstrat=,-0.453898, actvprof=,0.418044, id=,S05, PRDE,actvstrat=,0.513164, actvprof=,0.056665, id=,S07, PRDE,actvstrat=,0.005813, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.105525, best_B_strat=,0.740146, best_S_id=,S00, best_S_prof=,7.825060, best_S_strat=,0.935499, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.054320, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.457971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.511049, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.380240, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.564156, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.173731, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.351896, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.452037, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.513164, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.005813, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.054320, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.173731, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.054320, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.457971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.511049, actvprof=,0.005000, id=,B05, PRDE,actvstrat=,-0.380240, actvprof=,0.017500, id=,B06, PRDE,actvstrat=,0.564156, actvprof=,1.256944, id=,S00, PRDE,actvstrat=,-0.173731, actvprof=,3.166111, id=,S02, PRDE,actvstrat=,0.351896, actvprof=,2.552778, id=,S03, PRDE,actvstrat=,-0.452037, actvprof=,0.231944, id=,S05, PRDE,actvstrat=,0.513164, actvprof=,0.028889, id=,S07, PRDE,actvstrat=,0.005813, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.256944, best_B_strat=,0.564156, best_S_id=,S00, best_S_prof=,3.166111, best_S_strat=,-0.173731, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.054320, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.457971, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.511049, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,-0.380240, actvprof=,0.026111, id=,B06, PRDE,actvstrat=,0.564156, actvprof=,1.155000, id=,S00, PRDE,actvstrat=,-0.173731, actvprof=,3.274722, id=,S02, PRDE,actvstrat=,0.351896, actvprof=,2.501806, id=,S03, PRDE,actvstrat=,-0.452037, actvprof=,0.254444, id=,S05, PRDE,actvstrat=,0.513164, actvprof=,0.033611, id=,S07, PRDE,actvstrat=,0.005813, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.155000, best_B_strat=,0.564156, best_S_id=,S00, best_S_prof=,3.274722, best_S_strat=,-0.173731, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.356373, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.814326, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.336394, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.635023, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.094807, id=,S02, PRDE,actvstrat=,0.196995, actvprof=,2.391978, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.383366, id=,S05, PRDE,actvstrat=,-0.693559, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.635023, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.094807, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.356373, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.814326, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.323611, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.589861, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.230694, id=,S02, PRDE,actvstrat=,0.196995, actvprof=,2.493889, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,2.414028, id=,S05, PRDE,actvstrat=,-0.693559, actvprof=,0.000139, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.589861, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.230694, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.431683, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.719545, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.036649, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.448741, actvprof=,0.540300, id=,B06, PRDE,actvstrat=,-0.647142, actvprof=,0.625304, id=,S00, PRDE,actvstrat=,-0.630529, actvprof=,1.920636, id=,S02, PRDE,actvstrat=,0.275692, actvprof=,1.686737, id=,S03, PRDE,actvstrat=,0.829576, actvprof=,1.514230, id=,S05, PRDE,actvstrat=,0.513164, actvprof=,0.008056, id=,S07, PRDE,actvstrat=,-0.769988, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.625304, best_B_strat=,-0.647142, best_S_id=,S00, best_S_prof=,1.920636, best_S_strat=,-0.630529, 
t=,36000, id=,B00, PRDE,actvstrat=,0.431683, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.719545, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.036649, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.448741, actvprof=,0.543067, id=,B06, PRDE,actvstrat=,-0.647142, actvprof=,0.637652, id=,S00, PRDE,actvstrat=,-0.630529, actvprof=,1.876567, id=,S02, PRDE,actvstrat=,0.275692, actvprof=,1.649201, id=,S03, PRDE,actvstrat=,0.829576, actvprof=,1.555171, id=,S05, PRDE,actvstrat=,0.513164, actvprof=,0.006111, id=,S07, PRDE,actvstrat=,-0.769988, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.637652, best_B_strat=,-0.647142, best_S_id=,S00, best_S_prof=,1.876567, best_S_strat=,-0.630529, 
