t=,1, id=,B02, PRDE,actvstrat=,0.466973, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.924588, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.125695, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.310994, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.605288, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.219188, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.192926, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.144021, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.090118, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.425824, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.466973, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.219188, 
t=,3600, id=,B02, PRDE,actvstrat=,0.466973, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.924588, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.125695, actvprof=,0.156944, id=,B07, PRDE,actvstrat=,-0.310994, actvprof=,1.333611, id=,B08, PRDE,actvstrat=,0.605288, actvprof=,4.607222, id=,S03, PRDE,actvstrat=,-0.219188, actvprof=,0.186389, id=,S04, PRDE,actvstrat=,0.192926, actvprof=,0.239722, id=,S05, PRDE,actvstrat=,-0.144021, actvprof=,0.006944, id=,S08, PRDE,actvstrat=,-0.090118, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.425824, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.607222, best_B_strat=,0.605288, best_S_id=,S04, best_S_prof=,0.239722, best_S_strat=,0.192926, 
t=,7200, id=,B02, PRDE,actvstrat=,0.942398, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.282416, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.715609, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.614378, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.519344, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.169133, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.420622, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.710567, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.261913, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.816310, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.942398, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,0.169133, 
t=,10800, id=,B02, PRDE,actvstrat=,0.942398, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.282416, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.715609, actvprof=,0.114165, id=,B07, PRDE,actvstrat=,0.614378, actvprof=,2.418300, id=,B08, PRDE,actvstrat=,0.519344, actvprof=,3.959112, id=,S03, PRDE,actvstrat=,0.169133, actvprof=,0.918321, id=,S04, PRDE,actvstrat=,0.420622, actvprof=,0.410272, id=,S05, PRDE,actvstrat=,-0.710567, actvprof=,0.009722, id=,S08, PRDE,actvstrat=,-0.261913, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.816310, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.959112, best_B_strat=,0.519344, best_S_id=,S03, best_S_prof=,0.918321, best_S_strat=,0.169133, 
t=,14400, id=,B02, PRDE,actvstrat=,-0.098721, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.653229, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.067981, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.352915, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.934050, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.981077, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.791858, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.902235, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.439195, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.736118, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.098721, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,0.981077, 
t=,18000, id=,B02, PRDE,actvstrat=,-0.098721, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.653229, actvprof=,0.003889, id=,B05, PRDE,actvstrat=,-0.067981, actvprof=,0.486389, id=,B07, PRDE,actvstrat=,0.352915, actvprof=,3.676389, id=,B08, PRDE,actvstrat=,0.934050, actvprof=,5.901944, id=,S03, PRDE,actvstrat=,0.981077, actvprof=,1.306944, id=,S04, PRDE,actvstrat=,0.791858, actvprof=,0.280278, id=,S05, PRDE,actvstrat=,-0.902235, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.439195, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.736118, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.901944, best_B_strat=,0.934050, best_S_id=,S03, best_S_prof=,1.306944, best_S_strat=,0.981077, 
t=,21600, id=,B02, PRDE,actvstrat=,-0.098721, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.653229, actvprof=,0.003889, id=,B05, PRDE,actvstrat=,-0.067981, actvprof=,0.498333, id=,B07, PRDE,actvstrat=,0.352915, actvprof=,3.658333, id=,B08, PRDE,actvstrat=,0.934050, actvprof=,5.919722, id=,S03, PRDE,actvstrat=,0.981077, actvprof=,1.342917, id=,S04, PRDE,actvstrat=,0.791858, actvprof=,0.266528, id=,S05, PRDE,actvstrat=,-0.902235, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.439195, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.736118, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.919722, best_B_strat=,0.934050, best_S_id=,S03, best_S_prof=,1.342917, best_S_strat=,0.981077, 
t=,25200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.712676, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.991689, actvprof=,0.096946, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,2.643370, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.416172, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,3.174211, id=,S04, PRDE,actvstrat=,0.196127, actvprof=,0.321116, id=,S05, PRDE,actvstrat=,0.654298, actvprof=,0.055834, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.071539, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.416172, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,3.174211, best_S_strat=,-1.000000, 
t=,28800, id=,B02, PRDE,actvstrat=,0.061794, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.690514, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.468592, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.278657, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.874657, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.980979, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.662241, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.997440, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.061794, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,0.874657, 
t=,32400, id=,B02, PRDE,actvstrat=,0.061794, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.690514, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.468592, actvprof=,0.527814, id=,B07, PRDE,actvstrat=,-0.278657, actvprof=,1.837350, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.788180, id=,S03, PRDE,actvstrat=,0.874657, actvprof=,1.366762, id=,S04, PRDE,actvstrat=,-0.980979, actvprof=,0.192236, id=,S05, PRDE,actvstrat=,0.662241, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.997440, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.788180, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.366762, best_S_strat=,0.874657, 
t=,36000, id=,B02, PRDE,actvstrat=,0.061794, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.690514, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.468592, actvprof=,0.529459, id=,B07, PRDE,actvstrat=,-0.278657, actvprof=,1.786716, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.789605, id=,S03, PRDE,actvstrat=,0.874657, actvprof=,1.390594, id=,S04, PRDE,actvstrat=,-0.980979, actvprof=,0.202783, id=,S05, PRDE,actvstrat=,0.662241, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.997440, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.789605, best_B_strat=,1.000000, best_S_id=,S03, best_S_prof=,1.390594, best_S_strat=,0.874657, 
