t=,3600, id=,B00, PRDE,actvstrat=,0.360132, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.583675, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.041692, actvprof=,0.007778, id=,B07, PRDE,actvstrat=,0.085110, actvprof=,2.232469, id=,B08, PRDE,actvstrat=,-0.258754, actvprof=,2.832183, id=,S00, PRDE,actvstrat=,0.758491, actvprof=,6.391856, id=,S02, PRDE,actvstrat=,0.612104, actvprof=,2.820516, id=,S04, PRDE,actvstrat=,0.127660, actvprof=,0.148609, id=,S05, PRDE,actvstrat=,0.159737, actvprof=,0.022222, id=,S08, PRDE,actvstrat=,-0.310417, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.832183, best_B_strat=,-0.258754, best_S_id=,S00, best_S_prof=,6.391856, best_S_strat=,0.758491, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.766242, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.877423, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.860649, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.010673, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.655477, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.516003, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.807297, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.280037, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.482589, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.676807, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.766242, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.516003, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.766242, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.877423, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.860649, actvprof=,0.003889, id=,B07, PRDE,actvstrat=,0.010673, actvprof=,2.082749, id=,B08, PRDE,actvstrat=,-0.655477, actvprof=,2.128582, id=,S00, PRDE,actvstrat=,0.516003, actvprof=,5.150484, id=,S02, PRDE,actvstrat=,0.807297, actvprof=,3.590783, id=,S04, PRDE,actvstrat=,0.280037, actvprof=,0.190553, id=,S05, PRDE,actvstrat=,-0.482589, actvprof=,0.000833, id=,S08, PRDE,actvstrat=,0.676807, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.128582, best_B_strat=,-0.655477, best_S_id=,S00, best_S_prof=,5.150484, best_S_strat=,0.516003, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.036572, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.933679, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.448917, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.857240, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.777470, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.540399, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.130973, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.882270, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.476607, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.166201, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.036572, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.540399, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.036572, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.933679, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.448917, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.857240, actvprof=,2.117778, id=,B08, PRDE,actvstrat=,0.777470, actvprof=,3.594444, id=,S00, PRDE,actvstrat=,-0.540399, actvprof=,2.590833, id=,S02, PRDE,actvstrat=,-0.130973, actvprof=,1.217500, id=,S04, PRDE,actvstrat=,0.882270, actvprof=,1.533889, id=,S05, PRDE,actvstrat=,-0.476607, actvprof=,0.007222, id=,S08, PRDE,actvstrat=,0.166201, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.594444, best_B_strat=,0.777470, best_S_id=,S00, best_S_prof=,2.590833, best_S_strat=,-0.540399, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.036572, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.933679, actvprof=,0.000278, id=,B03, PRDE,actvstrat=,0.448917, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.857240, actvprof=,2.101944, id=,B08, PRDE,actvstrat=,0.777470, actvprof=,3.621667, id=,S00, PRDE,actvstrat=,-0.540399, actvprof=,2.660833, id=,S02, PRDE,actvstrat=,-0.130973, actvprof=,1.242500, id=,S04, PRDE,actvstrat=,0.882270, actvprof=,1.595694, id=,S05, PRDE,actvstrat=,-0.476607, actvprof=,0.010000, id=,S08, PRDE,actvstrat=,0.166201, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.621667, best_B_strat=,0.777470, best_S_id=,S00, best_S_prof=,2.660833, best_S_strat=,-0.540399, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.746939, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.718781, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.043546, actvprof=,2.215617, id=,B08, PRDE,actvstrat=,-0.017249, actvprof=,3.428984, id=,S00, PRDE,actvstrat=,-0.373187, actvprof=,1.841162, id=,S02, PRDE,actvstrat=,0.206026, actvprof=,1.702547, id=,S04, PRDE,actvstrat=,0.094319, actvprof=,0.105281, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.073058, id=,S08, PRDE,actvstrat=,-0.162643, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.428984, best_B_strat=,-0.017249, best_S_id=,S00, best_S_prof=,1.841162, best_S_strat=,-0.373187, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.746939, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.718781, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.043546, actvprof=,2.173780, id=,B08, PRDE,actvstrat=,-0.017249, actvprof=,3.543938, id=,S00, PRDE,actvstrat=,-0.373187, actvprof=,1.763774, id=,S02, PRDE,actvstrat=,0.206026, actvprof=,1.649745, id=,S04, PRDE,actvstrat=,0.094319, actvprof=,0.089029, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.060695, id=,S08, PRDE,actvstrat=,-0.162643, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.543938, best_B_strat=,-0.017249, best_S_id=,S00, best_S_prof=,1.763774, best_S_strat=,-0.373187, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.790078, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.863028, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.016739, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.064089, actvprof=,1.436171, id=,B08, PRDE,actvstrat=,-0.247529, actvprof=,2.282317, id=,S00, PRDE,actvstrat=,-0.449203, actvprof=,2.008417, id=,S02, PRDE,actvstrat=,-0.074783, actvprof=,1.103657, id=,S04, PRDE,actvstrat=,0.511078, actvprof=,0.348348, id=,S05, PRDE,actvstrat=,-0.597810, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,0.233382, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.282317, best_B_strat=,-0.247529, best_S_id=,S00, best_S_prof=,2.008417, best_S_strat=,-0.449203, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.790078, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.863028, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.016739, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.064089, actvprof=,1.331139, id=,B08, PRDE,actvstrat=,-0.247529, actvprof=,2.272825, id=,S00, PRDE,actvstrat=,-0.449203, actvprof=,2.062265, id=,S02, PRDE,actvstrat=,-0.074783, actvprof=,1.035438, id=,S04, PRDE,actvstrat=,0.511078, actvprof=,0.370285, id=,S05, PRDE,actvstrat=,-0.597810, actvprof=,0.003750, id=,S08, PRDE,actvstrat=,0.233382, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.272825, best_B_strat=,-0.247529, best_S_id=,S00, best_S_prof=,2.062265, best_S_strat=,-0.449203, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.486017, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.554514, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.356704, actvprof=,0.001945, id=,B07, PRDE,actvstrat=,-0.973902, actvprof=,0.640869, id=,B08, PRDE,actvstrat=,0.174633, actvprof=,4.361631, id=,S00, PRDE,actvstrat=,-0.442404, actvprof=,1.370632, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.652981, id=,S04, PRDE,actvstrat=,0.528471, actvprof=,0.133063, id=,S05, PRDE,actvstrat=,-0.173212, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.123823, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.361631, best_B_strat=,0.174633, best_S_id=,S02, best_S_prof=,3.652981, best_S_strat=,1.000000, 
