t=,0, id=,B00, PRDE,actvstrat=,0.456708, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.179234, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.982584, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.437290, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.095150, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.693522, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.905960, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.584235, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.692401, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.791728, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.456708, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.693522, 
t=,3600, id=,B00, PRDE,actvstrat=,0.456708, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.179234, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.982584, actvprof=,0.725278, id=,B08, PRDE,actvstrat=,0.437290, actvprof=,3.003611, id=,B09, PRDE,actvstrat=,0.095150, actvprof=,4.067500, id=,S00, PRDE,actvstrat=,-0.693522, actvprof=,4.483333, id=,S01, PRDE,actvstrat=,-0.905960, actvprof=,1.780833, id=,S04, PRDE,actvstrat=,0.584235, actvprof=,1.310278, id=,S05, PRDE,actvstrat=,-0.692401, actvprof=,0.025000, id=,S08, PRDE,actvstrat=,0.791728, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,4.067500, best_B_strat=,0.095150, best_S_id=,S00, best_S_prof=,4.483333, best_S_strat=,-0.693522, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.341165, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.270811, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.154956, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.831446, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.556504, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.114867, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.760338, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.029939, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.387431, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.887437, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.341165, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.114867, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.341165, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.270811, actvprof=,0.003055, id=,B06, PRDE,actvstrat=,-0.154956, actvprof=,0.531930, id=,B08, PRDE,actvstrat=,0.831446, actvprof=,4.797922, id=,B09, PRDE,actvstrat=,-0.556504, actvprof=,3.771284, id=,S00, PRDE,actvstrat=,0.114867, actvprof=,4.459321, id=,S01, PRDE,actvstrat=,0.760338, actvprof=,5.031527, id=,S04, PRDE,actvstrat=,-0.029939, actvprof=,0.113608, id=,S05, PRDE,actvstrat=,0.387431, actvprof=,0.040554, id=,S08, PRDE,actvstrat=,-0.887437, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.797922, best_B_strat=,0.831446, best_S_id=,S01, best_S_prof=,5.031527, best_S_strat=,0.760338, 
t=,14400, id=,B00, PRDE,actvstrat=,0.201898, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.630103, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.545799, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.130195, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.764823, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.876277, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.633836, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.249369, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.439067, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.791728, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.201898, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.876277, 
t=,18000, id=,B00, PRDE,actvstrat=,0.201898, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.630103, actvprof=,0.003056, id=,B06, PRDE,actvstrat=,0.545799, actvprof=,0.621667, id=,B08, PRDE,actvstrat=,0.130195, actvprof=,2.732222, id=,B09, PRDE,actvstrat=,0.764823, actvprof=,5.342222, id=,S00, PRDE,actvstrat=,-0.876277, actvprof=,1.176667, id=,S01, PRDE,actvstrat=,0.633836, actvprof=,5.441944, id=,S04, PRDE,actvstrat=,0.249369, actvprof=,0.560556, id=,S05, PRDE,actvstrat=,-0.439067, actvprof=,0.021667, id=,S08, PRDE,actvstrat=,0.791728, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.342222, best_B_strat=,0.764823, best_S_id=,S01, best_S_prof=,5.441944, best_S_strat=,0.633836, 
t=,21600, id=,B00, PRDE,actvstrat=,0.201898, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.630103, actvprof=,0.001528, id=,B06, PRDE,actvstrat=,0.545799, actvprof=,0.575278, id=,B08, PRDE,actvstrat=,0.130195, actvprof=,2.657917, id=,B09, PRDE,actvstrat=,0.764823, actvprof=,5.333194, id=,S00, PRDE,actvstrat=,-0.876277, actvprof=,1.018611, id=,S01, PRDE,actvstrat=,0.633836, actvprof=,5.318611, id=,S04, PRDE,actvstrat=,0.249369, actvprof=,0.505278, id=,S05, PRDE,actvstrat=,-0.439067, actvprof=,0.018611, id=,S08, PRDE,actvstrat=,0.791728, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.333194, best_B_strat=,0.764823, best_S_id=,S01, best_S_prof=,5.318611, best_S_strat=,0.633836, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.390068, actvprof=,0.019445, id=,B06, PRDE,actvstrat=,-0.695097, actvprof=,0.693065, id=,B08, PRDE,actvstrat=,0.369344, actvprof=,4.601453, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.015375, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.918138, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.828956, id=,S04, PRDE,actvstrat=,0.717709, actvprof=,0.327227, id=,S05, PRDE,actvstrat=,-0.170563, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.345478, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,7.015375, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.918138, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.390068, actvprof=,0.011389, id=,B06, PRDE,actvstrat=,-0.695097, actvprof=,0.740422, id=,B08, PRDE,actvstrat=,0.369344, actvprof=,4.681421, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.004910, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.876985, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.799756, id=,S04, PRDE,actvstrat=,0.717709, actvprof=,0.293196, id=,S05, PRDE,actvstrat=,-0.170563, actvprof=,0.009445, id=,S08, PRDE,actvstrat=,0.345478, actvprof=,0.000278, best_B_id=,B09, best_B_prof=,7.004910, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,5.876985, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.186767, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.698177, actvprof=,0.014167, id=,B06, PRDE,actvstrat=,0.317750, actvprof=,0.946137, id=,B08, PRDE,actvstrat=,0.713476, actvprof=,4.441512, id=,B09, PRDE,actvstrat=,-0.818695, actvprof=,2.816189, id=,S00, PRDE,actvstrat=,0.508337, actvprof=,5.069307, id=,S01, PRDE,actvstrat=,0.066042, actvprof=,2.723409, id=,S04, PRDE,actvstrat=,0.717709, actvprof=,0.524181, id=,S05, PRDE,actvstrat=,-0.170563, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,0.924637, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.441512, best_B_strat=,0.713476, best_S_id=,S00, best_S_prof=,5.069307, best_S_strat=,0.508337, 
t=,36000, id=,B00, PRDE,actvstrat=,0.186767, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.698177, actvprof=,0.011250, id=,B06, PRDE,actvstrat=,0.317750, actvprof=,0.940423, id=,B08, PRDE,actvstrat=,0.713476, actvprof=,4.366836, id=,B09, PRDE,actvstrat=,-0.818695, actvprof=,2.732519, id=,S00, PRDE,actvstrat=,0.508337, actvprof=,5.256148, id=,S01, PRDE,actvstrat=,0.066042, actvprof=,2.642102, id=,S04, PRDE,actvstrat=,0.717709, actvprof=,0.529448, id=,S05, PRDE,actvstrat=,-0.170563, actvprof=,0.004722, id=,S08, PRDE,actvstrat=,0.924637, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.366836, best_B_strat=,0.713476, best_S_id=,S00, best_S_prof=,5.256148, best_S_strat=,0.508337, 
