t=,3600, id=,B01, PRDE,actvstrat=,0.132759, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.860106, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.458515, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.540422, actvprof=,0.231111, id=,B07, PRDE,actvstrat=,0.191295, actvprof=,3.952222, id=,S00, PRDE,actvstrat=,-0.331374, actvprof=,1.304444, id=,S04, PRDE,actvstrat=,0.019673, actvprof=,0.010000, id=,S07, PRDE,actvstrat=,-0.218982, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.309424, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.436292, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.952222, best_B_strat=,0.191295, best_S_id=,S00, best_S_prof=,1.304444, best_S_strat=,-0.331374, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.077659, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.153033, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.407752, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.869796, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.917887, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.473772, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.382913, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.359719, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.899108, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.320967, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.077659, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.473772, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.077659, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.153033, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.407752, actvprof=,0.048888, id=,B04, PRDE,actvstrat=,-0.869796, actvprof=,0.133609, id=,B07, PRDE,actvstrat=,0.917887, actvprof=,6.896015, id=,S00, PRDE,actvstrat=,0.473772, actvprof=,1.873585, id=,S04, PRDE,actvstrat=,0.382913, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.359719, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.899108, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.320967, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,6.896015, best_B_strat=,0.917887, best_S_id=,S00, best_S_prof=,1.873585, best_S_strat=,0.473772, 
t=,14400, id=,B01, PRDE,actvstrat=,0.157506, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.737423, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.682948, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.874960, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.117440, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.263873, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.003423, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.696046, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.050352, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.031764, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.157506, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.263873, 
t=,18000, id=,B01, PRDE,actvstrat=,0.157506, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.737423, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.682948, actvprof=,0.021667, id=,B04, PRDE,actvstrat=,-0.874960, actvprof=,0.012778, id=,B07, PRDE,actvstrat=,-0.117440, actvprof=,3.798611, id=,S00, PRDE,actvstrat=,-0.263873, actvprof=,0.715000, id=,S04, PRDE,actvstrat=,0.003423, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,0.696046, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.050352, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.031764, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.798611, best_B_strat=,-0.117440, best_S_id=,S00, best_S_prof=,0.715000, best_S_strat=,-0.263873, 
t=,21600, id=,B01, PRDE,actvstrat=,0.157506, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.737423, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.682948, actvprof=,0.017917, id=,B04, PRDE,actvstrat=,-0.874960, actvprof=,0.017917, id=,B07, PRDE,actvstrat=,-0.117440, actvprof=,3.677361, id=,S00, PRDE,actvstrat=,-0.263873, actvprof=,0.756389, id=,S04, PRDE,actvstrat=,0.003423, actvprof=,0.007639, id=,S07, PRDE,actvstrat=,0.696046, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.050352, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.031764, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.677361, best_B_strat=,-0.117440, best_S_id=,S00, best_S_prof=,0.756389, best_S_strat=,-0.263873, 
t=,25200, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.704732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.063056, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.708121, id=,S00, PRDE,actvstrat=,-0.891691, actvprof=,0.112502, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.069723, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.708121, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.112502, best_S_strat=,-0.891691, 
t=,28800, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.704732, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.047084, id=,B07, PRDE,actvstrat=,1.000000, actvprof=,4.727672, id=,S00, PRDE,actvstrat=,-0.891691, actvprof=,0.108195, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.077917, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.727672, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.108195, best_S_strat=,-0.891691, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.496036, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.971620, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.136271, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,-0.751610, actvprof=,0.063057, id=,B07, PRDE,actvstrat=,0.099200, actvprof=,4.247896, id=,S00, PRDE,actvstrat=,-0.263873, actvprof=,0.786133, id=,S04, PRDE,actvstrat=,0.659178, actvprof=,0.005833, id=,S07, PRDE,actvstrat=,0.572967, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.448929, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.843539, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.247896, best_B_strat=,0.099200, best_S_id=,S00, best_S_prof=,0.786133, best_S_strat=,-0.263873, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.496036, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.971620, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.136271, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,-0.751610, actvprof=,0.083334, id=,B07, PRDE,actvstrat=,0.099200, actvprof=,4.330199, id=,S00, PRDE,actvstrat=,-0.263873, actvprof=,0.813067, id=,S04, PRDE,actvstrat=,0.659178, actvprof=,0.004028, id=,S07, PRDE,actvstrat=,0.572967, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.448929, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.843539, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.330199, best_B_strat=,0.099200, best_S_id=,S00, best_S_prof=,0.813067, best_S_strat=,-0.263873, 
t=,39600, id=,B01, PRDE,actvstrat=,0.468141, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.808021, actvprof=,0.004722, id=,B03, PRDE,actvstrat=,-0.267233, actvprof=,0.006945, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.245010, id=,B07, PRDE,actvstrat=,0.214684, actvprof=,3.796547, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.146367, id=,S04, PRDE,actvstrat=,0.827975, actvprof=,0.031668, id=,S07, PRDE,actvstrat=,-0.156378, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.432467, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.796547, best_B_strat=,0.214684, best_S_id=,S00, best_S_prof=,6.146367, best_S_strat=,1.000000, 
