t=,1, id=,B00, PRDE,actvstrat=,0.155451, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.182978, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.269207, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.211844, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.641101, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.457845, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.169693, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.236392, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.211456, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.431973, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.155451, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.457845, 
t=,3600, id=,B00, PRDE,actvstrat=,0.155451, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.182978, actvprof=,0.001667, id=,B03, PRDE,actvstrat=,-0.269207, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,-0.211844, actvprof=,0.164722, id=,B06, PRDE,actvstrat=,-0.641101, actvprof=,1.761111, id=,S00, PRDE,actvstrat=,0.457845, actvprof=,3.294444, id=,S02, PRDE,actvstrat=,0.169693, actvprof=,0.627222, id=,S05, PRDE,actvstrat=,0.236392, actvprof=,0.001389, id=,S06, PRDE,actvstrat=,0.211456, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.431973, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.761111, best_B_strat=,-0.641101, best_S_id=,S00, best_S_prof=,3.294444, best_S_strat=,0.457845, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.110500, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.502943, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.094759, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.127359, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.171676, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.437115, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.453465, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.683463, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.962647, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.232678, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.110500, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.437115, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.110500, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.502943, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.094759, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.127359, actvprof=,0.022777, id=,B06, PRDE,actvstrat=,0.171676, actvprof=,1.893307, id=,S00, PRDE,actvstrat=,-0.437115, actvprof=,1.770809, id=,S02, PRDE,actvstrat=,-0.453465, actvprof=,0.415828, id=,S05, PRDE,actvstrat=,0.683463, actvprof=,0.007778, id=,S06, PRDE,actvstrat=,-0.962647, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.232678, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.893307, best_B_strat=,0.171676, best_S_id=,S00, best_S_prof=,1.770809, best_S_strat=,-0.437115, 
t=,14400, id=,B00, PRDE,actvstrat=,0.285161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.822368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.593703, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.698146, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.661882, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.640841, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.124116, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.377312, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.962647, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.460416, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.285161, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.640841, 
t=,18000, id=,B00, PRDE,actvstrat=,0.285161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.822368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.593703, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.698146, actvprof=,0.006389, id=,B06, PRDE,actvstrat=,0.661882, actvprof=,2.209753, id=,S00, PRDE,actvstrat=,-0.640841, actvprof=,1.672523, id=,S02, PRDE,actvstrat=,-0.124116, actvprof=,0.581675, id=,S05, PRDE,actvstrat=,0.377312, actvprof=,0.000833, id=,S06, PRDE,actvstrat=,-0.962647, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.460416, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.209753, best_B_strat=,0.661882, best_S_id=,S00, best_S_prof=,1.672523, best_S_strat=,-0.640841, 
t=,21600, id=,B00, PRDE,actvstrat=,0.285161, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.822368, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.593703, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.698146, actvprof=,0.007222, id=,B06, PRDE,actvstrat=,0.661882, actvprof=,2.132793, id=,S00, PRDE,actvstrat=,-0.640841, actvprof=,1.775568, id=,S02, PRDE,actvstrat=,-0.124116, actvprof=,0.697505, id=,S05, PRDE,actvstrat=,0.377312, actvprof=,0.008472, id=,S06, PRDE,actvstrat=,-0.962647, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.460416, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.132793, best_B_strat=,0.661882, best_S_id=,S00, best_S_prof=,1.775568, best_S_strat=,-0.640841, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.744615, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.036371, actvprof=,0.065280, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.296758, id=,S00, PRDE,actvstrat=,-0.509444, actvprof=,1.572821, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.731465, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.251151, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.296758, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.731465, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.744615, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.036371, actvprof=,0.075001, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,3.370325, id=,S00, PRDE,actvstrat=,-0.509444, actvprof=,1.460715, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.644342, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000417, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.251151, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,3.370325, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.644342, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.964768, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.182978, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.913780, actvprof=,0.001945, id=,B04, PRDE,actvstrat=,0.672997, actvprof=,0.285012, id=,B06, PRDE,actvstrat=,-0.363810, actvprof=,1.317555, id=,S00, PRDE,actvstrat=,-0.509444, actvprof=,1.583399, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.346764, id=,S05, PRDE,actvstrat=,0.578326, actvprof=,0.003889, id=,S06, PRDE,actvstrat=,0.786767, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.183760, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.317555, best_B_strat=,-0.363810, best_S_id=,S02, best_S_prof=,2.346764, best_S_strat=,-1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.964768, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.182978, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.913780, actvprof=,0.001250, id=,B04, PRDE,actvstrat=,0.672997, actvprof=,0.290145, id=,B06, PRDE,actvstrat=,-0.363810, actvprof=,1.326972, id=,S00, PRDE,actvstrat=,-0.509444, actvprof=,1.504198, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.329076, id=,S05, PRDE,actvstrat=,0.578326, actvprof=,0.003333, id=,S06, PRDE,actvstrat=,0.786767, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.183760, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.326972, best_B_strat=,-0.363810, best_S_id=,S02, best_S_prof=,2.329076, best_S_strat=,-1.000000, 
