t=,1, id=,B00, PRDE,actvstrat=,-0.214557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.128116, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.315930, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.754390, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.756083, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.072220, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.099949, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.646895, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.849612, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.173352, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.214557, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.072220, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.214557, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.128116, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.315930, actvprof=,0.047499, id=,B06, PRDE,actvstrat=,-0.754390, actvprof=,0.334713, id=,B09, PRDE,actvstrat=,0.756083, actvprof=,6.675648, id=,S00, PRDE,actvstrat=,0.072220, actvprof=,3.665732, id=,S01, PRDE,actvstrat=,0.099949, actvprof=,2.677981, id=,S02, PRDE,actvstrat=,-0.646895, actvprof=,0.478876, id=,S03, PRDE,actvstrat=,-0.849612, actvprof=,0.034443, id=,S09, PRDE,actvstrat=,-0.173352, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.675648, best_B_strat=,0.756083, best_S_id=,S00, best_S_prof=,3.665732, best_S_strat=,0.072220, 
t=,7200, id=,B00, PRDE,actvstrat=,0.166911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.152104, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.911186, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.754545, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.369137, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.958999, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.852949, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.237514, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.588070, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.149912, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.166911, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.958999, 
t=,10800, id=,B00, PRDE,actvstrat=,0.166911, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.152104, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.911186, actvprof=,0.310551, id=,B06, PRDE,actvstrat=,0.754545, actvprof=,1.693032, id=,B09, PRDE,actvstrat=,-0.369137, actvprof=,4.299107, id=,S00, PRDE,actvstrat=,0.958999, actvprof=,6.618797, id=,S01, PRDE,actvstrat=,0.852949, actvprof=,4.861877, id=,S02, PRDE,actvstrat=,0.237514, actvprof=,1.499146, id=,S03, PRDE,actvstrat=,-0.588070, actvprof=,0.113610, id=,S09, PRDE,actvstrat=,0.149912, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.299107, best_B_strat=,-0.369137, best_S_id=,S00, best_S_prof=,6.618797, best_S_strat=,0.958999, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.140877, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.451593, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.911186, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.682764, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.091353, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.559807, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.830766, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.604757, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.924802, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.052668, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.140877, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.559807, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.140877, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.451593, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.911186, actvprof=,0.113056, id=,B06, PRDE,actvstrat=,0.682764, actvprof=,1.216389, id=,B09, PRDE,actvstrat=,-0.091353, actvprof=,4.278889, id=,S00, PRDE,actvstrat=,0.559807, actvprof=,5.696389, id=,S01, PRDE,actvstrat=,-0.830766, actvprof=,0.454167, id=,S02, PRDE,actvstrat=,0.604757, actvprof=,2.807222, id=,S03, PRDE,actvstrat=,-0.924802, actvprof=,0.030278, id=,S09, PRDE,actvstrat=,0.052668, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.278889, best_B_strat=,-0.091353, best_S_id=,S00, best_S_prof=,5.696389, best_S_strat=,0.559807, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.140877, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.451593, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.911186, actvprof=,0.095000, id=,B06, PRDE,actvstrat=,0.682764, actvprof=,1.215278, id=,B09, PRDE,actvstrat=,-0.091353, actvprof=,4.273472, id=,S00, PRDE,actvstrat=,0.559807, actvprof=,5.749444, id=,S01, PRDE,actvstrat=,-0.830766, actvprof=,0.396806, id=,S02, PRDE,actvstrat=,0.604757, actvprof=,2.898194, id=,S03, PRDE,actvstrat=,-0.924802, actvprof=,0.030000, id=,S09, PRDE,actvstrat=,0.052668, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.273472, best_B_strat=,-0.091353, best_S_id=,S00, best_S_prof=,5.749444, best_S_strat=,0.559807, 
t=,25200, id=,B00, PRDE,actvstrat=,0.859771, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.266015, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.633709, actvprof=,0.056111, id=,B06, PRDE,actvstrat=,-0.267773, actvprof=,0.512778, id=,B09, PRDE,actvstrat=,-0.050418, actvprof=,5.068056, id=,S00, PRDE,actvstrat=,-0.082732, actvprof=,2.474722, id=,S01, PRDE,actvstrat=,0.578484, actvprof=,3.582500, id=,S02, PRDE,actvstrat=,0.237514, actvprof=,1.318889, id=,S03, PRDE,actvstrat=,-0.588070, actvprof=,0.088889, id=,S09, PRDE,actvstrat=,0.868324, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.068056, best_B_strat=,-0.050418, best_S_id=,S01, best_S_prof=,3.582500, best_S_strat=,0.578484, 
t=,28800, id=,B00, PRDE,actvstrat=,0.859771, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.266015, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.633709, actvprof=,0.055972, id=,B06, PRDE,actvstrat=,-0.267773, actvprof=,0.530972, id=,B09, PRDE,actvstrat=,-0.050418, actvprof=,5.171806, id=,S00, PRDE,actvstrat=,-0.082732, actvprof=,2.538194, id=,S01, PRDE,actvstrat=,0.578484, actvprof=,3.554583, id=,S02, PRDE,actvstrat=,0.237514, actvprof=,1.395139, id=,S03, PRDE,actvstrat=,-0.588070, actvprof=,0.095417, id=,S09, PRDE,actvstrat=,0.868324, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.171806, best_B_strat=,-0.050418, best_S_id=,S01, best_S_prof=,3.554583, best_S_strat=,0.578484, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.467568, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.440910, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.511843, actvprof=,0.055002, id=,B06, PRDE,actvstrat=,0.412365, actvprof=,1.025320, id=,B09, PRDE,actvstrat=,0.176872, actvprof=,5.008264, id=,S00, PRDE,actvstrat=,-0.129890, actvprof=,2.313152, id=,S01, PRDE,actvstrat=,0.572548, actvprof=,3.920997, id=,S02, PRDE,actvstrat=,-0.077408, actvprof=,0.837535, id=,S03, PRDE,actvstrat=,0.101643, actvprof=,0.643082, id=,S09, PRDE,actvstrat=,0.868324, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.008264, best_B_strat=,0.176872, best_S_id=,S01, best_S_prof=,3.920997, best_S_strat=,0.572548, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.467568, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.440910, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.511843, actvprof=,0.041529, id=,B06, PRDE,actvstrat=,0.412365, actvprof=,1.032799, id=,B09, PRDE,actvstrat=,0.176872, actvprof=,5.170524, id=,S00, PRDE,actvstrat=,-0.129890, actvprof=,2.301020, id=,S01, PRDE,actvstrat=,0.572548, actvprof=,3.963416, id=,S02, PRDE,actvstrat=,-0.077408, actvprof=,0.846407, id=,S03, PRDE,actvstrat=,0.101643, actvprof=,0.632235, id=,S09, PRDE,actvstrat=,0.868324, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.170524, best_B_strat=,0.176872, best_S_id=,S01, best_S_prof=,3.963416, best_S_strat=,0.572548, 
