t=,1, id=,B02, PRDE,actvstrat=,-0.903269, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.767683, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.936686, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.597590, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.887583, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.032381, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.057324, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.854448, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.959989, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.689773, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.903269, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.032381, 
t=,3600, id=,B02, PRDE,actvstrat=,-0.903269, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.767683, actvprof=,0.172500, id=,B07, PRDE,actvstrat=,-0.936686, actvprof=,0.698056, id=,B08, PRDE,actvstrat=,-0.597590, actvprof=,3.864722, id=,B09, PRDE,actvstrat=,-0.887583, actvprof=,3.143611, id=,S00, PRDE,actvstrat=,-0.032381, actvprof=,3.927778, id=,S03, PRDE,actvstrat=,0.057324, actvprof=,0.376111, id=,S04, PRDE,actvstrat=,-0.854448, actvprof=,0.006667, id=,S05, PRDE,actvstrat=,0.959989, actvprof=,0.022500, id=,S09, PRDE,actvstrat=,-0.689773, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.864722, best_B_strat=,-0.597590, best_S_id=,S00, best_S_prof=,3.927778, best_S_strat=,-0.032381, 
t=,7200, id=,B02, PRDE,actvstrat=,0.907731, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.566404, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.941257, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.528592, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.369147, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.460554, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.972338, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.824194, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.538110, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.351409, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.907731, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.460554, 
t=,10800, id=,B02, PRDE,actvstrat=,0.907731, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,-0.566404, actvprof=,0.362768, id=,B07, PRDE,actvstrat=,-0.941257, actvprof=,1.174412, id=,B08, PRDE,actvstrat=,0.528592, actvprof=,5.659565, id=,B09, PRDE,actvstrat=,0.369147, actvprof=,7.053137, id=,S00, PRDE,actvstrat=,0.460554, actvprof=,4.317102, id=,S03, PRDE,actvstrat=,0.972338, actvprof=,0.969695, id=,S04, PRDE,actvstrat=,0.824194, actvprof=,0.450265, id=,S05, PRDE,actvstrat=,0.538110, actvprof=,0.077498, id=,S09, PRDE,actvstrat=,-0.351409, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.053137, best_B_strat=,0.369147, best_S_id=,S00, best_S_prof=,4.317102, best_S_strat=,0.460554, 
t=,14400, id=,B02, PRDE,actvstrat=,0.907731, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.578986, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.009309, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.528592, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.951076, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.995714, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.165047, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.202749, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.455698, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.351409, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.907731, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.995714, 
t=,18000, id=,B02, PRDE,actvstrat=,0.907731, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.578986, actvprof=,0.131111, id=,B07, PRDE,actvstrat=,-0.009309, actvprof=,1.515278, id=,B08, PRDE,actvstrat=,0.528592, actvprof=,3.825000, id=,B09, PRDE,actvstrat=,0.951076, actvprof=,6.061111, id=,S00, PRDE,actvstrat=,-0.995714, actvprof=,5.796667, id=,S03, PRDE,actvstrat=,0.165047, actvprof=,1.335000, id=,S04, PRDE,actvstrat=,-0.202749, actvprof=,0.173056, id=,S05, PRDE,actvstrat=,0.455698, actvprof=,0.098333, id=,S09, PRDE,actvstrat=,-0.351409, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.061111, best_B_strat=,0.951076, best_S_id=,S00, best_S_prof=,5.796667, best_S_strat=,-0.995714, 
t=,21600, id=,B02, PRDE,actvstrat=,0.907731, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.578986, actvprof=,0.133194, id=,B07, PRDE,actvstrat=,-0.009309, actvprof=,1.464444, id=,B08, PRDE,actvstrat=,0.528592, actvprof=,3.760556, id=,B09, PRDE,actvstrat=,0.951076, actvprof=,6.102639, id=,S00, PRDE,actvstrat=,-0.995714, actvprof=,5.779861, id=,S03, PRDE,actvstrat=,0.165047, actvprof=,1.288056, id=,S04, PRDE,actvstrat=,-0.202749, actvprof=,0.156528, id=,S05, PRDE,actvstrat=,0.455698, actvprof=,0.087778, id=,S09, PRDE,actvstrat=,-0.351409, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.102639, best_B_strat=,0.951076, best_S_id=,S00, best_S_prof=,5.779861, best_S_strat=,-0.995714, 
t=,25200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.986428, actvprof=,0.727510, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.044223, id=,B08, PRDE,actvstrat=,-0.811881, actvprof=,2.572814, id=,B09, PRDE,actvstrat=,-0.909992, actvprof=,2.649203, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.672037, id=,S03, PRDE,actvstrat=,-0.376638, actvprof=,0.150835, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.219725, id=,S05, PRDE,actvstrat=,-0.815753, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.866947, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.044223, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.672037, best_S_strat=,1.000000, 
t=,28800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.986428, actvprof=,0.745288, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,4.098112, id=,B08, PRDE,actvstrat=,-0.811881, actvprof=,2.499757, id=,B09, PRDE,actvstrat=,-0.909992, actvprof=,2.671009, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.630092, id=,S03, PRDE,actvstrat=,-0.376638, actvprof=,0.175280, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.234031, id=,S05, PRDE,actvstrat=,-0.815753, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.866947, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.098112, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.630092, best_S_strat=,1.000000, 
t=,32400, id=,B02, PRDE,actvstrat=,0.935409, actvprof=,0.005556, id=,B05, PRDE,actvstrat=,-0.566404, actvprof=,0.147504, id=,B07, PRDE,actvstrat=,0.125527, actvprof=,2.302564, id=,B08, PRDE,actvstrat=,-0.636446, actvprof=,2.518959, id=,B09, PRDE,actvstrat=,0.369147, actvprof=,5.701269, id=,S00, PRDE,actvstrat=,0.460554, actvprof=,5.309314, id=,S03, PRDE,actvstrat=,0.572201, actvprof=,1.253090, id=,S04, PRDE,actvstrat=,-0.096935, actvprof=,0.149726, id=,S05, PRDE,actvstrat=,0.455698, actvprof=,0.073335, id=,S09, PRDE,actvstrat=,-0.866947, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.701269, best_B_strat=,0.369147, best_S_id=,S00, best_S_prof=,5.309314, best_S_strat=,0.460554, 
t=,36000, id=,B02, PRDE,actvstrat=,0.935409, actvprof=,0.002917, id=,B05, PRDE,actvstrat=,-0.566404, actvprof=,0.133475, id=,B07, PRDE,actvstrat=,0.125527, actvprof=,2.288659, id=,B08, PRDE,actvstrat=,-0.636446, actvprof=,2.558387, id=,B09, PRDE,actvstrat=,0.369147, actvprof=,5.687341, id=,S00, PRDE,actvstrat=,0.460554, actvprof=,5.366501, id=,S03, PRDE,actvstrat=,0.572201, actvprof=,1.222109, id=,S04, PRDE,actvstrat=,-0.096935, actvprof=,0.126530, id=,S05, PRDE,actvstrat=,0.455698, actvprof=,0.092641, id=,S09, PRDE,actvstrat=,-0.866947, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.687341, best_B_strat=,0.369147, best_S_id=,S00, best_S_prof=,5.366501, best_S_strat=,0.460554, 
