t=,0, id=,B03, PRDE,actvstrat=,-0.637101, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.522654, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.551757, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.385562, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.067003, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.249936, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.588381, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.431436, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.898569, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,-0.637101, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.067003, 
t=,3600, id=,B03, PRDE,actvstrat=,-0.637101, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.174506, actvprof=,0.046389, id=,B05, PRDE,actvstrat=,0.522654, actvprof=,0.590000, id=,B06, PRDE,actvstrat=,-0.551757, actvprof=,0.641667, id=,B09, PRDE,actvstrat=,-0.385562, actvprof=,4.636111, id=,S00, PRDE,actvstrat=,-0.067003, actvprof=,4.407500, id=,S03, PRDE,actvstrat=,-0.249936, actvprof=,0.318611, id=,S04, PRDE,actvstrat=,0.588381, actvprof=,0.307778, id=,S05, PRDE,actvstrat=,0.431436, actvprof=,0.034167, id=,S09, PRDE,actvstrat=,0.898569, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.636111, best_B_strat=,-0.385562, best_S_id=,S00, best_S_prof=,4.407500, best_S_strat=,-0.067003, 
t=,7200, id=,B03, PRDE,actvstrat=,0.745935, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.969898, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.792717, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.272498, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.900093, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.922904, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.302365, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.616051, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.108691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.557412, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,0.745935, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.922904, 
t=,10800, id=,B03, PRDE,actvstrat=,0.745935, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.969898, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-0.792717, actvprof=,0.011389, id=,B06, PRDE,actvstrat=,0.272498, actvprof=,0.987209, id=,B09, PRDE,actvstrat=,0.900093, actvprof=,6.636297, id=,S00, PRDE,actvstrat=,-0.922904, actvprof=,1.475257, id=,S03, PRDE,actvstrat=,-0.302365, actvprof=,0.425272, id=,S04, PRDE,actvstrat=,0.616051, actvprof=,0.500549, id=,S05, PRDE,actvstrat=,-0.108691, actvprof=,0.006944, id=,S09, PRDE,actvstrat=,0.557412, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.636297, best_B_strat=,0.900093, best_S_id=,S00, best_S_prof=,1.475257, best_S_strat=,-0.922904, 
t=,14400, id=,B03, PRDE,actvstrat=,0.665671, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.291641, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.951453, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.370957, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.048669, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.520458, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.302365, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.256190, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.381939, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.347223, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,0.665671, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.520458, 
t=,18000, id=,B03, PRDE,actvstrat=,0.665671, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.291641, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,0.951453, actvprof=,0.197778, id=,B06, PRDE,actvstrat=,-0.370957, actvprof=,0.134167, id=,B09, PRDE,actvstrat=,-0.048669, actvprof=,4.148056, id=,S00, PRDE,actvstrat=,-0.520458, actvprof=,4.222778, id=,S03, PRDE,actvstrat=,-0.302365, actvprof=,0.706667, id=,S04, PRDE,actvstrat=,-0.256190, actvprof=,0.150000, id=,S05, PRDE,actvstrat=,-0.381939, actvprof=,0.004167, id=,S09, PRDE,actvstrat=,-0.347223, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.148056, best_B_strat=,-0.048669, best_S_id=,S00, best_S_prof=,4.222778, best_S_strat=,-0.520458, 
t=,21600, id=,B03, PRDE,actvstrat=,0.665671, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.291641, actvprof=,0.001667, id=,B05, PRDE,actvstrat=,0.951453, actvprof=,0.150417, id=,B06, PRDE,actvstrat=,-0.370957, actvprof=,0.140556, id=,B09, PRDE,actvstrat=,-0.048669, actvprof=,4.227917, id=,S00, PRDE,actvstrat=,-0.520458, actvprof=,4.071806, id=,S03, PRDE,actvstrat=,-0.302365, actvprof=,0.628889, id=,S04, PRDE,actvstrat=,-0.256190, actvprof=,0.126667, id=,S05, PRDE,actvstrat=,-0.381939, actvprof=,0.010278, id=,S09, PRDE,actvstrat=,-0.347223, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.227917, best_B_strat=,-0.048669, best_S_id=,S00, best_S_prof=,4.071806, best_S_strat=,-0.520458, 
t=,25200, id=,B03, PRDE,actvstrat=,0.122636, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,0.110962, actvprof=,0.071668, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.297504, id=,B06, PRDE,actvstrat=,0.396639, actvprof=,2.383089, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,7.638162, id=,S00, PRDE,actvstrat=,-0.928836, actvprof=,0.926957, id=,S03, PRDE,actvstrat=,0.886829, actvprof=,1.061959, id=,S04, PRDE,actvstrat=,0.993805, actvprof=,0.223614, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.004722, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.638162, best_B_strat=,0.585765, best_S_id=,S03, best_S_prof=,1.061959, best_S_strat=,0.886829, 
t=,28800, id=,B03, PRDE,actvstrat=,0.122636, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.110962, actvprof=,0.088612, id=,B05, PRDE,actvstrat=,-0.462391, actvprof=,0.315697, id=,B06, PRDE,actvstrat=,0.396639, actvprof=,2.352377, id=,B09, PRDE,actvstrat=,0.585765, actvprof=,7.614081, id=,S00, PRDE,actvstrat=,-0.928836, actvprof=,0.963062, id=,S03, PRDE,actvstrat=,0.886829, actvprof=,1.061674, id=,S04, PRDE,actvstrat=,0.993805, actvprof=,0.219307, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.006806, id=,S09, PRDE,actvstrat=,0.511049, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.614081, best_B_strat=,0.585765, best_S_id=,S03, best_S_prof=,1.061674, best_S_strat=,0.886829, 
t=,32400, id=,B03, PRDE,actvstrat=,0.579259, actvprof=,0.002222, id=,B04, PRDE,actvstrat=,0.110962, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,0.955408, actvprof=,0.176674, id=,B06, PRDE,actvstrat=,0.396639, actvprof=,0.636415, id=,B09, PRDE,actvstrat=,-0.671977, actvprof=,3.116519, id=,S00, PRDE,actvstrat=,-0.520458, actvprof=,3.947109, id=,S03, PRDE,actvstrat=,0.465089, actvprof=,2.126477, id=,S04, PRDE,actvstrat=,-0.548005, actvprof=,0.114171, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.005556, id=,S09, PRDE,actvstrat=,0.082545, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.116519, best_B_strat=,-0.671977, best_S_id=,S00, best_S_prof=,3.947109, best_S_strat=,-0.520458, 
t=,36000, id=,B03, PRDE,actvstrat=,0.579259, actvprof=,0.005139, id=,B04, PRDE,actvstrat=,0.110962, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,0.955408, actvprof=,0.198893, id=,B06, PRDE,actvstrat=,0.396639, actvprof=,0.627791, id=,B09, PRDE,actvstrat=,-0.671977, actvprof=,3.065203, id=,S00, PRDE,actvstrat=,-0.520458, actvprof=,3.979944, id=,S03, PRDE,actvstrat=,0.465089, actvprof=,2.038376, id=,S04, PRDE,actvstrat=,-0.548005, actvprof=,0.114169, id=,S05, PRDE,actvstrat=,-0.545457, actvprof=,0.003195, id=,S09, PRDE,actvstrat=,0.082545, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.065203, best_B_strat=,-0.671977, best_S_id=,S00, best_S_prof=,3.979944, best_S_strat=,-0.520458, 
