t=,1, id=,B01, PRDE,actvstrat=,-0.744462, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.075821, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.184510, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.602073, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.746479, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.918463, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.727910, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.818743, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.116691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.915126, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.744462, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.918463, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.744462, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.075821, actvprof=,0.608333, id=,B06, PRDE,actvstrat=,0.184510, actvprof=,2.181111, id=,B07, PRDE,actvstrat=,-0.602073, actvprof=,2.310000, id=,B09, PRDE,actvstrat=,-0.746479, actvprof=,5.047222, id=,S00, PRDE,actvstrat=,0.918463, actvprof=,5.590000, id=,S04, PRDE,actvstrat=,-0.727910, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.818743, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.116691, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.915126, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.047222, best_B_strat=,-0.746479, best_S_id=,S00, best_S_prof=,5.590000, best_S_strat=,0.918463, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.324241, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.032135, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.722553, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.843797, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.198053, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.935317, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.431963, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.028760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.222325, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.435216, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.324241, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.935317, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.324241, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.032135, actvprof=,0.262500, id=,B06, PRDE,actvstrat=,0.722553, actvprof=,2.229722, id=,B07, PRDE,actvstrat=,-0.843797, actvprof=,0.678889, id=,B09, PRDE,actvstrat=,-0.198053, actvprof=,5.037500, id=,S00, PRDE,actvstrat=,-0.935317, actvprof=,0.111944, id=,S04, PRDE,actvstrat=,0.431963, actvprof=,0.044167, id=,S06, PRDE,actvstrat=,-0.028760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.222325, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.435216, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.037500, best_B_strat=,-0.198053, best_S_id=,S00, best_S_prof=,0.111944, best_S_strat=,-0.935317, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.324241, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.032135, actvprof=,0.260139, id=,B06, PRDE,actvstrat=,0.722553, actvprof=,2.181806, id=,B07, PRDE,actvstrat=,-0.843797, actvprof=,0.719028, id=,B09, PRDE,actvstrat=,-0.198053, actvprof=,5.060972, id=,S00, PRDE,actvstrat=,-0.935317, actvprof=,0.094861, id=,S04, PRDE,actvstrat=,0.431963, actvprof=,0.055833, id=,S06, PRDE,actvstrat=,-0.028760, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.222325, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.435216, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.060972, best_B_strat=,-0.198053, best_S_id=,S00, best_S_prof=,0.094861, best_S_strat=,-0.935317, 
t=,18000, id=,B01, PRDE,actvstrat=,0.809984, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.113821, actvprof=,0.826377, id=,B06, PRDE,actvstrat=,-0.659512, actvprof=,1.003597, id=,B07, PRDE,actvstrat=,-0.602073, actvprof=,2.546076, id=,B09, PRDE,actvstrat=,-0.017139, actvprof=,6.404911, id=,S00, PRDE,actvstrat=,0.279940, actvprof=,2.937181, id=,S04, PRDE,actvstrat=,0.821253, actvprof=,0.059999, id=,S06, PRDE,actvstrat=,-0.349939, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.448449, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.015576, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.404911, best_B_strat=,-0.017139, best_S_id=,S00, best_S_prof=,2.937181, best_S_strat=,0.279940, 
t=,21600, id=,B01, PRDE,actvstrat=,0.809984, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.113821, actvprof=,0.774866, id=,B06, PRDE,actvstrat=,-0.659512, actvprof=,1.007229, id=,B07, PRDE,actvstrat=,-0.602073, actvprof=,2.466962, id=,B09, PRDE,actvstrat=,-0.017139, actvprof=,6.341433, id=,S00, PRDE,actvstrat=,0.279940, actvprof=,2.994882, id=,S04, PRDE,actvstrat=,0.821253, actvprof=,0.071250, id=,S06, PRDE,actvstrat=,-0.349939, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.448449, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.015576, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.341433, best_B_strat=,-0.017139, best_S_id=,S00, best_S_prof=,2.994882, best_S_strat=,0.279940, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.419286, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.605096, actvprof=,0.243889, id=,B06, PRDE,actvstrat=,0.201251, actvprof=,2.219167, id=,B07, PRDE,actvstrat=,0.246508, actvprof=,3.788611, id=,B09, PRDE,actvstrat=,-0.169862, actvprof=,5.864444, id=,S00, PRDE,actvstrat=,0.406997, actvprof=,3.629722, id=,S04, PRDE,actvstrat=,0.894825, actvprof=,0.148611, id=,S06, PRDE,actvstrat=,0.370654, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.875522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.760362, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.864444, best_B_strat=,-0.169862, best_S_id=,S00, best_S_prof=,3.629722, best_S_strat=,0.406997, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.419286, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.605096, actvprof=,0.245281, id=,B06, PRDE,actvstrat=,0.201251, actvprof=,2.186141, id=,B07, PRDE,actvstrat=,0.246508, actvprof=,3.839637, id=,B09, PRDE,actvstrat=,-0.169862, actvprof=,5.929805, id=,S00, PRDE,actvstrat=,0.406997, actvprof=,3.492271, id=,S04, PRDE,actvstrat=,0.894825, actvprof=,0.146530, id=,S06, PRDE,actvstrat=,0.370654, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.875522, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.760362, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.929805, best_B_strat=,-0.169862, best_S_id=,S00, best_S_prof=,3.492271, best_S_strat=,0.406997, 
t=,32400, id=,B01, PRDE,actvstrat=,0.420161, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.113821, actvprof=,0.309731, id=,B06, PRDE,actvstrat=,0.837383, actvprof=,2.373399, id=,B07, PRDE,actvstrat=,-0.853684, actvprof=,0.660574, id=,B09, PRDE,actvstrat=,-0.514085, actvprof=,4.963193, id=,S00, PRDE,actvstrat=,-0.243516, actvprof=,1.446707, id=,S04, PRDE,actvstrat=,-0.187116, actvprof=,0.006389, id=,S06, PRDE,actvstrat=,0.465171, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.871694, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.435216, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.963193, best_B_strat=,-0.514085, best_S_id=,S00, best_S_prof=,1.446707, best_S_strat=,-0.243516, 
t=,36000, id=,B01, PRDE,actvstrat=,0.420161, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.113821, actvprof=,0.300423, id=,B06, PRDE,actvstrat=,0.837383, actvprof=,2.342410, id=,B07, PRDE,actvstrat=,-0.853684, actvprof=,0.682375, id=,B09, PRDE,actvstrat=,-0.514085, actvprof=,4.888574, id=,S00, PRDE,actvstrat=,-0.243516, actvprof=,1.507670, id=,S04, PRDE,actvstrat=,-0.187116, actvprof=,0.018334, id=,S06, PRDE,actvstrat=,0.465171, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.871694, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.435216, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.888574, best_B_strat=,-0.514085, best_S_id=,S00, best_S_prof=,1.507670, best_S_strat=,-0.243516, 
