t=,0, id=,B00, PRDE,actvstrat=,-0.134500, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.323635, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.806740, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.483944, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.193556, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.595825, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.277541, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.756857, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.127381, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.083853, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.134500, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.595825, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.134500, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.323635, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.806740, actvprof=,0.569722, id=,B07, PRDE,actvstrat=,0.483944, actvprof=,1.302778, id=,B09, PRDE,actvstrat=,0.193556, actvprof=,3.758056, id=,S00, PRDE,actvstrat=,-0.595825, actvprof=,3.940278, id=,S02, PRDE,actvstrat=,-0.277541, actvprof=,1.811389, id=,S03, PRDE,actvstrat=,0.756857, actvprof=,3.145000, id=,S04, PRDE,actvstrat=,-0.127381, actvprof=,0.274167, id=,S05, PRDE,actvstrat=,0.083853, actvprof=,0.134444, best_B_id=,B09, best_B_prof=,3.758056, best_B_strat=,0.193556, best_S_id=,S00, best_S_prof=,3.940278, best_S_strat=,-0.595825, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.242712, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.034291, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.595112, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.398328, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.234161, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.656057, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.904530, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.356784, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.337586, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.083591, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.242712, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.656057, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.242712, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.034291, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.595112, actvprof=,0.358328, id=,B07, PRDE,actvstrat=,0.398328, actvprof=,1.169428, id=,B09, PRDE,actvstrat=,-0.234161, actvprof=,2.668574, id=,S00, PRDE,actvstrat=,0.656057, actvprof=,7.348231, id=,S02, PRDE,actvstrat=,-0.904530, actvprof=,0.316662, id=,S03, PRDE,actvstrat=,0.356784, actvprof=,2.039416, id=,S04, PRDE,actvstrat=,-0.337586, actvprof=,0.112498, id=,S05, PRDE,actvstrat=,-0.083591, actvprof=,0.049166, best_B_id=,B09, best_B_prof=,2.668574, best_B_strat=,-0.234161, best_S_id=,S00, best_S_prof=,7.348231, best_S_strat=,0.656057, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.242712, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.034291, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.595112, actvprof=,0.355694, id=,B07, PRDE,actvstrat=,0.398328, actvprof=,1.197639, id=,B09, PRDE,actvstrat=,-0.234161, actvprof=,2.670139, id=,S00, PRDE,actvstrat=,0.656057, actvprof=,7.411111, id=,S02, PRDE,actvstrat=,-0.904530, actvprof=,0.299306, id=,S03, PRDE,actvstrat=,0.356784, actvprof=,2.030278, id=,S04, PRDE,actvstrat=,-0.337586, actvprof=,0.134306, id=,S05, PRDE,actvstrat=,-0.083591, actvprof=,0.050694, best_B_id=,B09, best_B_prof=,2.670139, best_B_strat=,-0.234161, best_S_id=,S00, best_S_prof=,7.411111, best_S_strat=,0.656057, 
t=,18000, id=,B00, PRDE,actvstrat=,0.345751, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.034291, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.595112, actvprof=,0.476118, id=,B07, PRDE,actvstrat=,-0.124968, actvprof=,0.718343, id=,B09, PRDE,actvstrat=,-0.767186, actvprof=,2.038084, id=,S00, PRDE,actvstrat=,-0.516158, actvprof=,3.824220, id=,S02, PRDE,actvstrat=,0.191270, actvprof=,3.050320, id=,S03, PRDE,actvstrat=,-0.071753, actvprof=,0.879179, id=,S04, PRDE,actvstrat=,-0.501289, actvprof=,0.129724, id=,S05, PRDE,actvstrat=,-0.642585, actvprof=,0.010556, best_B_id=,B09, best_B_prof=,2.038084, best_B_strat=,-0.767186, best_S_id=,S00, best_S_prof=,3.824220, best_S_strat=,-0.516158, 
t=,21600, id=,B00, PRDE,actvstrat=,0.345751, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.034291, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.595112, actvprof=,0.460975, id=,B07, PRDE,actvstrat=,-0.124968, actvprof=,0.699866, id=,B09, PRDE,actvstrat=,-0.767186, actvprof=,2.041681, id=,S00, PRDE,actvstrat=,-0.516158, actvprof=,3.689331, id=,S02, PRDE,actvstrat=,0.191270, actvprof=,3.055855, id=,S03, PRDE,actvstrat=,-0.071753, actvprof=,0.894451, id=,S04, PRDE,actvstrat=,-0.501289, actvprof=,0.116667, id=,S05, PRDE,actvstrat=,-0.642585, actvprof=,0.006389, best_B_id=,B09, best_B_prof=,2.041681, best_B_strat=,-0.767186, best_S_id=,S00, best_S_prof=,3.689331, best_S_strat=,-0.516158, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.094405, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.044470, actvprof=,1.381130, id=,B07, PRDE,actvstrat=,0.820296, actvprof=,4.371450, id=,B09, PRDE,actvstrat=,-0.593972, actvprof=,4.815345, id=,S00, PRDE,actvstrat=,-0.130169, actvprof=,2.447256, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.847262, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.268073, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.291393, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.070557, best_B_id=,B09, best_B_prof=,4.815345, best_B_strat=,-0.593972, best_S_id=,S02, best_S_prof=,2.847262, best_S_strat=,-1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.094405, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.044470, actvprof=,1.395297, id=,B07, PRDE,actvstrat=,0.820296, actvprof=,4.256865, id=,B09, PRDE,actvstrat=,-0.593972, actvprof=,4.848262, id=,S00, PRDE,actvstrat=,-0.130169, actvprof=,2.454062, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,2.827678, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.297796, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.303754, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.067501, best_B_id=,B09, best_B_prof=,4.848262, best_B_strat=,-0.593972, best_S_id=,S02, best_S_prof=,2.827678, best_S_strat=,-1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.142261, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.094405, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.453564, actvprof=,0.289734, id=,B07, PRDE,actvstrat=,0.648233, actvprof=,2.332597, id=,B09, PRDE,actvstrat=,-0.234161, actvprof=,3.627096, id=,S00, PRDE,actvstrat=,0.375792, actvprof=,5.840799, id=,S02, PRDE,actvstrat=,0.392754, actvprof=,2.832618, id=,S03, PRDE,actvstrat=,0.467781, actvprof=,1.585344, id=,S04, PRDE,actvstrat=,-0.985019, actvprof=,0.534745, id=,S05, PRDE,actvstrat=,-0.750537, actvprof=,0.018056, best_B_id=,B09, best_B_prof=,3.627096, best_B_strat=,-0.234161, best_S_id=,S00, best_S_prof=,5.840799, best_S_strat=,0.375792, 
t=,36000, id=,B00, PRDE,actvstrat=,0.142261, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.094405, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.453564, actvprof=,0.271811, id=,B07, PRDE,actvstrat=,0.648233, actvprof=,2.356855, id=,B09, PRDE,actvstrat=,-0.234161, actvprof=,3.512712, id=,S00, PRDE,actvstrat=,0.375792, actvprof=,5.720258, id=,S02, PRDE,actvstrat=,0.392754, actvprof=,2.844087, id=,S03, PRDE,actvstrat=,0.467781, actvprof=,1.588089, id=,S04, PRDE,actvstrat=,-0.985019, actvprof=,0.535150, id=,S05, PRDE,actvstrat=,-0.750537, actvprof=,0.014028, best_B_id=,B09, best_B_prof=,3.512712, best_B_strat=,-0.234161, best_S_id=,S00, best_S_prof=,5.720258, best_S_strat=,0.375792, 
