t=,0, id=,B00, PRDE,actvstrat=,-0.698003, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.156307, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.004028, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.287650, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.811016, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.501100, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.189580, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.271354, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.006312, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.646399, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.698003, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.501100, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.698003, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.156307, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.004028, actvprof=,1.509444, id=,B08, PRDE,actvstrat=,0.287650, actvprof=,3.515000, id=,B09, PRDE,actvstrat=,-0.811016, actvprof=,2.457222, id=,S02, PRDE,actvstrat=,0.501100, actvprof=,2.479722, id=,S03, PRDE,actvstrat=,0.189580, actvprof=,0.869167, id=,S04, PRDE,actvstrat=,0.271354, actvprof=,0.249444, id=,S05, PRDE,actvstrat=,0.006312, actvprof=,0.021389, id=,S08, PRDE,actvstrat=,0.646399, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.515000, best_B_strat=,0.287650, best_S_id=,S02, best_S_prof=,2.479722, best_S_strat=,0.501100, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.950438, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.373108, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.701016, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.540464, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.346723, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.908837, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.841740, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.568897, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.343539, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.746883, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.950438, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.908837, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.950438, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.373108, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.701016, actvprof=,2.467188, id=,B08, PRDE,actvstrat=,-0.540464, actvprof=,1.949973, id=,B09, PRDE,actvstrat=,-0.346723, actvprof=,3.499118, id=,S02, PRDE,actvstrat=,-0.908837, actvprof=,0.041111, id=,S03, PRDE,actvstrat=,0.841740, actvprof=,2.444688, id=,S04, PRDE,actvstrat=,0.568897, actvprof=,0.469160, id=,S05, PRDE,actvstrat=,-0.343539, actvprof=,0.002500, id=,S08, PRDE,actvstrat=,-0.746883, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.499118, best_B_strat=,-0.346723, best_S_id=,S03, best_S_prof=,2.444688, best_S_strat=,0.841740, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.896609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.981794, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.136425, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.629916, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.313009, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.088301, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.052212, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.683352, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.441957, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.746883, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.896609, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.088301, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.896609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.981794, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.136425, actvprof=,1.352203, id=,B08, PRDE,actvstrat=,-0.629916, actvprof=,1.773309, id=,B09, PRDE,actvstrat=,-0.313009, actvprof=,3.071902, id=,S02, PRDE,actvstrat=,-0.088301, actvprof=,1.067207, id=,S03, PRDE,actvstrat=,0.052212, actvprof=,0.951376, id=,S04, PRDE,actvstrat=,-0.683352, actvprof=,0.031111, id=,S05, PRDE,actvstrat=,-0.441957, actvprof=,0.008055, id=,S08, PRDE,actvstrat=,-0.746883, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.071902, best_B_strat=,-0.313009, best_S_id=,S02, best_S_prof=,1.067207, best_S_strat=,-0.088301, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.896609, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.981794, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.136425, actvprof=,1.356111, id=,B08, PRDE,actvstrat=,-0.629916, actvprof=,1.725694, id=,B09, PRDE,actvstrat=,-0.313009, actvprof=,3.178472, id=,S02, PRDE,actvstrat=,-0.088301, actvprof=,1.174444, id=,S03, PRDE,actvstrat=,0.052212, actvprof=,0.986944, id=,S04, PRDE,actvstrat=,-0.683352, actvprof=,0.044444, id=,S05, PRDE,actvstrat=,-0.441957, actvprof=,0.006528, id=,S08, PRDE,actvstrat=,-0.746883, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.178472, best_B_strat=,-0.313009, best_S_id=,S02, best_S_prof=,1.174444, best_S_strat=,-0.088301, 
t=,25200, id=,B00, PRDE,actvstrat=,0.864490, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.813684, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.147821, id=,B08, PRDE,actvstrat=,-0.848011, actvprof=,1.248351, id=,B09, PRDE,actvstrat=,-0.017804, actvprof=,4.862290, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.189503, id=,S03, PRDE,actvstrat=,0.231455, actvprof=,0.818067, id=,S04, PRDE,actvstrat=,-0.389586, actvprof=,0.011389, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.104168, id=,S08, PRDE,actvstrat=,0.733660, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.862290, best_B_strat=,-0.017804, best_S_id=,S02, best_S_prof=,4.189503, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.864490, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.813684, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.182244, id=,B08, PRDE,actvstrat=,-0.848011, actvprof=,1.293759, id=,B09, PRDE,actvstrat=,-0.017804, actvprof=,4.869895, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.173640, id=,S03, PRDE,actvstrat=,0.231455, actvprof=,0.778894, id=,S04, PRDE,actvstrat=,-0.389586, actvprof=,0.009306, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.089723, id=,S08, PRDE,actvstrat=,0.733660, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.869895, best_B_strat=,-0.017804, best_S_id=,S02, best_S_prof=,4.173640, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.864490, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.677874, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.108048, actvprof=,1.093086, id=,B08, PRDE,actvstrat=,-0.062083, actvprof=,2.565905, id=,B09, PRDE,actvstrat=,0.026631, actvprof=,4.573460, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.353732, id=,S03, PRDE,actvstrat=,-0.162031, actvprof=,0.222506, id=,S04, PRDE,actvstrat=,-0.006626, actvprof=,0.170283, id=,S05, PRDE,actvstrat=,-0.173152, actvprof=,0.005000, id=,S08, PRDE,actvstrat=,0.558616, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.573460, best_B_strat=,0.026631, best_S_id=,S02, best_S_prof=,4.353732, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,0.864490, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.677874, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.108048, actvprof=,1.141544, id=,B08, PRDE,actvstrat=,-0.062083, actvprof=,2.546424, id=,B09, PRDE,actvstrat=,0.026631, actvprof=,4.525480, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,4.390894, id=,S03, PRDE,actvstrat=,-0.162031, actvprof=,0.232225, id=,S04, PRDE,actvstrat=,-0.006626, actvprof=,0.174864, id=,S05, PRDE,actvstrat=,-0.173152, actvprof=,0.003889, id=,S08, PRDE,actvstrat=,0.558616, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,4.525480, best_B_strat=,0.026631, best_S_id=,S02, best_S_prof=,4.390894, best_S_strat=,1.000000, 
