t=,1, id=,B00, PRDE,actvstrat=,-0.214970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906814, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.410926, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.246869, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.199896, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.410022, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.115103, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.807366, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.620980, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.395391, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.214970, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.410022, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.214970, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.906814, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,0.410926, actvprof=,0.559722, id=,B06, PRDE,actvstrat=,-0.246869, actvprof=,0.842222, id=,B07, PRDE,actvstrat=,0.199896, actvprof=,3.050278, id=,S01, PRDE,actvstrat=,0.410022, actvprof=,2.806389, id=,S02, PRDE,actvstrat=,-0.115103, actvprof=,0.459722, id=,S03, PRDE,actvstrat=,0.807366, actvprof=,1.028889, id=,S08, PRDE,actvstrat=,0.620980, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.395391, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.050278, best_B_strat=,0.199896, best_S_id=,S01, best_S_prof=,2.806389, best_S_strat=,0.410022, 
t=,7200, id=,B00, PRDE,actvstrat=,0.135132, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.882129, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.986090, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.264290, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.494382, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.566230, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.499769, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.849932, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.875487, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.197609, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.135132, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.566230, 
t=,10800, id=,B00, PRDE,actvstrat=,0.135132, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.882129, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.986090, actvprof=,0.506653, id=,B06, PRDE,actvstrat=,-0.264290, actvprof=,0.506653, id=,B07, PRDE,actvstrat=,-0.494382, actvprof=,1.451071, id=,S01, PRDE,actvstrat=,0.566230, actvprof=,3.921836, id=,S02, PRDE,actvstrat=,0.499769, actvprof=,2.052999, id=,S03, PRDE,actvstrat=,-0.849932, actvprof=,0.018333, id=,S08, PRDE,actvstrat=,-0.875487, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.197609, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.451071, best_B_strat=,-0.494382, best_S_id=,S01, best_S_prof=,3.921836, best_S_strat=,0.566230, 
t=,14400, id=,B00, PRDE,actvstrat=,0.135132, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.882129, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,0.986090, actvprof=,0.519306, id=,B06, PRDE,actvstrat=,-0.264290, actvprof=,0.505000, id=,B07, PRDE,actvstrat=,-0.494382, actvprof=,1.449861, id=,S01, PRDE,actvstrat=,0.566230, actvprof=,3.870417, id=,S02, PRDE,actvstrat=,0.499769, actvprof=,2.091250, id=,S03, PRDE,actvstrat=,-0.849932, actvprof=,0.017917, id=,S08, PRDE,actvstrat=,-0.875487, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.197609, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.449861, best_B_strat=,-0.494382, best_S_id=,S01, best_S_prof=,3.870417, best_S_strat=,0.566230, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.948879, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.720947, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.088850, actvprof=,0.423617, id=,B06, PRDE,actvstrat=,-0.264290, actvprof=,1.187516, id=,B07, PRDE,actvstrat=,-0.230578, actvprof=,2.617814, id=,S01, PRDE,actvstrat=,0.566230, actvprof=,2.736149, id=,S02, PRDE,actvstrat=,0.541757, actvprof=,1.330018, id=,S03, PRDE,actvstrat=,0.487946, actvprof=,0.305838, id=,S08, PRDE,actvstrat=,-0.721310, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.631687, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.617814, best_B_strat=,-0.230578, best_S_id=,S01, best_S_prof=,2.736149, best_S_strat=,0.566230, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.948879, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.720947, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.088850, actvprof=,0.406531, id=,B06, PRDE,actvstrat=,-0.264290, actvprof=,1.175980, id=,B07, PRDE,actvstrat=,-0.230578, actvprof=,2.650435, id=,S01, PRDE,actvstrat=,0.566230, actvprof=,2.781269, id=,S02, PRDE,actvstrat=,0.541757, actvprof=,1.383482, id=,S03, PRDE,actvstrat=,0.487946, actvprof=,0.320419, id=,S08, PRDE,actvstrat=,-0.721310, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.631687, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.650435, best_B_strat=,-0.230578, best_S_id=,S01, best_S_prof=,2.781269, best_S_strat=,0.566230, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.915290, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.690037, id=,B07, PRDE,actvstrat=,0.441322, actvprof=,3.509493, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.044515, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.156988, id=,S03, PRDE,actvstrat=,0.882491, actvprof=,1.585300, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.509493, best_B_strat=,0.441322, best_S_id=,S01, best_S_prof=,5.044515, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.957923, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.696130, id=,B07, PRDE,actvstrat=,0.441322, actvprof=,3.469885, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.994201, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.134605, id=,S03, PRDE,actvstrat=,0.882491, actvprof=,1.523205, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.469885, best_B_strat=,0.441322, best_S_id=,S01, best_S_prof=,4.994201, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.975137, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.395530, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.980071, actvprof=,0.857258, id=,B06, PRDE,actvstrat=,-0.291182, actvprof=,0.715308, id=,B07, PRDE,actvstrat=,-0.030628, actvprof=,2.520105, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.923816, id=,S02, PRDE,actvstrat=,-0.676822, actvprof=,0.261122, id=,S03, PRDE,actvstrat=,0.882491, actvprof=,1.492284, id=,S08, PRDE,actvstrat=,0.469642, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.445082, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.520105, best_B_strat=,-0.030628, best_S_id=,S01, best_S_prof=,4.923816, best_S_strat=,1.000000, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.975137, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.395530, actvprof=,0.000694, id=,B05, PRDE,actvstrat=,0.980071, actvprof=,0.817228, id=,B06, PRDE,actvstrat=,-0.291182, actvprof=,0.717644, id=,B07, PRDE,actvstrat=,-0.030628, actvprof=,2.473351, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.980451, id=,S02, PRDE,actvstrat=,-0.676822, actvprof=,0.304863, id=,S03, PRDE,actvstrat=,0.882491, actvprof=,1.502510, id=,S08, PRDE,actvstrat=,0.469642, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.445082, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.473351, best_B_strat=,-0.030628, best_S_id=,S01, best_S_prof=,4.980451, best_S_strat=,1.000000, 
