B00, 1
B00, Trade, 192419.050, 60, S00, B00, 1
B01, 100
B01, Trade, 3901160.645, 67, B01, S00, 1
B01, Trade, 3903686.295, 67, B01, S00, 1
B01, Trade, 3906807.695, 67, B01, S00, 1
B01, Trade, 3910615.145, 67, B01, S00, 1
B01, Trade, 3913816.695, 67, B01, S00, 1
B01, Trade, 3918141.445, 66, B01, S00, 1
B01, Trade, 3919761.295, 67, B01, S00, 1
B01, Trade, 3924957.245, 67, B01, S00, 1
B01, Trade, 3924971.845, 67, B01, S00, 1
B01, Trade, 3928429.795, 66, B01, S00, 1
B01, Trade, 3928568.145, 66, B01, S00, 1
B01, Trade, 3932584.095, 67, B01, S00, 1
B01, Trade, 3936351.595, 67, B01, S00, 1
B01, Trade, 3944587.444, 66, B01, S00, 1
B01, Trade, 3950921.744, 67, B01, S00, 1
B01, Trade, 3951349.144, 67, B01, S00, 1
B01, Trade, 3969011.144, 67, B01, S00, 1
B01, Trade, 3974325.444, 67, B01, S00, 1
B01, Trade, 3984953.594, 67, B01, S00, 1
B01, Trade, 3998784.644, 67, B01, S00, 1
B01, Trade, 4001344.844, 67, B01, S00, 1
B01, Trade, 4001656.144, 67, B01, S00, 1
B01, Trade, 4002193.044, 67, B01, S00, 1
B01, Trade, 4003007.744, 67, B01, S00, 1
B01, Trade, 4011020.194, 67, B01, S00, 1
B01, Trade, 4023106.944, 64, S00, B01, 1
B01, Trade, 4023997.444, 66, B01, S00, 1
B01, Trade, 4029008.544, 66, B01, S00, 1
B01, Trade, 4039256.494, 67, B01, S00, 1
B01, Trade, 4040325.094, 67, B01, S00, 1
B01, Trade, 4044638.494, 67, B01, S00, 1
B01, Trade, 4044750.844, 66, B01, S00, 1
B01, Trade, 4047892.144, 67, B01, S00, 1
B01, Trade, 4053673.544, 67, B01, S00, 1
B01, Trade, 4057344.744, 67, B01, S00, 1
B01, Trade, 4057884.644, 67, B01, S00, 1
B01, Trade, 4066797.594, 67, B01, S00, 1
B01, Trade, 4092389.844, 67, B01, S00, 1
B01, Trade, 4095182.344, 67, B01, S00, 1
B01, Trade, 4097504.744, 66, B01, S00, 1
B01, Trade, 4097822.194, 65, B01, S00, 1
B01, Trade, 4101951.994, 65, B01, S00, 1
B01, Trade, 4116635.294, 67, B01, S00, 1
B01, Trade, 4117976.194, 67, B01, S00, 1
B01, Trade, 4122657.994, 67, B01, S00, 1
B01, Trade, 4124979.444, 66, B01, S00, 1
B01, Trade, 4126902.794, 67, B01, S00, 1
B01, Trade, 4129389.144, 67, B01, S00, 1
B01, Trade, 4132729.544, 67, B01, S00, 1
B01, Trade, 4133890.494, 67, B01, S00, 1
B01, Trade, 4137034.394, 66, B01, S00, 1
B01, Trade, 4138823.394, 67, B01, S00, 1
B01, Trade, 4151618.394, 67, B01, S00, 1
B01, Trade, 4152644.294, 67, B01, S00, 1
B01, Trade, 4159841.294, 67, B01, S00, 1
B01, Trade, 4161616.294, 67, B01, S00, 1
B01, Trade, 4161996.894, 66, B01, S00, 1
B01, Trade, 4168572.044, 67, B01, S00, 1
