B00, 0
B01, 0
B02, 0
B03, 100
B03, Trade, 4071106.844, 85, B03, S01, 1
B03, Trade, 4072525.494, 84, B03, S01, 1
B03, Trade, 4073627.644, 85, B03, S00, 1
B03, Trade, 4076238.294, 85, B03, S00, 1
B03, Trade, 4079763.844, 84, S01, B03, 1
B03, Trade, 4080674.294, 85, B03, S00, 1
B03, Trade, 4081064.894, 84, B03, S02, 1
B03, Trade, 4082075.544, 85, B03, S00, 1
B03, Trade, 4082940.044, 85, B03, S00, 1
B03, Trade, 4089456.494, 85, B03, S00, 1
B03, Trade, 4094118.494, 83, B03, S01, 1
B03, Trade, 4097592.494, 85, B03, S00, 1
B03, Trade, 4097909.144, 76, S01, B03, 1
B03, Trade, 4100702.394, 75, S01, B03, 1
B03, Trade, 4104391.444, 85, B03, S01, 1
B03, Trade, 4105514.644, 85, B03, S01, 1
B03, Trade, 4106913.694, 85, B03, S01, 1
B03, Trade, 4108317.744, 85, B03, S01, 1
B03, Trade, 4108434.294, 85, B03, S00, 1
B03, Trade, 4110240.694, 85, B03, S01, 1
B03, Trade, 4113582.044, 84, S02, B03, 1
B03, Trade, 4116139.244, 85, B03, S01, 1
B03, Trade, 4116145.294, 83, B03, S01, 1
B03, Trade, 4119477.744, 85, B03, S01, 1
B03, Trade, 4119621.644, 85, B03, S00, 1
B03, Trade, 4119913.094, 84, B03, S02, 1
B03, Trade, 4120739.894, 85, B03, S01, 1
B03, Trade, 4120808.344, 85, S02, B03, 1
B03, Trade, 4123516.744, 85, B03, S00, 1
B03, Trade, 4128113.144, 84, S01, B03, 1
B03, Trade, 4138510.244, 83, B03, S00, 1
B03, Trade, 4156020.644, 85, B03, S00, 1
B03, Trade, 4158281.044, 85, B03, S01, 1
B03, Trade, 4158913.994, 85, S00, B03, 1
B03, Trade, 4159763.644, 85, B03, S01, 1
B03, Trade, 4160091.894, 85, S01, B03, 1
B03, Trade, 4173304.044, 85, B03, S01, 1
B03, Trade, 4173311.894, 84, B03, S01, 1
B03, Trade, 4177626.194, 85, B03, S01, 1
B03, Trade, 4178804.744, 84, B03, S00, 1
B03, Trade, 4184527.394, 85, B03, S01, 1
B03, Trade, 4184602.244, 84, B03, S00, 1
B03, Trade, 4185237.294, 85, B03, S02, 1
B03, Trade, 4190044.994, 85, B03, S01, 1
B03, Trade, 4190395.144, 85, B03, S02, 1
B03, Trade, 4192058.294, 83, B03, S02, 1
B03, Trade, 4193400.944, 82, S01, B03, 1
B03, Trade, 4194871.894, 85, B03, S00, 1
B03, Trade, 4195900.794, 83, S00, B03, 1
B03, Trade, 4198101.394, 85, B03, S01, 1
B03, Trade, 4198377.344, 85, B03, S00, 1
B03, Trade, 4198465.294, 85, S01, B03, 1
B03, Trade, 4198527.494, 77, S01, B03, 1
B03, Trade, 4198531.194, 79, B03, S01, 1
B03, Trade, 4200395.294, 85, B03, S01, 1
B03, Trade, 4200759.194, 83, B03, S02, 1
B03, Trade, 4200818.394, 84, B03, S00, 1
B03, Trade, 4201485.294, 84, S00, B03, 1
B03, Trade, 4201929.944, 85, B03, S01, 1
B03, Trade, 4203154.044, 85, B03, S01, 1
B03, Trade, 4203479.844, 84, S01, B03, 1
B03, Trade, 4206475.944, 85, B03, S01, 1
B03, Trade, 4206919.944, 82, S02, B03, 1
B03, Trade, 4207136.444, 85, B03, S00, 1
B03, Trade, 4207534.894, 85, B03, S01, 1
B03, Trade, 4209932.794, 85, B03, S01, 1
B03, Trade, 4214940.643, 85, B03, S02, 1
B03, Trade, 4227505.843, 85, B03, S00, 1
B03, Trade, 4229024.443, 84, S02, B03, 1
B03, Trade, 4234131.993, 85, B03, S00, 1
B03, Trade, 4234581.193, 85, B03, S01, 1
B03, Trade, 4235785.943, 85, B03, S00, 1
B03, Trade, 4236798.493, 84, B03, S01, 1
B03, Trade, 4237071.093, 85, B03, S01, 1
B03, Trade, 4237811.243, 85, S00, B03, 1
B03, Trade, 4237910.293, 84, S02, B03, 1
B03, Trade, 4239502.143, 85, B03, S01, 1
B03, Trade, 4244049.393, 85, S02, B03, 1
B03, Trade, 4248101.243, 79, S01, B03, 1
B03, Trade, 4248135.243, 85, B03, S00, 1
B03, Trade, 4248720.193, 85, B03, S01, 1
B03, Trade, 4248727.993, 84, B03, S00, 1
B03, Trade, 4249619.493, 85, S00, B03, 1
B03, Trade, 4250021.593, 85, S01, B03, 1
B03, Trade, 4252160.593, 85, B03, S01, 1
B03, Trade, 4252839.443, 85, S01, B03, 1
B03, Trade, 4253779.893, 85, B03, S01, 1
B03, Trade, 4254209.243, 85, S01, B03, 1
B03, Trade, 4255137.393, 85, B03, S01, 1
B03, Trade, 4264061.793, 85, B03, S00, 1
B03, Trade, 4265049.443, 85, B03, S00, 1
B03, Trade, 4267714.793, 82, B03, S00, 1
B03, Trade, 4268300.643, 84, B03, S00, 1
B03, Trade, 4271225.143, 82, S00, B03, 1
B03, Trade, 4274978.343, 84, S02, B03, 1
B03, Trade, 4292582.543, 81, S01, B03, 1
B03, Trade, 4309508.643, 83, S02, B03, 1
B03, Trade, 4317265.093, 83, S00, B03, 1
B03, Trade, 4318245.593, 84, S01, B03, 1
B03, Trade, 4318746.893, 85, S01, B03, 1
B04, 100
B04, Trade, 4317804.393, 90, B04, S03, 1
B04, Trade, 4317823.793, 93, B04, S03, 1
B04, Trade, 4317839.143, 90, B04, S01, 1
B04, Trade, 4317888.143, 91, B04, S03, 1
B04, Trade, 4317893.793, 90, B04, S03, 1
B04, Trade, 4317935.093, 93, B04, S03, 1
B04, Trade, 4317950.793, 92, B04, S03, 1
B04, Trade, 4317974.443, 91, B04, S03, 1
B04, Trade, 4317991.493, 91, B04, S03, 1
B04, Trade, 4318037.493, 94, B04, S03, 1
B04, Trade, 4318049.293, 93, B04, S03, 1
B04, Trade, 4318061.293, 92, B04, S03, 1
B04, Trade, 4318093.193, 90, B04, S00, 1
B04, Trade, 4318101.443, 89, B04, S03, 1
B04, Trade, 4318136.793, 94, B04, S03, 1
B04, Trade, 4318198.443, 94, B04, S03, 1
B04, Trade, 4318215.043, 92, B04, S03, 1
B04, Trade, 4318229.893, 94, B04, S03, 1
B04, Trade, 4318236.093, 92, B04, S00, 1
B04, Trade, 4318244.393, 87, S03, B04, 1
B04, Trade, 4318251.043, 91, B04, S00, 1
B04, Trade, 4318273.043, 94, B04, S03, 1
B04, Trade, 4318282.243, 93, B04, S03, 1
B04, Trade, 4318288.293, 92, B04, S03, 1
B04, Trade, 4318296.143, 86, S03, B04, 1
B04, Trade, 4318303.043, 92, B04, S00, 1
B04, Trade, 4318313.893, 93, B04, S03, 1
B04, Trade, 4318317.593, 93, B04, S03, 1
B04, Trade, 4318355.043, 94, B04, S03, 1
B04, Trade, 4318358.443, 93, S00, B04, 1
B04, Trade, 4318386.043, 91, B04, S03, 1
B04, Trade, 4318438.743, 94, B04, S00, 1
B04, Trade, 4318441.843, 93, B04, S03, 1
B04, Trade, 4318452.043, 93, B04, S03, 1
B04, Trade, 4318457.443, 94, B04, S03, 1
B04, Trade, 4318472.143, 94, B04, S03, 1
B04, Trade, 4318504.743, 94, B04, S03, 1
B04, Trade, 4318557.593, 94, B04, S03, 1
B04, Trade, 4318563.643, 93, B04, S03, 1
B04, Trade, 4318579.243, 94, B04, S03, 1
B04, Trade, 4318586.743, 89, S03, B04, 1
B04, Trade, 4318593.843, 89, S00, B04, 1
B04, Trade, 4318641.843, 93, S02, B04, 1
B04, Trade, 4318649.093, 94, B04, S03, 1
B04, Trade, 4318654.393, 92, B04, S01, 1
B04, Trade, 4318659.343, 90, B04, S01, 1
B04, Trade, 4318714.543, 94, B04, S02, 1
B04, Trade, 4318726.893, 94, B04, S03, 1
B04, Trade, 4318746.943, 90, S03, B04, 1
B04, Trade, 4318750.293, 89, B04, S00, 1
B04, Trade, 4318797.943, 94, S01, B04, 1
B04, Trade, 4318812.193, 94, B04, S03, 1
B04, Trade, 4318814.693, 94, B04, S02, 1
B04, Trade, 4318834.093, 94, B04, S03, 1
B04, Trade, 4318865.693, 94, B04, S03, 1
B04, Trade, 4318890.593, 94, B04, S01, 1
B04, Trade, 4318931.493, 93, B04, S03, 1
B04, Trade, 4318953.793, 93, B04, S03, 1
B04, Trade, 4318956.893, 93, B04, S01, 1
B04, Trade, 4319008.043, 92, B04, S01, 1
B04, Trade, 4319028.043, 91, B04, S03, 1
B04, Trade, 4319076.693, 93, B04, S03, 1
B04, Trade, 4319089.943, 93, B04, S03, 1
B04, Trade, 4319107.643, 92, B04, S03, 1
B04, Trade, 4319111.943, 90, B04, S03, 1
B04, Trade, 4319122.293, 94, B04, S03, 1
B04, Trade, 4319149.893, 94, B04, S03, 1
B04, Trade, 4319168.593, 93, B04, S02, 1
B04, Trade, 4319208.993, 89, B04, S00, 1
B04, Trade, 4319242.543, 94, B04, S03, 1
B04, Trade, 4319343.043, 93, B04, S03, 1
B04, Trade, 4319378.243, 94, B04, S03, 1
B04, Trade, 4319390.393, 92, B04, S03, 1
B04, Trade, 4319413.243, 94, B04, S03, 1
B04, Trade, 4319429.793, 93, B04, S03, 1
B04, Trade, 4319461.293, 94, B04, S03, 1
B04, Trade, 4319468.393, 93, B04, S03, 1
B04, Trade, 4319480.793, 94, B04, S03, 1
B04, Trade, 4319570.743, 94, B04, S03, 1
B04, Trade, 4319584.343, 94, B04, S03, 1
B04, Trade, 4319602.493, 94, B04, S03, 1
B04, Trade, 4319671.143, 91, B04, S03, 1
B04, Trade, 4319675.343, 90, B04, S03, 1
B04, Trade, 4319711.093, 92, B04, S03, 1
B04, Trade, 4319732.143, 94, B04, S03, 1
B04, Trade, 4319741.993, 88, S02, B04, 1
B04, Trade, 4319751.093, 87, B04, S03, 1
B04, Trade, 4319754.593, 89, B04, S03, 1
B04, Trade, 4319776.293, 94, B04, S01, 1
B04, Trade, 4319800.993, 92, B04, S03, 1
B04, Trade, 4319812.393, 91, B04, S03, 1
B04, Trade, 4319815.743, 90, B04, S03, 1
B04, Trade, 4319838.743, 89, B04, S03, 1
B04, Trade, 4319851.043, 88, B04, S02, 1
B04, Trade, 4319860.143, 87, B04, S03, 1
B04, Trade, 4319912.193, 89, B04, S03, 1
B04, Trade, 4319939.093, 88, B04, S02, 1
B04, Trade, 4319949.743, 94, S00, B04, 1
B04, Trade, 4319958.893, 93, B04, S02, 1
B04, Trade, 4319964.893, 92, B04, S03, 1
B05, 100
B05, Trade, 4318820.143, 100, B05, S02, 1
B05, Trade, 4318825.093, 99, B05, S04, 1
B05, Trade, 4318842.243, 97, B05, S00, 1
B05, Trade, 4318859.993, 95, B05, S04, 1
B05, Trade, 4318865.243, 96, B05, S04, 1
B05, Trade, 4318871.543, 94, B05, S03, 1
B05, Trade, 4318877.793, 98, B05, S03, 1
B05, Trade, 4318882.143, 95, B05, S03, 1
B05, Trade, 4318900.743, 94, B05, S03, 1
B05, Trade, 4318907.443, 98, B05, S03, 1
B05, Trade, 4318922.493, 94, B05, S03, 1
B05, Trade, 4318958.793, 98, S00, B05, 1
B05, Trade, 4318969.593, 100, B05, S03, 1
B05, Trade, 4318972.543, 100, B05, S03, 1
B05, Trade, 4318979.393, 97, B05, S04, 1
B05, Trade, 4318986.093, 95, B05, S03, 1
B05, Trade, 4318992.943, 95, B05, S03, 1
B05, Trade, 4319010.543, 92, B05, S03, 1
B05, Trade, 4319035.743, 91, B05, S03, 1
B05, Trade, 4319076.993, 95, B05, S00, 1
B05, Trade, 4319081.643, 100, B05, S01, 1
B05, Trade, 4319084.193, 100, B05, S04, 1
B05, Trade, 4319102.293, 92, B05, S03, 1
B05, Trade, 4319109.243, 92, B05, S01, 1
B05, Trade, 4319120.393, 101, S04, B05, 1
B05, Trade, 4319129.493, 98, B05, S03, 1
B05, Trade, 4319137.193, 98, B05, S03, 1
B05, Trade, 4319138.543, 97, B05, S04, 1
B05, Trade, 4319144.343, 96, B05, S02, 1
B05, Trade, 4319149.193, 96, B05, S04, 1
B05, Trade, 4319156.143, 95, S03, B05, 1
B05, Trade, 4319160.493, 95, B05, S04, 1
B05, Trade, 4319163.743, 95, B05, S03, 1
B05, Trade, 4319170.893, 93, B05, S02, 1
