t=,0, id=,B01, PRDE,actvstrat=,-0.442814, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.288150, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.389885, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.770107, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.117911, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.924820, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.407088, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.676949, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.544903, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.325219, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.442814, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.924820, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.442814, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.288150, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.389885, actvprof=,0.045000, id=,B06, PRDE,actvstrat=,0.770107, actvprof=,1.635278, id=,B08, PRDE,actvstrat=,-0.117911, actvprof=,2.905000, id=,S01, PRDE,actvstrat=,-0.924820, actvprof=,0.057222, id=,S02, PRDE,actvstrat=,0.407088, actvprof=,2.104722, id=,S05, PRDE,actvstrat=,-0.676949, actvprof=,0.010833, id=,S06, PRDE,actvstrat=,-0.544903, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.325219, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.905000, best_B_strat=,-0.117911, best_S_id=,S02, best_S_prof=,2.104722, best_S_strat=,0.407088, 
t=,7200, id=,B01, PRDE,actvstrat=,0.342779, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.159558, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.539940, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.659178, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.791321, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.129072, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.619805, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.861670, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.254352, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.617656, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.342779, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.129072, 
t=,10800, id=,B01, PRDE,actvstrat=,0.342779, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.159558, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.539940, actvprof=,0.401661, id=,B06, PRDE,actvstrat=,-0.659178, actvprof=,1.430536, id=,B08, PRDE,actvstrat=,-0.791321, actvprof=,3.477729, id=,S01, PRDE,actvstrat=,0.129072, actvprof=,1.318315, id=,S02, PRDE,actvstrat=,0.619805, actvprof=,1.118596, id=,S05, PRDE,actvstrat=,-0.861670, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.254352, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.617656, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.477729, best_B_strat=,-0.791321, best_S_id=,S01, best_S_prof=,1.318315, best_S_strat=,0.129072, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.021786, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.929378, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.400078, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.659178, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.187509, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.561046, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.275900, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.593349, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.387499, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.617656, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.021786, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.561046, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.021786, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.929378, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.400078, actvprof=,0.093889, id=,B06, PRDE,actvstrat=,-0.659178, actvprof=,0.608333, id=,B08, PRDE,actvstrat=,0.187509, actvprof=,4.627222, id=,S01, PRDE,actvstrat=,-0.561046, actvprof=,0.657500, id=,S02, PRDE,actvstrat=,-0.275900, actvprof=,0.246389, id=,S05, PRDE,actvstrat=,-0.593349, actvprof=,0.000278, id=,S06, PRDE,actvstrat=,-0.387499, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.617656, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.627222, best_B_strat=,0.187509, best_S_id=,S01, best_S_prof=,0.657500, best_S_strat=,-0.561046, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.021786, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.929378, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.400078, actvprof=,0.096944, id=,B06, PRDE,actvstrat=,-0.659178, actvprof=,0.647778, id=,B08, PRDE,actvstrat=,0.187509, actvprof=,4.689861, id=,S01, PRDE,actvstrat=,-0.561046, actvprof=,0.575972, id=,S02, PRDE,actvstrat=,-0.275900, actvprof=,0.220556, id=,S05, PRDE,actvstrat=,-0.593349, actvprof=,0.000694, id=,S06, PRDE,actvstrat=,-0.387499, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.617656, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.689861, best_B_strat=,0.187509, best_S_id=,S01, best_S_prof=,0.575972, best_S_strat=,-0.561046, 
t=,25200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.723000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.083889, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.275000, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.346667, id=,S01, PRDE,actvstrat=,-0.878574, actvprof=,0.221667, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.541111, id=,S05, PRDE,actvstrat=,0.101127, actvprof=,0.018333, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.058333, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.346667, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,4.541111, best_S_strat=,-1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.723000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.074723, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.297092, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.380725, id=,S01, PRDE,actvstrat=,-0.878574, actvprof=,0.194585, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.650310, id=,S05, PRDE,actvstrat=,0.101127, actvprof=,0.014306, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.060000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.380725, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,4.650310, best_S_strat=,-1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,0.466902, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.661280, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.296908, actvprof=,0.298889, id=,B06, PRDE,actvstrat=,0.206795, actvprof=,2.049167, id=,B08, PRDE,actvstrat=,-0.279816, actvprof=,4.207778, id=,S01, PRDE,actvstrat=,0.129072, actvprof=,1.485556, id=,S02, PRDE,actvstrat=,0.750172, actvprof=,1.792778, id=,S05, PRDE,actvstrat=,-0.153978, actvprof=,0.003333, id=,S06, PRDE,actvstrat=,0.509644, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.343786, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.207778, best_B_strat=,-0.279816, best_S_id=,S02, best_S_prof=,1.792778, best_S_strat=,0.750172, 
t=,36000, id=,B01, PRDE,actvstrat=,0.466902, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.661280, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.296908, actvprof=,0.282780, id=,B06, PRDE,actvstrat=,0.206795, actvprof=,1.949736, id=,B08, PRDE,actvstrat=,-0.279816, actvprof=,4.087528, id=,S01, PRDE,actvstrat=,0.129072, actvprof=,1.572511, id=,S02, PRDE,actvstrat=,0.750172, actvprof=,1.797096, id=,S05, PRDE,actvstrat=,-0.153978, actvprof=,0.001667, id=,S06, PRDE,actvstrat=,0.509644, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,-0.343786, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.087528, best_B_strat=,-0.279816, best_S_id=,S02, best_S_prof=,1.797096, best_S_strat=,0.750172, 
