t=,3600, id=,B00, PRDE,actvstrat=,0.823863, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.047405, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.398532, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.661981, actvprof=,0.000833, id=,B07, PRDE,actvstrat=,0.490835, actvprof=,2.998889, id=,S00, PRDE,actvstrat=,-0.655870, actvprof=,1.797222, id=,S04, PRDE,actvstrat=,0.105711, actvprof=,0.177778, id=,S05, PRDE,actvstrat=,0.204315, actvprof=,0.018611, id=,S08, PRDE,actvstrat=,0.845865, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.696713, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.998889, best_B_strat=,0.490835, best_S_id=,S00, best_S_prof=,1.797222, best_S_strat=,-0.655870, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.356734, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.924845, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.210874, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.940819, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.757521, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.876942, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.445906, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.017317, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.275822, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.918019, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.356734, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.876942, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.356734, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.924845, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.210874, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.940819, actvprof=,0.010000, id=,B07, PRDE,actvstrat=,0.757521, actvprof=,4.541944, id=,S00, PRDE,actvstrat=,0.876942, actvprof=,5.936944, id=,S04, PRDE,actvstrat=,0.445906, actvprof=,0.079722, id=,S05, PRDE,actvstrat=,0.017317, actvprof=,0.004444, id=,S08, PRDE,actvstrat=,-0.275822, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.918019, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.541944, best_B_strat=,0.757521, best_S_id=,S00, best_S_prof=,5.936944, best_S_strat=,0.876942, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.356734, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.924845, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.210874, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.940819, actvprof=,0.010278, id=,B07, PRDE,actvstrat=,0.757521, actvprof=,4.647917, id=,S00, PRDE,actvstrat=,0.876942, actvprof=,5.809861, id=,S04, PRDE,actvstrat=,0.445906, actvprof=,0.089167, id=,S05, PRDE,actvstrat=,0.017317, actvprof=,0.004444, id=,S08, PRDE,actvstrat=,-0.275822, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.918019, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.647917, best_B_strat=,0.757521, best_S_id=,S00, best_S_prof=,5.809861, best_S_strat=,0.876942, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.319344, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.071921, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.324455, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.814740, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.914121, actvprof=,2.946152, id=,S00, PRDE,actvstrat=,-0.896428, actvprof=,0.416117, id=,S04, PRDE,actvstrat=,-0.820817, actvprof=,0.018889, id=,S05, PRDE,actvstrat=,0.224043, actvprof=,0.038612, id=,S08, PRDE,actvstrat=,0.254205, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.725049, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.946152, best_B_strat=,0.914121, best_S_id=,S00, best_S_prof=,0.416117, best_S_strat=,-0.896428, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.319344, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.071921, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.324455, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.814740, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.914121, actvprof=,3.114744, id=,S00, PRDE,actvstrat=,-0.896428, actvprof=,0.405281, id=,S04, PRDE,actvstrat=,-0.820817, actvprof=,0.014167, id=,S05, PRDE,actvstrat=,0.224043, actvprof=,0.031667, id=,S08, PRDE,actvstrat=,0.254205, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.725049, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.114744, best_B_strat=,0.914121, best_S_id=,S00, best_S_prof=,0.405281, best_S_strat=,-0.896428, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.836027, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.465544, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B07, PRDE,actvstrat=,0.696762, actvprof=,3.180088, id=,S00, PRDE,actvstrat=,0.121683, actvprof=,4.085391, id=,S04, PRDE,actvstrat=,-0.483312, actvprof=,0.011111, id=,S05, PRDE,actvstrat=,0.371632, actvprof=,0.005556, id=,S08, PRDE,actvstrat=,0.877793, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.989301, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.180088, best_B_strat=,0.696762, best_S_id=,S00, best_S_prof=,4.085391, best_S_strat=,0.121683, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.836027, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.465544, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B07, PRDE,actvstrat=,0.696762, actvprof=,3.273240, id=,S00, PRDE,actvstrat=,0.121683, actvprof=,3.988528, id=,S04, PRDE,actvstrat=,-0.483312, actvprof=,0.009722, id=,S05, PRDE,actvstrat=,0.371632, actvprof=,0.004028, id=,S08, PRDE,actvstrat=,0.877793, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.989301, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.273240, best_B_strat=,0.696762, best_S_id=,S00, best_S_prof=,3.988528, best_S_strat=,0.121683, 
t=,32400, id=,B00, PRDE,actvstrat=,0.754284, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.512402, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.865026, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.338105, actvprof=,0.002778, id=,B07, PRDE,actvstrat=,0.446741, actvprof=,2.869842, id=,S00, PRDE,actvstrat=,0.404404, actvprof=,5.014653, id=,S04, PRDE,actvstrat=,-0.126400, actvprof=,0.031668, id=,S05, PRDE,actvstrat=,-0.842191, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.975307, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.556258, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.869842, best_B_strat=,0.446741, best_S_id=,S00, best_S_prof=,5.014653, best_S_strat=,0.404404, 
t=,36000, id=,B00, PRDE,actvstrat=,0.754284, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.512402, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.865026, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.338105, actvprof=,0.017084, id=,B07, PRDE,actvstrat=,0.446741, actvprof=,3.004090, id=,S00, PRDE,actvstrat=,0.404404, actvprof=,4.805517, id=,S04, PRDE,actvstrat=,-0.126400, actvprof=,0.029584, id=,S05, PRDE,actvstrat=,-0.842191, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.975307, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.556258, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.004090, best_B_strat=,0.446741, best_S_id=,S00, best_S_prof=,4.805517, best_S_strat=,0.404404, 
t=,39600, id=,B00, PRDE,actvstrat=,0.645227, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494097, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.838228, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.858219, actvprof=,0.012778, id=,B07, PRDE,actvstrat=,0.906710, actvprof=,3.992444, id=,S00, PRDE,actvstrat=,0.323997, actvprof=,4.316629, id=,S04, PRDE,actvstrat=,0.392277, actvprof=,0.129452, id=,S05, PRDE,actvstrat=,0.897814, actvprof=,0.017223, id=,S08, PRDE,actvstrat=,0.178297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.454544, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.992444, best_B_strat=,0.906710, best_S_id=,S00, best_S_prof=,4.316629, best_S_strat=,0.323997, 
t=,43200, id=,B00, PRDE,actvstrat=,0.645227, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.494097, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.838228, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.858219, actvprof=,0.007639, id=,B07, PRDE,actvstrat=,0.906710, actvprof=,4.024973, id=,S00, PRDE,actvstrat=,0.323997, actvprof=,4.386094, id=,S04, PRDE,actvstrat=,0.392277, actvprof=,0.123059, id=,S05, PRDE,actvstrat=,0.897814, actvprof=,0.024584, id=,S08, PRDE,actvstrat=,0.178297, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.454544, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.024973, best_B_strat=,0.906710, best_S_id=,S00, best_S_prof=,4.386094, best_S_strat=,0.323997, 
t=,46800, id=,B00, PRDE,actvstrat=,0.341063, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.117747, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.335210, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.440296, actvprof=,0.068893, id=,B07, PRDE,actvstrat=,0.772259, actvprof=,4.474971, id=,S00, PRDE,actvstrat=,0.841777, actvprof=,5.998389, id=,S04, PRDE,actvstrat=,0.725298, actvprof=,0.102783, id=,S05, PRDE,actvstrat=,-0.988472, actvprof=,0.028613, id=,S08, PRDE,actvstrat=,0.459745, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.863965, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.474971, best_B_strat=,0.772259, best_S_id=,S00, best_S_prof=,5.998389, best_S_strat=,0.841777, 
t=,50400, id=,B00, PRDE,actvstrat=,0.341063, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.117747, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.335210, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.440296, actvprof=,0.083058, id=,B07, PRDE,actvstrat=,0.772259, actvprof=,4.472624, id=,S00, PRDE,actvstrat=,0.841777, actvprof=,6.006139, id=,S04, PRDE,actvstrat=,0.725298, actvprof=,0.109309, id=,S05, PRDE,actvstrat=,-0.988472, actvprof=,0.023890, id=,S08, PRDE,actvstrat=,0.459745, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.863965, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.472624, best_B_strat=,0.772259, best_S_id=,S00, best_S_prof=,6.006139, best_S_strat=,0.841777, 
t=,54000, id=,B00, PRDE,actvstrat=,0.392782, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.305347, actvprof=,0.022779, id=,B07, PRDE,actvstrat=,0.925479, actvprof=,4.223568, id=,S00, PRDE,actvstrat=,0.715091, actvprof=,5.770598, id=,S04, PRDE,actvstrat=,-0.199171, actvprof=,0.015279, id=,S05, PRDE,actvstrat=,0.874150, actvprof=,0.036391, id=,S08, PRDE,actvstrat=,0.076069, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.058841, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.223568, best_B_strat=,0.925479, best_S_id=,S00, best_S_prof=,5.770598, best_S_strat=,0.715091, 
t=,57600, id=,B00, PRDE,actvstrat=,0.392782, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.305347, actvprof=,0.064030, id=,B07, PRDE,actvstrat=,0.925479, actvprof=,4.484013, id=,S00, PRDE,actvstrat=,0.715091, actvprof=,5.566960, id=,S04, PRDE,actvstrat=,-0.199171, actvprof=,0.010417, id=,S05, PRDE,actvstrat=,0.874150, actvprof=,0.027084, id=,S08, PRDE,actvstrat=,0.076069, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.058841, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.484013, best_B_strat=,0.925479, best_S_id=,S00, best_S_prof=,5.566960, best_S_strat=,0.715091, 
t=,61200, id=,B00, PRDE,actvstrat=,0.718429, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.737025, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.545809, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.305347, actvprof=,0.089449, id=,B07, PRDE,actvstrat=,0.881939, actvprof=,4.614423, id=,S00, PRDE,actvstrat=,0.715091, actvprof=,5.278349, id=,S04, PRDE,actvstrat=,0.725298, actvprof=,0.151675, id=,S05, PRDE,actvstrat=,-0.298304, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.453577, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.055962, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.614423, best_B_strat=,0.881939, best_S_id=,S00, best_S_prof=,5.278349, best_S_strat=,0.715091, 
t=,64800, id=,B00, PRDE,actvstrat=,0.718429, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.737025, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.545809, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.305347, actvprof=,0.084723, id=,B07, PRDE,actvstrat=,0.881939, actvprof=,4.610203, id=,S00, PRDE,actvstrat=,0.715091, actvprof=,5.215211, id=,S04, PRDE,actvstrat=,0.725298, actvprof=,0.139585, id=,S05, PRDE,actvstrat=,-0.298304, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.453577, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.055962, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.610203, best_B_strat=,0.881939, best_S_id=,S00, best_S_prof=,5.215211, best_S_strat=,0.715091, 
t=,68400, id=,B00, PRDE,actvstrat=,-0.777000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.758480, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.460544, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.007223, id=,B07, PRDE,actvstrat=,-0.478640, actvprof=,1.839269, id=,S00, PRDE,actvstrat=,0.264718, actvprof=,4.413301, id=,S04, PRDE,actvstrat=,-0.183620, actvprof=,0.013056, id=,S05, PRDE,actvstrat=,0.599250, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.910750, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.839269, best_B_strat=,-0.478640, best_S_id=,S00, best_S_prof=,4.413301, best_S_strat=,0.264718, 
