t=,0, id=,B00, PRDE,actvstrat=,0.370499, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.394174, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.409502, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.731969, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.892104, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.921852, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.394788, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.683836, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.602614, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.341232, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.370499, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.921852, 
t=,3600, id=,B00, PRDE,actvstrat=,0.370499, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.394174, actvprof=,0.460833, id=,B06, PRDE,actvstrat=,-0.409502, actvprof=,1.941667, id=,B07, PRDE,actvstrat=,-0.731969, actvprof=,3.116389, id=,B09, PRDE,actvstrat=,-0.892104, actvprof=,4.386389, id=,S01, PRDE,actvstrat=,0.921852, actvprof=,3.428056, id=,S06, PRDE,actvstrat=,-0.394788, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.683836, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.602614, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.341232, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.386389, best_B_strat=,-0.892104, best_S_id=,S01, best_S_prof=,3.428056, best_S_strat=,0.921852, 
t=,7200, id=,B00, PRDE,actvstrat=,0.190477, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.210141, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.086398, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.246514, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.667282, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.567475, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.595212, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.610394, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.314222, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.318431, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.190477, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.567475, 
t=,10800, id=,B00, PRDE,actvstrat=,0.190477, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.210141, actvprof=,0.064167, id=,B06, PRDE,actvstrat=,-0.086398, actvprof=,1.610278, id=,B07, PRDE,actvstrat=,0.246514, actvprof=,3.714444, id=,B09, PRDE,actvstrat=,-0.667282, actvprof=,5.889444, id=,S01, PRDE,actvstrat=,-0.567475, actvprof=,0.770833, id=,S06, PRDE,actvstrat=,0.595212, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,-0.610394, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.314222, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.318431, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.889444, best_B_strat=,-0.667282, best_S_id=,S01, best_S_prof=,0.770833, best_S_strat=,-0.567475, 
t=,14400, id=,B00, PRDE,actvstrat=,0.190477, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.210141, actvprof=,0.056250, id=,B06, PRDE,actvstrat=,-0.086398, actvprof=,1.596111, id=,B07, PRDE,actvstrat=,0.246514, actvprof=,3.791667, id=,B09, PRDE,actvstrat=,-0.667282, actvprof=,5.719722, id=,S01, PRDE,actvstrat=,-0.567475, actvprof=,0.756528, id=,S06, PRDE,actvstrat=,0.595212, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,-0.610394, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.314222, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.318431, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.719722, best_B_strat=,-0.667282, best_S_id=,S01, best_S_prof=,0.756528, best_S_strat=,-0.567475, 
t=,18000, id=,B00, PRDE,actvstrat=,0.578256, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.096237, actvprof=,0.015556, id=,B06, PRDE,actvstrat=,0.577064, actvprof=,2.658092, id=,B07, PRDE,actvstrat=,-0.681918, actvprof=,2.256698, id=,B09, PRDE,actvstrat=,0.460979, actvprof=,7.614272, id=,S01, PRDE,actvstrat=,-0.504538, actvprof=,0.780011, id=,S06, PRDE,actvstrat=,0.327039, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.765106, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.936909, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.669088, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.614272, best_B_strat=,0.460979, best_S_id=,S01, best_S_prof=,0.780011, best_S_strat=,-0.504538, 
t=,21600, id=,B00, PRDE,actvstrat=,0.578256, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.096237, actvprof=,0.011944, id=,B06, PRDE,actvstrat=,0.577064, actvprof=,2.703750, id=,B07, PRDE,actvstrat=,-0.681918, actvprof=,2.248333, id=,B09, PRDE,actvstrat=,0.460979, actvprof=,7.552222, id=,S01, PRDE,actvstrat=,-0.504538, actvprof=,0.762639, id=,S06, PRDE,actvstrat=,0.327039, actvprof=,0.001389, id=,S07, PRDE,actvstrat=,0.765106, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,0.936909, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.669088, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.552222, best_B_strat=,0.460979, best_S_id=,S01, best_S_prof=,0.762639, best_S_strat=,-0.504538, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.885932, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.807556, actvprof=,0.020834, id=,B06, PRDE,actvstrat=,0.308750, actvprof=,2.825396, id=,B07, PRDE,actvstrat=,-0.577016, actvprof=,2.926789, id=,B09, PRDE,actvstrat=,0.863947, actvprof=,8.790644, id=,S01, PRDE,actvstrat=,0.089100, actvprof=,1.650069, id=,S06, PRDE,actvstrat=,-0.512479, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,-0.849145, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.596698, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.790644, best_B_strat=,0.863947, best_S_id=,S01, best_S_prof=,1.650069, best_S_strat=,0.089100, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.885932, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.807556, actvprof=,0.021806, id=,B06, PRDE,actvstrat=,0.308750, actvprof=,2.820773, id=,B07, PRDE,actvstrat=,-0.577016, actvprof=,2.885636, id=,B09, PRDE,actvstrat=,0.863947, actvprof=,8.833718, id=,S01, PRDE,actvstrat=,0.089100, actvprof=,1.661157, id=,S06, PRDE,actvstrat=,-0.512479, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.986353, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-0.849145, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.596698, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,8.833718, best_B_strat=,0.863947, best_S_id=,S01, best_S_prof=,1.661157, best_S_strat=,0.089100, 
t=,32400, id=,B00, PRDE,actvstrat=,0.394515, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.807556, actvprof=,0.035002, id=,B06, PRDE,actvstrat=,0.384634, actvprof=,3.138829, id=,B07, PRDE,actvstrat=,-0.832517, actvprof=,1.827905, id=,B09, PRDE,actvstrat=,-0.252484, actvprof=,6.875477, id=,S01, PRDE,actvstrat=,0.025930, actvprof=,1.355372, id=,S06, PRDE,actvstrat=,-0.512479, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.821119, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.353208, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.257394, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.875477, best_B_strat=,-0.252484, best_S_id=,S01, best_S_prof=,1.355372, best_S_strat=,0.025930, 
t=,36000, id=,B00, PRDE,actvstrat=,0.394515, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.807556, actvprof=,0.027918, id=,B06, PRDE,actvstrat=,0.384634, actvprof=,3.183999, id=,B07, PRDE,actvstrat=,-0.832517, actvprof=,2.029098, id=,B09, PRDE,actvstrat=,-0.252484, actvprof=,6.809264, id=,S01, PRDE,actvstrat=,0.025930, actvprof=,1.381298, id=,S06, PRDE,actvstrat=,-0.512479, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.821119, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.353208, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.257394, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.809264, best_B_strat=,-0.252484, best_S_id=,S01, best_S_prof=,1.381298, best_S_strat=,0.025930, 
