B00, 5
B00, Trade, 435497.850, 60, B00, S00, 1
B00, Trade, 2111344.501, 60, S00, B00, 1
B00, Trade, 2525275.900, 60, B00, S00, 1
B00, Trade, 2591777.600, 60, B00, S00, 1
B00, Trade, 3998168.794, 60, B00, S00, 1
B01, 100
B01, Trade, 3938151.745, 67, B01, S00, 1
B01, Trade, 3949563.794, 66, B01, S00, 1
B01, Trade, 3951144.044, 66, B01, S00, 1
B01, Trade, 3958119.294, 67, B01, S00, 1
B01, Trade, 3967069.494, 67, B01, S00, 1
B01, Trade, 3969299.944, 66, B01, S00, 1
B01, Trade, 3972948.694, 66, B01, S00, 1
B01, Trade, 3973856.744, 66, B01, S00, 1
B01, Trade, 3974053.694, 66, B01, S00, 1
B01, Trade, 3980388.344, 66, B01, S00, 1
B01, Trade, 3996779.944, 67, B01, S00, 1
B01, Trade, 3997579.044, 67, B01, S00, 1
B01, Trade, 3997714.194, 67, B01, S00, 1
B01, Trade, 3999202.844, 65, B01, S00, 1
B01, Trade, 4000682.294, 67, B01, S00, 1
B01, Trade, 4000975.194, 66, B01, S00, 1
B01, Trade, 4001705.394, 66, B01, S00, 1
B01, Trade, 4002292.694, 67, B01, S00, 1
B01, Trade, 4003046.894, 67, B01, S00, 1
B01, Trade, 4012617.044, 67, B01, S00, 1
B01, Trade, 4024921.794, 67, B01, S00, 1
B01, Trade, 4034535.644, 67, B01, S00, 1
B01, Trade, 4043858.794, 67, B01, S00, 1
B01, Trade, 4044375.644, 66, B01, S00, 1
B01, Trade, 4045475.044, 66, B01, S00, 1
B01, Trade, 4050035.494, 67, B01, S00, 1
B01, Trade, 4058336.644, 67, B01, S00, 1
B01, Trade, 4062405.544, 67, B01, S00, 1
B01, Trade, 4073489.344, 66, B01, S00, 1
B01, Trade, 4076638.694, 67, B01, S00, 1
B01, Trade, 4077220.994, 66, B01, S00, 1
B01, Trade, 4078402.694, 66, B01, S00, 1
B01, Trade, 4082007.844, 67, B01, S00, 1
B01, Trade, 4082096.094, 67, B01, S00, 1
B01, Trade, 4091102.244, 66, B01, S00, 1
B01, Trade, 4091311.894, 66, B01, S00, 1
B01, Trade, 4092074.894, 66, B01, S00, 1
B01, Trade, 4093719.094, 66, B01, S00, 1
B01, Trade, 4098103.694, 67, B01, S00, 1
B01, Trade, 4114840.344, 67, B01, S00, 1
B01, Trade, 4120469.344, 67, B01, S00, 1
B01, Trade, 4130384.494, 67, B01, S00, 1
B01, Trade, 4130583.944, 67, B01, S00, 1
B01, Trade, 4131986.094, 66, B01, S00, 1
B01, Trade, 4139765.844, 66, B01, S00, 1
B01, Trade, 4143164.094, 65, B01, S00, 1
B01, Trade, 4157000.594, 64, S00, B01, 1
B01, Trade, 4158190.794, 65, B01, S00, 1
B01, Trade, 4162371.444, 67, B01, S00, 1
B01, Trade, 4163268.294, 66, B01, S00, 1
B01, Trade, 4163513.644, 66, B01, S00, 1
B01, Trade, 4164789.444, 67, B01, S00, 1
B01, Trade, 4166621.594, 67, B01, S00, 1
B01, Trade, 4170177.894, 67, B01, S00, 1
B01, Trade, 4183696.544, 67, B01, S00, 1
B01, Trade, 4184536.194, 67, B01, S00, 1
B01, Trade, 4184607.544, 60, S00, B01, 1
B01, Trade, 4186283.194, 67, B01, S00, 1
B01, Trade, 4189219.794, 67, B01, S00, 1
B01, Trade, 4189363.794, 67, B01, S00, 1
B01, Trade, 4189842.294, 67, B01, S00, 1
B01, Trade, 4190990.444, 67, B01, S00, 1
B01, Trade, 4191843.494, 67, B01, S00, 1
B01, Trade, 4192487.294, 67, B01, S00, 1
