t=,0, id=,B00, PRDE,actvstrat=,0.251661, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.667880, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.829695, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.221558, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.657570, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.155103, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.982452, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.179979, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.623901, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.534765, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.251661, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.155103, 
t=,3600, id=,B00, PRDE,actvstrat=,0.251661, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.667880, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.829695, actvprof=,0.422216, id=,B07, PRDE,actvstrat=,-0.221558, actvprof=,1.321093, id=,B09, PRDE,actvstrat=,0.657570, actvprof=,6.212136, id=,S00, PRDE,actvstrat=,0.155103, actvprof=,4.901043, id=,S01, PRDE,actvstrat=,0.982452, actvprof=,5.637144, id=,S03, PRDE,actvstrat=,-0.179979, actvprof=,0.562770, id=,S05, PRDE,actvstrat=,0.623901, actvprof=,0.039999, id=,S08, PRDE,actvstrat=,-0.534765, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.212136, best_B_strat=,0.657570, best_S_id=,S01, best_S_prof=,5.637144, best_S_strat=,0.982452, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.935025, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.269880, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.036251, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.681254, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.684620, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.156697, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.394663, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.840284, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.398486, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.644850, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.935025, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.156697, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.935025, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.269880, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.036251, actvprof=,0.076388, id=,B07, PRDE,actvstrat=,0.681254, actvprof=,2.586631, id=,B09, PRDE,actvstrat=,0.684620, actvprof=,6.149359, id=,S00, PRDE,actvstrat=,-0.156697, actvprof=,4.150220, id=,S01, PRDE,actvstrat=,0.394663, actvprof=,4.464382, id=,S03, PRDE,actvstrat=,-0.840284, actvprof=,0.157220, id=,S05, PRDE,actvstrat=,-0.398486, actvprof=,0.013333, id=,S08, PRDE,actvstrat=,0.644850, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.149359, best_B_strat=,0.684620, best_S_id=,S01, best_S_prof=,4.464382, best_S_strat=,0.394663, 
t=,14400, id=,B00, PRDE,actvstrat=,0.976077, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530644, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.028235, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.173269, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.775084, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.439988, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.369353, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.637742, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.259861, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.551961, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.976077, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.439988, 
t=,18000, id=,B00, PRDE,actvstrat=,0.976077, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530644, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.028235, actvprof=,0.150556, id=,B07, PRDE,actvstrat=,0.173269, actvprof=,2.300556, id=,B09, PRDE,actvstrat=,-0.775084, actvprof=,3.106389, id=,S00, PRDE,actvstrat=,-0.439988, actvprof=,3.247222, id=,S01, PRDE,actvstrat=,-0.369353, actvprof=,2.169444, id=,S03, PRDE,actvstrat=,-0.637742, actvprof=,0.289167, id=,S05, PRDE,actvstrat=,0.259861, actvprof=,0.013056, id=,S08, PRDE,actvstrat=,0.551961, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.106389, best_B_strat=,-0.775084, best_S_id=,S00, best_S_prof=,3.247222, best_S_strat=,-0.439988, 
t=,21600, id=,B00, PRDE,actvstrat=,0.976077, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.530644, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.028235, actvprof=,0.140556, id=,B07, PRDE,actvstrat=,0.173269, actvprof=,2.270972, id=,B09, PRDE,actvstrat=,-0.775084, actvprof=,3.200556, id=,S00, PRDE,actvstrat=,-0.439988, actvprof=,3.251111, id=,S01, PRDE,actvstrat=,-0.369353, actvprof=,2.185278, id=,S03, PRDE,actvstrat=,-0.637742, actvprof=,0.305278, id=,S05, PRDE,actvstrat=,0.259861, actvprof=,0.015972, id=,S08, PRDE,actvstrat=,0.551961, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.200556, best_B_strat=,-0.775084, best_S_id=,S00, best_S_prof=,3.251111, best_S_strat=,-0.439988, 
t=,25200, id=,B00, PRDE,actvstrat=,0.633541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.726873, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.269722, actvprof=,0.240003, id=,B07, PRDE,actvstrat=,-0.497465, actvprof=,1.302240, id=,B09, PRDE,actvstrat=,0.723724, actvprof=,6.498701, id=,S00, PRDE,actvstrat=,-0.776742, actvprof=,2.153085, id=,S01, PRDE,actvstrat=,0.981748, actvprof=,5.380630, id=,S03, PRDE,actvstrat=,-0.172149, actvprof=,0.366672, id=,S05, PRDE,actvstrat=,-0.418724, actvprof=,0.001667, id=,S08, PRDE,actvstrat=,-0.308953, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.498701, best_B_strat=,0.723724, best_S_id=,S01, best_S_prof=,5.380630, best_S_strat=,0.981748, 
t=,28800, id=,B00, PRDE,actvstrat=,0.633541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.726873, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.269722, actvprof=,0.228752, id=,B07, PRDE,actvstrat=,-0.497465, actvprof=,1.334870, id=,B09, PRDE,actvstrat=,0.723724, actvprof=,6.471573, id=,S00, PRDE,actvstrat=,-0.776742, actvprof=,2.203349, id=,S01, PRDE,actvstrat=,0.981748, actvprof=,5.406010, id=,S03, PRDE,actvstrat=,-0.172149, actvprof=,0.367780, id=,S05, PRDE,actvstrat=,-0.418724, actvprof=,0.003472, id=,S08, PRDE,actvstrat=,-0.308953, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.471573, best_B_strat=,0.723724, best_S_id=,S01, best_S_prof=,5.406010, best_S_strat=,0.981748, 
t=,32400, id=,B00, PRDE,actvstrat=,0.633541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.435122, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.269722, actvprof=,0.095003, id=,B07, PRDE,actvstrat=,0.394591, actvprof=,2.351732, id=,B09, PRDE,actvstrat=,0.170793, actvprof=,5.082363, id=,S00, PRDE,actvstrat=,-0.776742, actvprof=,2.668963, id=,S01, PRDE,actvstrat=,-0.377457, actvprof=,2.208950, id=,S03, PRDE,actvstrat=,0.163084, actvprof=,1.090586, id=,S05, PRDE,actvstrat=,0.511868, actvprof=,0.075280, id=,S08, PRDE,actvstrat=,0.352959, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.082363, best_B_strat=,0.170793, best_S_id=,S00, best_S_prof=,2.668963, best_S_strat=,-0.776742, 
t=,36000, id=,B00, PRDE,actvstrat=,0.633541, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.435122, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.269722, actvprof=,0.112779, id=,B07, PRDE,actvstrat=,0.394591, actvprof=,2.315449, id=,B09, PRDE,actvstrat=,0.170793, actvprof=,5.174516, id=,S00, PRDE,actvstrat=,-0.776742, actvprof=,2.613231, id=,S01, PRDE,actvstrat=,-0.377457, actvprof=,2.297949, id=,S03, PRDE,actvstrat=,0.163084, actvprof=,1.092932, id=,S05, PRDE,actvstrat=,0.511868, actvprof=,0.056112, id=,S08, PRDE,actvstrat=,0.352959, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.174516, best_B_strat=,0.170793, best_S_id=,S00, best_S_prof=,2.613231, best_S_strat=,-0.776742, 
