t=,3600, id=,B00, PRDE,actvstrat=,-0.063009, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.000374, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.534194, actvprof=,0.236111, id=,B08, PRDE,actvstrat=,0.989634, actvprof=,5.070000, id=,B09, PRDE,actvstrat=,0.257667, actvprof=,5.688611, id=,S00, PRDE,actvstrat=,-0.266509, actvprof=,2.226944, id=,S02, PRDE,actvstrat=,0.315259, actvprof=,2.013333, id=,S04, PRDE,actvstrat=,0.778395, actvprof=,0.497500, id=,S07, PRDE,actvstrat=,-0.462884, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.707030, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.688611, best_B_strat=,0.257667, best_S_id=,S00, best_S_prof=,2.226944, best_S_strat=,-0.266509, 
t=,7200, id=,B00, PRDE,actvstrat=,0.792805, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.141225, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.925376, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.477498, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.857649, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.055082, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.610269, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.018395, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.966007, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.932186, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.792805, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.055082, 
t=,10800, id=,B00, PRDE,actvstrat=,0.792805, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.141225, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.925376, actvprof=,0.325273, id=,B08, PRDE,actvstrat=,0.477498, actvprof=,4.275496, id=,B09, PRDE,actvstrat=,-0.857649, actvprof=,2.370800, id=,S00, PRDE,actvstrat=,-0.055082, actvprof=,3.433008, id=,S02, PRDE,actvstrat=,0.610269, actvprof=,2.970792, id=,S04, PRDE,actvstrat=,-0.018395, actvprof=,0.122776, id=,S07, PRDE,actvstrat=,0.966007, actvprof=,0.000833, id=,S09, PRDE,actvstrat=,0.932186, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.275496, best_B_strat=,0.477498, best_S_id=,S00, best_S_prof=,3.433008, best_S_strat=,-0.055082, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.402750, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.105257, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.417055, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.843817, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.208023, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.305882, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.851009, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.785245, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.752263, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.663889, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.402750, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.305882, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.402750, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.105257, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.417055, actvprof=,0.308056, id=,B08, PRDE,actvstrat=,-0.843817, actvprof=,1.696389, id=,B09, PRDE,actvstrat=,0.208023, actvprof=,5.975556, id=,S00, PRDE,actvstrat=,0.305882, actvprof=,4.400556, id=,S02, PRDE,actvstrat=,-0.851009, actvprof=,0.115556, id=,S04, PRDE,actvstrat=,0.785245, actvprof=,0.266111, id=,S07, PRDE,actvstrat=,0.752263, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.663889, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.975556, best_B_strat=,0.208023, best_S_id=,S00, best_S_prof=,4.400556, best_S_strat=,0.305882, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.402750, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.105257, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.417055, actvprof=,0.308472, id=,B08, PRDE,actvstrat=,-0.843817, actvprof=,1.596111, id=,B09, PRDE,actvstrat=,0.208023, actvprof=,5.923750, id=,S00, PRDE,actvstrat=,0.305882, actvprof=,4.167639, id=,S02, PRDE,actvstrat=,-0.851009, actvprof=,0.098333, id=,S04, PRDE,actvstrat=,0.785245, actvprof=,0.270833, id=,S07, PRDE,actvstrat=,0.752263, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.663889, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.923750, best_B_strat=,0.208023, best_S_id=,S00, best_S_prof=,4.167639, best_S_strat=,0.305882, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.237992, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.963138, actvprof=,0.417784, id=,B08, PRDE,actvstrat=,0.186795, actvprof=,3.849776, id=,B09, PRDE,actvstrat=,0.689629, actvprof=,6.461756, id=,S00, PRDE,actvstrat=,-0.997186, actvprof=,5.213406, id=,S02, PRDE,actvstrat=,0.873389, actvprof=,4.001167, id=,S04, PRDE,actvstrat=,0.538881, actvprof=,0.333060, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.002500, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.461756, best_B_strat=,0.689629, best_S_id=,S00, best_S_prof=,5.213406, best_S_strat=,-0.997186, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.237992, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.963138, actvprof=,0.418753, id=,B08, PRDE,actvstrat=,0.186795, actvprof=,3.784610, id=,B09, PRDE,actvstrat=,0.689629, actvprof=,6.509906, id=,S00, PRDE,actvstrat=,-0.997186, actvprof=,5.210175, id=,S02, PRDE,actvstrat=,0.873389, actvprof=,3.942805, id=,S04, PRDE,actvstrat=,0.538881, actvprof=,0.319169, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.001944, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.509906, best_B_strat=,0.689629, best_S_id=,S00, best_S_prof=,5.210175, best_S_strat=,-0.997186, 
t=,32400, id=,B00, PRDE,actvstrat=,0.097980, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.128160, actvprof=,0.000278, id=,B05, PRDE,actvstrat=,-0.142834, actvprof=,0.033612, id=,B08, PRDE,actvstrat=,0.846580, actvprof=,5.310703, id=,B09, PRDE,actvstrat=,-0.772894, actvprof=,3.426762, id=,S00, PRDE,actvstrat=,-0.959932, actvprof=,0.327509, id=,S02, PRDE,actvstrat=,0.610269, actvprof=,2.365621, id=,S04, PRDE,actvstrat=,0.335646, actvprof=,0.127226, id=,S07, PRDE,actvstrat=,0.304133, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.268463, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.310703, best_B_strat=,0.846580, best_S_id=,S02, best_S_prof=,2.365621, best_S_strat=,0.610269, 
t=,36000, id=,B00, PRDE,actvstrat=,0.097980, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.128160, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,-0.142834, actvprof=,0.052640, id=,B08, PRDE,actvstrat=,0.846580, actvprof=,5.313268, id=,B09, PRDE,actvstrat=,-0.772894, actvprof=,3.361713, id=,S00, PRDE,actvstrat=,-0.959932, actvprof=,0.312227, id=,S02, PRDE,actvstrat=,0.610269, actvprof=,2.434062, id=,S04, PRDE,actvstrat=,0.335646, actvprof=,0.116807, id=,S07, PRDE,actvstrat=,0.304133, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.268463, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.313268, best_B_strat=,0.846580, best_S_id=,S02, best_S_prof=,2.434062, best_S_strat=,0.610269, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.695487, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.877932, actvprof=,0.002500, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.172785, id=,B08, PRDE,actvstrat=,0.825162, actvprof=,4.316847, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.385502, id=,S00, PRDE,actvstrat=,0.582159, actvprof=,6.299429, id=,S02, PRDE,actvstrat=,0.278449, actvprof=,2.347320, id=,S04, PRDE,actvstrat=,-0.667617, actvprof=,0.053891, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.203861, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.385502, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.299429, best_S_strat=,0.582159, 
