t=,1, id=,B02, PRDE,actvstrat=,-0.887079, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.460084, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.883003, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.988728, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.856915, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.065184, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.641817, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.785438, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.259357, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.540983, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.887079, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.065184, 
t=,3600, id=,B02, PRDE,actvstrat=,-0.887079, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.460084, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.883003, actvprof=,0.243886, id=,B07, PRDE,actvstrat=,0.988728, actvprof=,4.235775, id=,B08, PRDE,actvstrat=,0.856915, actvprof=,5.990472, id=,S01, PRDE,actvstrat=,-0.065184, actvprof=,1.353592, id=,S02, PRDE,actvstrat=,0.641817, actvprof=,1.915529, id=,S04, PRDE,actvstrat=,0.785438, actvprof=,0.118054, id=,S08, PRDE,actvstrat=,-0.259357, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.540983, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.990472, best_B_strat=,0.856915, best_S_id=,S02, best_S_prof=,1.915529, best_S_strat=,0.641817, 
t=,7200, id=,B02, PRDE,actvstrat=,-0.777322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.707790, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.605641, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.233599, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.433677, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.139902, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.240017, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.785029, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.876115, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.314547, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.777322, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.139902, 
t=,10800, id=,B02, PRDE,actvstrat=,-0.777322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.707790, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.605641, actvprof=,0.796389, id=,B07, PRDE,actvstrat=,-0.233599, actvprof=,2.144444, id=,B08, PRDE,actvstrat=,-0.433677, actvprof=,3.771944, id=,S01, PRDE,actvstrat=,0.139902, actvprof=,2.160000, id=,S02, PRDE,actvstrat=,0.240017, actvprof=,1.207500, id=,S04, PRDE,actvstrat=,0.785029, actvprof=,0.079444, id=,S08, PRDE,actvstrat=,-0.876115, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.314547, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.771944, best_B_strat=,-0.433677, best_S_id=,S01, best_S_prof=,2.160000, best_S_strat=,0.139902, 
t=,14400, id=,B02, PRDE,actvstrat=,-0.777322, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.707790, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.605641, actvprof=,0.844028, id=,B07, PRDE,actvstrat=,-0.233599, actvprof=,2.226667, id=,B08, PRDE,actvstrat=,-0.433677, actvprof=,3.637222, id=,S01, PRDE,actvstrat=,0.139902, actvprof=,2.121389, id=,S02, PRDE,actvstrat=,0.240017, actvprof=,1.141111, id=,S04, PRDE,actvstrat=,0.785029, actvprof=,0.075139, id=,S08, PRDE,actvstrat=,-0.876115, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.314547, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.637222, best_B_strat=,-0.433677, best_S_id=,S01, best_S_prof=,2.121389, best_S_strat=,0.139902, 
t=,18000, id=,B02, PRDE,actvstrat=,-0.908273, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.605276, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.806311, actvprof=,0.197225, id=,B07, PRDE,actvstrat=,-0.023551, actvprof=,2.145863, id=,B08, PRDE,actvstrat=,0.733823, actvprof=,5.233406, id=,S01, PRDE,actvstrat=,0.357086, actvprof=,3.174766, id=,S02, PRDE,actvstrat=,-0.883565, actvprof=,0.057223, id=,S04, PRDE,actvstrat=,-0.833484, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,0.956895, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.314547, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.233406, best_B_strat=,0.733823, best_S_id=,S01, best_S_prof=,3.174766, best_S_strat=,0.357086, 
t=,21600, id=,B02, PRDE,actvstrat=,-0.908273, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.605276, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.806311, actvprof=,0.221252, id=,B07, PRDE,actvstrat=,-0.023551, actvprof=,2.087098, id=,B08, PRDE,actvstrat=,0.733823, actvprof=,5.140591, id=,S01, PRDE,actvstrat=,0.357086, actvprof=,3.145994, id=,S02, PRDE,actvstrat=,-0.883565, actvprof=,0.040417, id=,S04, PRDE,actvstrat=,-0.833484, actvprof=,0.004306, id=,S08, PRDE,actvstrat=,0.956895, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.314547, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.140591, best_B_strat=,0.733823, best_S_id=,S01, best_S_prof=,3.145994, best_S_strat=,0.357086, 
t=,25200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.102331, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.378927, id=,B07, PRDE,actvstrat=,-0.187149, actvprof=,1.126142, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.797911, id=,S01, PRDE,actvstrat=,-0.365849, actvprof=,1.611989, id=,S02, PRDE,actvstrat=,0.575664, actvprof=,3.304536, id=,S04, PRDE,actvstrat=,-0.798763, actvprof=,0.022223, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.797911, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.304536, best_S_strat=,0.575664, 
t=,28800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.102331, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,1.378630, id=,B07, PRDE,actvstrat=,-0.187149, actvprof=,1.115293, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,4.753677, id=,S01, PRDE,actvstrat=,-0.365849, actvprof=,1.588772, id=,S02, PRDE,actvstrat=,0.575664, actvprof=,3.175600, id=,S04, PRDE,actvstrat=,-0.798763, actvprof=,0.021528, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.753677, best_B_strat=,1.000000, best_S_id=,S02, best_S_prof=,3.175600, best_S_strat=,0.575664, 
t=,32400, id=,B02, PRDE,actvstrat=,-0.944560, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.563168, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.395963, actvprof=,0.413073, id=,B07, PRDE,actvstrat=,0.315800, actvprof=,2.719558, id=,B08, PRDE,actvstrat=,-0.160415, actvprof=,2.956234, id=,S01, PRDE,actvstrat=,-0.660131, actvprof=,0.893926, id=,S02, PRDE,actvstrat=,-0.103192, actvprof=,0.721697, id=,S04, PRDE,actvstrat=,0.361764, actvprof=,0.084726, id=,S08, PRDE,actvstrat=,0.069267, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.467763, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.956234, best_B_strat=,-0.160415, best_S_id=,S01, best_S_prof=,0.893926, best_S_strat=,-0.660131, 
t=,36000, id=,B02, PRDE,actvstrat=,-0.944560, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.563168, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.395963, actvprof=,0.415842, id=,B07, PRDE,actvstrat=,0.315800, actvprof=,2.730612, id=,B08, PRDE,actvstrat=,-0.160415, actvprof=,3.084370, id=,S01, PRDE,actvstrat=,-0.660131, actvprof=,0.896130, id=,S02, PRDE,actvstrat=,-0.103192, actvprof=,0.728487, id=,S04, PRDE,actvstrat=,0.361764, actvprof=,0.089585, id=,S08, PRDE,actvstrat=,0.069267, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.467763, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.084370, best_B_strat=,-0.160415, best_S_id=,S01, best_S_prof=,0.896130, best_S_strat=,-0.660131, 
