t=,3600, id=,B00, PRDE,actvstrat=,0.962956, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.512994, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.818030, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.535311, actvprof=,0.526389, id=,B08, PRDE,actvstrat=,-0.854214, actvprof=,1.762500, id=,S02, PRDE,actvstrat=,-0.437103, actvprof=,0.269722, id=,S04, PRDE,actvstrat=,-0.800684, actvprof=,0.002222, id=,S05, PRDE,actvstrat=,0.732348, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,0.322725, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.524586, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.762500, best_B_strat=,-0.854214, best_S_id=,S02, best_S_prof=,0.269722, best_S_strat=,-0.437103, 
t=,7200, id=,B00, PRDE,actvstrat=,0.213305, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.404992, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.728638, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.893983, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.741908, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.390755, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.139147, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.738440, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.917115, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.956922, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.213305, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.390755, 
t=,10800, id=,B00, PRDE,actvstrat=,0.213305, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.404992, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.728638, actvprof=,0.000556, id=,B05, PRDE,actvstrat=,-0.893983, actvprof=,0.052777, id=,B08, PRDE,actvstrat=,0.741908, actvprof=,6.569909, id=,S02, PRDE,actvstrat=,-0.390755, actvprof=,0.193608, id=,S04, PRDE,actvstrat=,-0.139147, actvprof=,0.001667, id=,S05, PRDE,actvstrat=,0.738440, actvprof=,0.004167, id=,S08, PRDE,actvstrat=,0.917115, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.956922, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,6.569909, best_B_strat=,0.741908, best_S_id=,S02, best_S_prof=,0.193608, best_S_strat=,-0.390755, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.639194, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.710101, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.756104, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.761711, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.447734, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.390755, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.103702, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.738440, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.986859, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.436358, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.639194, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.390755, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.639194, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.710101, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.756104, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.761711, actvprof=,0.428333, id=,B08, PRDE,actvstrat=,-0.447734, actvprof=,2.774167, id=,S02, PRDE,actvstrat=,-0.390755, actvprof=,0.340278, id=,S04, PRDE,actvstrat=,-0.103702, actvprof=,0.012500, id=,S05, PRDE,actvstrat=,0.738440, actvprof=,0.003056, id=,S08, PRDE,actvstrat=,-0.986859, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.436358, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.774167, best_B_strat=,-0.447734, best_S_id=,S02, best_S_prof=,0.340278, best_S_strat=,-0.390755, 
t=,21600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.677284, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.896489, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.356936, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.637962, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.310032, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.175572, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.273425, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.356936, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.677284, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.896489, actvprof=,0.233340, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.825412, id=,S02, PRDE,actvstrat=,0.356936, actvprof=,2.051446, id=,S04, PRDE,actvstrat=,0.637962, actvprof=,0.395844, id=,S05, PRDE,actvstrat=,0.310032, actvprof=,0.002222, id=,S08, PRDE,actvstrat=,-0.175572, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.273425, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.825412, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.051446, best_S_strat=,0.356936, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.677284, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.896489, actvprof=,0.210140, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.815728, id=,S02, PRDE,actvstrat=,0.356936, actvprof=,2.054042, id=,S04, PRDE,actvstrat=,0.637962, actvprof=,0.410836, id=,S05, PRDE,actvstrat=,0.310032, actvprof=,0.002639, id=,S08, PRDE,actvstrat=,-0.175572, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.273425, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.815728, best_B_strat=,-1.000000, best_S_id=,S02, best_S_prof=,2.054042, best_S_strat=,0.356936, 
t=,32400, id=,B00, PRDE,actvstrat=,0.213305, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.404992, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.728638, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.925198, actvprof=,0.382794, id=,B08, PRDE,actvstrat=,0.741908, actvprof=,4.842702, id=,S02, PRDE,actvstrat=,0.659603, actvprof=,2.771782, id=,S04, PRDE,actvstrat=,0.634702, actvprof=,0.326680, id=,S05, PRDE,actvstrat=,0.716548, actvprof=,0.026946, id=,S08, PRDE,actvstrat=,-0.466721, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.506990, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.842702, best_B_strat=,0.741908, best_S_id=,S02, best_S_prof=,2.771782, best_S_strat=,0.659603, 
t=,36000, id=,B00, PRDE,actvstrat=,0.213305, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.404992, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.728638, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.925198, actvprof=,0.548206, id=,B08, PRDE,actvstrat=,0.741908, actvprof=,5.026494, id=,S02, PRDE,actvstrat=,0.659603, actvprof=,2.677417, id=,S04, PRDE,actvstrat=,0.634702, actvprof=,0.264867, id=,S05, PRDE,actvstrat=,0.716548, actvprof=,0.020417, id=,S08, PRDE,actvstrat=,-0.466721, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.506990, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.026494, best_B_strat=,0.741908, best_S_id=,S02, best_S_prof=,2.677417, best_S_strat=,0.659603, 
t=,39600, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.346176, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.273448, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.691914, actvprof=,1.562266, id=,B08, PRDE,actvstrat=,-0.223349, actvprof=,4.774577, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,2.640351, id=,S04, PRDE,actvstrat=,-0.602602, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.023890, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.185213, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.774577, best_B_strat=,-0.223349, best_S_id=,S02, best_S_prof=,2.640351, best_S_strat=,1.000000, 
