t=,0, id=,B02, PRDE,actvstrat=,0.042662, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.339205, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.632060, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.649327, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.674924, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.223306, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.413995, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.535072, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.446789, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.377091, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.042662, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.223306, 
t=,3600, id=,B02, PRDE,actvstrat=,0.042662, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.339205, actvprof=,0.001944, id=,B05, PRDE,actvstrat=,0.632060, actvprof=,0.222778, id=,B06, PRDE,actvstrat=,0.649327, actvprof=,1.154722, id=,B09, PRDE,actvstrat=,-0.674924, actvprof=,3.215556, id=,S02, PRDE,actvstrat=,-0.223306, actvprof=,1.099444, id=,S03, PRDE,actvstrat=,-0.413995, actvprof=,0.334167, id=,S05, PRDE,actvstrat=,0.535072, actvprof=,0.140833, id=,S06, PRDE,actvstrat=,0.446789, actvprof=,0.011111, id=,S07, PRDE,actvstrat=,-0.377091, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.215556, best_B_strat=,-0.674924, best_S_id=,S02, best_S_prof=,1.099444, best_S_strat=,-0.223306, 
t=,7200, id=,B02, PRDE,actvstrat=,0.817189, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.119090, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.487098, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.126259, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.135886, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.487898, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.305957, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.889654, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.766415, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.529296, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.817189, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,-0.487898, 
t=,10800, id=,B02, PRDE,actvstrat=,0.817189, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.119090, actvprof=,0.030833, id=,B05, PRDE,actvstrat=,-0.487098, actvprof=,0.203331, id=,B06, PRDE,actvstrat=,-0.126259, actvprof=,1.143595, id=,B09, PRDE,actvstrat=,-0.135886, actvprof=,5.452146, id=,S02, PRDE,actvstrat=,-0.487898, actvprof=,0.433327, id=,S03, PRDE,actvstrat=,0.305957, actvprof=,0.556103, id=,S05, PRDE,actvstrat=,-0.889654, actvprof=,0.034444, id=,S06, PRDE,actvstrat=,-0.766415, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.529296, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.452146, best_B_strat=,-0.135886, best_S_id=,S03, best_S_prof=,0.556103, best_S_strat=,0.305957, 
t=,14400, id=,B02, PRDE,actvstrat=,0.260212, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.157095, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.872607, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.696198, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.204894, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.261647, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.369473, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.535072, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.368260, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.940042, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.260212, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.261647, 
t=,18000, id=,B02, PRDE,actvstrat=,0.260212, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.157095, actvprof=,0.017222, id=,B05, PRDE,actvstrat=,0.872607, actvprof=,0.578611, id=,B06, PRDE,actvstrat=,0.696198, actvprof=,1.450278, id=,B09, PRDE,actvstrat=,-0.204894, actvprof=,3.798889, id=,S02, PRDE,actvstrat=,0.261647, actvprof=,2.175000, id=,S03, PRDE,actvstrat=,0.369473, actvprof=,1.269167, id=,S05, PRDE,actvstrat=,0.535072, actvprof=,0.120833, id=,S06, PRDE,actvstrat=,-0.368260, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.940042, actvprof=,0.015000, best_B_id=,B09, best_B_prof=,3.798889, best_B_strat=,-0.204894, best_S_id=,S02, best_S_prof=,2.175000, best_S_strat=,0.261647, 
t=,21600, id=,B02, PRDE,actvstrat=,0.260212, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.157095, actvprof=,0.017917, id=,B05, PRDE,actvstrat=,0.872607, actvprof=,0.587778, id=,B06, PRDE,actvstrat=,0.696198, actvprof=,1.483472, id=,B09, PRDE,actvstrat=,-0.204894, actvprof=,3.998750, id=,S02, PRDE,actvstrat=,0.261647, actvprof=,2.195000, id=,S03, PRDE,actvstrat=,0.369473, actvprof=,1.265556, id=,S05, PRDE,actvstrat=,0.535072, actvprof=,0.126944, id=,S06, PRDE,actvstrat=,-0.368260, actvprof=,0.000833, id=,S07, PRDE,actvstrat=,0.940042, actvprof=,0.014722, best_B_id=,B09, best_B_prof=,3.998750, best_B_strat=,-0.204894, best_S_id=,S02, best_S_prof=,2.195000, best_S_strat=,0.261647, 
t=,25200, id=,B02, PRDE,actvstrat=,-0.312338, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.498392, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.840316, actvprof=,0.023334, id=,B06, PRDE,actvstrat=,0.467315, actvprof=,2.100307, id=,B09, PRDE,actvstrat=,0.179427, actvprof=,6.775094, id=,S02, PRDE,actvstrat=,-0.840201, actvprof=,0.158058, id=,S03, PRDE,actvstrat=,-0.637241, actvprof=,0.080557, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.025834, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.005000, id=,S07, PRDE,actvstrat=,-0.529027, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.775094, best_B_strat=,0.179427, best_S_id=,S02, best_S_prof=,0.158058, best_S_strat=,-0.840201, 
t=,28800, id=,B02, PRDE,actvstrat=,-0.312338, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.498392, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.840316, actvprof=,0.029167, id=,B06, PRDE,actvstrat=,0.467315, actvprof=,2.135694, id=,B09, PRDE,actvstrat=,0.179427, actvprof=,6.615833, id=,S02, PRDE,actvstrat=,-0.840201, actvprof=,0.146806, id=,S03, PRDE,actvstrat=,-0.637241, actvprof=,0.093750, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.032083, id=,S06, PRDE,actvstrat=,-1.000000, actvprof=,0.002500, id=,S07, PRDE,actvstrat=,-0.529027, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.615833, best_B_strat=,0.179427, best_S_id=,S02, best_S_prof=,0.146806, best_S_strat=,-0.840201, 
t=,32400, id=,B02, PRDE,actvstrat=,0.151082, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.306122, actvprof=,0.008889, id=,B05, PRDE,actvstrat=,0.872607, actvprof=,0.475291, id=,B06, PRDE,actvstrat=,0.467315, actvprof=,1.030862, id=,B09, PRDE,actvstrat=,-0.204461, actvprof=,3.561766, id=,S02, PRDE,actvstrat=,0.261647, actvprof=,1.726715, id=,S03, PRDE,actvstrat=,0.233149, actvprof=,0.948082, id=,S05, PRDE,actvstrat=,-0.906625, actvprof=,0.007222, id=,S06, PRDE,actvstrat=,-0.974657, actvprof=,0.063335, id=,S07, PRDE,actvstrat=,0.218815, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.561766, best_B_strat=,-0.204461, best_S_id=,S02, best_S_prof=,1.726715, best_S_strat=,0.261647, 
t=,36000, id=,B02, PRDE,actvstrat=,-0.976815, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.713643, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.810791, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.720485, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.397519, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.191935, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.482582, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.908979, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.226688, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.976815, best_S_id=,S02, best_S_prof=,0.000000, best_S_strat=,0.191935, 
