t=,0, id=,B00, PRDE,actvstrat=,0.879592, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.007642, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.617251, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.573339, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.009106, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.833353, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.122984, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.608375, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.083048, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.654884, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.879592, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.833353, 
t=,3600, id=,B00, PRDE,actvstrat=,0.879592, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.007642, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.617251, actvprof=,0.133056, id=,B06, PRDE,actvstrat=,0.573339, actvprof=,2.170833, id=,B07, PRDE,actvstrat=,0.009106, actvprof=,2.886389, id=,S00, PRDE,actvstrat=,0.833353, actvprof=,6.254167, id=,S01, PRDE,actvstrat=,-0.122984, actvprof=,2.101111, id=,S02, PRDE,actvstrat=,-0.608375, actvprof=,0.613056, id=,S08, PRDE,actvstrat=,0.083048, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.654884, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.886389, best_B_strat=,0.009106, best_S_id=,S00, best_S_prof=,6.254167, best_S_strat=,0.833353, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.308342, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.141880, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.490867, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.144293, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.288670, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.232868, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.355483, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.949534, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.688327, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.648179, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.308342, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.232868, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.308342, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.141880, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.490867, actvprof=,0.644435, id=,B06, PRDE,actvstrat=,0.144293, actvprof=,1.419425, id=,B07, PRDE,actvstrat=,0.288670, actvprof=,3.136068, id=,S00, PRDE,actvstrat=,0.232868, actvprof=,4.708268, id=,S01, PRDE,actvstrat=,-0.355483, actvprof=,1.678866, id=,S02, PRDE,actvstrat=,0.949534, actvprof=,3.114401, id=,S08, PRDE,actvstrat=,0.688327, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.648179, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.136068, best_B_strat=,0.288670, best_S_id=,S00, best_S_prof=,4.708268, best_S_strat=,0.232868, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.308342, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.510165, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.490867, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.627492, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.948589, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.326826, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.864980, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.949534, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.516343, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.208002, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.308342, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.326826, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.308342, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.510165, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.490867, actvprof=,0.656111, id=,B06, PRDE,actvstrat=,0.627492, actvprof=,2.073056, id=,B07, PRDE,actvstrat=,0.948589, actvprof=,3.885000, id=,S00, PRDE,actvstrat=,0.326826, actvprof=,4.888056, id=,S01, PRDE,actvstrat=,0.864980, actvprof=,4.562222, id=,S02, PRDE,actvstrat=,0.949534, actvprof=,2.970000, id=,S08, PRDE,actvstrat=,-0.516343, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.208002, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.885000, best_B_strat=,0.948589, best_S_id=,S00, best_S_prof=,4.888056, best_S_strat=,0.326826, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.308342, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.510165, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.490867, actvprof=,0.654032, id=,B06, PRDE,actvstrat=,0.627492, actvprof=,2.038625, id=,B07, PRDE,actvstrat=,0.948589, actvprof=,3.870444, id=,S00, PRDE,actvstrat=,0.326826, actvprof=,4.812256, id=,S01, PRDE,actvstrat=,0.864980, actvprof=,4.590449, id=,S02, PRDE,actvstrat=,0.949534, actvprof=,3.020715, id=,S08, PRDE,actvstrat=,-0.516343, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.208002, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.870444, best_B_strat=,0.948589, best_S_id=,S00, best_S_prof=,4.812256, best_S_strat=,0.326826, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.261992, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.679509, actvprof=,1.166127, id=,B06, PRDE,actvstrat=,-0.788518, actvprof=,0.631675, id=,B07, PRDE,actvstrat=,0.269950, actvprof=,3.641439, id=,S00, PRDE,actvstrat=,0.643732, actvprof=,5.254795, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.114779, id=,S02, PRDE,actvstrat=,-0.208880, actvprof=,0.659731, id=,S08, PRDE,actvstrat=,-0.172450, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.904049, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.641439, best_B_strat=,0.269950, best_S_id=,S00, best_S_prof=,5.254795, best_S_strat=,0.643732, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.261992, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.679509, actvprof=,1.135702, id=,B06, PRDE,actvstrat=,-0.788518, actvprof=,0.686810, id=,B07, PRDE,actvstrat=,0.269950, actvprof=,3.626831, id=,S00, PRDE,actvstrat=,0.643732, actvprof=,5.320731, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,3.977805, id=,S02, PRDE,actvstrat=,-0.208880, actvprof=,0.694449, id=,S08, PRDE,actvstrat=,-0.172450, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.904049, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.626831, best_B_strat=,0.269950, best_S_id=,S00, best_S_prof=,5.320731, best_S_strat=,0.643732, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.465373, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.108229, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.585656, actvprof=,0.271122, id=,B06, PRDE,actvstrat=,0.627492, actvprof=,2.478437, id=,B07, PRDE,actvstrat=,-0.548691, actvprof=,2.250927, id=,S00, PRDE,actvstrat=,0.643732, actvprof=,5.095768, id=,S01, PRDE,actvstrat=,-0.355483, actvprof=,1.368668, id=,S02, PRDE,actvstrat=,0.638990, actvprof=,2.040918, id=,S08, PRDE,actvstrat=,-0.096971, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.788025, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.478437, best_B_strat=,0.627492, best_S_id=,S00, best_S_prof=,5.095768, best_S_strat=,0.643732, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.465373, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.108229, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.585656, actvprof=,0.227505, id=,B06, PRDE,actvstrat=,0.627492, actvprof=,2.495885, id=,B07, PRDE,actvstrat=,-0.548691, actvprof=,2.244491, id=,S00, PRDE,actvstrat=,0.643732, actvprof=,5.211359, id=,S01, PRDE,actvstrat=,-0.355483, actvprof=,1.473225, id=,S02, PRDE,actvstrat=,0.638990, actvprof=,2.099210, id=,S08, PRDE,actvstrat=,-0.096971, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.788025, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.495885, best_B_strat=,0.627492, best_S_id=,S00, best_S_prof=,5.211359, best_S_strat=,0.643732, 
