t=,1, id=,B00, PRDE,actvstrat=,-0.482915, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.506581, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.756205, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.258941, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.264350, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.461043, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.188892, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.696691, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.589126, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.862074, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.482915, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.461043, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.482915, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.506581, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.756205, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.258941, actvprof=,0.066389, id=,B06, PRDE,actvstrat=,-0.264350, actvprof=,1.794722, id=,S01, PRDE,actvstrat=,-0.461043, actvprof=,0.583056, id=,S03, PRDE,actvstrat=,0.188892, actvprof=,0.093056, id=,S06, PRDE,actvstrat=,0.696691, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.589126, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.862074, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.794722, best_B_strat=,-0.264350, best_S_id=,S01, best_S_prof=,0.583056, best_S_strat=,-0.461043, 
t=,7200, id=,B00, PRDE,actvstrat=,0.451346, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.342513, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.553310, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.775053, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.863608, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.141958, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.687655, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.639441, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.509481, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.922945, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.451346, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.141958, 
t=,10800, id=,B00, PRDE,actvstrat=,0.451346, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.342513, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.553310, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.775053, actvprof=,0.390828, id=,B06, PRDE,actvstrat=,-0.863608, actvprof=,0.620825, id=,S01, PRDE,actvstrat=,0.141958, actvprof=,1.685254, id=,S03, PRDE,actvstrat=,0.687655, actvprof=,0.298885, id=,S06, PRDE,actvstrat=,0.639441, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.509481, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.922945, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.620825, best_B_strat=,-0.863608, best_S_id=,S01, best_S_prof=,1.685254, best_S_strat=,0.141958, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.127927, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.925267, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.545669, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.773946, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.361640, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.141958, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.213089, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.876217, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.509481, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.291216, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.127927, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.141958, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.127927, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.925267, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.545669, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.773946, actvprof=,0.108057, id=,B06, PRDE,actvstrat=,-0.361640, actvprof=,1.208350, id=,S01, PRDE,actvstrat=,0.141958, actvprof=,2.171419, id=,S03, PRDE,actvstrat=,0.213089, actvprof=,0.304449, id=,S06, PRDE,actvstrat=,0.876217, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.509481, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.291216, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.208350, best_B_strat=,-0.361640, best_S_id=,S01, best_S_prof=,2.171419, best_S_strat=,0.141958, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.127927, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.925267, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.545669, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.773946, actvprof=,0.130973, id=,B06, PRDE,actvstrat=,-0.361640, actvprof=,1.155286, id=,S01, PRDE,actvstrat=,0.141958, actvprof=,2.086820, id=,S03, PRDE,actvstrat=,0.213089, actvprof=,0.248057, id=,S06, PRDE,actvstrat=,0.876217, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.509481, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.291216, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.155286, best_B_strat=,-0.361640, best_S_id=,S01, best_S_prof=,2.086820, best_S_strat=,0.141958, 
t=,25200, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.994153, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.019167, id=,B06, PRDE,actvstrat=,0.277988, actvprof=,2.009222, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.976805, id=,S03, PRDE,actvstrat=,-0.078612, actvprof=,0.166949, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.009222, best_B_strat=,0.277988, best_S_id=,S01, best_S_prof=,4.976805, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.994153, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.019583, id=,B06, PRDE,actvstrat=,0.277988, actvprof=,2.001944, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,4.986667, id=,S03, PRDE,actvstrat=,-0.078612, actvprof=,0.140139, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.001944, best_B_strat=,0.277988, best_S_id=,S01, best_S_prof=,4.986667, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.559075, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.553310, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.472046, actvprof=,0.479180, id=,B06, PRDE,actvstrat=,-0.264350, actvprof=,1.973388, id=,S01, PRDE,actvstrat=,-0.608788, actvprof=,0.408345, id=,S03, PRDE,actvstrat=,0.999357, actvprof=,0.537793, id=,S06, PRDE,actvstrat=,0.796119, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.021888, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.108285, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.973388, best_B_strat=,-0.264350, best_S_id=,S03, best_S_prof=,0.537793, best_S_strat=,0.999357, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.559075, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.553310, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.472046, actvprof=,0.470149, id=,B06, PRDE,actvstrat=,-0.264350, actvprof=,1.975041, id=,S01, PRDE,actvstrat=,-0.608788, actvprof=,0.464732, id=,S03, PRDE,actvstrat=,0.999357, actvprof=,0.558623, id=,S06, PRDE,actvstrat=,0.796119, actvprof=,0.002222, id=,S07, PRDE,actvstrat=,-0.021888, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.108285, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.975041, best_B_strat=,-0.264350, best_S_id=,S03, best_S_prof=,0.558623, best_S_strat=,0.999357, 
