B00, 0
B01, 3
B01, Trade, 196429.850, 67, S00, B01, 1
B01, Trade, 1850435.951, 67, B01, S00, 1
B01, Trade, 2335075.650, 67, B01, S00, 1
B02, 100
B02, Trade, 4277417.793, 77, B02, S01, 1
B02, Trade, 4277458.543, 77, B02, S01, 1
B02, Trade, 4277928.993, 77, B02, S01, 1
B02, Trade, 4277962.293, 77, B02, S01, 1
B02, Trade, 4278152.293, 77, B02, S01, 1
B02, Trade, 4278271.343, 77, B02, S01, 1
B02, Trade, 4278299.543, 76, B02, S01, 1
B02, Trade, 4278634.493, 77, B02, S01, 1
B02, Trade, 4278655.943, 77, B02, S01, 1
B02, Trade, 4278727.543, 77, B02, S01, 1
B02, Trade, 4279104.893, 77, B02, S02, 1
B02, Trade, 4279156.143, 77, B02, S01, 1
B02, Trade, 4279191.693, 76, B02, S01, 1
B02, Trade, 4279456.243, 77, B02, S01, 1
B02, Trade, 4279554.043, 76, B02, S01, 1
B02, Trade, 4279573.893, 74, S01, B02, 1
B02, Trade, 4279718.593, 72, S01, B02, 1
B02, Trade, 4279742.843, 77, B02, S01, 1
B02, Trade, 4279753.343, 77, B02, S01, 1
B02, Trade, 4279761.693, 77, B02, S01, 1
B02, Trade, 4279843.093, 77, B02, S01, 1
B02, Trade, 4280178.643, 77, B02, S01, 1
B02, Trade, 4280311.393, 77, B02, S01, 1
B02, Trade, 4280373.843, 77, B02, S01, 1
B02, Trade, 4280549.793, 76, B02, S01, 1
B02, Trade, 4280608.843, 75, B02, S01, 1
B02, Trade, 4280642.893, 76, B02, S01, 1
B02, Trade, 4280787.293, 75, B02, S01, 1
B02, Trade, 4281150.543, 77, B02, S01, 1
B02, Trade, 4281160.543, 76, B02, S01, 1
B02, Trade, 4281206.393, 77, B02, S01, 1
B02, Trade, 4281884.893, 77, B02, S02, 1
B02, Trade, 4282041.643, 76, B02, S01, 1
B02, Trade, 4282208.143, 76, B02, S01, 1
B02, Trade, 4282227.843, 77, B02, S01, 1
B02, Trade, 4282479.543, 77, B02, S01, 1
B02, Trade, 4282690.393, 77, B02, S01, 1
B02, Trade, 4282780.843, 77, S01, B02, 1
B02, Trade, 4282916.493, 77, B02, S02, 1
B02, Trade, 4283234.643, 77, B02, S01, 1
B02, Trade, 4283554.893, 75, B02, S01, 1
B02, Trade, 4283792.643, 77, B02, S01, 1
B02, Trade, 4283858.893, 77, B02, S01, 1
B02, Trade, 4283898.993, 77, B02, S01, 1
B02, Trade, 4286489.943, 77, B02, S02, 1
B02, Trade, 4286796.943, 77, B02, S02, 1
B02, Trade, 4286817.593, 77, B02, S02, 1
B02, Trade, 4287099.193, 77, B02, S02, 1
B02, Trade, 4287466.193, 77, B02, S02, 1
B02, Trade, 4287999.793, 77, B02, S02, 1
B02, Trade, 4288536.043, 77, B02, S02, 1
B02, Trade, 4289433.243, 77, B02, S02, 1
B02, Trade, 4291876.643, 73, B02, S01, 1
B02, Trade, 4292573.593, 77, B02, S01, 1
B02, Trade, 4292785.643, 71, S01, B02, 1
B02, Trade, 4292988.043, 77, B02, S01, 1
B02, Trade, 4293073.943, 77, B02, S01, 1
B02, Trade, 4294172.643, 77, B02, S02, 1
B02, Trade, 4294800.693, 77, B02, S01, 1
B02, Trade, 4295497.693, 77, B02, S01, 1
B02, Trade, 4295757.393, 77, B02, S01, 1
B02, Trade, 4298634.343, 77, B02, S01, 1
B02, Trade, 4298992.693, 77, B02, S01, 1
B02, Trade, 4299224.343, 77, B02, S01, 1
B02, Trade, 4299802.293, 77, B02, S01, 1
B02, Trade, 4305084.793, 77, B02, S01, 1
B02, Trade, 4305274.943, 77, B02, S01, 1
B02, Trade, 4305570.893, 77, B02, S01, 1
B02, Trade, 4306007.743, 77, B02, S01, 1
B02, Trade, 4306037.843, 77, B02, S01, 1
B02, Trade, 4306193.543, 77, B02, S01, 1
B02, Trade, 4306716.043, 77, B02, S01, 1
B02, Trade, 4306835.543, 70, B02, S01, 1
B02, Trade, 4307424.693, 77, B02, S01, 1
B02, Trade, 4307445.543, 77, B02, S01, 1
B02, Trade, 4307589.993, 77, B02, S01, 1
B02, Trade, 4308107.943, 75, B02, S01, 1
B02, Trade, 4308174.943, 77, B02, S01, 1
B02, Trade, 4308430.393, 77, B02, S01, 1
B02, Trade, 4308847.643, 77, B02, S01, 1
B02, Trade, 4309027.493, 77, B02, S01, 1
B02, Trade, 4309400.693, 71, B02, S01, 1
B02, Trade, 4309567.043, 77, B02, S01, 1
B02, Trade, 4309584.393, 77, B02, S01, 1
B02, Trade, 4309818.793, 77, B02, S01, 1
B02, Trade, 4309887.843, 77, B02, S01, 1
B02, Trade, 4310394.993, 77, B02, S01, 1
B02, Trade, 4310633.143, 77, B02, S01, 1
B02, Trade, 4310729.843, 77, B02, S01, 1
B02, Trade, 4311226.493, 77, B02, S01, 1
B02, Trade, 4311337.193, 77, B02, S02, 1
B02, Trade, 4311347.793, 69, B02, S01, 1
B02, Trade, 4312032.843, 77, B02, S01, 1
B02, Trade, 4312130.643, 77, B02, S01, 1
B02, Trade, 4312326.243, 77, B02, S01, 1
B02, Trade, 4312468.493, 77, B02, S01, 1
B02, Trade, 4312693.793, 77, B02, S01, 1
