t=,0, id=,B02, PRDE,actvstrat=,0.776816, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.760727, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.729019, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.797463, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.799600, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.166481, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.193988, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.198806, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.315681, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.186223, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.776816, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.166481, 
t=,3600, id=,B02, PRDE,actvstrat=,0.776816, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.760727, actvprof=,0.015000, id=,B05, PRDE,actvstrat=,0.729019, actvprof=,0.122500, id=,B07, PRDE,actvstrat=,-0.797463, actvprof=,0.609722, id=,B08, PRDE,actvstrat=,-0.799600, actvprof=,1.789444, id=,S01, PRDE,actvstrat=,0.166481, actvprof=,3.219722, id=,S02, PRDE,actvstrat=,-0.193988, actvprof=,0.754444, id=,S03, PRDE,actvstrat=,-0.198806, actvprof=,0.308333, id=,S04, PRDE,actvstrat=,-0.315681, actvprof=,0.011667, id=,S08, PRDE,actvstrat=,0.186223, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,1.789444, best_B_strat=,-0.799600, best_S_id=,S01, best_S_prof=,3.219722, best_S_strat=,0.166481, 
t=,7200, id=,B02, PRDE,actvstrat=,-0.659597, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.228641, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.830906, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.459537, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.673790, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.435543, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.058377, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.185740, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.940656, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.852655, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.659597, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.435543, 
t=,10800, id=,B02, PRDE,actvstrat=,-0.659597, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.228641, actvprof=,0.013055, id=,B05, PRDE,actvstrat=,-0.830906, actvprof=,0.021666, id=,B07, PRDE,actvstrat=,-0.459537, actvprof=,1.142762, id=,B08, PRDE,actvstrat=,-0.673790, actvprof=,2.474966, id=,S01, PRDE,actvstrat=,-0.435543, actvprof=,1.136373, id=,S02, PRDE,actvstrat=,0.058377, actvprof=,1.411369, id=,S03, PRDE,actvstrat=,0.185740, actvprof=,0.646935, id=,S04, PRDE,actvstrat=,-0.940656, actvprof=,0.009722, id=,S08, PRDE,actvstrat=,-0.852655, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.474966, best_B_strat=,-0.673790, best_S_id=,S02, best_S_prof=,1.411369, best_S_strat=,0.058377, 
t=,14400, id=,B02, PRDE,actvstrat=,0.208204, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.872854, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.810009, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.890963, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.305095, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.035270, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.583104, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.084316, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.865499, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.852655, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.208204, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.035270, 
t=,18000, id=,B02, PRDE,actvstrat=,0.208204, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.872854, actvprof=,0.019444, id=,B05, PRDE,actvstrat=,0.810009, actvprof=,0.412216, id=,B07, PRDE,actvstrat=,-0.890963, actvprof=,0.554715, id=,B08, PRDE,actvstrat=,0.305095, actvprof=,4.045222, id=,S01, PRDE,actvstrat=,0.035270, actvprof=,2.727462, id=,S02, PRDE,actvstrat=,-0.583104, actvprof=,0.548603, id=,S03, PRDE,actvstrat=,0.084316, actvprof=,0.588603, id=,S04, PRDE,actvstrat=,0.865499, actvprof=,0.553326, id=,S08, PRDE,actvstrat=,-0.852655, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.045222, best_B_strat=,0.305095, best_S_id=,S01, best_S_prof=,2.727462, best_S_strat=,0.035270, 
t=,21600, id=,B02, PRDE,actvstrat=,0.208204, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.872854, actvprof=,0.013611, id=,B05, PRDE,actvstrat=,0.810009, actvprof=,0.396111, id=,B07, PRDE,actvstrat=,-0.890963, actvprof=,0.503472, id=,B08, PRDE,actvstrat=,0.305095, actvprof=,4.048750, id=,S01, PRDE,actvstrat=,0.035270, actvprof=,2.731111, id=,S02, PRDE,actvstrat=,-0.583104, actvprof=,0.526250, id=,S03, PRDE,actvstrat=,0.084316, actvprof=,0.608611, id=,S04, PRDE,actvstrat=,0.865499, actvprof=,0.580694, id=,S08, PRDE,actvstrat=,-0.852655, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.048750, best_B_strat=,0.305095, best_S_id=,S01, best_S_prof=,2.731111, best_S_strat=,0.035270, 
t=,25200, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.830818, actvprof=,0.038889, id=,B05, PRDE,actvstrat=,-0.103638, actvprof=,0.132780, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.470326, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.475909, id=,S01, PRDE,actvstrat=,0.170864, actvprof=,2.771983, id=,S02, PRDE,actvstrat=,-0.426844, actvprof=,0.439728, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.946138, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.620009, id=,S08, PRDE,actvstrat=,-0.893610, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.475909, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.771983, best_S_strat=,0.170864, 
t=,28800, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.830818, actvprof=,0.049584, id=,B05, PRDE,actvstrat=,-0.103638, actvprof=,0.126668, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.424746, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.581428, id=,S01, PRDE,actvstrat=,0.170864, actvprof=,2.787797, id=,S02, PRDE,actvstrat=,-0.426844, actvprof=,0.421670, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.870985, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,0.583337, id=,S08, PRDE,actvstrat=,-0.893610, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.581428, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,2.787797, best_S_strat=,0.170864, 
t=,32400, id=,B02, PRDE,actvstrat=,0.776816, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.873121, actvprof=,0.021389, id=,B05, PRDE,actvstrat=,-0.133639, actvprof=,0.095003, id=,B07, PRDE,actvstrat=,-0.159135, actvprof=,1.683936, id=,B08, PRDE,actvstrat=,-0.673790, actvprof=,2.532848, id=,S01, PRDE,actvstrat=,0.444636, actvprof=,3.433984, id=,S02, PRDE,actvstrat=,-0.426844, actvprof=,0.468346, id=,S03, PRDE,actvstrat=,0.249796, actvprof=,0.635851, id=,S04, PRDE,actvstrat=,-0.155126, actvprof=,0.017223, id=,S08, PRDE,actvstrat=,0.857200, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.532848, best_B_strat=,-0.673790, best_S_id=,S01, best_S_prof=,3.433984, best_S_strat=,0.444636, 
t=,36000, id=,B02, PRDE,actvstrat=,0.776816, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.873121, actvprof=,0.016250, id=,B05, PRDE,actvstrat=,-0.133639, actvprof=,0.083890, id=,B07, PRDE,actvstrat=,-0.159135, actvprof=,1.672801, id=,B08, PRDE,actvstrat=,-0.673790, actvprof=,2.592953, id=,S01, PRDE,actvstrat=,0.444636, actvprof=,3.431020, id=,S02, PRDE,actvstrat=,-0.426844, actvprof=,0.494035, id=,S03, PRDE,actvstrat=,0.249796, actvprof=,0.657370, id=,S04, PRDE,actvstrat=,-0.155126, actvprof=,0.018472, id=,S08, PRDE,actvstrat=,0.857200, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.592953, best_B_strat=,-0.673790, best_S_id=,S01, best_S_prof=,3.431020, best_S_strat=,0.444636, 
