t=,1, id=,B00, PRDE,actvstrat=,-0.006830, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.298436, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.409041, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.637512, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.207594, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.993822, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.507466, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.269590, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.043891, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.450407, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.006830, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,-0.993822, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.006830, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.298436, actvprof=,0.128611, id=,B05, PRDE,actvstrat=,-0.409041, actvprof=,0.806389, id=,B06, PRDE,actvstrat=,0.637512, actvprof=,3.688611, id=,B07, PRDE,actvstrat=,-0.207594, actvprof=,3.885556, id=,S04, PRDE,actvstrat=,-0.993822, actvprof=,0.030000, id=,S05, PRDE,actvstrat=,-0.507466, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.269590, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.043891, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.450407, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.885556, best_B_strat=,-0.207594, best_S_id=,S04, best_S_prof=,0.030000, best_S_strat=,-0.993822, 
t=,7200, id=,B00, PRDE,actvstrat=,0.220658, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.662772, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.801720, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.573217, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.107302, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.176918, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.806707, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.974536, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.637568, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.566763, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.220658, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,-0.176918, 
t=,10800, id=,B00, PRDE,actvstrat=,0.220658, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.662772, actvprof=,0.074443, id=,B05, PRDE,actvstrat=,0.801720, actvprof=,1.019153, id=,B06, PRDE,actvstrat=,-0.573217, actvprof=,0.860266, id=,B07, PRDE,actvstrat=,0.107302, actvprof=,3.016903, id=,S04, PRDE,actvstrat=,-0.176918, actvprof=,0.004167, id=,S05, PRDE,actvstrat=,0.806707, actvprof=,0.012500, id=,S07, PRDE,actvstrat=,0.974536, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.637568, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.566763, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.016903, best_B_strat=,0.107302, best_S_id=,S05, best_S_prof=,0.012500, best_S_strat=,0.806707, 
t=,14400, id=,B00, PRDE,actvstrat=,0.159503, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.817079, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.581664, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.802819, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.574900, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.816376, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.730518, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.706546, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.167185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.910974, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.159503, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,-0.816376, 
t=,18000, id=,B00, PRDE,actvstrat=,0.159503, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.817079, actvprof=,0.068056, id=,B05, PRDE,actvstrat=,-0.581664, actvprof=,0.812500, id=,B06, PRDE,actvstrat=,-0.802819, actvprof=,1.572778, id=,B07, PRDE,actvstrat=,0.574900, actvprof=,5.554722, id=,S04, PRDE,actvstrat=,-0.816376, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.730518, actvprof=,0.001944, id=,S07, PRDE,actvstrat=,-0.706546, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.167185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.910974, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.554722, best_B_strat=,0.574900, best_S_id=,S05, best_S_prof=,0.001944, best_S_strat=,0.730518, 
t=,21600, id=,B00, PRDE,actvstrat=,0.159503, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.817079, actvprof=,0.070417, id=,B05, PRDE,actvstrat=,-0.581664, actvprof=,0.879167, id=,B06, PRDE,actvstrat=,-0.802819, actvprof=,1.598472, id=,B07, PRDE,actvstrat=,0.574900, actvprof=,5.547222, id=,S04, PRDE,actvstrat=,-0.816376, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.730518, actvprof=,0.006667, id=,S07, PRDE,actvstrat=,-0.706546, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.167185, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.910974, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.547222, best_B_strat=,0.574900, best_S_id=,S05, best_S_prof=,0.006667, best_S_strat=,0.730518, 
t=,25200, id=,B00, PRDE,actvstrat=,0.460210, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.775966, actvprof=,0.023611, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.799733, id=,B06, PRDE,actvstrat=,0.666613, actvprof=,2.117807, id=,B07, PRDE,actvstrat=,-0.467702, actvprof=,1.693635, id=,S04, PRDE,actvstrat=,-0.392389, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.045278, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.584412, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.758022, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.117807, best_B_strat=,0.666613, best_S_id=,S05, best_S_prof=,0.045278, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.460210, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.775966, actvprof=,0.029167, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.886534, id=,B06, PRDE,actvstrat=,0.666613, actvprof=,2.141126, id=,B07, PRDE,actvstrat=,-0.467702, actvprof=,1.749873, id=,S04, PRDE,actvstrat=,-0.392389, actvprof=,0.002778, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.039584, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.584412, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.758022, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.141126, best_B_strat=,0.666613, best_S_id=,S05, best_S_prof=,0.039584, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.225758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.587360, actvprof=,0.017778, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.199478, id=,B06, PRDE,actvstrat=,0.611204, actvprof=,2.554793, id=,B07, PRDE,actvstrat=,-0.611965, actvprof=,2.117837, id=,S04, PRDE,actvstrat=,0.649128, actvprof=,0.167782, id=,S05, PRDE,actvstrat=,0.052735, actvprof=,0.003333, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.584412, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.758022, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.554793, best_B_strat=,0.611204, best_S_id=,S04, best_S_prof=,0.167782, best_S_strat=,0.649128, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.225758, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.587360, actvprof=,0.013750, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,1.139460, id=,B06, PRDE,actvstrat=,0.611204, actvprof=,2.408367, id=,B07, PRDE,actvstrat=,-0.611965, actvprof=,2.060306, id=,S04, PRDE,actvstrat=,0.649128, actvprof=,0.168197, id=,S05, PRDE,actvstrat=,0.052735, actvprof=,0.003194, id=,S07, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.584412, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.758022, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.408367, best_B_strat=,0.611204, best_S_id=,S04, best_S_prof=,0.168197, best_S_strat=,0.649128, 
