t=,0, id=,B01, PRDE,actvstrat=,0.073110, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.896476, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.971937, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.541857, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.924629, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.949028, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.119200, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.558755, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.919650, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.760499, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.073110, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,0.949028, 
t=,3600, id=,B01, PRDE,actvstrat=,0.073110, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.896476, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.971937, actvprof=,0.085000, id=,B05, PRDE,actvstrat=,0.541857, actvprof=,0.797778, id=,B06, PRDE,actvstrat=,0.924629, actvprof=,2.819444, id=,S04, PRDE,actvstrat=,0.949028, actvprof=,0.394444, id=,S05, PRDE,actvstrat=,0.119200, actvprof=,0.006389, id=,S06, PRDE,actvstrat=,0.558755, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.919650, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.760499, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.819444, best_B_strat=,0.924629, best_S_id=,S04, best_S_prof=,0.394444, best_S_strat=,0.949028, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.965724, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.374761, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.485383, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.757696, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.772007, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.932208, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.716945, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.325125, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.434563, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.181884, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.965724, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,0.932208, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.965724, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.374761, actvprof=,0.005278, id=,B04, PRDE,actvstrat=,0.485383, actvprof=,1.046097, id=,B05, PRDE,actvstrat=,-0.757696, actvprof=,0.992486, id=,B06, PRDE,actvstrat=,-0.772007, actvprof=,2.043305, id=,S04, PRDE,actvstrat=,0.932208, actvprof=,0.016111, id=,S05, PRDE,actvstrat=,0.716945, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.325125, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.434563, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.181884, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,2.043305, best_B_strat=,-0.772007, best_S_id=,S04, best_S_prof=,0.016111, best_S_strat=,0.932208, 
t=,14400, id=,B01, PRDE,actvstrat=,0.666273, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.463559, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.930781, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.757696, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.114653, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.139643, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.849075, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.641894, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.178512, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.513866, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.666273, best_S_id=,S04, best_S_prof=,0.000000, best_S_strat=,-0.139643, 
t=,18000, id=,B01, PRDE,actvstrat=,0.666273, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.463559, actvprof=,0.001389, id=,B04, PRDE,actvstrat=,0.930781, actvprof=,0.367222, id=,B05, PRDE,actvstrat=,-0.757696, actvprof=,0.264167, id=,B06, PRDE,actvstrat=,-0.114653, actvprof=,1.478611, id=,S04, PRDE,actvstrat=,-0.139643, actvprof=,0.006111, id=,S05, PRDE,actvstrat=,-0.849075, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.641894, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.178512, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.513866, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.478611, best_B_strat=,-0.114653, best_S_id=,S04, best_S_prof=,0.006111, best_S_strat=,-0.139643, 
t=,21600, id=,B01, PRDE,actvstrat=,0.666273, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.463559, actvprof=,0.000833, id=,B04, PRDE,actvstrat=,0.930781, actvprof=,0.290972, id=,B05, PRDE,actvstrat=,-0.757696, actvprof=,0.220556, id=,B06, PRDE,actvstrat=,-0.114653, actvprof=,1.311250, id=,S04, PRDE,actvstrat=,-0.139643, actvprof=,0.015417, id=,S05, PRDE,actvstrat=,-0.849075, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.641894, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.178512, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.513866, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.311250, best_B_strat=,-0.114653, best_S_id=,S04, best_S_prof=,0.015417, best_S_strat=,-0.139643, 
t=,25200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.370618, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.738204, actvprof=,0.069167, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.237222, id=,B06, PRDE,actvstrat=,0.077383, actvprof=,1.628611, id=,S04, PRDE,actvstrat=,0.090943, actvprof=,0.029444, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.019444, id=,S06, PRDE,actvstrat=,0.901688, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.916996, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.628611, best_B_strat=,0.077383, best_S_id=,S04, best_S_prof=,0.029444, best_S_strat=,0.090943, 
t=,28800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.370618, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.738204, actvprof=,0.098194, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,1.243750, id=,B06, PRDE,actvstrat=,0.077383, actvprof=,1.627639, id=,S04, PRDE,actvstrat=,0.090943, actvprof=,0.038056, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.018194, id=,S06, PRDE,actvstrat=,0.901688, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.916996, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.627639, best_B_strat=,0.077383, best_S_id=,S04, best_S_prof=,0.038056, best_S_strat=,0.090943, 
t=,32400, id=,B01, PRDE,actvstrat=,0.669691, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.413957, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.914715, actvprof=,0.005278, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.148060, id=,B06, PRDE,actvstrat=,0.839825, actvprof=,1.215034, id=,S04, PRDE,actvstrat=,0.409754, actvprof=,0.434457, id=,S05, PRDE,actvstrat=,-0.578170, actvprof=,0.001944, id=,S06, PRDE,actvstrat=,-0.423299, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.882340, actvprof=,0.000278, id=,S08, PRDE,actvstrat=,-0.430353, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.215034, best_B_strat=,0.839825, best_S_id=,S04, best_S_prof=,0.434457, best_S_strat=,0.409754, 
t=,36000, id=,B01, PRDE,actvstrat=,0.669691, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.413957, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.914715, actvprof=,0.004167, id=,B05, PRDE,actvstrat=,1.000000, actvprof=,0.208058, id=,B06, PRDE,actvstrat=,0.839825, actvprof=,1.243767, id=,S04, PRDE,actvstrat=,0.409754, actvprof=,0.463201, id=,S05, PRDE,actvstrat=,-0.578170, actvprof=,0.004028, id=,S06, PRDE,actvstrat=,-0.423299, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.882340, actvprof=,0.000139, id=,S08, PRDE,actvstrat=,-0.430353, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.243767, best_B_strat=,0.839825, best_S_id=,S04, best_S_prof=,0.463201, best_S_strat=,0.409754, 
