t=,3600, id=,B00, PRDE,actvstrat=,0.430769, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.064323, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.906564, actvprof=,0.006111, id=,B04, PRDE,actvstrat=,-0.526276, actvprof=,0.007778, id=,B06, PRDE,actvstrat=,-0.615546, actvprof=,0.604444, id=,S01, PRDE,actvstrat=,0.889706, actvprof=,5.215556, id=,S03, PRDE,actvstrat=,-0.664639, actvprof=,0.172778, id=,S04, PRDE,actvstrat=,-0.178445, actvprof=,0.035000, id=,S05, PRDE,actvstrat=,0.523734, actvprof=,0.006389, id=,S08, PRDE,actvstrat=,-0.054508, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.604444, best_B_strat=,-0.615546, best_S_id=,S01, best_S_prof=,5.215556, best_S_strat=,0.889706, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.104111, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.778617, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.883862, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.229239, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.806210, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.457563, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.066598, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.506052, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.655250, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.156898, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.104111, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.457563, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.104111, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.778617, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.883862, actvprof=,0.002778, id=,B04, PRDE,actvstrat=,0.229239, actvprof=,0.012222, id=,B06, PRDE,actvstrat=,0.806210, actvprof=,1.661644, id=,S01, PRDE,actvstrat=,0.457563, actvprof=,4.543548, id=,S03, PRDE,actvstrat=,-0.066598, actvprof=,0.708601, id=,S04, PRDE,actvstrat=,0.506052, actvprof=,0.427494, id=,S05, PRDE,actvstrat=,0.655250, actvprof=,0.031111, id=,S08, PRDE,actvstrat=,0.156898, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.661644, best_B_strat=,0.806210, best_S_id=,S01, best_S_prof=,4.543548, best_S_strat=,0.457563, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.527674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.973939, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.906564, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.195100, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.412029, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.483192, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.611429, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.506052, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.229381, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.975511, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.527674, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.483192, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.527674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.973939, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.906564, actvprof=,0.001944, id=,B04, PRDE,actvstrat=,-0.195100, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.412029, actvprof=,0.920556, id=,S01, PRDE,actvstrat=,-0.483192, actvprof=,2.217500, id=,S03, PRDE,actvstrat=,-0.611429, actvprof=,0.365000, id=,S04, PRDE,actvstrat=,0.506052, actvprof=,0.509722, id=,S05, PRDE,actvstrat=,-0.229381, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.975511, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.920556, best_B_strat=,0.412029, best_S_id=,S01, best_S_prof=,2.217500, best_S_strat=,-0.483192, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.527674, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.973939, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.906564, actvprof=,0.000972, id=,B04, PRDE,actvstrat=,-0.195100, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.412029, actvprof=,0.942778, id=,S01, PRDE,actvstrat=,-0.483192, actvprof=,2.306528, id=,S03, PRDE,actvstrat=,-0.611429, actvprof=,0.405417, id=,S04, PRDE,actvstrat=,0.506052, actvprof=,0.499306, id=,S05, PRDE,actvstrat=,-0.229381, actvprof=,0.000694, id=,S08, PRDE,actvstrat=,-0.975511, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.942778, best_B_strat=,0.412029, best_S_id=,S01, best_S_prof=,2.306528, best_S_strat=,-0.483192, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.052043, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.908303, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.388009, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.918822, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.664610, actvprof=,0.566952, id=,S01, PRDE,actvstrat=,-0.880637, actvprof=,0.484451, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.098918, id=,S04, PRDE,actvstrat=,-0.494296, actvprof=,0.017500, id=,S05, PRDE,actvstrat=,-0.851058, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.204380, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.566952, best_B_strat=,-0.664610, best_S_id=,S03, best_S_prof=,2.098918, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.052043, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.908303, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.388009, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.918822, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.664610, actvprof=,0.664866, id=,S01, PRDE,actvstrat=,-0.880637, actvprof=,0.417781, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,1.960430, id=,S04, PRDE,actvstrat=,-0.494296, actvprof=,0.017222, id=,S05, PRDE,actvstrat=,-0.851058, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.204380, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.664866, best_B_strat=,-0.664610, best_S_id=,S03, best_S_prof=,1.960430, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.052043, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.639897, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.906564, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.229239, actvprof=,0.019723, id=,B06, PRDE,actvstrat=,-0.664610, actvprof=,0.678908, id=,S01, PRDE,actvstrat=,0.457563, actvprof=,4.061502, id=,S03, PRDE,actvstrat=,-0.066598, actvprof=,0.295564, id=,S04, PRDE,actvstrat=,0.451423, actvprof=,0.125281, id=,S05, PRDE,actvstrat=,0.050397, actvprof=,0.001389, id=,S08, PRDE,actvstrat=,0.439304, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.678908, best_B_strat=,-0.664610, best_S_id=,S01, best_S_prof=,4.061502, best_S_strat=,0.457563, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.052043, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.639897, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.906564, actvprof=,0.003750, id=,B04, PRDE,actvstrat=,0.229239, actvprof=,0.018750, id=,B06, PRDE,actvstrat=,-0.664610, actvprof=,0.649176, id=,S01, PRDE,actvstrat=,0.457563, actvprof=,4.033389, id=,S03, PRDE,actvstrat=,-0.066598, actvprof=,0.299310, id=,S04, PRDE,actvstrat=,0.451423, actvprof=,0.131807, id=,S05, PRDE,actvstrat=,0.050397, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,0.439304, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,0.649176, best_B_strat=,-0.664610, best_S_id=,S01, best_S_prof=,4.033389, best_S_strat=,0.457563, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.116315, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.978733, actvprof=,0.001389, id=,B03, PRDE,actvstrat=,0.617719, actvprof=,0.041391, id=,B04, PRDE,actvstrat=,0.078053, actvprof=,0.311402, id=,B06, PRDE,actvstrat=,-0.777376, actvprof=,1.178938, id=,S01, PRDE,actvstrat=,0.855008, actvprof=,3.771546, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.890593, id=,S04, PRDE,actvstrat=,-0.439666, actvprof=,0.002222, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.095851, actvprof=,0.000000, best_B_id=,B06, best_B_prof=,1.178938, best_B_strat=,-0.777376, best_S_id=,S01, best_S_prof=,3.771546, best_S_strat=,0.855008, 
