t=,3600, id=,B02, PRDE,actvstrat=,0.932912, actvprof=,0.003889, id=,B04, PRDE,actvstrat=,0.591124, actvprof=,0.200000, id=,B05, PRDE,actvstrat=,-0.054858, actvprof=,0.644167, id=,B06, PRDE,actvstrat=,0.246656, actvprof=,2.359444, id=,B08, PRDE,actvstrat=,0.398203, actvprof=,5.788611, id=,S00, PRDE,actvstrat=,-0.743497, actvprof=,3.185833, id=,S01, PRDE,actvstrat=,0.495774, actvprof=,3.686944, id=,S05, PRDE,actvstrat=,0.948232, actvprof=,0.053889, id=,S07, PRDE,actvstrat=,0.432610, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.775851, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.788611, best_B_strat=,0.398203, best_S_id=,S01, best_S_prof=,3.686944, best_S_strat=,0.495774, 
t=,7200, id=,B02, PRDE,actvstrat=,0.796110, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.060435, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.892787, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.480523, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.253719, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.846522, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.072721, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.188858, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.217110, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.796110, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.846522, 
t=,10800, id=,B02, PRDE,actvstrat=,0.796110, actvprof=,0.014444, id=,B04, PRDE,actvstrat=,0.060435, actvprof=,0.079441, id=,B05, PRDE,actvstrat=,0.892787, actvprof=,1.353555, id=,B06, PRDE,actvstrat=,-0.480523, actvprof=,1.112454, id=,B08, PRDE,actvstrat=,-0.253719, actvprof=,3.822063, id=,S00, PRDE,actvstrat=,0.846522, actvprof=,5.722817, id=,S01, PRDE,actvstrat=,-0.072721, actvprof=,1.636043, id=,S05, PRDE,actvstrat=,0.188858, actvprof=,0.005555, id=,S07, PRDE,actvstrat=,-0.217110, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.822063, best_B_strat=,-0.253719, best_S_id=,S00, best_S_prof=,5.722817, best_S_strat=,0.846522, 
t=,14400, id=,B02, PRDE,actvstrat=,0.796110, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.971688, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.892787, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.338268, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.106501, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.955455, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.964984, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.948232, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.032242, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.014935, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.796110, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.955455, 
t=,18000, id=,B02, PRDE,actvstrat=,0.796110, actvprof=,0.011111, id=,B04, PRDE,actvstrat=,0.971688, actvprof=,0.136389, id=,B05, PRDE,actvstrat=,0.892787, actvprof=,0.966111, id=,B06, PRDE,actvstrat=,0.338268, actvprof=,1.549722, id=,B08, PRDE,actvstrat=,0.106501, actvprof=,4.359444, id=,S00, PRDE,actvstrat=,0.955455, actvprof=,6.416111, id=,S01, PRDE,actvstrat=,0.964984, actvprof=,4.897500, id=,S05, PRDE,actvstrat=,0.948232, actvprof=,0.083889, id=,S07, PRDE,actvstrat=,-0.032242, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.014935, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.359444, best_B_strat=,0.106501, best_S_id=,S00, best_S_prof=,6.416111, best_S_strat=,0.955455, 
t=,21600, id=,B02, PRDE,actvstrat=,0.852809, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.495217, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.928228, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.029383, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.597096, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.856862, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.982196, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,0.852809, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.029383, 
t=,25200, id=,B02, PRDE,actvstrat=,0.852809, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.495217, actvprof=,0.132780, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,0.804733, id=,B06, PRDE,actvstrat=,-0.928228, actvprof=,0.305838, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,3.878387, id=,S00, PRDE,actvstrat=,-0.029383, actvprof=,3.066987, id=,S01, PRDE,actvstrat=,-0.597096, actvprof=,0.802511, id=,S05, PRDE,actvstrat=,-0.856862, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.982196, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.878387, best_B_strat=,-0.676284, best_S_id=,S00, best_S_prof=,3.066987, best_S_strat=,-0.029383, 
t=,28800, id=,B02, PRDE,actvstrat=,0.852809, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,0.495217, actvprof=,0.140001, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,0.814311, id=,B06, PRDE,actvstrat=,-0.928228, actvprof=,0.323752, id=,B08, PRDE,actvstrat=,-0.676284, actvprof=,3.885166, id=,S00, PRDE,actvstrat=,-0.029383, actvprof=,2.935715, id=,S01, PRDE,actvstrat=,-0.597096, actvprof=,0.834172, id=,S05, PRDE,actvstrat=,-0.856862, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.982196, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.754232, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.885166, best_B_strat=,-0.676284, best_S_id=,S00, best_S_prof=,2.935715, best_S_strat=,-0.029383, 
t=,32400, id=,B02, PRDE,actvstrat=,0.896507, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,-0.676844, actvprof=,0.060002, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,1.267813, id=,B06, PRDE,actvstrat=,-0.932858, actvprof=,0.482791, id=,B08, PRDE,actvstrat=,0.151193, actvprof=,5.624601, id=,S00, PRDE,actvstrat=,0.955455, actvprof=,5.031806, id=,S01, PRDE,actvstrat=,-0.359925, actvprof=,0.560849, id=,S05, PRDE,actvstrat=,0.684852, actvprof=,0.003611, id=,S07, PRDE,actvstrat=,0.581762, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.494156, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.624601, best_B_strat=,0.151193, best_S_id=,S00, best_S_prof=,5.031806, best_S_strat=,0.955455, 
t=,36000, id=,B02, PRDE,actvstrat=,0.896507, actvprof=,0.001528, id=,B04, PRDE,actvstrat=,-0.676844, actvprof=,0.071251, id=,B05, PRDE,actvstrat=,0.057173, actvprof=,1.270851, id=,B06, PRDE,actvstrat=,-0.932858, actvprof=,0.500146, id=,B08, PRDE,actvstrat=,0.151193, actvprof=,5.730218, id=,S00, PRDE,actvstrat=,0.955455, actvprof=,5.017292, id=,S01, PRDE,actvstrat=,-0.359925, actvprof=,0.524730, id=,S05, PRDE,actvstrat=,0.684852, actvprof=,0.002917, id=,S07, PRDE,actvstrat=,0.581762, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.494156, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.730218, best_B_strat=,0.151193, best_S_id=,S00, best_S_prof=,5.017292, best_S_strat=,0.955455, 
t=,39600, id=,B02, PRDE,actvstrat=,-0.893501, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.155419, actvprof=,0.180841, id=,B05, PRDE,actvstrat=,-0.919875, actvprof=,0.380571, id=,B06, PRDE,actvstrat=,0.447674, actvprof=,2.774282, id=,B08, PRDE,actvstrat=,0.145163, actvprof=,5.267442, id=,S00, PRDE,actvstrat=,0.455686, actvprof=,3.985444, id=,S01, PRDE,actvstrat=,0.495774, actvprof=,2.676223, id=,S05, PRDE,actvstrat=,-0.637629, actvprof=,0.001945, id=,S07, PRDE,actvstrat=,0.029657, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.284874, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.267442, best_B_strat=,0.145163, best_S_id=,S00, best_S_prof=,3.985444, best_S_strat=,0.455686, 
