t=,3600, id=,B00, PRDE,actvstrat=,0.284945, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.502696, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.501941, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.015873, actvprof=,0.697778, id=,B07, PRDE,actvstrat=,0.854779, actvprof=,3.280000, id=,S00, PRDE,actvstrat=,-0.509047, actvprof=,2.511944, id=,S01, PRDE,actvstrat=,-0.693352, actvprof=,1.531389, id=,S04, PRDE,actvstrat=,-0.771762, actvprof=,0.030000, id=,S06, PRDE,actvstrat=,0.570156, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.901407, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.280000, best_B_strat=,0.854779, best_S_id=,S00, best_S_prof=,2.511944, best_S_strat=,-0.509047, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.845989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.306950, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.213788, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.060937, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.296718, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.129652, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.418390, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.046695, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.520524, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.799508, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.845989, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.129652, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.845989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.306950, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.213788, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.060937, actvprof=,0.787478, id=,B07, PRDE,actvstrat=,0.296718, actvprof=,2.458265, id=,S00, PRDE,actvstrat=,-0.129652, actvprof=,2.243827, id=,S01, PRDE,actvstrat=,-0.418390, actvprof=,0.809700, id=,S04, PRDE,actvstrat=,-0.046695, actvprof=,0.051665, id=,S06, PRDE,actvstrat=,-0.520524, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.799508, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.458265, best_B_strat=,0.296718, best_S_id=,S00, best_S_prof=,2.243827, best_S_strat=,-0.129652, 
t=,14400, id=,B00, PRDE,actvstrat=,0.901196, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.580436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.049835, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.131362, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.574773, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.577469, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.120491, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.013584, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.789037, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.430426, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.901196, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.577469, 
t=,18000, id=,B00, PRDE,actvstrat=,0.901196, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.580436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.049835, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.131362, actvprof=,0.668889, id=,B07, PRDE,actvstrat=,0.574773, actvprof=,2.514444, id=,S00, PRDE,actvstrat=,-0.577469, actvprof=,1.500556, id=,S01, PRDE,actvstrat=,-0.120491, actvprof=,1.240278, id=,S04, PRDE,actvstrat=,-0.013584, actvprof=,0.101389, id=,S06, PRDE,actvstrat=,-0.789037, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.430426, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.514444, best_B_strat=,0.574773, best_S_id=,S00, best_S_prof=,1.500556, best_S_strat=,-0.577469, 
t=,21600, id=,B00, PRDE,actvstrat=,0.901196, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.580436, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.049835, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.131362, actvprof=,0.693889, id=,B07, PRDE,actvstrat=,0.574773, actvprof=,2.624167, id=,S00, PRDE,actvstrat=,-0.577469, actvprof=,1.532778, id=,S01, PRDE,actvstrat=,-0.120491, actvprof=,1.221111, id=,S04, PRDE,actvstrat=,-0.013584, actvprof=,0.087361, id=,S06, PRDE,actvstrat=,-0.789037, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.430426, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.624167, best_B_strat=,0.574773, best_S_id=,S00, best_S_prof=,1.532778, best_S_strat=,-0.577469, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.845989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.568387, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.717509, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.264734, actvprof=,0.854468, id=,B07, PRDE,actvstrat=,0.722612, actvprof=,4.067335, id=,S00, PRDE,actvstrat=,-0.129652, actvprof=,1.425040, id=,S01, PRDE,actvstrat=,0.779651, actvprof=,3.995667, id=,S04, PRDE,actvstrat=,0.822836, actvprof=,0.147226, id=,S06, PRDE,actvstrat=,0.502847, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.569604, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.067335, best_B_strat=,0.722612, best_S_id=,S01, best_S_prof=,3.995667, best_S_strat=,0.779651, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.845989, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.568387, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.717509, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.264734, actvprof=,0.883478, id=,B07, PRDE,actvstrat=,0.722612, actvprof=,4.063223, id=,S00, PRDE,actvstrat=,-0.129652, actvprof=,1.393065, id=,S01, PRDE,actvstrat=,0.779651, actvprof=,3.903222, id=,S04, PRDE,actvstrat=,0.822836, actvprof=,0.126390, id=,S06, PRDE,actvstrat=,0.502847, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.569604, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.063223, best_B_strat=,0.722612, best_S_id=,S01, best_S_prof=,3.903222, best_S_strat=,0.779651, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.146679, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.409987, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.213788, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.762776, actvprof=,0.478075, id=,B07, PRDE,actvstrat=,-0.025170, actvprof=,2.615665, id=,S00, PRDE,actvstrat=,-0.199339, actvprof=,1.149770, id=,S01, PRDE,actvstrat=,0.194100, actvprof=,2.048696, id=,S04, PRDE,actvstrat=,-0.112066, actvprof=,0.008056, id=,S06, PRDE,actvstrat=,-0.432057, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.590906, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.615665, best_B_strat=,-0.025170, best_S_id=,S01, best_S_prof=,2.048696, best_S_strat=,0.194100, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.146679, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.409987, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.213788, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.762776, actvprof=,0.532094, id=,B07, PRDE,actvstrat=,-0.025170, actvprof=,2.720473, id=,S00, PRDE,actvstrat=,-0.199339, actvprof=,1.174330, id=,S01, PRDE,actvstrat=,0.194100, actvprof=,1.925457, id=,S04, PRDE,actvstrat=,-0.112066, actvprof=,0.005417, id=,S06, PRDE,actvstrat=,-0.432057, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.590906, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.720473, best_B_strat=,-0.025170, best_S_id=,S01, best_S_prof=,1.925457, best_S_strat=,0.194100, 
t=,39600, id=,B00, PRDE,actvstrat=,0.090519, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.254127, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.957030, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.114589, actvprof=,0.582532, id=,B07, PRDE,actvstrat=,0.750105, actvprof=,3.573254, id=,S00, PRDE,actvstrat=,-0.313975, actvprof=,1.231457, id=,S01, PRDE,actvstrat=,0.640842, actvprof=,3.523251, id=,S04, PRDE,actvstrat=,-0.929865, actvprof=,0.006945, id=,S06, PRDE,actvstrat=,0.519589, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.857208, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.573254, best_B_strat=,0.750105, best_S_id=,S01, best_S_prof=,3.523251, best_S_strat=,0.640842, 
