t=,3600, id=,B00, PRDE,actvstrat=,-0.503190, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.023312, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.111047, actvprof=,0.216667, id=,B06, PRDE,actvstrat=,-0.303477, actvprof=,0.508056, id=,B07, PRDE,actvstrat=,0.842194, actvprof=,3.525278, id=,S00, PRDE,actvstrat=,0.103636, actvprof=,4.429722, id=,S02, PRDE,actvstrat=,-0.024508, actvprof=,1.473889, id=,S03, PRDE,actvstrat=,0.424205, actvprof=,0.922222, id=,S05, PRDE,actvstrat=,-0.751940, actvprof=,0.001944, id=,S08, PRDE,actvstrat=,-0.272567, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.525278, best_B_strat=,0.842194, best_S_id=,S00, best_S_prof=,4.429722, best_S_strat=,0.103636, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.319663, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.989840, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.883623, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.939831, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.429354, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.881288, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.118063, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.733885, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.359590, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.742042, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.319663, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.881288, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.319663, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.989840, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.883623, actvprof=,0.047499, id=,B06, PRDE,actvstrat=,-0.939831, actvprof=,0.043055, id=,B07, PRDE,actvstrat=,0.429354, actvprof=,2.022750, id=,S00, PRDE,actvstrat=,-0.881288, actvprof=,0.657769, id=,S02, PRDE,actvstrat=,-0.118063, actvprof=,1.379148, id=,S03, PRDE,actvstrat=,-0.733885, actvprof=,0.244997, id=,S05, PRDE,actvstrat=,0.359590, actvprof=,0.020555, id=,S08, PRDE,actvstrat=,0.742042, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.022750, best_B_strat=,0.429354, best_S_id=,S02, best_S_prof=,1.379148, best_S_strat=,-0.118063, 
t=,14400, id=,B00, PRDE,actvstrat=,0.051742, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.512658, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.365586, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.600222, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.520233, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.103636, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.118063, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.733876, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.359590, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.395630, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.051742, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.103636, 
t=,18000, id=,B00, PRDE,actvstrat=,0.051742, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.512658, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.365586, actvprof=,0.054444, id=,B06, PRDE,actvstrat=,-0.600222, actvprof=,0.375000, id=,B07, PRDE,actvstrat=,0.520233, actvprof=,2.908333, id=,S00, PRDE,actvstrat=,0.103636, actvprof=,4.123611, id=,S02, PRDE,actvstrat=,-0.118063, actvprof=,0.916111, id=,S03, PRDE,actvstrat=,-0.733876, actvprof=,0.116389, id=,S05, PRDE,actvstrat=,0.359590, actvprof=,0.007500, id=,S08, PRDE,actvstrat=,0.395630, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.908333, best_B_strat=,0.520233, best_S_id=,S00, best_S_prof=,4.123611, best_S_strat=,0.103636, 
t=,21600, id=,B00, PRDE,actvstrat=,0.051742, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.512658, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.365586, actvprof=,0.054444, id=,B06, PRDE,actvstrat=,-0.600222, actvprof=,0.422083, id=,B07, PRDE,actvstrat=,0.520233, actvprof=,3.011111, id=,S00, PRDE,actvstrat=,0.103636, actvprof=,4.110000, id=,S02, PRDE,actvstrat=,-0.118063, actvprof=,0.874444, id=,S03, PRDE,actvstrat=,-0.733876, actvprof=,0.106389, id=,S05, PRDE,actvstrat=,0.359590, actvprof=,0.006250, id=,S08, PRDE,actvstrat=,0.395630, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,3.011111, best_B_strat=,0.520233, best_S_id=,S00, best_S_prof=,4.110000, best_S_strat=,0.103636, 
t=,25200, id=,B00, PRDE,actvstrat=,-0.733031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668008, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.004849, actvprof=,0.433339, id=,B06, PRDE,actvstrat=,-0.350496, actvprof=,0.837512, id=,B07, PRDE,actvstrat=,0.854548, actvprof=,4.171725, id=,S00, PRDE,actvstrat=,0.417122, actvprof=,4.373672, id=,S02, PRDE,actvstrat=,0.043494, actvprof=,1.188905, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.606133, id=,S05, PRDE,actvstrat=,-0.020942, actvprof=,0.006389, id=,S08, PRDE,actvstrat=,-0.460834, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.171725, best_B_strat=,0.854548, best_S_id=,S00, best_S_prof=,4.373672, best_S_strat=,0.417122, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.733031, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.668008, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.004849, actvprof=,0.453892, id=,B06, PRDE,actvstrat=,-0.350496, actvprof=,0.854034, id=,B07, PRDE,actvstrat=,0.854548, actvprof=,4.071973, id=,S00, PRDE,actvstrat=,0.417122, actvprof=,4.395169, id=,S02, PRDE,actvstrat=,0.043494, actvprof=,1.219036, id=,S03, PRDE,actvstrat=,-1.000000, actvprof=,1.587650, id=,S05, PRDE,actvstrat=,-0.020942, actvprof=,0.006111, id=,S08, PRDE,actvstrat=,-0.460834, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.071973, best_B_strat=,0.854548, best_S_id=,S00, best_S_prof=,4.395169, best_S_strat=,0.417122, 
t=,32400, id=,B00, PRDE,actvstrat=,0.041681, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.845921, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.683895, actvprof=,0.039723, id=,B06, PRDE,actvstrat=,0.907294, actvprof=,0.985027, id=,B07, PRDE,actvstrat=,0.854548, actvprof=,2.419512, id=,S00, PRDE,actvstrat=,0.363361, actvprof=,5.827940, id=,S02, PRDE,actvstrat=,-0.019033, actvprof=,2.010056, id=,S03, PRDE,actvstrat=,-0.775005, actvprof=,0.311398, id=,S05, PRDE,actvstrat=,0.531735, actvprof=,0.146115, id=,S08, PRDE,actvstrat=,0.742042, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.419512, best_B_strat=,0.854548, best_S_id=,S00, best_S_prof=,5.827940, best_S_strat=,0.363361, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.091427, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.953446, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.434079, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.154535, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.059560, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.011119, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.841655, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.965738, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.619894, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.250710, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.091427, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.011119, 
t=,39600, id=,B00, PRDE,actvstrat=,-0.091427, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.953446, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.434079, actvprof=,0.339181, id=,B06, PRDE,actvstrat=,0.154535, actvprof=,1.112824, id=,B07, PRDE,actvstrat=,-0.059560, actvprof=,1.985083, id=,S00, PRDE,actvstrat=,-0.011119, actvprof=,3.452366, id=,S02, PRDE,actvstrat=,0.841655, actvprof=,3.391252, id=,S03, PRDE,actvstrat=,-0.965738, actvprof=,0.205009, id=,S05, PRDE,actvstrat=,-0.619894, actvprof=,0.002778, id=,S08, PRDE,actvstrat=,0.250710, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.985083, best_B_strat=,-0.059560, best_S_id=,S00, best_S_prof=,3.452366, best_S_strat=,-0.011119, 
