t=,1, id=,B03, PRDE,actvstrat=,0.105209, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.952771, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.847413, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.537243, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.961329, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.506172, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.154336, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.560307, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.142530, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.852652, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,0.105209, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.506172, 
t=,3600, id=,B03, PRDE,actvstrat=,0.105209, actvprof=,0.001111, id=,B04, PRDE,actvstrat=,-0.952771, actvprof=,0.001111, id=,B06, PRDE,actvstrat=,0.847413, actvprof=,1.197761, id=,B07, PRDE,actvstrat=,0.537243, actvprof=,2.180525, id=,B09, PRDE,actvstrat=,-0.961329, actvprof=,0.920265, id=,S00, PRDE,actvstrat=,-0.506172, actvprof=,2.442466, id=,S02, PRDE,actvstrat=,-0.154336, actvprof=,0.820266, id=,S05, PRDE,actvstrat=,-0.560307, actvprof=,0.008055, id=,S06, PRDE,actvstrat=,0.142530, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,0.852652, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.180525, best_B_strat=,0.537243, best_S_id=,S00, best_S_prof=,2.442466, best_S_strat=,-0.506172, 
t=,7200, id=,B03, PRDE,actvstrat=,-0.961970, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.090802, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.334592, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.500618, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.577254, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.057452, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.234428, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.204145, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.073962, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.371017, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,-0.961970, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.057452, 
t=,10800, id=,B03, PRDE,actvstrat=,-0.961970, actvprof=,0.054444, id=,B04, PRDE,actvstrat=,0.090802, actvprof=,0.054166, id=,B06, PRDE,actvstrat=,0.334592, actvprof=,1.603033, id=,B07, PRDE,actvstrat=,-0.500618, actvprof=,1.774420, id=,B09, PRDE,actvstrat=,-0.577254, actvprof=,4.308273, id=,S00, PRDE,actvstrat=,0.057452, actvprof=,3.369398, id=,S02, PRDE,actvstrat=,0.234428, actvprof=,1.318871, id=,S05, PRDE,actvstrat=,0.204145, actvprof=,0.023889, id=,S06, PRDE,actvstrat=,-0.073962, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.371017, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.308273, best_B_strat=,-0.577254, best_S_id=,S00, best_S_prof=,3.369398, best_S_strat=,0.057452, 
t=,14400, id=,B03, PRDE,actvstrat=,-0.791312, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.338493, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.107684, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.707028, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.693546, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.967420, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.585500, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.784810, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.293481, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.852041, actvprof=,0.000000, best_B_id=,B03, best_B_prof=,0.000000, best_B_strat=,-0.791312, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.967420, 
t=,18000, id=,B03, PRDE,actvstrat=,-0.791312, actvprof=,0.053054, id=,B04, PRDE,actvstrat=,-0.338493, actvprof=,0.122219, id=,B06, PRDE,actvstrat=,0.107684, actvprof=,2.386045, id=,B07, PRDE,actvstrat=,-0.707028, actvprof=,2.463543, id=,B09, PRDE,actvstrat=,-0.693546, actvprof=,5.922058, id=,S00, PRDE,actvstrat=,0.967420, actvprof=,5.079581, id=,S02, PRDE,actvstrat=,0.585500, actvprof=,1.089970, id=,S05, PRDE,actvstrat=,-0.784810, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.293481, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.852041, actvprof=,0.000833, best_B_id=,B09, best_B_prof=,5.922058, best_B_strat=,-0.693546, best_S_id=,S00, best_S_prof=,5.079581, best_S_strat=,0.967420, 
t=,21600, id=,B03, PRDE,actvstrat=,-0.791312, actvprof=,0.045556, id=,B04, PRDE,actvstrat=,-0.338493, actvprof=,0.162222, id=,B06, PRDE,actvstrat=,0.107684, actvprof=,2.294861, id=,B07, PRDE,actvstrat=,-0.707028, actvprof=,2.474444, id=,B09, PRDE,actvstrat=,-0.693546, actvprof=,5.694444, id=,S00, PRDE,actvstrat=,0.967420, actvprof=,5.055417, id=,S02, PRDE,actvstrat=,0.585500, actvprof=,1.149167, id=,S05, PRDE,actvstrat=,-0.784810, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.293481, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.852041, actvprof=,0.000556, best_B_id=,B09, best_B_prof=,5.694444, best_B_strat=,-0.693546, best_S_id=,S00, best_S_prof=,5.055417, best_S_strat=,0.967420, 
t=,25200, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.033890, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.202783, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.286730, id=,B07, PRDE,actvstrat=,0.407811, actvprof=,3.139254, id=,B09, PRDE,actvstrat=,0.210999, actvprof=,6.094058, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.848496, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.410373, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.129448, id=,S06, PRDE,actvstrat=,-0.877858, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.007778, best_B_id=,B09, best_B_prof=,6.094058, best_B_strat=,0.210999, best_S_id=,S00, best_S_prof=,5.848496, best_S_strat=,-1.000000, 
t=,28800, id=,B03, PRDE,actvstrat=,-1.000000, actvprof=,0.027084, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.189030, id=,B06, PRDE,actvstrat=,1.000000, actvprof=,2.285310, id=,B07, PRDE,actvstrat=,0.407811, actvprof=,3.143238, id=,B09, PRDE,actvstrat=,0.210999, actvprof=,6.125780, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,5.813275, id=,S02, PRDE,actvstrat=,1.000000, actvprof=,3.395325, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.152502, id=,S06, PRDE,actvstrat=,-0.877858, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-1.000000, actvprof=,0.005139, best_B_id=,B09, best_B_prof=,6.125780, best_B_strat=,0.210999, best_S_id=,S00, best_S_prof=,5.813275, best_S_strat=,-1.000000, 
t=,32400, id=,B03, PRDE,actvstrat=,0.375439, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,0.047230, actvprof=,0.601153, id=,B07, PRDE,actvstrat=,-0.430360, actvprof=,1.008959, id=,B09, PRDE,actvstrat=,-0.439052, actvprof=,3.479686, id=,S00, PRDE,actvstrat=,-0.865280, actvprof=,0.389471, id=,S02, PRDE,actvstrat=,-0.723629, actvprof=,0.352524, id=,S05, PRDE,actvstrat=,-0.830241, actvprof=,0.006667, id=,S06, PRDE,actvstrat=,-0.194745, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.567301, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.479686, best_B_strat=,-0.439052, best_S_id=,S00, best_S_prof=,0.389471, best_S_strat=,-0.865280, 
t=,36000, id=,B03, PRDE,actvstrat=,0.375439, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,0.047230, actvprof=,0.615855, id=,B07, PRDE,actvstrat=,-0.430360, actvprof=,0.972534, id=,B09, PRDE,actvstrat=,-0.439052, actvprof=,3.382479, id=,S00, PRDE,actvstrat=,-0.865280, actvprof=,0.399875, id=,S02, PRDE,actvstrat=,-0.723629, actvprof=,0.336123, id=,S05, PRDE,actvstrat=,-0.830241, actvprof=,0.003333, id=,S06, PRDE,actvstrat=,-0.194745, actvprof=,0.000694, id=,S07, PRDE,actvstrat=,-0.567301, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.382479, best_B_strat=,-0.439052, best_S_id=,S00, best_S_prof=,0.399875, best_S_strat=,-0.865280, 
