t=,0, id=,B01, PRDE,actvstrat=,-0.927872, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.003802, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.972130, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.473711, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.161206, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.150229, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.933278, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.461920, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.190940, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.927872, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.161206, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.927872, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.990897, actvprof=,0.011389, id=,B05, PRDE,actvstrat=,-0.003802, actvprof=,0.215278, id=,B07, PRDE,actvstrat=,-0.972130, actvprof=,0.484722, id=,B09, PRDE,actvstrat=,0.473711, actvprof=,6.716111, id=,S00, PRDE,actvstrat=,-0.161206, actvprof=,2.200833, id=,S03, PRDE,actvstrat=,0.150229, actvprof=,0.427778, id=,S04, PRDE,actvstrat=,0.933278, actvprof=,0.392500, id=,S05, PRDE,actvstrat=,0.461920, actvprof=,0.018056, id=,S08, PRDE,actvstrat=,0.190940, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.716111, best_B_strat=,0.473711, best_S_id=,S00, best_S_prof=,2.200833, best_S_strat=,-0.161206, 
t=,7200, id=,B01, PRDE,actvstrat=,0.909812, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.369981, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.841589, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.162152, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.516856, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.672587, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.487623, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.046252, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.992442, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.975550, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.909812, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.672587, 
t=,10800, id=,B01, PRDE,actvstrat=,0.909812, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.369981, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.841589, actvprof=,0.116660, id=,B07, PRDE,actvstrat=,0.162152, actvprof=,1.648797, id=,B09, PRDE,actvstrat=,0.516856, actvprof=,5.410255, id=,S00, PRDE,actvstrat=,-0.672587, actvprof=,2.009333, id=,S03, PRDE,actvstrat=,-0.487623, actvprof=,0.292206, id=,S04, PRDE,actvstrat=,-0.046252, actvprof=,0.134715, id=,S05, PRDE,actvstrat=,0.992442, actvprof=,0.229154, id=,S08, PRDE,actvstrat=,0.975550, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.410255, best_B_strat=,0.516856, best_S_id=,S00, best_S_prof=,2.009333, best_S_strat=,-0.672587, 
t=,14400, id=,B01, PRDE,actvstrat=,0.835394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.382336, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.113878, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.952005, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.134501, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.401594, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.183066, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.669147, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.894670, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.997463, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.835394, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.401594, 
t=,18000, id=,B01, PRDE,actvstrat=,0.835394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.382336, actvprof=,0.010000, id=,B05, PRDE,actvstrat=,0.113878, actvprof=,0.285833, id=,B07, PRDE,actvstrat=,-0.952005, actvprof=,0.298333, id=,B09, PRDE,actvstrat=,0.134501, actvprof=,5.427222, id=,S00, PRDE,actvstrat=,-0.401594, actvprof=,1.782222, id=,S03, PRDE,actvstrat=,0.183066, actvprof=,0.639444, id=,S04, PRDE,actvstrat=,0.669147, actvprof=,0.319167, id=,S05, PRDE,actvstrat=,-0.894670, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.997463, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.427222, best_B_strat=,0.134501, best_S_id=,S00, best_S_prof=,1.782222, best_S_strat=,-0.401594, 
t=,21600, id=,B01, PRDE,actvstrat=,0.835394, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.382336, actvprof=,0.008611, id=,B05, PRDE,actvstrat=,0.113878, actvprof=,0.288611, id=,B07, PRDE,actvstrat=,-0.952005, actvprof=,0.330694, id=,B09, PRDE,actvstrat=,0.134501, actvprof=,5.597222, id=,S00, PRDE,actvstrat=,-0.401594, actvprof=,1.862778, id=,S03, PRDE,actvstrat=,0.183066, actvprof=,0.647778, id=,S04, PRDE,actvstrat=,0.669147, actvprof=,0.282778, id=,S05, PRDE,actvstrat=,-0.894670, actvprof=,0.006111, id=,S08, PRDE,actvstrat=,-0.997463, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.597222, best_B_strat=,0.134501, best_S_id=,S00, best_S_prof=,1.862778, best_S_strat=,-0.401594, 
t=,25200, id=,B01, PRDE,actvstrat=,0.699157, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.931841, actvprof=,0.304171, id=,B05, PRDE,actvstrat=,0.720350, actvprof=,0.895290, id=,B07, PRDE,actvstrat=,0.837154, actvprof=,3.508382, id=,B09, PRDE,actvstrat=,-0.539344, actvprof=,4.648398, id=,S00, PRDE,actvstrat=,0.550636, actvprof=,4.891457, id=,S03, PRDE,actvstrat=,0.998467, actvprof=,1.642245, id=,S04, PRDE,actvstrat=,0.968931, actvprof=,0.756122, id=,S05, PRDE,actvstrat=,-0.959477, actvprof=,0.060834, id=,S08, PRDE,actvstrat=,-0.510233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.648398, best_B_strat=,-0.539344, best_S_id=,S00, best_S_prof=,4.891457, best_S_strat=,0.550636, 
t=,28800, id=,B01, PRDE,actvstrat=,0.699157, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.931841, actvprof=,0.294863, id=,B05, PRDE,actvstrat=,0.720350, actvprof=,0.902645, id=,B07, PRDE,actvstrat=,0.837154, actvprof=,3.461552, id=,B09, PRDE,actvstrat=,-0.539344, actvprof=,4.617115, id=,S00, PRDE,actvstrat=,0.550636, actvprof=,4.874339, id=,S03, PRDE,actvstrat=,0.998467, actvprof=,1.632095, id=,S04, PRDE,actvstrat=,0.968931, actvprof=,0.739727, id=,S05, PRDE,actvstrat=,-0.959477, actvprof=,0.065417, id=,S08, PRDE,actvstrat=,-0.510233, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.617115, best_B_strat=,-0.539344, best_S_id=,S00, best_S_prof=,4.874339, best_S_strat=,0.550636, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.586210, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.203065, actvprof=,0.006389, id=,B05, PRDE,actvstrat=,-0.981435, actvprof=,0.067781, id=,B07, PRDE,actvstrat=,0.489584, actvprof=,1.910913, id=,B09, PRDE,actvstrat=,0.481690, actvprof=,5.113546, id=,S00, PRDE,actvstrat=,-0.672587, actvprof=,2.289540, id=,S03, PRDE,actvstrat=,0.470670, actvprof=,1.675903, id=,S04, PRDE,actvstrat=,0.355599, actvprof=,0.499743, id=,S05, PRDE,actvstrat=,-0.325059, actvprof=,0.023890, id=,S08, PRDE,actvstrat=,-0.070001, actvprof=,0.001945, best_B_id=,B09, best_B_prof=,5.113546, best_B_strat=,0.481690, best_S_id=,S00, best_S_prof=,2.289540, best_S_strat=,-0.672587, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.586210, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.203065, actvprof=,0.004167, id=,B05, PRDE,actvstrat=,-0.981435, actvprof=,0.072085, id=,B07, PRDE,actvstrat=,0.489584, actvprof=,1.908234, id=,B09, PRDE,actvstrat=,0.481690, actvprof=,5.043994, id=,S00, PRDE,actvstrat=,-0.672587, actvprof=,2.315465, id=,S03, PRDE,actvstrat=,0.470670, actvprof=,1.605728, id=,S04, PRDE,actvstrat=,0.355599, actvprof=,0.514733, id=,S05, PRDE,actvstrat=,-0.325059, actvprof=,0.016250, id=,S08, PRDE,actvstrat=,-0.070001, actvprof=,0.000972, best_B_id=,B09, best_B_prof=,5.043994, best_B_strat=,0.481690, best_S_id=,S00, best_S_prof=,2.315465, best_S_strat=,-0.672587, 
