t=,3600, id=,B01, PRDE,actvstrat=,-0.910530, actvprof=,0.001667, id=,B02, PRDE,actvstrat=,0.071389, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.138285, actvprof=,0.968333, id=,B07, PRDE,actvstrat=,0.146190, actvprof=,3.076667, id=,B08, PRDE,actvstrat=,0.277808, actvprof=,4.692500, id=,S00, PRDE,actvstrat=,0.512039, actvprof=,5.682500, id=,S01, PRDE,actvstrat=,-0.702710, actvprof=,2.376667, id=,S03, PRDE,actvstrat=,0.627763, actvprof=,1.196111, id=,S06, PRDE,actvstrat=,0.021690, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.579570, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.692500, best_B_strat=,0.277808, best_S_id=,S00, best_S_prof=,5.682500, best_S_strat=,0.512039, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.344605, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.941956, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.381285, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.812040, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.084502, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.058703, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.127213, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.014318, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.129300, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.299560, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.344605, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.058703, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.344605, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.941956, actvprof=,0.000278, id=,B06, PRDE,actvstrat=,0.381285, actvprof=,1.012764, id=,B07, PRDE,actvstrat=,0.812040, actvprof=,3.026069, id=,B08, PRDE,actvstrat=,0.084502, actvprof=,3.552728, id=,S00, PRDE,actvstrat=,0.058703, actvprof=,5.079374, id=,S01, PRDE,actvstrat=,-0.127213, actvprof=,3.049680, id=,S03, PRDE,actvstrat=,-0.014318, actvprof=,0.974431, id=,S06, PRDE,actvstrat=,-0.129300, actvprof=,0.003333, id=,S09, PRDE,actvstrat=,0.299560, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.552728, best_B_strat=,0.084502, best_S_id=,S00, best_S_prof=,5.079374, best_S_strat=,0.058703, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.680980, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.062100, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.956786, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.238300, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.438984, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.753287, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.213721, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.767861, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.024016, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.691106, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.680980, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.753287, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.680980, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.062100, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.956786, actvprof=,0.320829, id=,B07, PRDE,actvstrat=,-0.238300, actvprof=,2.637741, id=,B08, PRDE,actvstrat=,-0.438984, actvprof=,3.969945, id=,S00, PRDE,actvstrat=,-0.753287, actvprof=,1.745531, id=,S01, PRDE,actvstrat=,0.213721, actvprof=,2.777184, id=,S03, PRDE,actvstrat=,0.767861, actvprof=,0.834988, id=,S06, PRDE,actvstrat=,0.024016, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.691106, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.969945, best_B_strat=,-0.438984, best_S_id=,S01, best_S_prof=,2.777184, best_S_strat=,0.213721, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.680980, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.062100, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.956786, actvprof=,0.306250, id=,B07, PRDE,actvstrat=,-0.238300, actvprof=,2.613056, id=,B08, PRDE,actvstrat=,-0.438984, actvprof=,4.022222, id=,S00, PRDE,actvstrat=,-0.753287, actvprof=,1.666250, id=,S01, PRDE,actvstrat=,0.213721, actvprof=,2.674444, id=,S03, PRDE,actvstrat=,0.767861, actvprof=,0.804722, id=,S06, PRDE,actvstrat=,0.024016, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.691106, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.022222, best_B_strat=,-0.438984, best_S_id=,S01, best_S_prof=,2.674444, best_S_strat=,0.213721, 
t=,25200, id=,B01, PRDE,actvstrat=,-0.908094, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.189739, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.120783, actvprof=,1.029459, id=,B07, PRDE,actvstrat=,0.093948, actvprof=,2.810039, id=,B08, PRDE,actvstrat=,0.531153, actvprof=,5.113682, id=,S00, PRDE,actvstrat=,0.531833, actvprof=,5.418964, id=,S01, PRDE,actvstrat=,0.877667, actvprof=,4.698954, id=,S03, PRDE,actvstrat=,0.063133, actvprof=,0.603897, id=,S06, PRDE,actvstrat=,0.734588, actvprof=,0.011667, id=,S09, PRDE,actvstrat=,0.731479, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.113682, best_B_strat=,0.531153, best_S_id=,S00, best_S_prof=,5.418964, best_S_strat=,0.531833, 
t=,28800, id=,B01, PRDE,actvstrat=,-0.908094, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.189739, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.120783, actvprof=,1.029035, id=,B07, PRDE,actvstrat=,0.093948, actvprof=,2.715991, id=,B08, PRDE,actvstrat=,0.531153, actvprof=,4.990729, id=,S00, PRDE,actvstrat=,0.531833, actvprof=,5.349898, id=,S01, PRDE,actvstrat=,0.877667, actvprof=,4.751977, id=,S03, PRDE,actvstrat=,0.063133, actvprof=,0.641532, id=,S06, PRDE,actvstrat=,0.734588, actvprof=,0.008889, id=,S09, PRDE,actvstrat=,0.731479, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.990729, best_B_strat=,0.531153, best_S_id=,S00, best_S_prof=,5.349898, best_S_strat=,0.531833, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.910530, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.167248, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.536022, actvprof=,0.499472, id=,B07, PRDE,actvstrat=,0.064946, actvprof=,2.522362, id=,B08, PRDE,actvstrat=,0.037013, actvprof=,3.733819, id=,S00, PRDE,actvstrat=,-0.248586, actvprof=,3.470748, id=,S01, PRDE,actvstrat=,-0.127213, actvprof=,2.772932, id=,S03, PRDE,actvstrat=,-0.606208, actvprof=,0.235013, id=,S06, PRDE,actvstrat=,0.001044, actvprof=,0.005278, id=,S09, PRDE,actvstrat=,-0.839288, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.733819, best_B_strat=,0.037013, best_S_id=,S00, best_S_prof=,3.470748, best_S_strat=,-0.248586, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.910530, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.167248, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.536022, actvprof=,0.463207, id=,B07, PRDE,actvstrat=,0.064946, actvprof=,2.457290, id=,B08, PRDE,actvstrat=,0.037013, actvprof=,3.755382, id=,S00, PRDE,actvstrat=,-0.248586, actvprof=,3.559960, id=,S01, PRDE,actvstrat=,-0.127213, actvprof=,2.609795, id=,S03, PRDE,actvstrat=,-0.606208, actvprof=,0.266119, id=,S06, PRDE,actvstrat=,0.001044, actvprof=,0.003611, id=,S09, PRDE,actvstrat=,-0.839288, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.755382, best_B_strat=,0.037013, best_S_id=,S00, best_S_prof=,3.559960, best_S_strat=,-0.248586, 
t=,39600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B02, PRDE,actvstrat=,-0.575037, actvprof=,0.004167, id=,B06, PRDE,actvstrat=,0.502663, actvprof=,1.657592, id=,B07, PRDE,actvstrat=,-0.231070, actvprof=,1.849269, id=,B08, PRDE,actvstrat=,-0.281653, actvprof=,3.257959, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.522307, id=,S01, PRDE,actvstrat=,-0.262823, actvprof=,2.157620, id=,S03, PRDE,actvstrat=,0.136316, actvprof=,0.709484, id=,S06, PRDE,actvstrat=,-0.520457, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.175872, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,3.257959, best_B_strat=,-0.281653, best_S_id=,S00, best_S_prof=,6.522307, best_S_strat=,1.000000, 
