t=,0, id=,B02, PRDE,actvstrat=,-0.834342, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.655925, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.715032, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.954209, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.331839, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.056063, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.110215, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.135743, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.916623, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.603604, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.834342, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.056063, 
t=,3600, id=,B02, PRDE,actvstrat=,-0.834342, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.655925, actvprof=,2.424444, id=,B07, PRDE,actvstrat=,-0.715032, actvprof=,1.796111, id=,B08, PRDE,actvstrat=,-0.954209, actvprof=,0.857222, id=,B09, PRDE,actvstrat=,-0.331839, actvprof=,5.237778, id=,S03, PRDE,actvstrat=,-0.056063, actvprof=,0.093611, id=,S05, PRDE,actvstrat=,-0.110215, actvprof=,0.006944, id=,S06, PRDE,actvstrat=,-0.135743, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.916623, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.603604, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.237778, best_B_strat=,-0.331839, best_S_id=,S03, best_S_prof=,0.093611, best_S_strat=,-0.056063, 
t=,7200, id=,B02, PRDE,actvstrat=,-0.740479, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.441266, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.069970, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.835551, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.672233, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.606598, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.295026, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.685422, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.080357, actvprof=,0.000000, best_B_id=,B02, best_B_prof=,0.000000, best_B_strat=,-0.740479, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,0.606598, 
t=,10800, id=,B02, PRDE,actvstrat=,-0.740479, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.441266, actvprof=,0.958598, id=,B07, PRDE,actvstrat=,0.069970, actvprof=,2.843849, id=,B08, PRDE,actvstrat=,0.835551, actvprof=,5.978806, id=,B09, PRDE,actvstrat=,-0.672233, actvprof=,5.168817, id=,S03, PRDE,actvstrat=,0.606598, actvprof=,0.568325, id=,S05, PRDE,actvstrat=,0.295026, actvprof=,0.021944, id=,S06, PRDE,actvstrat=,0.685422, actvprof=,0.007500, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.080357, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.978806, best_B_strat=,0.835551, best_S_id=,S03, best_S_prof=,0.568325, best_S_strat=,0.606598, 
t=,14400, id=,B02, PRDE,actvstrat=,-0.740479, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.441266, actvprof=,0.893333, id=,B07, PRDE,actvstrat=,0.069970, actvprof=,2.999306, id=,B08, PRDE,actvstrat=,0.835551, actvprof=,5.955694, id=,B09, PRDE,actvstrat=,-0.672233, actvprof=,5.051250, id=,S03, PRDE,actvstrat=,0.606598, actvprof=,0.579167, id=,S05, PRDE,actvstrat=,0.295026, actvprof=,0.025556, id=,S06, PRDE,actvstrat=,0.685422, actvprof=,0.015278, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.080357, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.955694, best_B_strat=,0.835551, best_S_id=,S03, best_S_prof=,0.579167, best_S_strat=,0.606598, 
t=,18000, id=,B02, PRDE,actvstrat=,-0.988593, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.496183, actvprof=,0.890846, id=,B07, PRDE,actvstrat=,0.046532, actvprof=,2.912540, id=,B08, PRDE,actvstrat=,0.424655, actvprof=,5.239795, id=,B09, PRDE,actvstrat=,-0.672233, actvprof=,5.037014, id=,S03, PRDE,actvstrat=,-0.015577, actvprof=,0.186391, id=,S05, PRDE,actvstrat=,-0.549349, actvprof=,0.002778, id=,S06, PRDE,actvstrat=,0.994259, actvprof=,0.035278, id=,S08, PRDE,actvstrat=,-0.937255, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.125584, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.239795, best_B_strat=,0.424655, best_S_id=,S03, best_S_prof=,0.186391, best_S_strat=,-0.015577, 
t=,21600, id=,B02, PRDE,actvstrat=,-0.988593, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.496183, actvprof=,0.843200, id=,B07, PRDE,actvstrat=,0.046532, actvprof=,2.871548, id=,B08, PRDE,actvstrat=,0.424655, actvprof=,5.291842, id=,B09, PRDE,actvstrat=,-0.672233, actvprof=,4.956979, id=,S03, PRDE,actvstrat=,-0.015577, actvprof=,0.184029, id=,S05, PRDE,actvstrat=,-0.549349, actvprof=,0.001389, id=,S06, PRDE,actvstrat=,0.994259, actvprof=,0.038472, id=,S08, PRDE,actvstrat=,-0.937255, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.125584, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.291842, best_B_strat=,0.424655, best_S_id=,S03, best_S_prof=,0.184029, best_S_strat=,-0.015577, 
t=,25200, id=,B02, PRDE,actvstrat=,0.369253, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.596083, actvprof=,1.718103, id=,B07, PRDE,actvstrat=,-0.914326, actvprof=,0.306953, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.350982, id=,B09, PRDE,actvstrat=,0.992658, actvprof=,6.874635, id=,S03, PRDE,actvstrat=,-0.554167, actvprof=,0.117781, id=,S05, PRDE,actvstrat=,0.585237, actvprof=,0.055835, id=,S06, PRDE,actvstrat=,0.109979, actvprof=,0.018056, id=,S08, PRDE,actvstrat=,-0.251436, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.069823, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.874635, best_B_strat=,0.992658, best_S_id=,S03, best_S_prof=,0.117781, best_S_strat=,-0.554167, 
t=,28800, id=,B02, PRDE,actvstrat=,0.369253, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.596083, actvprof=,1.678634, id=,B07, PRDE,actvstrat=,-0.914326, actvprof=,0.271670, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.260351, id=,B09, PRDE,actvstrat=,0.992658, actvprof=,6.874123, id=,S03, PRDE,actvstrat=,-0.554167, actvprof=,0.117363, id=,S05, PRDE,actvstrat=,0.585237, actvprof=,0.049445, id=,S06, PRDE,actvstrat=,0.109979, actvprof=,0.015278, id=,S08, PRDE,actvstrat=,-0.251436, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.069823, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.874123, best_B_strat=,0.992658, best_S_id=,S03, best_S_prof=,0.117363, best_S_strat=,-0.554167, 
t=,32400, id=,B02, PRDE,actvstrat=,0.369253, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.655925, actvprof=,1.064211, id=,B07, PRDE,actvstrat=,0.069970, actvprof=,1.726461, id=,B08, PRDE,actvstrat=,0.968957, actvprof=,4.401572, id=,B09, PRDE,actvstrat=,0.992658, actvprof=,6.096921, id=,S03, PRDE,actvstrat=,-0.400615, actvprof=,0.149728, id=,S05, PRDE,actvstrat=,0.585237, actvprof=,0.186674, id=,S06, PRDE,actvstrat=,0.007677, actvprof=,0.029723, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.069823, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.096921, best_B_strat=,0.992658, best_S_id=,S05, best_S_prof=,0.186674, best_S_strat=,0.585237, 
t=,36000, id=,B02, PRDE,actvstrat=,0.369253, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.655925, actvprof=,1.101273, id=,B07, PRDE,actvstrat=,0.069970, actvprof=,1.805038, id=,B08, PRDE,actvstrat=,0.968957, actvprof=,4.398008, id=,B09, PRDE,actvstrat=,0.992658, actvprof=,6.070543, id=,S03, PRDE,actvstrat=,-0.400615, actvprof=,0.174587, id=,S05, PRDE,actvstrat=,0.585237, actvprof=,0.153892, id=,S06, PRDE,actvstrat=,0.007677, actvprof=,0.030140, id=,S08, PRDE,actvstrat=,-0.463841, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.069823, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.070543, best_B_strat=,0.992658, best_S_id=,S03, best_S_prof=,0.174587, best_S_strat=,-0.400615, 
