t=,1, id=,B00, PRDE,actvstrat=,0.725023, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.523199, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.478159, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.408346, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.496643, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.161400, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.640195, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.408770, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.538360, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.427274, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.725023, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.161400, 
t=,3600, id=,B00, PRDE,actvstrat=,0.725023, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.523199, actvprof=,0.008056, id=,B06, PRDE,actvstrat=,0.478159, actvprof=,1.553611, id=,B08, PRDE,actvstrat=,-0.408346, actvprof=,2.963056, id=,B09, PRDE,actvstrat=,-0.496643, actvprof=,4.574167, id=,S01, PRDE,actvstrat=,0.161400, actvprof=,3.622500, id=,S02, PRDE,actvstrat=,0.640195, actvprof=,3.022778, id=,S04, PRDE,actvstrat=,-0.408770, actvprof=,0.034167, id=,S07, PRDE,actvstrat=,-0.538360, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.427274, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.574167, best_B_strat=,-0.496643, best_S_id=,S01, best_S_prof=,3.622500, best_S_strat=,0.161400, 
t=,7200, id=,B00, PRDE,actvstrat=,0.984649, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.328377, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.612568, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.155620, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.872591, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.673367, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.207649, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.775643, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.541629, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.911754, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.984649, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.673367, 
t=,10800, id=,B00, PRDE,actvstrat=,0.984649, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.328377, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.612568, actvprof=,0.486375, id=,B08, PRDE,actvstrat=,0.155620, actvprof=,4.164329, id=,B09, PRDE,actvstrat=,-0.872591, actvprof=,2.533263, id=,S01, PRDE,actvstrat=,-0.673367, actvprof=,2.017722, id=,S02, PRDE,actvstrat=,-0.207649, actvprof=,1.179689, id=,S04, PRDE,actvstrat=,-0.775643, actvprof=,0.016111, id=,S07, PRDE,actvstrat=,0.541629, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.911754, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.164329, best_B_strat=,0.155620, best_S_id=,S01, best_S_prof=,2.017722, best_S_strat=,-0.673367, 
t=,14400, id=,B00, PRDE,actvstrat=,0.984649, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.799892, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.709822, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.419232, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.872591, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.763316, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.640195, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.235528, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.235438, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.300110, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.984649, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.763316, 
t=,18000, id=,B00, PRDE,actvstrat=,0.984649, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.799892, actvprof=,0.013889, id=,B06, PRDE,actvstrat=,0.709822, actvprof=,2.229167, id=,B08, PRDE,actvstrat=,-0.419232, actvprof=,3.294167, id=,B09, PRDE,actvstrat=,-0.872591, actvprof=,3.487778, id=,S01, PRDE,actvstrat=,0.763316, actvprof=,4.558333, id=,S02, PRDE,actvstrat=,0.640195, actvprof=,2.594444, id=,S04, PRDE,actvstrat=,0.235528, actvprof=,0.097778, id=,S07, PRDE,actvstrat=,0.235438, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.300110, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.487778, best_B_strat=,-0.872591, best_S_id=,S01, best_S_prof=,4.558333, best_S_strat=,0.763316, 
t=,21600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.175189, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.447372, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.232359, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.860670, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.337231, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.050503, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.588604, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.095214, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.337231, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.175189, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.447372, actvprof=,1.513375, id=,B08, PRDE,actvstrat=,0.232359, actvprof=,4.405678, id=,B09, PRDE,actvstrat=,-0.860670, actvprof=,2.692297, id=,S01, PRDE,actvstrat=,-0.337231, actvprof=,2.478402, id=,S02, PRDE,actvstrat=,0.050503, actvprof=,1.976444, id=,S04, PRDE,actvstrat=,0.588604, actvprof=,0.279452, id=,S07, PRDE,actvstrat=,-0.095214, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.405678, best_B_strat=,0.232359, best_S_id=,S01, best_S_prof=,2.478402, best_S_strat=,-0.337231, 
t=,28800, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.175189, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.447372, actvprof=,1.518077, id=,B08, PRDE,actvstrat=,0.232359, actvprof=,4.292421, id=,B09, PRDE,actvstrat=,-0.860670, actvprof=,2.657537, id=,S01, PRDE,actvstrat=,-0.337231, actvprof=,2.328227, id=,S02, PRDE,actvstrat=,0.050503, actvprof=,1.928638, id=,S04, PRDE,actvstrat=,0.588604, actvprof=,0.262087, id=,S07, PRDE,actvstrat=,-0.095214, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.292421, best_B_strat=,0.232359, best_S_id=,S01, best_S_prof=,2.328227, best_S_strat=,-0.337231, 
t=,32400, id=,B00, PRDE,actvstrat=,0.118090, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.116145, actvprof=,0.001667, id=,B06, PRDE,actvstrat=,0.478159, actvprof=,1.332000, id=,B08, PRDE,actvstrat=,0.458261, actvprof=,4.429351, id=,B09, PRDE,actvstrat=,-0.860670, actvprof=,2.738170, id=,S01, PRDE,actvstrat=,-0.208580, actvprof=,2.632610, id=,S02, PRDE,actvstrat=,0.296413, actvprof=,2.556495, id=,S04, PRDE,actvstrat=,-0.408770, actvprof=,0.050002, id=,S07, PRDE,actvstrat=,-0.095214, actvprof=,0.001945, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.429351, best_B_strat=,0.458261, best_S_id=,S01, best_S_prof=,2.632610, best_S_strat=,-0.208580, 
t=,36000, id=,B00, PRDE,actvstrat=,0.118090, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.116145, actvprof=,0.001528, id=,B06, PRDE,actvstrat=,0.478159, actvprof=,1.309333, id=,B08, PRDE,actvstrat=,0.458261, actvprof=,4.412870, id=,B09, PRDE,actvstrat=,-0.860670, actvprof=,2.587693, id=,S01, PRDE,actvstrat=,-0.208580, actvprof=,2.531997, id=,S02, PRDE,actvstrat=,0.296413, actvprof=,2.465051, id=,S04, PRDE,actvstrat=,-0.408770, actvprof=,0.064168, id=,S07, PRDE,actvstrat=,-0.095214, actvprof=,0.000972, id=,S08, PRDE,actvstrat=,1.000000, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,4.412870, best_B_strat=,0.458261, best_S_id=,S01, best_S_prof=,2.531997, best_S_strat=,-0.208580, 
