t=,3600, id=,B00, PRDE,actvstrat=,0.991916, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.585235, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.321009, actvprof=,0.138889, id=,B07, PRDE,actvstrat=,-0.178911, actvprof=,1.361667, id=,B09, PRDE,actvstrat=,0.704365, actvprof=,6.349444, id=,S01, PRDE,actvstrat=,0.339503, actvprof=,4.399444, id=,S02, PRDE,actvstrat=,-0.739385, actvprof=,0.956667, id=,S04, PRDE,actvstrat=,-0.636883, actvprof=,0.051944, id=,S06, PRDE,actvstrat=,-0.882822, actvprof=,0.008889, id=,S07, PRDE,actvstrat=,-0.377958, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.349444, best_B_strat=,0.704365, best_S_id=,S01, best_S_prof=,4.399444, best_S_strat=,0.339503, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.285945, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.977471, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.488016, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.582043, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.386048, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.979414, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.900612, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.492388, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.399010, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.765323, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.285945, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.979414, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.285945, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.977471, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.488016, actvprof=,0.284718, id=,B07, PRDE,actvstrat=,-0.582043, actvprof=,2.122471, id=,B09, PRDE,actvstrat=,0.386048, actvprof=,6.821016, id=,S01, PRDE,actvstrat=,0.979414, actvprof=,4.569381, id=,S02, PRDE,actvstrat=,0.900612, actvprof=,2.831350, id=,S04, PRDE,actvstrat=,0.492388, actvprof=,0.125832, id=,S06, PRDE,actvstrat=,-0.399010, actvprof=,0.006111, id=,S07, PRDE,actvstrat=,-0.765323, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.821016, best_B_strat=,0.386048, best_S_id=,S01, best_S_prof=,4.569381, best_S_strat=,0.979414, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.587362, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.881829, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.228990, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.613699, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.386048, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.813436, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.900612, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.492388, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.400264, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.377958, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.587362, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.813436, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.587362, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.881829, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.228990, actvprof=,0.206944, id=,B07, PRDE,actvstrat=,0.613699, actvprof=,2.684167, id=,B09, PRDE,actvstrat=,0.386048, actvprof=,5.514722, id=,S01, PRDE,actvstrat=,-0.813436, actvprof=,1.013611, id=,S02, PRDE,actvstrat=,0.900612, actvprof=,4.096111, id=,S04, PRDE,actvstrat=,0.492388, actvprof=,0.452500, id=,S06, PRDE,actvstrat=,-0.400264, actvprof=,0.010556, id=,S07, PRDE,actvstrat=,-0.377958, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.514722, best_B_strat=,0.386048, best_S_id=,S02, best_S_prof=,4.096111, best_S_strat=,0.900612, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.587362, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.881829, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.228990, actvprof=,0.209444, id=,B07, PRDE,actvstrat=,0.613699, actvprof=,2.762361, id=,B09, PRDE,actvstrat=,0.386048, actvprof=,5.487361, id=,S01, PRDE,actvstrat=,-0.813436, actvprof=,1.009861, id=,S02, PRDE,actvstrat=,0.900612, actvprof=,4.013333, id=,S04, PRDE,actvstrat=,0.492388, actvprof=,0.464444, id=,S06, PRDE,actvstrat=,-0.400264, actvprof=,0.005278, id=,S07, PRDE,actvstrat=,-0.377958, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.487361, best_B_strat=,0.386048, best_S_id=,S02, best_S_prof=,4.013333, best_S_strat=,0.900612, 
t=,25200, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.916735, actvprof=,0.674454, id=,B07, PRDE,actvstrat=,0.763281, actvprof=,3.325602, id=,B09, PRDE,actvstrat=,-0.340592, actvprof=,4.145613, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.419520, id=,S02, PRDE,actvstrat=,-0.340160, actvprof=,0.831400, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.817511, id=,S06, PRDE,actvstrat=,-0.247836, actvprof=,0.006389, id=,S07, PRDE,actvstrat=,-0.783583, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.145613, best_B_strat=,-0.340592, best_S_id=,S01, best_S_prof=,5.419520, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,-0.749146, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.782462, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.488016, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.763281, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.340592, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.731973, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.900612, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.982077, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.445712, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.761387, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.749146, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.731973, 
t=,32400, id=,B00, PRDE,actvstrat=,-0.749146, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.782462, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.488016, actvprof=,0.088891, id=,B07, PRDE,actvstrat=,0.763281, actvprof=,3.772049, id=,B09, PRDE,actvstrat=,-0.340592, actvprof=,4.898747, id=,S01, PRDE,actvstrat=,-0.731973, actvprof=,1.030584, id=,S02, PRDE,actvstrat=,0.900612, actvprof=,3.404261, id=,S04, PRDE,actvstrat=,-0.982077, actvprof=,0.185005, id=,S06, PRDE,actvstrat=,0.445712, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.761387, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.898747, best_B_strat=,-0.340592, best_S_id=,S02, best_S_prof=,3.404261, best_S_strat=,0.900612, 
t=,36000, id=,B00, PRDE,actvstrat=,-0.749146, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.782462, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.488016, actvprof=,0.095279, id=,B07, PRDE,actvstrat=,0.763281, actvprof=,3.781858, id=,B09, PRDE,actvstrat=,-0.340592, actvprof=,5.015903, id=,S01, PRDE,actvstrat=,-0.731973, actvprof=,0.990708, id=,S02, PRDE,actvstrat=,0.900612, actvprof=,3.381297, id=,S04, PRDE,actvstrat=,-0.982077, actvprof=,0.184308, id=,S06, PRDE,actvstrat=,0.445712, actvprof=,0.001667, id=,S07, PRDE,actvstrat=,-0.761387, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.015903, best_B_strat=,-0.340592, best_S_id=,S02, best_S_prof=,3.381297, best_S_strat=,0.900612, 
t=,39600, id=,B00, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-1.000000, actvprof=,0.473353, id=,B07, PRDE,actvstrat=,-1.000000, actvprof=,3.158187, id=,B09, PRDE,actvstrat=,-0.495464, actvprof=,3.926552, id=,S01, PRDE,actvstrat=,0.728800, actvprof=,5.396614, id=,S02, PRDE,actvstrat=,0.612329, actvprof=,3.209856, id=,S04, PRDE,actvstrat=,0.214495, actvprof=,0.320569, id=,S06, PRDE,actvstrat=,0.836912, actvprof=,0.010278, id=,S07, PRDE,actvstrat=,-0.459846, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.926552, best_B_strat=,-0.495464, best_S_id=,S01, best_S_prof=,5.396614, best_S_strat=,0.728800, 
