t=,0, id=,B01, PRDE,actvstrat=,0.811829, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.573953, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.768419, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.300411, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.330823, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.455801, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.388858, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.358875, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.701750, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.328581, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.811829, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.455801, 
t=,3600, id=,B01, PRDE,actvstrat=,0.811829, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.573953, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.768419, actvprof=,0.007500, id=,B08, PRDE,actvstrat=,-0.300411, actvprof=,2.183550, id=,B09, PRDE,actvstrat=,-0.330823, actvprof=,3.952112, id=,S00, PRDE,actvstrat=,-0.455801, actvprof=,2.628260, id=,S01, PRDE,actvstrat=,-0.388858, actvprof=,1.683009, id=,S02, PRDE,actvstrat=,-0.358875, actvprof=,0.938307, id=,S04, PRDE,actvstrat=,0.701750, actvprof=,0.560818, id=,S08, PRDE,actvstrat=,0.328581, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.952112, best_B_strat=,-0.330823, best_S_id=,S00, best_S_prof=,2.628260, best_S_strat=,-0.455801, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.672568, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.170772, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.702003, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.666590, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.698831, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.847318, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.175172, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.957412, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.752632, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.982804, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.672568, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.847318, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.672568, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.170772, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.702003, actvprof=,0.009444, id=,B08, PRDE,actvstrat=,0.666590, actvprof=,3.119123, id=,B09, PRDE,actvstrat=,0.698831, actvprof=,4.974375, id=,S00, PRDE,actvstrat=,-0.847318, actvprof=,1.627755, id=,S01, PRDE,actvstrat=,0.175172, actvprof=,4.598825, id=,S02, PRDE,actvstrat=,-0.957412, actvprof=,0.389995, id=,S04, PRDE,actvstrat=,-0.752632, actvprof=,0.092776, id=,S08, PRDE,actvstrat=,0.982804, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.974375, best_B_strat=,0.698831, best_S_id=,S01, best_S_prof=,4.598825, best_S_strat=,0.175172, 
t=,14400, id=,B01, PRDE,actvstrat=,-0.672568, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.347811, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.702003, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.295693, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.735572, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.847318, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.385633, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.632102, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.181993, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.000177, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.672568, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.847318, 
t=,18000, id=,B01, PRDE,actvstrat=,-0.672568, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.347811, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.702003, actvprof=,0.010000, id=,B08, PRDE,actvstrat=,0.295693, actvprof=,2.803611, id=,B09, PRDE,actvstrat=,0.735572, actvprof=,5.131667, id=,S00, PRDE,actvstrat=,-0.847318, actvprof=,1.386944, id=,S01, PRDE,actvstrat=,0.385633, actvprof=,4.725278, id=,S02, PRDE,actvstrat=,-0.632102, actvprof=,1.008889, id=,S04, PRDE,actvstrat=,0.181993, actvprof=,0.532222, id=,S08, PRDE,actvstrat=,0.000177, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.131667, best_B_strat=,0.735572, best_S_id=,S01, best_S_prof=,4.725278, best_S_strat=,0.385633, 
t=,21600, id=,B01, PRDE,actvstrat=,-0.672568, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.347811, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.702003, actvprof=,0.010556, id=,B08, PRDE,actvstrat=,0.295693, actvprof=,2.912639, id=,B09, PRDE,actvstrat=,0.735572, actvprof=,5.240833, id=,S00, PRDE,actvstrat=,-0.847318, actvprof=,1.345417, id=,S01, PRDE,actvstrat=,0.385633, actvprof=,4.680417, id=,S02, PRDE,actvstrat=,-0.632102, actvprof=,1.031667, id=,S04, PRDE,actvstrat=,0.181993, actvprof=,0.477917, id=,S08, PRDE,actvstrat=,0.000177, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.240833, best_B_strat=,0.735572, best_S_id=,S01, best_S_prof=,4.680417, best_S_strat=,0.385633, 
t=,25200, id=,B01, PRDE,actvstrat=,0.717112, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.010556, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.825967, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.706297, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.590766, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.861829, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.635379, id=,S04, PRDE,actvstrat=,-0.532701, actvprof=,0.045835, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.706297, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.590766, best_S_strat=,1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,0.717112, actvprof=,0.000972, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000556, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.012778, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,4.837567, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,6.718288, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.522882, id=,S01, PRDE,actvstrat=,1.000000, actvprof=,5.911749, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.662829, id=,S04, PRDE,actvstrat=,-0.532701, actvprof=,0.037362, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.718288, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,7.522882, best_S_strat=,1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,-0.949799, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.724708, actvprof=,0.025279, id=,B08, PRDE,actvstrat=,-0.620075, actvprof=,2.324264, id=,B09, PRDE,actvstrat=,-0.792629, actvprof=,3.175688, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,6.996125, id=,S01, PRDE,actvstrat=,0.175172, actvprof=,3.022348, id=,S02, PRDE,actvstrat=,0.043366, actvprof=,1.449227, id=,S04, PRDE,actvstrat=,-0.292988, actvprof=,0.026112, id=,S08, PRDE,actvstrat=,-0.706950, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.175688, best_B_strat=,-0.792629, best_S_id=,S00, best_S_prof=,6.996125, best_S_strat=,1.000000, 
t=,36000, id=,B01, PRDE,actvstrat=,-0.949799, actvprof=,0.000694, id=,B02, PRDE,actvstrat=,1.000000, actvprof=,0.000278, id=,B04, PRDE,actvstrat=,-0.724708, actvprof=,0.017500, id=,B08, PRDE,actvstrat=,-0.620075, actvprof=,2.363938, id=,B09, PRDE,actvstrat=,-0.792629, actvprof=,3.181038, id=,S00, PRDE,actvstrat=,1.000000, actvprof=,7.005285, id=,S01, PRDE,actvstrat=,0.175172, actvprof=,3.042008, id=,S02, PRDE,actvstrat=,0.043366, actvprof=,1.509893, id=,S04, PRDE,actvstrat=,-0.292988, actvprof=,0.029584, id=,S08, PRDE,actvstrat=,-0.706950, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,3.181038, best_B_strat=,-0.792629, best_S_id=,S00, best_S_prof=,7.005285, best_S_strat=,1.000000, 
t=,39600, id=,B01, PRDE,actvstrat=,-0.873203, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.004167, id=,B08, PRDE,actvstrat=,0.163632, actvprof=,3.389077, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.928107, id=,S00, PRDE,actvstrat=,0.114414, actvprof=,4.624701, id=,S01, PRDE,actvstrat=,-0.474507, actvprof=,1.878438, id=,S02, PRDE,actvstrat=,-0.450844, actvprof=,0.866437, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.358964, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.928107, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.624701, best_S_strat=,0.114414, 
t=,43200, id=,B01, PRDE,actvstrat=,-0.873203, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.007639, id=,B08, PRDE,actvstrat=,0.163632, actvprof=,3.340509, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,5.948915, id=,S00, PRDE,actvstrat=,0.114414, actvprof=,4.754577, id=,S01, PRDE,actvstrat=,-0.474507, actvprof=,1.745465, id=,S02, PRDE,actvstrat=,-0.450844, actvprof=,0.892803, id=,S04, PRDE,actvstrat=,-1.000000, actvprof=,1.356288, id=,S08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.948915, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,4.754577, best_S_strat=,0.114414, 
t=,46800, id=,B01, PRDE,actvstrat=,0.641789, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.691771, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.551993, actvprof=,0.022779, id=,B08, PRDE,actvstrat=,0.666590, actvprof=,3.391855, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.836935, id=,S00, PRDE,actvstrat=,-0.581370, actvprof=,2.945997, id=,S01, PRDE,actvstrat=,0.925747, actvprof=,7.001222, id=,S02, PRDE,actvstrat=,-0.450844, actvprof=,1.392855, id=,S04, PRDE,actvstrat=,-0.781235, actvprof=,0.075838, id=,S08, PRDE,actvstrat=,-0.544847, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.836935, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,7.001222, best_S_strat=,0.925747, 
t=,50400, id=,B01, PRDE,actvstrat=,0.641789, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.691771, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.551993, actvprof=,0.015139, id=,B08, PRDE,actvstrat=,0.666590, actvprof=,3.426321, id=,B09, PRDE,actvstrat=,-1.000000, actvprof=,4.905102, id=,S00, PRDE,actvstrat=,-0.581370, actvprof=,3.029230, id=,S01, PRDE,actvstrat=,0.925747, actvprof=,7.006257, id=,S02, PRDE,actvstrat=,-0.450844, actvprof=,1.259610, id=,S04, PRDE,actvstrat=,-0.781235, actvprof=,0.088891, id=,S08, PRDE,actvstrat=,-0.544847, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.905102, best_B_strat=,-1.000000, best_S_id=,S01, best_S_prof=,7.006257, best_S_strat=,0.925747, 
t=,54000, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.053892, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.597255, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.389022, id=,S00, PRDE,actvstrat=,0.114414, actvprof=,3.641036, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.468304, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.446025, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.412801, id=,S08, PRDE,actvstrat=,-0.287496, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.389022, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.468304, best_S_strat=,-1.000000, 
t=,57600, id=,B01, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.055140, id=,B08, PRDE,actvstrat=,1.000000, actvprof=,5.655396, id=,B09, PRDE,actvstrat=,1.000000, actvprof=,7.447377, id=,S00, PRDE,actvstrat=,0.114414, actvprof=,3.583964, id=,S01, PRDE,actvstrat=,-1.000000, actvprof=,4.608707, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.385209, id=,S04, PRDE,actvstrat=,1.000000, actvprof=,0.372091, id=,S08, PRDE,actvstrat=,-0.287496, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,7.447377, best_B_strat=,1.000000, best_S_id=,S01, best_S_prof=,4.608707, best_S_strat=,-1.000000, 
t=,61200, id=,B01, PRDE,actvstrat=,0.449619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.170772, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.005556, id=,B08, PRDE,actvstrat=,0.840359, actvprof=,4.820268, id=,B09, PRDE,actvstrat=,0.698831, actvprof=,6.299239, id=,S00, PRDE,actvstrat=,0.114414, actvprof=,4.347186, id=,S01, PRDE,actvstrat=,-0.135400, actvprof=,1.967887, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,3.971054, id=,S04, PRDE,actvstrat=,0.701750, actvprof=,0.529752, id=,S08, PRDE,actvstrat=,0.535270, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.299239, best_B_strat=,0.698831, best_S_id=,S00, best_S_prof=,4.347186, best_S_strat=,0.114414, 
t=,64800, id=,B01, PRDE,actvstrat=,0.449619, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.170772, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,1.000000, actvprof=,0.008472, id=,B08, PRDE,actvstrat=,0.840359, actvprof=,4.844301, id=,B09, PRDE,actvstrat=,0.698831, actvprof=,6.290730, id=,S00, PRDE,actvstrat=,0.114414, actvprof=,4.259146, id=,S01, PRDE,actvstrat=,-0.135400, actvprof=,2.065474, id=,S02, PRDE,actvstrat=,-1.000000, actvprof=,4.009834, id=,S04, PRDE,actvstrat=,0.701750, actvprof=,0.508347, id=,S08, PRDE,actvstrat=,0.535270, actvprof=,0.000417, best_B_id=,B09, best_B_prof=,6.290730, best_B_strat=,0.698831, best_S_id=,S00, best_S_prof=,4.259146, best_S_strat=,0.114414, 
