t=,0, id=,B00, PRDE,actvstrat=,-0.704383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.555187, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.894730, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.738794, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.518678, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.124871, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.925654, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.608542, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.104116, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.499338, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.704383, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.124871, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.704383, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.555187, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.894730, actvprof=,0.038611, id=,B07, PRDE,actvstrat=,0.738794, actvprof=,1.710278, id=,B09, PRDE,actvstrat=,0.518678, actvprof=,4.642222, id=,S01, PRDE,actvstrat=,0.124871, actvprof=,4.648056, id=,S03, PRDE,actvstrat=,-0.925654, actvprof=,0.127500, id=,S04, PRDE,actvstrat=,-0.608542, actvprof=,0.241389, id=,S05, PRDE,actvstrat=,-0.104116, actvprof=,0.030278, id=,S08, PRDE,actvstrat=,0.499338, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,4.642222, best_B_strat=,0.518678, best_S_id=,S01, best_S_prof=,4.648056, best_S_strat=,0.124871, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.835826, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.324870, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.344020, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.236842, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.776126, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.821561, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.118071, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.169430, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.569809, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.194915, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,-0.776126, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.194915, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.835826, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.324870, actvprof=,0.031111, id=,B07, PRDE,actvstrat=,-0.344020, actvprof=,1.425814, id=,B09, PRDE,actvstrat=,0.236842, actvprof=,5.732698, id=,S01, PRDE,actvstrat=,-0.776126, actvprof=,1.013041, id=,S03, PRDE,actvstrat=,0.821561, actvprof=,1.899974, id=,S04, PRDE,actvstrat=,-0.118071, actvprof=,0.044166, id=,S05, PRDE,actvstrat=,0.169430, actvprof=,0.030833, id=,S08, PRDE,actvstrat=,0.569809, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.732698, best_B_strat=,0.236842, best_S_id=,S03, best_S_prof=,1.899974, best_S_strat=,0.821561, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.592628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.399030, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.382661, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.947439, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.533537, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.528275, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.738195, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.009125, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.793782, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.311580, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.592628, best_S_id=,S01, best_S_prof=,0.000000, best_S_strat=,0.528275, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.592628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.399030, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.382661, actvprof=,0.058611, id=,B07, PRDE,actvstrat=,-0.947439, actvprof=,0.226667, id=,B09, PRDE,actvstrat=,0.533537, actvprof=,6.550000, id=,S01, PRDE,actvstrat=,0.528275, actvprof=,3.818611, id=,S03, PRDE,actvstrat=,-0.738195, actvprof=,0.133333, id=,S04, PRDE,actvstrat=,0.009125, actvprof=,0.084167, id=,S05, PRDE,actvstrat=,-0.793782, actvprof=,0.003333, id=,S08, PRDE,actvstrat=,-0.311580, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.550000, best_B_strat=,0.533537, best_S_id=,S01, best_S_prof=,3.818611, best_S_strat=,0.528275, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.592628, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.399030, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.382661, actvprof=,0.063889, id=,B07, PRDE,actvstrat=,-0.947439, actvprof=,0.265417, id=,B09, PRDE,actvstrat=,0.533537, actvprof=,6.679306, id=,S01, PRDE,actvstrat=,0.528275, actvprof=,3.809306, id=,S03, PRDE,actvstrat=,-0.738195, actvprof=,0.098750, id=,S04, PRDE,actvstrat=,0.009125, actvprof=,0.083056, id=,S05, PRDE,actvstrat=,-0.793782, actvprof=,0.004028, id=,S08, PRDE,actvstrat=,-0.311580, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,6.679306, best_B_strat=,0.533537, best_S_id=,S01, best_S_prof=,3.809306, best_S_strat=,0.528275, 
t=,25200, id=,B00, PRDE,actvstrat=,0.118164, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.034723, id=,B07, PRDE,actvstrat=,-0.344020, actvprof=,0.992514, id=,B09, PRDE,actvstrat=,0.231005, actvprof=,5.293129, id=,S01, PRDE,actvstrat=,-0.490518, actvprof=,2.041695, id=,S03, PRDE,actvstrat=,-0.796799, actvprof=,0.135280, id=,S04, PRDE,actvstrat=,-0.608542, actvprof=,0.044723, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.097501, id=,S08, PRDE,actvstrat=,0.569809, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.293129, best_B_strat=,0.231005, best_S_id=,S01, best_S_prof=,2.041695, best_S_strat=,-0.490518, 
t=,28800, id=,B00, PRDE,actvstrat=,0.118164, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.044167, id=,B07, PRDE,actvstrat=,-0.344020, actvprof=,0.977229, id=,B09, PRDE,actvstrat=,0.231005, actvprof=,5.215870, id=,S01, PRDE,actvstrat=,-0.490518, actvprof=,1.905708, id=,S03, PRDE,actvstrat=,-0.796799, actvprof=,0.173612, id=,S04, PRDE,actvstrat=,-0.608542, actvprof=,0.042084, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.098890, id=,S08, PRDE,actvstrat=,0.569809, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.215870, best_B_strat=,0.231005, best_S_id=,S01, best_S_prof=,1.905708, best_S_strat=,-0.490518, 
t=,32400, id=,B00, PRDE,actvstrat=,0.583648, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.226395, id=,B07, PRDE,actvstrat=,-0.344020, actvprof=,1.384205, id=,B09, PRDE,actvstrat=,0.231005, actvprof=,5.559599, id=,S01, PRDE,actvstrat=,-0.340323, actvprof=,1.729492, id=,S03, PRDE,actvstrat=,0.821561, actvprof=,1.882830, id=,S04, PRDE,actvstrat=,-0.649446, actvprof=,0.029723, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.099169, id=,S08, PRDE,actvstrat=,0.958038, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.559599, best_B_strat=,0.231005, best_S_id=,S03, best_S_prof=,1.882830, best_S_strat=,0.821561, 
t=,36000, id=,B00, PRDE,actvstrat=,0.583648, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.911425, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.606511, actvprof=,0.251392, id=,B07, PRDE,actvstrat=,-0.344020, actvprof=,1.357102, id=,B09, PRDE,actvstrat=,0.231005, actvprof=,5.584244, id=,S01, PRDE,actvstrat=,-0.340323, actvprof=,1.637245, id=,S03, PRDE,actvstrat=,0.821561, actvprof=,1.903776, id=,S04, PRDE,actvstrat=,-0.649446, actvprof=,0.030000, id=,S05, PRDE,actvstrat=,-0.994290, actvprof=,0.088196, id=,S08, PRDE,actvstrat=,0.958038, actvprof=,0.000000, best_B_id=,B09, best_B_prof=,5.584244, best_B_strat=,0.231005, best_S_id=,S03, best_S_prof=,1.903776, best_S_strat=,0.821561, 
