t=,1, id=,B01, PRDE,actvstrat=,-0.578923, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.325743, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.267586, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.279347, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.418654, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.074762, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.738471, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,0.762119, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.176786, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.619653, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.578923, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.074762, 
t=,3600, id=,B01, PRDE,actvstrat=,-0.578923, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.325743, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.267586, actvprof=,0.031667, id=,B06, PRDE,actvstrat=,0.279347, actvprof=,0.913889, id=,B08, PRDE,actvstrat=,0.418654, actvprof=,3.900000, id=,S00, PRDE,actvstrat=,0.074762, actvprof=,4.905556, id=,S01, PRDE,actvstrat=,-0.738471, actvprof=,1.915833, id=,S03, PRDE,actvstrat=,0.762119, actvprof=,2.141111, id=,S05, PRDE,actvstrat=,0.176786, actvprof=,0.045278, id=,S06, PRDE,actvstrat=,-0.619653, actvprof=,0.002500, best_B_id=,B08, best_B_prof=,3.900000, best_B_strat=,0.418654, best_S_id=,S00, best_S_prof=,4.905556, best_S_strat=,0.074762, 
t=,7200, id=,B01, PRDE,actvstrat=,-0.135083, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.590606, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.570324, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.308628, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.515080, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.869701, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.703044, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.191270, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.434113, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.548747, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,-0.135083, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.869701, 
t=,10800, id=,B01, PRDE,actvstrat=,-0.135083, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.590606, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.570324, actvprof=,0.014166, id=,B06, PRDE,actvstrat=,-0.308628, actvprof=,0.468049, id=,B08, PRDE,actvstrat=,-0.515080, actvprof=,2.562742, id=,S00, PRDE,actvstrat=,-0.869701, actvprof=,0.818878, id=,S01, PRDE,actvstrat=,0.703044, actvprof=,5.088540, id=,S03, PRDE,actvstrat=,-0.191270, actvprof=,0.359717, id=,S05, PRDE,actvstrat=,-0.434113, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.548747, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,2.562742, best_B_strat=,-0.515080, best_S_id=,S01, best_S_prof=,5.088540, best_S_strat=,0.703044, 
t=,14400, id=,B01, PRDE,actvstrat=,0.257311, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.074971, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.709486, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.102174, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.054000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.996260, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.734480, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.117591, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.373092, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.938708, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,0.257311, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.996260, 
t=,18000, id=,B01, PRDE,actvstrat=,0.257311, actvprof=,0.002222, id=,B02, PRDE,actvstrat=,-0.074971, actvprof=,0.004722, id=,B04, PRDE,actvstrat=,0.709486, actvprof=,0.126111, id=,B06, PRDE,actvstrat=,-0.102174, actvprof=,0.711111, id=,B08, PRDE,actvstrat=,0.054000, actvprof=,3.831944, id=,S00, PRDE,actvstrat=,0.996260, actvprof=,6.848611, id=,S01, PRDE,actvstrat=,0.734480, actvprof=,4.835833, id=,S03, PRDE,actvstrat=,-0.117591, actvprof=,0.439722, id=,S05, PRDE,actvstrat=,-0.373092, actvprof=,0.010278, id=,S06, PRDE,actvstrat=,-0.938708, actvprof=,0.006389, best_B_id=,B08, best_B_prof=,3.831944, best_B_strat=,0.054000, best_S_id=,S00, best_S_prof=,6.848611, best_S_strat=,0.996260, 
t=,21600, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.359987, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.171694, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.681178, actvprof=,0.000000, best_B_id=,B01, best_B_prof=,0.000000, best_B_strat=,1.000000, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-1.000000, 
t=,25200, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.359987, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.046390, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.162808, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.094793, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.216753, id=,S01, PRDE,actvstrat=,-0.171694, actvprof=,2.095029, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.325032, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.041667, id=,S06, PRDE,actvstrat=,0.681178, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.094793, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.216753, best_S_strat=,-1.000000, 
t=,28800, id=,B01, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.359987, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-1.000000, actvprof=,0.038611, id=,B06, PRDE,actvstrat=,-1.000000, actvprof=,2.165709, id=,B08, PRDE,actvstrat=,-1.000000, actvprof=,5.166147, id=,S00, PRDE,actvstrat=,-1.000000, actvprof=,6.081987, id=,S01, PRDE,actvstrat=,-0.171694, actvprof=,2.240710, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,2.371961, id=,S05, PRDE,actvstrat=,1.000000, actvprof=,0.037917, id=,S06, PRDE,actvstrat=,0.681178, actvprof=,0.000000, best_B_id=,B08, best_B_prof=,5.166147, best_B_strat=,-1.000000, best_S_id=,S00, best_S_prof=,6.081987, best_S_strat=,-1.000000, 
t=,32400, id=,B01, PRDE,actvstrat=,0.257311, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.590606, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.001106, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.698493, actvprof=,0.457525, id=,B08, PRDE,actvstrat=,0.381010, actvprof=,2.791266, id=,S00, PRDE,actvstrat=,-0.937223, actvprof=,0.803934, id=,S01, PRDE,actvstrat=,0.342019, actvprof=,5.377243, id=,S03, PRDE,actvstrat=,-0.310504, actvprof=,0.896716, id=,S05, PRDE,actvstrat=,-0.148296, actvprof=,0.022501, id=,S06, PRDE,actvstrat=,0.499144, actvprof=,0.012778, best_B_id=,B08, best_B_prof=,2.791266, best_B_strat=,0.381010, best_S_id=,S01, best_S_prof=,5.377243, best_S_strat=,0.342019, 
t=,36000, id=,B01, PRDE,actvstrat=,0.257311, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.590606, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.001106, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,0.698493, actvprof=,0.481121, id=,B08, PRDE,actvstrat=,0.381010, actvprof=,2.727140, id=,S00, PRDE,actvstrat=,-0.937223, actvprof=,1.013077, id=,S01, PRDE,actvstrat=,0.342019, actvprof=,5.404557, id=,S03, PRDE,actvstrat=,-0.310504, actvprof=,0.878074, id=,S05, PRDE,actvstrat=,-0.148296, actvprof=,0.030834, id=,S06, PRDE,actvstrat=,0.499144, actvprof=,0.012084, best_B_id=,B08, best_B_prof=,2.727140, best_B_strat=,0.381010, best_S_id=,S01, best_S_prof=,5.404557, best_S_strat=,0.342019, 
