t=,0, id=,B00, PRDE,actvstrat=,-0.279572, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.943180, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.106750, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.859599, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,0.711513, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.685915, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.090616, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.990708, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.556943, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.832717, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.279572, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.685915, 
t=,3600, id=,B00, PRDE,actvstrat=,-0.279572, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.943180, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.106750, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.859599, actvprof=,0.363056, id=,B07, PRDE,actvstrat=,0.711513, actvprof=,2.978056, id=,S03, PRDE,actvstrat=,-0.685915, actvprof=,0.196667, id=,S05, PRDE,actvstrat=,-0.090616, actvprof=,0.003889, id=,S06, PRDE,actvstrat=,-0.990708, actvprof=,0.007222, id=,S07, PRDE,actvstrat=,0.556943, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.832717, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.978056, best_B_strat=,0.711513, best_S_id=,S03, best_S_prof=,0.196667, best_S_strat=,-0.685915, 
t=,7200, id=,B00, PRDE,actvstrat=,-0.627138, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.596272, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.395364, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.722425, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.633741, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.645116, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.949032, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,0.482384, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.850955, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.436509, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.627138, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.645116, 
t=,10800, id=,B00, PRDE,actvstrat=,-0.627138, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.596272, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.395364, actvprof=,0.022222, id=,B05, PRDE,actvstrat=,0.722425, actvprof=,0.889432, id=,B07, PRDE,actvstrat=,-0.633741, actvprof=,2.029416, id=,S03, PRDE,actvstrat=,-0.645116, actvprof=,0.042777, id=,S05, PRDE,actvstrat=,0.949032, actvprof=,0.018333, id=,S06, PRDE,actvstrat=,0.482384, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.850955, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.436509, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,2.029416, best_B_strat=,-0.633741, best_S_id=,S03, best_S_prof=,0.042777, best_S_strat=,-0.645116, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.762179, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.179000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.395364, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.627660, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.514401, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.775534, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.560223, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.769844, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.951918, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.739669, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.762179, best_S_id=,S03, best_S_prof=,0.000000, best_S_strat=,-0.775534, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.762179, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.179000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.395364, actvprof=,0.045833, id=,B05, PRDE,actvstrat=,0.627660, actvprof=,0.942487, id=,B07, PRDE,actvstrat=,-0.514401, actvprof=,1.866363, id=,S03, PRDE,actvstrat=,-0.775534, actvprof=,0.028888, id=,S05, PRDE,actvstrat=,-0.560223, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.769844, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.951918, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.739669, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.866363, best_B_strat=,-0.514401, best_S_id=,S03, best_S_prof=,0.028888, best_S_strat=,-0.775534, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.762179, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.179000, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.395364, actvprof=,0.042917, id=,B05, PRDE,actvstrat=,0.627660, actvprof=,0.850694, id=,B07, PRDE,actvstrat=,-0.514401, actvprof=,1.866944, id=,S03, PRDE,actvstrat=,-0.775534, actvprof=,0.043472, id=,S05, PRDE,actvstrat=,-0.560223, actvprof=,0.000694, id=,S06, PRDE,actvstrat=,-0.769844, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.951918, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.739669, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,1.866944, best_B_strat=,-0.514401, best_S_id=,S03, best_S_prof=,0.043472, best_S_strat=,-0.775534, 
t=,25200, id=,B00, PRDE,actvstrat=,0.854399, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.153022, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.397321, actvprof=,0.266393, id=,B05, PRDE,actvstrat=,0.019256, actvprof=,2.013084, id=,B07, PRDE,actvstrat=,0.123786, actvprof=,5.221461, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.155835, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.385805, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.221461, best_B_strat=,0.123786, best_S_id=,S03, best_S_prof=,0.155835, best_S_strat=,1.000000, 
t=,28800, id=,B00, PRDE,actvstrat=,0.854399, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.153022, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.397321, actvprof=,0.278337, id=,B05, PRDE,actvstrat=,0.019256, actvprof=,1.998639, id=,B07, PRDE,actvstrat=,0.123786, actvprof=,5.340491, id=,S03, PRDE,actvstrat=,1.000000, actvprof=,0.139446, id=,S05, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.385805, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-1.000000, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,5.340491, best_B_strat=,0.123786, best_S_id=,S03, best_S_prof=,0.139446, best_S_strat=,1.000000, 
t=,32400, id=,B00, PRDE,actvstrat=,0.816131, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.153022, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.379997, actvprof=,0.015001, id=,B05, PRDE,actvstrat=,0.722425, actvprof=,1.314499, id=,B07, PRDE,actvstrat=,0.874295, actvprof=,4.964374, id=,S03, PRDE,actvstrat=,-0.203328, actvprof=,0.063614, id=,S05, PRDE,actvstrat=,0.949032, actvprof=,0.024723, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.001111, id=,S07, PRDE,actvstrat=,0.747659, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.153842, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.964374, best_B_strat=,0.874295, best_S_id=,S03, best_S_prof=,0.063614, best_S_strat=,-0.203328, 
t=,36000, id=,B00, PRDE,actvstrat=,0.816131, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.153022, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.379997, actvprof=,0.010556, id=,B05, PRDE,actvstrat=,0.722425, actvprof=,1.210581, id=,B07, PRDE,actvstrat=,0.874295, actvprof=,4.815934, id=,S03, PRDE,actvstrat=,-0.203328, actvprof=,0.078891, id=,S05, PRDE,actvstrat=,0.949032, actvprof=,0.028056, id=,S06, PRDE,actvstrat=,1.000000, actvprof=,0.002917, id=,S07, PRDE,actvstrat=,0.747659, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.153842, actvprof=,0.000000, best_B_id=,B07, best_B_prof=,4.815934, best_B_strat=,0.874295, best_S_id=,S03, best_S_prof=,0.078891, best_S_strat=,-0.203328, 
